attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1250.69580078125,-251.731002807617,CT,-1516.07080078125,70.7059707641602,freakazoid,pronax,Glock-18
-1219.85754394531,-273.011474609375,CT,-1518.47570800781,85.831787109375,Skadoodle,pronax,Glock-18
-1257.40051269531,-251.694534301758,CT,-1517.93920898438,91.8419494628906,freakazoid,pronax,Glock-18
-1202.06433105469,-258.685150146484,CT,-1516.43212890625,97.7968292236328,Skadoodle,pronax,Glock-18
-793.134094238281,90.0440979003906,CT,-822.362121582031,492.595855712891,shroud,KRIMZ,Glock-18
-725.893615722656,289.287506103516,CT,-1946.47668457031,-363.641174316406,n0thing,flusha,Glock-18
-748.675537109375,299.923309326172,CT,-1942.03527832031,-373.401123046875,n0thing,flusha,Glock-18
-869.917236328125,195.830810546875,CT,-1957.02502441406,-199.599700927734,shroud,olofmeister,Glock-18
-836.484619140625,142.284652709961,CT,-918.197692871094,-570.134948730469,shroud,JW,Glock-18
-1146.72399902344,304.465118408203,CT,-889.865844726562,-270.343322753906,Skadoodle,JW,Glock-18
-3445.34106445312,-2333.5419921875,CT,-3601.4150390625,-415.801147460938,seang@res,JW,p250
-2246.39282226562,-1315.41088867188,CT,-2798.48095703125,-897.710815429688,shroud,KRIMZ,p250
-2242.19580078125,-1306.32495117188,CT,-2804.24731445312,-905.431579589844,shroud,KRIMZ,p250
-3085.21704101562,-1501.98034667969,CT,-2338.94384765625,-537.336975097656,seang@res,olofmeister,p250
-3088.50952148438,-1499.44921875,CT,-2351.03588867188,-530.184814453125,seang@res,olofmeister,p250
-3098.60864257812,-1491.98095703125,CT,-2342.72436523438,-537.190124511719,seang@res,olofmeister,p250
-1277.21643066406,-574.279113769531,CT,-1725.80419921875,-909.701782226562,n0thing,pronax,Glock-18
-1728.01843261719,-982.700988769531,CT,-2017.50451660156,-945.291809082031,n0thing,pronax,Glock-18
-416.905822753906,-297.667999267578,CT,-882.049377441406,373.661743164062,shroud,flusha,AK-47
-416.905822753906,-297.667999267578,CT,-877.416809082031,377.300079345703,shroud,flusha,AK-47
-522.169677734375,-304.494598388672,CT,-843.141845703125,400.136596679688,Skadoodle,flusha,AK-47
-1877.6787109375,-2112.08837890625,CT,-2725.11010742188,-1628.73510742188,seang@res,KRIMZ,Tec-9
