attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2377.83911132812,454.800750732422,CT,-1898.01721191406,-934.754455566406,FNS,TENZKI,AK-47
-2380.9169921875,453.694610595703,CT,-1886.27209472656,-930.375854492188,FNS,TENZKI,AK-47
-2425.50439453125,-667.370788574219,CT,-2178.70434570312,-121.355964660645,jdm64,MSL,P90
-2444.85693359375,-619.979553222656,CT,-2207.76904296875,-132.660919189453,jdm64,MSL,P90
-2443.77514648438,-608.825012207031,CT,-2212.87573242188,-135.187881469727,jdm64,MSL,P90
-2436.22387695312,-587.086059570312,CT,-2222.05712890625,-130.65202331543,jdm64,MSL,P90
-2472.64819335938,-518.258239746094,CT,-2256.23950195312,-118.159133911133,jdm64,MSL,P90
-2480.07690429688,-504.682189941406,CT,-2260.72119140625,-116.180213928223,jdm64,MSL,P90
-2479.33935546875,-487.81640625,CT,-2267.25561523438,-112.95125579834,jdm64,MSL,P90
-1747.75061035156,458.475250244141,CT,-584.558288574219,418.880279541016,tarik,Kjaerbye,AK-47
-1747.68640136719,460.130310058594,CT,-585.167663574219,399.846710205078,tarik,Kjaerbye,AK-47
453.596801757812,-58.872428894043,CT,186.289474487305,-451.994049072266,hazed,Kjaerbye,AK-47
456.530700683594,-59.5733375549316,CT,205.816787719727,-464.296569824219,hazed,Kjaerbye,AK-47
288.007171630859,-287.412750244141,CT,205.816787719727,-464.296569824219,tarik,Kjaerbye,AK-47
458.543548583984,-60.9205322265625,T,288.007171630859,-293.122283935547,hazed,tarik,AK-47
288.007171630859,-294.835144042969,CT,205.816787719727,-464.296569824219,tarik,Kjaerbye,AK-47
38.9196357727051,-449.532775878906,CT,-491.451873779297,-536.883239746094,tarik,MSL,AK-47
38.7946395874023,-449.595306396484,CT,-495.906433105469,-508.766479492188,tarik,MSL,AK-47
213.331634521484,-731.530639648438,CT,-1109.94506835938,-999.148864746094,FNS,Pimp,AK-47
-634.146423339844,-700.138427734375,CT,-484.766906738281,-501.472412109375,jdm64,MSL,P90
-158.90608215332,-388.8095703125,CT,-252.743408203125,-680.553283691406,tarik,aizy,AK-47
-751.371826171875,-658.234924316406,CT,-864.868591308594,-446.107635498047,jdm64,TENZKI,P90
-762.142883300781,-668.040344238281,CT,-861.616149902344,-444.333465576172,jdm64,TENZKI,P90
-788.003051757812,-684.55615234375,CT,-856.881469726562,-440.786529541016,jdm64,TENZKI,P90
-802.490783691406,-691.188537597656,CT,-854.066467285156,-439.158264160156,jdm64,TENZKI,P90
-828.284484863281,-701.429565429688,CT,-848.481140136719,-436.610748291016,jdm64,TENZKI,P90
-830.35498046875,-703.641540527344,CT,-851.637023925781,-437.079528808594,jdm64,TENZKI,P90
-812.997497558594,-704.363159179688,CT,-866.276611328125,-439.115234375,jdm64,TENZKI,P90
749.319458007812,-525.7939453125,CT,-206.554550170898,-816.665283203125,hazed,aizy,AK-47
314.119384765625,-588.134155273438,CT,-207.426116943359,-814.800170898438,reltuC,aizy,AK-47
314.25634765625,-588.715576171875,CT,-205.421783447266,-819.638122558594,reltuC,aizy,AK-47
314.675872802734,-589.696166992188,CT,-202.771789550781,-825.935241699219,reltuC,aizy,AK-47
116.93172454834,-340.365814208984,CT,-685.974182128906,-681.768737792969,reltuC,Pimp,AK-47
117.010063171387,-340.541839599609,CT,-719.188110351562,-652.196533203125,reltuC,Pimp,AK-47
546.814453125,-970.16845703125,CT,220.011535644531,-1355.24951171875,tarik,Kjaerbye,AK-47
725.632629394531,-1047.80712890625,CT,217.551666259766,-1353.4130859375,hazed,Kjaerbye,AK-47
724.566528320312,-1048.3056640625,CT,217.745025634766,-1353.58569335938,hazed,Kjaerbye,AK-47
725.189208984375,-1049.62438964844,CT,217.745025634766,-1353.58569335938,hazed,Kjaerbye,AK-47
518.761657714844,-1003.13330078125,CT,34.4110107421875,-1112.23461914062,tarik,aizy,AK-47
