attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-82.0198211669922,495.700378417969,T,1084.51611328125,123.504722595215,B1ad3,cajunb,p250
-89.1707458496094,472.579559326172,T,1085.25183105469,126.511169433594,B1ad3,cajunb,p250
-90.0423049926758,469.716583251953,T,1083.74401855469,121.907188415527,B1ad3,cajunb,p250
65.617919921875,1511.13940429688,T,790.552978515625,1774.001953125,B1ad3,dupreeh,p250
-930.097778320312,1078.79077148438,T,787.981689453125,1842.21923828125,WorldEdit,dupreeh,P2000
-923.836669921875,1106.31921386719,T,697.85693359375,1789.37536621094,WorldEdit,device,P2000
-124.844184875488,1499.69934082031,T,318.600372314453,1511.30053710938,markeloff,Xyp9x,p250
444.589416503906,1935.99243164062,T,318.261779785156,1511.41186523438,bondik,Xyp9x,Five-SeveN
-935.122009277344,998.802429199219,T,-89.6156997680664,1567.78234863281,DavCost,Xyp9x,CZ75 Auto
-929.467529296875,988.7998046875,T,-105.556396484375,1591.23522949219,DavCost,Xyp9x,CZ75 Auto
172.711013793945,-865.839294433594,T,357.24072265625,-341.504730224609,markeloff,dupreeh,p250
-492.96240234375,-88.1200866699219,T,485.482879638672,313.920532226562,WorldEdit,device,P2000
-957.593933105469,-687.920593261719,T,-398.403747558594,-1011.51568603516,B1ad3,karrigan,p250
-959.418579101562,-701.195556640625,T,-394.284606933594,-1004.89422607422,B1ad3,karrigan,p250
-806.211853027344,136.673812866211,T,-936.026428222656,-729.284362792969,bondik,dupreeh,p250
-1055.22387695312,-270.655944824219,T,-679.293273925781,-544.26806640625,bondik,dupreeh,p250
-100.863479614258,1302.56481933594,T,-311.324890136719,666.135498046875,B1ad3,dupreeh,M4A4
-100.863479614258,1302.56481933594,T,-306.527679443359,668.270568847656,B1ad3,dupreeh,M4A4
-100.863479614258,1302.56481933594,T,-302.088287353516,667.978271484375,B1ad3,dupreeh,M4A4
-100.863479614258,1302.56481933594,T,-301.820281982422,668.076904296875,B1ad3,dupreeh,M4A4
326.712463378906,-370.408111572266,T,539.45703125,-1121.24487304688,DavCost,cajunb,M4A4
-114.401412963867,1039.78173828125,T,-333.977752685547,979.991882324219,bondik,dupreeh,M4A1
153.088073730469,2245.42456054688,T,257.9150390625,1931.88720703125,markeloff,Xyp9x,M4A4
153.054840087891,2244.58569335938,T,256.108367919922,1937.32177734375,markeloff,Xyp9x,M4A4
153.054840087891,2244.58569335938,T,257.010986328125,1941.90319824219,markeloff,Xyp9x,M4A4
452.670867919922,2092.44702148438,T,216.324356079102,2130.2958984375,markeloff,karrigan,M4A4
455.6953125,2102.93383789062,T,210.624801635742,2135.58618164062,markeloff,karrigan,M4A4
456.805938720703,2104.7412109375,T,181.981369018555,2123.94946289062,markeloff,karrigan,M4A4
451.744964599609,1848.06970214844,T,466.653472900391,1779.96875,bondik,device,M4A1
438.036224365234,1837.27624511719,T,470.258880615234,1776.82348632812,bondik,device,M4A1
422.893737792969,1830.7451171875,T,474.523315429688,1774.85864257812,bondik,device,M4A1
416.107543945312,1833.02319335938,T,482.406219482422,1779.09594726562,bondik,device,M4A1
423.969635009766,1841.732421875,T,487.155944824219,1779.99938964844,bondik,device,M4A1
-389.063720703125,2141.27563476562,T,-177.089477539062,1022.35333251953,WorldEdit,karrigan,AWP
313.828308105469,1388.1796875,T,440.969146728516,1567.65966796875,B1ad3,Xyp9x,FAMAS
-342.78662109375,1589.43322753906,T,-79.1459732055664,1293.06567382812,WorldEdit,Xyp9x,AWP
-134.374359130859,1231.94274902344,T,440.908142089844,1454.86108398438,markeloff,dupreeh,M4A4
-133.322769165039,1230.6279296875,T,440.113189697266,1457.24694824219,markeloff,dupreeh,M4A4
-133.367553710938,1230.82666015625,T,438.4306640625,1461.67895507812,markeloff,dupreeh,M4A4
-305.457763671875,1681.78674316406,T,32.1919898986816,2025.24047851562,WorldEdit,cajunb,AWP
-214.282730102539,844.554260253906,T,312.569702148438,2253.98291015625,WorldEdit,device,p250
