attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
1587.37756347656,1818.30041503906,T,304.291381835938,2552.12890625,pronax,Skadoodle,P2000
1460.42749023438,1876.43786621094,T,386.993835449219,2588.54321289062,olofmeister,shroud,USP-S
1456.10083007812,1869.56262207031,T,406.537994384766,2617.77587890625,olofmeister,shroud,USP-S
1457.80358886719,1871.83093261719,T,431.149078369141,2630.189453125,olofmeister,Skadoodle,USP-S
1458.09533691406,1872.28759765625,T,466.087005615234,2658.12817382812,olofmeister,Skadoodle,USP-S
1587.57287597656,1796.00366210938,T,395.021087646484,2699.41723632812,flusha,n0thing,USP-S
1580.22778320312,1685.08056640625,T,698.544677734375,2666.84790039062,olofmeister,n0thing,USP-S
1591.99475097656,1396.67858886719,T,952.130554199219,2514.34790039062,pronax,freakazoid,P2000
-226.658157348633,2106.83154296875,T,825.078125,2113.00927734375,KRIMZ,n0thing,USP-S
-226.401260375977,2102.7744140625,T,1243.00756835938,2156.83544921875,KRIMZ,seang@res,USP-S
1436.46435546875,1665.11315917969,T,1246.30505371094,2150.07104492188,pronax,seang@res,P2000
-226.334930419922,2101.416015625,T,1249.27490234375,2133.11547851562,KRIMZ,seang@res,USP-S
1408.921875,1666.17590332031,T,1252.9228515625,2124.88989257812,pronax,seang@res,P2000
1461.77392578125,2577.19189453125,T,748.250610351562,2613.51342773438,pronax,freakazoid,USP-S
1461.22814941406,2552.49951171875,T,733.987121582031,2611.90112304688,pronax,freakazoid,USP-S
1292.68688964844,2505.64916992188,T,642.298461914062,2489.900390625,pronax,freakazoid,USP-S
1291.3056640625,2523.29272460938,T,646.599914550781,2535.7626953125,pronax,freakazoid,USP-S
-156.495300292969,2208.85571289062,T,-691.661254882812,2336.31420898438,olofmeister,seang@res,M4A1
-156.540542602539,2208.880859375,T,-698.088134765625,2341.10815429688,olofmeister,seang@res,M4A1
-156.540542602539,2208.880859375,T,-703.149719238281,2345.099609375,olofmeister,seang@res,M4A1
-156.540542602539,2208.880859375,T,-707.918884277344,2349.27514648438,olofmeister,seang@res,M4A1
-2031.99877929688,1763.79992675781,T,-2025.77941894531,1702.33288574219,JW,n0thing,UMP-45
-2031.96069335938,1773.30578613281,T,-2029.39074707031,1704.10070800781,JW,n0thing,UMP-45
-2031.87536621094,1776.8408203125,T,-2031.28979492188,1708.08715820312,JW,n0thing,UMP-45
-2031.81176757812,1758.68530273438,T,-2031.99499511719,1726.65405273438,JW,n0thing,UMP-45
-1322.16186523438,2259.93896484375,CT,-2031.98156738281,1745.63708496094,KRIMZ,JW,MP7
-1323.76440429688,2262.08032226562,T,-1745.15795898438,1948.11767578125,KRIMZ,Skadoodle,MP7
-1323.76440429688,2262.08032226562,T,-1738.01977539062,1951.49584960938,KRIMZ,Skadoodle,MP7
-1328.48962402344,2267.76391601562,T,-1723.72204589844,1965.91125488281,KRIMZ,Skadoodle,MP7
-1325.09741210938,2263.4599609375,T,-1722.2412109375,1970.68542480469,KRIMZ,Skadoodle,MP7
-1325.47204589844,2265.47241210938,T,-1974.25708007812,1820.42419433594,KRIMZ,freakazoid,MP7
-1322.29467773438,2260.55810546875,T,-1981.45922851562,1825.31811523438,KRIMZ,freakazoid,MP7
-1322.49523925781,2260.42846679688,T,-1987.32287597656,1826.306640625,KRIMZ,freakazoid,MP7
-1351.97729492188,2261.1416015625,T,-1645.57019042969,2066.51123046875,KRIMZ,shroud,USP-S
-1361.875,2278.45336914062,T,-1649.255859375,2102.9736328125,KRIMZ,shroud,USP-S
-1357.345703125,2270.46118164062,T,-1648.85583496094,2100.80249023438,KRIMZ,shroud,USP-S
-317.197937011719,2042.65344238281,T,-454.130676269531,1663.78466796875,flusha,freakazoid,P90
-322.876770019531,2044.57873535156,T,-456.886322021484,1668.13037109375,flusha,freakazoid,P90
-331.800628662109,2047.65502929688,T,-459.771270751953,1670.24584960938,flusha,freakazoid,P90
-343.013244628906,2051.41528320312,T,-458.163726806641,1669.78881835938,flusha,freakazoid,P90
-352.179138183594,2054.44409179688,T,-455.457366943359,1668.83764648438,flusha,freakazoid,P90
-354.657409667969,2055.62841796875,T,-454.220947265625,1668.40466308594,flusha,freakazoid,P90
-351.271850585938,2054.83081054688,T,-454.528747558594,1668.51257324219,flusha,freakazoid,P90
-356.330322265625,2056.31591796875,T,-431.345336914062,1630.87536621094,flusha,shroud,P90
