attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1028.67504882812,-1311.51196289062,T,-53.0497970581055,-2133.43237304688,flusha,kioShiMa,USP-S
-999.603820800781,-2558.80200195312,T,-458.351013183594,-2309.2763671875,KRIMZ,NBK-,USP-S
-1000.39245605469,-2556.37158203125,T,-76.7881546020508,-2051.439453125,KRIMZ,Happy,USP-S
-1051.31396484375,-2540.25610351562,T,-813.787780761719,-2406.11059570312,KRIMZ,NBK-,USP-S
-1482.71801757812,-2217.96533203125,T,-880.882751464844,-2365.58056640625,JW,NBK-,USP-S
-1093.46691894531,-2463.46801757812,T,-872.369384765625,-2388.7548828125,KRIMZ,NBK-,USP-S
-1481.10485839844,-2212.73413085938,T,-871.944702148438,-2390.23315429688,JW,NBK-,USP-S
-513.265441894531,-1546.55834960938,T,-185.860855102539,-1553.7763671875,olofmeister,kennyS,P2000
-1269.07885742188,-2460.51928710938,T,-579.954833984375,-2176.70971679688,pronax,apEX,USP-S
-518.353515625,-1360.65173339844,T,-766.380432128906,-1908.771484375,olofmeister,kioShiMa,P2000
-509.176727294922,-1358.12194824219,T,-774.097106933594,-1875.46545410156,olofmeister,kioShiMa,P2000
-498.256683349609,-1364.4697265625,T,-784.576843261719,-1840.56298828125,olofmeister,kioShiMa,P2000
-739.508422851562,-2388.31567382812,T,-671.849609375,-1320.83349609375,pronax,Happy,USP-S
-755.647277832031,-2387.19995117188,T,-700.242919921875,-1248.24621582031,pronax,Happy,USP-S
-467.334564208984,-2028.42749023438,T,-858.103332519531,-1487.63537597656,pronax,kioShiMa,USP-S
-817.4384765625,-2544.30639648438,T,-752.578308105469,-1712.58679199219,flusha,NBK-,M4A4
-817.791076660156,-2544.27905273438,T,-747.828674316406,-1720.42651367188,flusha,NBK-,M4A4
-838.612548828125,-2542.44189453125,T,-692.141296386719,-1918.71740722656,flusha,kennyS,M4A4
-845.579711914062,-2541.06884765625,T,-675.038940429688,-1922.97241210938,flusha,kennyS,M4A4
-846.794494628906,-2540.77099609375,T,-667.972534179688,-1924.80517578125,flusha,kennyS,M4A4
-847.844848632812,-2540.46752929688,T,-661.81982421875,-1926.51965332031,flusha,kennyS,M4A4
-846.872985839844,-2540.76196289062,T,-627.734558105469,-1937.38671875,flusha,kennyS,M4A4
-846.872985839844,-2540.76196289062,T,-622.639831542969,-1939.21069335938,flusha,kennyS,M4A4
-1079.4501953125,-2334.78125,T,22.3607711791992,-2139.54907226562,KRIMZ,Happy,FAMAS
-1079.4501953125,-2334.78125,T,22.7074775695801,-2139.95776367188,KRIMZ,Happy,FAMAS
-1067.75073242188,-2370.1748046875,T,-118.809356689453,-1952.79431152344,KRIMZ,Happy,FAMAS
-1128.1767578125,-215.842102050781,T,-1221.21130371094,-1244.05224609375,olofmeister,kioShiMa,FAMAS
-1128.1767578125,-215.842102050781,T,-1217.89306640625,-1251.36779785156,olofmeister,kioShiMa,FAMAS
-1128.03698730469,-215.868667602539,T,-1201.51147460938,-1267.4287109375,olofmeister,kioShiMa,FAMAS
-1129.11193847656,-215.790176391602,T,-1196.32055664062,-1272.29125976562,olofmeister,kioShiMa,FAMAS
-1130.49401855469,-215.688903808594,T,-1191.865234375,-1276.82800292969,olofmeister,kioShiMa,FAMAS
-940.105590820312,-2590.22314453125,T,-132.715896606445,-2063.31811523438,flusha,Happy,M4A4
-1218.89965820312,-1221.09594726562,T,-182.733383178711,-2054.1435546875,JW,Happy,SSG 08
-1077.62097167969,-639.186889648438,T,-888.251525878906,-396.41455078125,olofmeister,apEX,FAMAS
-940.669799804688,-594.740051269531,T,-775.888977050781,-478.080657958984,olofmeister,apEX,FAMAS
-595.747680664062,-1175.86682128906,T,-811.946716308594,-445.056701660156,JW,apEX,CZ75 Auto
-1047.7666015625,-410.542449951172,T,-902.25439453125,-415.196411132812,olofmeister,apEX,FAMAS
-1047.63610839844,-404.852661132812,T,-879.002075195312,-423.238159179688,olofmeister,apEX,FAMAS
-1145.89953613281,117.341567993164,T,-1672.19555664062,718.974548339844,olofmeister,NBK-,FAMAS
-1145.83129882812,117.403930664062,T,-1765.962890625,821.658142089844,olofmeister,apEX,FAMAS
-1109.42065429688,158.891708374023,T,-1871.98706054688,839.990600585938,olofmeister,apEX,FAMAS
-1157.93908691406,110.257850646973,T,-1726.46826171875,731.95703125,olofmeister,kioShiMa,FAMAS
-1155.62780761719,112.404449462891,T,-1721.29113769531,735.909301757812,olofmeister,kioShiMa,FAMAS
-2342.416015625,777.509826660156,T,-1652.2939453125,773.424743652344,pronax,kennyS,M4A4
-2342.416015625,777.509826660156,T,-1659.1923828125,769.597595214844,pronax,kennyS,M4A4
-2342.416015625,777.509826660156,T,-1663.79357910156,765.099731445312,pronax,kennyS,M4A4
-106.617637634277,-1668.96240234375,T,-122.976997375488,-2145.12768554688,KRIMZ,Happy,MP9
-106.607833862305,-1669.33557128906,T,-139.375198364258,-2148.33129882812,KRIMZ,Happy,MP9
-106.607833862305,-1669.33557128906,T,-155.773391723633,-2151.53491210938,KRIMZ,Happy,MP9
