attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1073.51489257812,696.258544921875,CT,-2054.326171875,736.887512207031,nitr0,f0rest,Glock-18
-1168.33874511719,738.521484375,CT,-2053.38427734375,764.75146484375,Hiko,f0rest,Glock-18
-1146.98022460938,762.884582519531,CT,-2060.79174804688,787.026000976562,nitr0,f0rest,Glock-18
-1131.52795410156,733.301330566406,CT,-2062.09155273438,767.648498535156,nitr0,f0rest,Glock-18
-1125.10498046875,667.68505859375,CT,-2063.4921875,733.500610351562,nitr0,f0rest,Glock-18
-977.633728027344,126.025909423828,CT,-2046.58312988281,329.18212890625,EliGE,friberg,Glock-18
-1007.07183837891,145.662292480469,CT,-2048.33569335938,317.501007080078,EliGE,friberg,Glock-18
-2529.3046875,290.982360839844,CT,-2235.82836914062,-10.3795557022095,nitr0,f0rest,Glock-18
-2526.72583007812,170.407012939453,CT,-2195.94189453125,2.69690251350403,nitr0,f0rest,Glock-18
-2515.13305664062,149.90934753418,CT,-2187.08251953125,-8.27890014648438,nitr0,f0rest,Glock-18
-2515.50463867188,398.103057861328,CT,-1677.67370605469,207.522735595703,nitr0,allu,Glock-18
-1853.81494140625,-45.2338180541992,CT,-1816.869140625,107.292915344238,adreN,allu,Glock-18
-1750.25903320312,86.1838455200195,CT,-2036.71984863281,-622.431335449219,adreN,Xizt,Glock-18
-1786.53234863281,111.312026977539,CT,-2064.24731445312,-612.200500488281,adreN,Xizt,Glock-18
-1284.48706054688,290.742950439453,CT,-1851.037109375,690.02734375,adreN,GeT_RiGhT,USP-S
-834.45361328125,56.8658218383789,CT,-1854.146484375,699.651794433594,nitr0,GeT_RiGhT,Glock-18
-731.389099121094,-1706.81689453125,CT,-798.680786132812,-2384.86572265625,nitr0,Xizt,Glock-18
-699.942932128906,-1719.86486816406,CT,-806.319702148438,-2384.03271484375,nitr0,Xizt,Glock-18
281.602691650391,-1514.31286621094,CT,-592.408447265625,-2156.25463867188,nitr0,GeT_RiGhT,Glock-18
352.255889892578,-835.374389648438,CT,-635.411560058594,-456.033508300781,EliGE,f0rest,AK-47
352.043029785156,-835.832214355469,CT,-626.869201660156,-477.447326660156,EliGE,f0rest,AK-47
352.293823242188,-835.12744140625,CT,-610.2314453125,-520.354919433594,EliGE,f0rest,AK-47
352.293823242188,-835.12744140625,CT,-612.657592773438,-543.965576171875,EliGE,f0rest,AK-47
-252.614196777344,-1809.82312011719,CT,-51.0250015258789,-1938.07653808594,nitr0,Xizt,AK-47
-251.169876098633,-1805.22497558594,CT,-68.2294769287109,-1959.47607421875,FugLy,Xizt,Galil AR
-245.356857299805,-1801.08728027344,CT,-63.5086402893066,-1953.39904785156,FugLy,Xizt,Galil AR
-236.095108032227,-1791.25012207031,CT,-80.5861129760742,-1955.68859863281,FugLy,Xizt,Galil AR
68.9109802246094,-2117.220703125,CT,-301.085327148438,-2173.49243164062,Hiko,GeT_RiGhT,Galil AR
69.3366851806641,-2115.72900390625,CT,-302.693634033203,-2173.16650390625,Hiko,GeT_RiGhT,Galil AR
70.8242721557617,-2125.2744140625,CT,-302.677001953125,-2173.2373046875,Hiko,GeT_RiGhT,Galil AR
-761.054382324219,-1018.30627441406,CT,-514.984008789062,-1433.12854003906,EliGE,allu,AK-47
71.9042053222656,-2134.33227539062,CT,-294.511871337891,-2183.04272460938,Hiko,GeT_RiGhT,Galil AR
73.5996322631836,-2150.98388671875,CT,-285.562622070312,-2192.17236328125,Hiko,GeT_RiGhT,Galil AR
-750.394592285156,-1194.10632324219,CT,-496.03125,-1372.16918945312,EliGE,allu,AK-47
-750.378601074219,-1194.84533691406,CT,-496.865783691406,-1365.80480957031,EliGE,allu,AK-47
-233.331405639648,-1891.43518066406,CT,-1229.69311523438,-1240.36804199219,Hiko,friberg,Galil AR
-233.011123657227,-1890.89672851562,CT,-1229.91381835938,-1240.48510742188,Hiko,friberg,Galil AR
-1164.44653320312,582.771667480469,CT,-294.198028564453,456.535919189453,FugLy,f0rest,MAC-10
-1164.50659179688,582.37548828125,CT,-294.791442871094,449.572174072266,FugLy,f0rest,MAC-10
-1164.97155761719,578.77685546875,CT,-296.310333251953,437.503234863281,FugLy,f0rest,MAC-10
-974.932800292969,592.336181640625,CT,-421.501007080078,464.869140625,FugLy,f0rest,MAC-10
-1618.03100585938,-686.769104003906,CT,-1936.63793945312,-558.03466796875,nitr0,GeT_RiGhT,MAC-10
-1617.79052734375,-686.137023925781,CT,-1934.87036132812,-559.365356445312,nitr0,GeT_RiGhT,MAC-10
-1619.53125,-690.362365722656,CT,-1933.93896484375,-560.066467285156,nitr0,GeT_RiGhT,MAC-10
-1618.34130859375,-725.797302246094,CT,-1924.89965820312,-543.595581054688,nitr0,GeT_RiGhT,MAC-10
-1625.5908203125,-755.023803710938,CT,-1917.91125488281,-377.833343505859,nitr0,Xizt,MAC-10
-1460.46484375,-2373.48120117188,CT,-1565.96569824219,-690.087707519531,EliGE,allu,AK-47
-1683.61926269531,-905.691528320312,CT,-1566.29028320312,-683.799194335938,nitr0,allu,MAC-10
-1690.68530273438,-903.630310058594,CT,-1602.12805175781,-648.651794433594,nitr0,Xizt,MAC-10
-1549.58435058594,-862.008728027344,CT,-1891.82922363281,-354.153778076172,nitr0,GeT_RiGhT,MAC-10
-1746.69555664062,-1919.32849121094,CT,-1538.17834472656,-1175.99353027344,EliGE,friberg,AK-47
-1747.83874511719,-1920.93615722656,CT,-1537.64111328125,-1169.74377441406,EliGE,friberg,AK-47
-1747.83874511719,-1920.93615722656,CT,-1542.94580078125,-1161.19458007812,EliGE,friberg,AK-47
273.678680419922,-1531.40307617188,CT,-924.425720214844,-2529.00073242188,FugLy,GeT_RiGhT,AK-47
-484.647186279297,-1574.29052734375,CT,-541.405456542969,-1334.22875976562,nitr0,Xizt,AK-47
-484.049957275391,-1574.08093261719,CT,-543.574951171875,-1333.85009765625,nitr0,Xizt,AK-47
-482.789306640625,-1573.77819824219,CT,-545.52880859375,-1334.18444824219,nitr0,Xizt,AK-47
-396.502960205078,-1808.08923339844,CT,-1232.72875976562,-1236.24096679688,EliGE,allu,AK-47
-396.582550048828,-1808.08703613281,CT,-1231.86706542969,-1235.03796386719,EliGE,allu,AK-47
-542.177734375,-1973.85180664062,CT,-799.058898925781,-89.7279281616211,EliGE,f0rest,AK-47
-542.21923828125,-1973.85778808594,CT,-796.617370605469,-89.3911285400391,EliGE,f0rest,AK-47
30.1777057647705,-2108.87329101562,CT,-1358.23767089844,-2398.64697265625,adreN,GeT_RiGhT,AK-47
-220.265182495117,-2226.23559570312,CT,-1296.82666015625,-2387.25341796875,FugLy,allu,AK-47
-220.265182495117,-2226.23559570312,CT,-1297.18420410156,-2383.59448242188,FugLy,allu,AK-47
-879.997741699219,-1304.69396972656,CT,-876.154663085938,-1366.09948730469,nitr0,friberg,AK-47
-879.997741699219,-1304.69396972656,CT,-872.710510253906,-1364.22888183594,nitr0,friberg,AK-47
-1067.32312011719,725.179565429688,CT,-2337.98095703125,710.899108886719,FugLy,friberg,AK-47
-1067.38073730469,729.643676757812,CT,-2337.84912109375,704.052490234375,FugLy,friberg,AK-47
-1075.96398925781,-63.6733055114746,CT,-1167.47216796875,-352.621826171875,nitr0,f0rest,AK-47
-1066.66455078125,-66.1377792358398,CT,-1181.52954101562,-347.760589599609,nitr0,f0rest,AK-47
-1066.45520019531,-66.2079010009766,CT,-1180.76831054688,-348.304626464844,nitr0,f0rest,AK-47
-1103.96875,-56.0059280395508,CT,-1164.18359375,-352.095275878906,EliGE,f0rest,AK-47
-1110.80725097656,-168.282241821289,CT,-1176.18872070312,-348.116119384766,nitr0,f0rest,AK-47
-586.963073730469,-354.919891357422,CT,-732.867980957031,-1617.70727539062,adreN,Xizt,AK-47
-588.723022460938,-354.642395019531,CT,-739.967651367188,-1614.02600097656,adreN,Xizt,AK-47
-588.723022460938,-354.642395019531,CT,-747.466430664062,-1612.02160644531,adreN,Xizt,AK-47
-778.562683105469,-178.051055908203,CT,-1288.18395996094,-1023.35833740234,adreN,allu,AK-47
-779.145751953125,-175.099838256836,CT,-1292.35546875,-1015.71160888672,adreN,allu,AK-47
-779.144775390625,-175.078567504883,CT,-1294.93041992188,-1012.90393066406,adreN,allu,AK-47
-779.144775390625,-175.078567504883,CT,-1297.3251953125,-1011.388671875,adreN,allu,AK-47
-779.144775390625,-175.078567504883,CT,-1299.90197753906,-1006.34564208984,adreN,allu,AK-47
-1012.71728515625,249.268142700195,CT,-1965.90307617188,2.84271311759949,nitr0,friberg,AK-47
-1471.30639648438,239.940444946289,CT,-772.960998535156,232.709838867188,nitr0,GeT_RiGhT,AK-47
-1471.32250976562,238.138290405273,CT,-772.961730957031,234.488510131836,nitr0,GeT_RiGhT,AK-47
-225.641448974609,-1630.97644042969,CT,113.994064331055,-1925.99548339844,adreN,Xizt,AK-47
-229.157791137695,-1631.3984375,CT,113.994064331055,-1925.99548339844,adreN,Xizt,AK-47
-245.394592285156,-1649.61572265625,CT,113.994064331055,-1925.99548339844,adreN,Xizt,AK-47
-245.539474487305,-1649.64392089844,CT,113.994064331055,-1925.99548339844,adreN,Xizt,AK-47
-245.53108215332,-1649.63342285156,CT,113.994064331055,-1925.99548339844,adreN,Xizt,AK-47
-245.53108215332,-1649.63342285156,CT,113.994064331055,-1925.99548339844,adreN,Xizt,AK-47
-245.53108215332,-1649.63342285156,CT,118.574226379395,-1927.89916992188,adreN,Xizt,AK-47
73.2559967041016,-1698.43627929688,CT,-940.3505859375,-2530.8427734375,Hiko,GeT_RiGhT,AK-47
-71.9688110351562,-1944.97790527344,CT,139.601760864258,-1912.03125,nitr0,Xizt,AK-47
-213.353469848633,-2218.4833984375,CT,-1315.18835449219,-2383.35888671875,nitr0,allu,AK-47
-213.249618530273,-2219.01977539062,CT,-1315.51098632812,-2380.37744140625,nitr0,allu,AK-47
-213.249618530273,-2219.01977539062,CT,-1317.01257324219,-2370.30444335938,nitr0,allu,AK-47
-213.249618530273,-2219.01977539062,CT,-1317.7353515625,-2365.34106445312,nitr0,allu,AK-47
-621.445861816406,-1665.87524414062,CT,-523.045837402344,-1415.42407226562,adreN,f0rest,AK-47
-622.109130859375,-1666.02087402344,CT,-522.270446777344,-1416.16320800781,adreN,f0rest,AK-47
-622.67578125,-1665.78918457031,CT,-523.013916015625,-1415.81359863281,adreN,f0rest,AK-47
-623.046081542969,-1665.64270019531,CT,-523.540405273438,-1415.57080078125,adreN,f0rest,AK-47
25.0606422424316,-2120.59594726562,CT,-1364.53955078125,-2429.00219726562,FugLy,friberg,AK-47
24.5957489013672,-2118.52294921875,CT,-1364.70288085938,-2428.16625976562,FugLy,friberg,AK-47
24.5909404754639,-2118.50146484375,CT,-1365.61181640625,-2423.58666992188,FugLy,friberg,AK-47
24.9649696350098,-2120.22485351562,CT,-1368.37609863281,-2409.78125,FugLy,friberg,AK-47
-1968.365234375,778.935302734375,CT,-2049.30688476562,30.4505825042725,FugLy,friberg,AK-47
322.371765136719,-453.957183837891,CT,-244.754592895508,-668.947937011719,Hiko,allu,AK-47
318.813049316406,-447.488983154297,CT,-245.435607910156,-666.734497070312,Hiko,allu,AK-47
315.732391357422,-440.850280761719,CT,-246.280059814453,-664.235046386719,Hiko,allu,AK-47
315.726989746094,-440.9013671875,CT,-246.77995300293,-662.803344726562,Hiko,allu,AK-47
-1977.74230957031,774.92919921875,CT,-2122.9345703125,114.683807373047,EliGE,friberg,AK-47
-1973.99670410156,775.172668457031,CT,-2122.03271484375,114.469215393066,EliGE,friberg,AK-47
-758.534484863281,-330.924713134766,CT,-551.656372070312,-1707.16613769531,Hiko,GeT_RiGhT,AK-47
-758.534484863281,-330.924713134766,CT,-521.744567871094,-1702.61181640625,Hiko,GeT_RiGhT,AK-47
-2128.48852539062,560.009826660156,CT,-2579.91284179688,448.394317626953,nitr0,friberg,AK-47
-2128.3154296875,557.774963378906,CT,-2579.91284179688,448.394317626953,nitr0,friberg,AK-47
-1902.23498535156,-208.839950561523,CT,-1991.5537109375,-604.243347167969,FugLy,Xizt,AK-47
-1913.74780273438,-208.405960083008,CT,-1990.375,-604.494506835938,FugLy,Xizt,AK-47
-1913.14477539062,-208.527633666992,CT,-1988.88256835938,-604.753479003906,FugLy,Xizt,AK-47
-1913.68530273438,-208.425582885742,CT,-1986.87243652344,-605.133911132812,FugLy,Xizt,AK-47
-2354.13623046875,-295.189117431641,CT,-2212.95556640625,-562.379760742188,FugLy,allu,AK-47
-2609.59448242188,231.472274780273,CT,-2041.94458007812,132.163238525391,Hiko,allu,AK-47
-2609.51000976562,232.00505065918,CT,-2044.03247070312,120.798004150391,Hiko,allu,AK-47
91.0227127075195,-1920.96423339844,CT,-6.02993106842041,-2087.396484375,Hiko,GeT_RiGhT,Tec-9
81.3515701293945,-1917.69885253906,CT,-4.32313299179077,-2087.19995117188,Hiko,GeT_RiGhT,Tec-9
170.258224487305,-1650.76330566406,CT,-931.6591796875,-2520.375,FugLy,f0rest,p250
105.170600891113,-1438.0146484375,CT,-937.244812011719,-2515.44677734375,adreN,f0rest,p250
168.198486328125,-1647.96374511719,CT,-946.817138671875,-2504.5380859375,FugLy,f0rest,p250
-1017.75799560547,-61.9664344787598,CT,-919.411682128906,-790.585754394531,EliGE,allu,AK-47
-1017.75799560547,-61.9664344787598,CT,-914.316223144531,-790.070617675781,EliGE,allu,AK-47
-1017.75799560547,-61.9664344787598,CT,-905.410339355469,-789.163330078125,EliGE,allu,AK-47
