attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
678.256591796875,-149.216644287109,CT,524.356994628906,-78.2168045043945,shox,GeT_RiGhT,Glock-18
672.014831542969,-90.6633071899414,CT,-79.5078048706055,532.644470214844,shox,Xizt,P2000
-328.452484130859,-1185.96655273438,CT,-11.0077934265137,-1412.15698242188,RpK,f0rest,CZ75 Auto
-323.526458740234,-1183.62854003906,CT,-0.143637716770172,-1409.34692382812,RpK,f0rest,CZ75 Auto
-321.634490966797,-1182.52502441406,CT,14.4564914703369,-1404.46179199219,RpK,f0rest,CZ75 Auto
-324.163604736328,-1187.73583984375,CT,21.7488059997559,-1397.82067871094,RpK,f0rest,CZ75 Auto
-334.080078125,-1206.58056640625,CT,21.6388473510742,-1399.88793945312,RpK,f0rest,CZ75 Auto
-260.883819580078,-1231.435546875,CT,-433.540618896484,-707.631469726562,RpK,friberg,CZ75 Auto
-277.723327636719,-1261.2177734375,CT,-422.660400390625,-702.047790527344,RpK,friberg,CZ75 Auto
-277.037506103516,-1260.96508789062,CT,-446.299438476562,-707.937438964844,RpK,friberg,CZ75 Auto
-275.888671875,-1260.65063476562,CT,-455.999359130859,-710.672119140625,RpK,friberg,CZ75 Auto
-356.981781005859,-1233.72692871094,CT,-298.984741210938,-493.620178222656,RpK,allu,CZ75 Auto
-309.109741210938,-712.670471191406,CT,-448.244567871094,-955.1337890625,shox,allu,P2000
-343.306457519531,-696.119934082031,CT,-396.507019042969,-999.346313476562,shox,allu,P2000
-394.897857666016,-1151.65356445312,CT,-205.647964477539,-1218.03125,shox,allu,P2000
-394.417877197266,-1189.76782226562,CT,-205.647964477539,-1218.03125,shox,allu,P2000
-392.292663574219,-1188.74816894531,CT,-205.647964477539,-1218.03125,shox,allu,P2000
-324.755554199219,-792.312316894531,CT,-305.390563964844,-1442.14636230469,ScreaM,friberg,MP7
-330.739105224609,-789.813049316406,CT,-309.201416015625,-1442.65454101562,ScreaM,friberg,MP7
-347.516632080078,-788.704650878906,CT,-297.782043457031,-1442.67333984375,ScreaM,friberg,MP7
-360.465270996094,-788.918029785156,CT,-278.80810546875,-1441.92956542969,ScreaM,friberg,MP7
559.910461425781,-555.217895507812,CT,68.2522735595703,-304.47607421875,shox,allu,MAC-10
558.485595703125,-557.979858398438,CT,49.5110092163086,-303.348693847656,shox,allu,MAC-10
485.272583007812,-611.361938476562,CT,245.749618530273,-346.106536865234,RpK,f0rest,MAC-10
490.908416748047,-599.117736816406,CT,248.191543579102,-343.809722900391,RpK,f0rest,MAC-10
490.828826904297,-594.784973144531,CT,246.052734375,-345.680114746094,RpK,f0rest,MAC-10
480.333984375,-601.121398925781,CT,242.098236083984,-349.249206542969,RpK,f0rest,MAC-10
471.819091796875,-607.842834472656,CT,239.488861083984,-351.797821044922,RpK,f0rest,MAC-10
1042.72204589844,-901.548034667969,CT,466.046844482422,-995.496948242188,RpK,GeT_RiGhT,MAC-10
1041.99206542969,-893.982543945312,CT,466.283477783203,-998.321594238281,RpK,GeT_RiGhT,MAC-10
1040.83081054688,-885.020385742188,CT,466.872955322266,-1001.45855712891,RpK,GeT_RiGhT,MAC-10
-112.093124389648,388.178039550781,CT,-402.848205566406,2118.88159179688,shox,allu,AK-47
-146.645462036133,1253.48010253906,CT,-1024.46228027344,1075.384765625,shox,f0rest,AK-47
-144.365447998047,1241.81311035156,CT,-1020.45037841797,1054.40905761719,shox,f0rest,AK-47
246.950836181641,2001.99487304688,CT,-124.604843139648,1874.50183105469,SmithZz,friberg,MAC-10
248.946670532227,1996.24670410156,CT,-118.611526489258,1872.25524902344,SmithZz,friberg,MAC-10
249.960861206055,1993.32116699219,CT,-114.647438049316,1867.65649414062,SmithZz,friberg,MAC-10
248.770050048828,1996.97216796875,CT,-112.342567443848,1863.51208496094,SmithZz,friberg,MAC-10
-134.801864624023,2246.12084960938,CT,-18.4134521484375,1723.62609863281,SmithZz,GeT_RiGhT,MAC-10
-178.000900268555,1625.00744628906,CT,-430.998260498047,1590.56103515625,Ex6TenZ,Xizt,MP7
-180.376815795898,1638.44885253906,CT,-430.995239257812,1576.43176269531,Ex6TenZ,Xizt,MP7
-180.24934387207,1637.98571777344,CT,-430.951507568359,1571.181640625,Ex6TenZ,Xizt,MP7
-376.411682128906,2179.0869140625,CT,-406.962524414062,1487.61352539062,SmithZz,Xizt,MAC-10
-376.411682128906,2179.0869140625,CT,-400.284301757812,1478.16772460938,SmithZz,Xizt,MAC-10
-376.00537109375,2179.05932617188,CT,-397.137512207031,1474.92053222656,SmithZz,Xizt,MAC-10
782.926635742188,-44.025318145752,CT,731.17431640625,153.833786010742,Ex6TenZ,f0rest,AK-47
777.996826171875,-45.6644668579102,CT,737.597412109375,152.112670898438,Ex6TenZ,f0rest,AK-47
768.260498046875,-48.8982810974121,CT,743.23388671875,150.533493041992,Ex6TenZ,f0rest,AK-47
765.188720703125,-50.3242874145508,CT,749.595703125,150.451141357422,Ex6TenZ,f0rest,AK-47
770.266479492188,3.3913209438324,CT,-111.734664916992,408.525695800781,Ex6TenZ,friberg,AK-47
85.6297302246094,1881.20288085938,CT,-185.795547485352,1912.59265136719,SmithZz,allu,MP7
81.6687774658203,1893.78979492188,CT,-181.901718139648,1916.07751464844,SmithZz,allu,MP7
78.6416091918945,1906.51538085938,CT,-179.322601318359,1917.91857910156,SmithZz,allu,MP7
75.74609375,1923.4296875,CT,-178.057556152344,1919.66821289062,SmithZz,allu,MP7
73.5397567749023,1940.28820800781,CT,-178.00798034668,1919.54150390625,SmithZz,allu,MP7
179.46875,1627.34265136719,CT,-465.043426513672,1236.55285644531,shox,Xizt,AK-47
179.549896240234,1627.21630859375,CT,-464.788757324219,1236.13806152344,shox,Xizt,AK-47
179.549896240234,1627.21630859375,CT,-464.570159912109,1235.77685546875,shox,Xizt,AK-47
-121.743057250977,-119.978240966797,CT,-260.692535400391,-109.982872009277,Ex6TenZ,GeT_RiGhT,M4A1
-124.792877197266,-117.764511108398,CT,-266.649505615234,-122.978149414062,Ex6TenZ,GeT_RiGhT,M4A1
-124.769477844238,-118.461952209473,CT,-269.408752441406,-129.730941772461,Ex6TenZ,GeT_RiGhT,M4A1
104.476593017578,2007.25048828125,CT,-179.332275390625,1779.52514648438,shox,allu,AK-47
-72.423225402832,948.387023925781,CT,-202.92919921875,-122.667755126953,ScreaM,GeT_RiGhT,AK-47
1266.60852050781,398.292266845703,CT,228.821014404297,79.4684829711914,Ex6TenZ,GeT_RiGhT,AK-47
1266.60852050781,398.292266845703,CT,239.774139404297,80.5018539428711,Ex6TenZ,GeT_RiGhT,AK-47
1253.76904296875,403.431823730469,CT,385.5234375,61.031681060791,Ex6TenZ,GeT_RiGhT,AK-47
