attackerX,attackerY,victimSide,victimX,victimY
-1264.31494140625,-807.442260742188,T,-1184.67114257812,-797.761474609375
-954.321411132812,-598.227905273438,T,-865.234680175781,-503.024841308594
604.850830078125,-1407.44494628906,T,313.381958007812,-301.651947021484
-428.387908935547,-1007.79925537109,T,-1.75731420516968,-773.857971191406
-718.858764648438,-937.279052734375,T,634.802612304688,-1092.05944824219
-730.486572265625,-1029.88317871094,T,284.854858398438,-990.817626953125
-538.265869140625,-868.36962890625,T,-273.081909179688,-652.914855957031
-538.265869140625,-868.36962890625,T,-61.114143371582,-469.62451171875
-547.959411621094,-856.49658203125,T,-61.4817962646484,-467.372314453125
-577.397583007812,-813.605163574219,T,263.546417236328,-1033.34582519531
-579.630737304688,-822.528869628906,T,265.446838378906,-1023.06085205078
-3200.50610351562,-540.71826171875,T,-1988.66455078125,-983.456970214844
-3218.60327148438,-534.393493652344,T,-2062.04516601562,-951.655883789062
-3228.92749023438,-564.572082519531,T,-2056.90869140625,-917.61767578125
-3228.22998046875,-561.547607421875,T,-1889.2509765625,-1003.63842773438
-3349.32568359375,-509.582855224609,T,-1918.79370117188,-1011.69079589844
-3350.98388671875,-509.25390625,T,-2586.63696289062,-767.297241210938
-3356.14379882812,-497.549255371094,T,-1943.53112792969,-1017.87664794922
-3217.32373046875,-394.820678710938,T,-2452.79711914062,-1118.35510253906
-3216.1884765625,-296.240112304688,T,-3185.03491210938,-136.65315246582
687.076354980469,-17.1442108154297,T,172.291061401367,-173.640274047852
651.907592773438,-134.801513671875,T,164.929244995117,-98.6188049316406
646.197937011719,-190.163635253906,T,159.450881958008,-126.580963134766
645.427001953125,-196.394561767578,T,151.730392456055,-135.80094909668
177.015182495117,-412.453704833984,T,-602.643127441406,-561.518432617188
177.195739746094,-412.512542724609,T,-601.078552246094,-575.265380859375
249.846176147461,-1003.8837890625,T,655.414001464844,-201.117034912109
249.846176147461,-1003.8837890625,T,651.11376953125,-217.507431030273
120.212493896484,-384.483673095703,T,406.197113037109,-278.180969238281
124.302543640137,-394.729248046875,T,396.866943359375,-249.457626342773
242.113204956055,-1021.95751953125,T,569.641418457031,-147.772827148438
242.113204956055,-1021.95751953125,T,568.535278320312,-145.429916381836
-362.040588378906,-705.334838867188,T,527.407531738281,-127.397666931152
742.483215332031,-564.194152832031,T,216.423217773438,-461.979919433594
742.442077636719,-564.438415527344,T,206.682052612305,-478.178924560547
742.442077636719,-564.438415527344,T,209.894683837891,-471.101928710938
-105.607437133789,-652.8798828125,T,340.163299560547,-69.5039215087891
-91.093994140625,-677.726440429688,T,667.166259765625,-178.253051757812
-1845.63110351562,-993.375732421875,T,-3160.02807617188,-586.284423828125
-1845.63110351562,-993.375732421875,T,-3159.9833984375,-586.131225585938
-1845.63110351562,-993.375732421875,T,-3159.93212890625,-585.964782714844
-1845.63110351562,-993.375732421875,T,-3160.00537109375,-586.217041015625
668.147338867188,-210.296997070312,T,353.583465576172,-108.746284484863
668.288696289062,-211.538726806641,T,273.650360107422,-90.0602493286133
668.456481933594,-209.955139160156,T,287.518035888672,-99.5091323852539
656.228210449219,-258.76611328125,T,286.440063476562,-106.343727111816
656.19482421875,-184.071807861328,T,361.662017822266,-60.9849853515625
650.387268066406,-195.965423583984,T,361.499664306641,-61.5044021606445
649.919128417969,-197.104965209961,T,360.813751220703,-62.9469757080078
-1140.46667480469,-670.118835449219,T,-752.03125,-333.96875
-2028.779296875,-949.225830078125,T,-3190.65673828125,-564.836669921875
-2028.91223144531,-949.425842285156,T,-3154.08666992188,-573.795532226562
-2028.91223144531,-949.425842285156,T,-3147.64892578125,-575.277221679688
-2033.19104003906,-44.1279602050781,T,-2125.66357421875,-163.157150268555
-1944.35754394531,-1486.92321777344,T,-2733.65795898438,-1460.05334472656
-2436.45874023438,-1670.8388671875,T,-2458.82397460938,-664.448303222656
-1781.46948242188,-1537.07507324219,T,-2625.35815429688,-1453.5576171875
-1781.46948242188,-1537.07507324219,T,-2692.33813476562,-1470.95629882812
-1791.67944335938,-1544.63012695312,T,-2624.56298828125,-1459.72314453125
-233.30436706543,-650.851196289062,T,534.35546875,-149.434875488281
-202.876312255859,-647.219116210938,T,215.908050537109,-1258.19409179688
-210.680130004883,-651.390625,T,204.97981262207,-1280.67810058594
-163.530822753906,-675.40234375,T,-31.0050964355469,-1152.40417480469
-169.658874511719,-683.387756347656,T,-65.5854797363281,-1170.30456542969
-169.782928466797,-683.635803222656,T,-113.329811096191,-1197.44909667969
561.025146484375,-1420.12280273438,T,615.100524902344,-40.585521697998
-783.930297851562,-609.2021484375,T,-788.234924316406,-351.926330566406
-777.486328125,-616.391784667969,T,-789.67529296875,-347.308349609375
-1049.16247558594,-574.032897949219,T,-788.873901367188,-344.580627441406
-1033.28063964844,-576.161437988281,T,-768.03125,-345.171691894531
179.498565673828,-1020.00219726562,T,591.166748046875,-164.606643676758
-464.985900878906,-602.268127441406,T,-174.71142578125,-424.869537353516
-463.017364501953,-605.573425292969,T,-177.976974487305,-421.789733886719
-461.155334472656,-608.903564453125,T,-169.107192993164,-433.251556396484
-481.502471923828,-603.105407714844,T,-110.725830078125,-412.154815673828
353.611236572266,-1018.13708496094,T,221.218368530273,-491.981811523438
353.962463378906,-1018.08856201172,T,216.248275756836,-492.759857177734
-2508.32543945312,51.5805168151855,T,-2376.3515625,351.021606445312
-2496.24194335938,45.3853149414062,T,-2349.72534179688,316.238311767578
-1779.52099609375,-1445.11511230469,T,-1827.09411621094,-1318.03137207031
-2595.61547851562,-834.888854980469,T,-2624.64453125,-1572.861328125
-2596.17211914062,-834.897338867188,T,-2629.41235351562,-1569.68542480469
-3205.20971679688,-611.171142578125,T,-3186.23413085938,529.615112304688
668.620910644531,13.5414066314697,T,294.387634277344,-303.813934326172
702.554321289062,-81.6363830566406,T,309.225463867188,-72.1349105834961
703.402954101562,-82.1478576660156,T,310.986541748047,-70.4322357177734
703.402954101562,-82.1478576660156,T,311.61962890625,-69.0552597045898
703.402954101562,-82.1478576660156,T,312.1923828125,-66.6354675292969
703.402954101562,-82.1478576660156,T,312.186248779297,-66.9789428710938
-697.872863769531,-1002.11968994141,T,-64.9585571289062,-496.766204833984
-784.937927246094,-697.174560546875,T,-347.648101806641,-529.200378417969
-784.937927246094,-697.174560546875,T,-344.531951904297,-531.131286621094
-784.9990234375,-697.011535644531,T,-342.223876953125,-532.101867675781
-785.247680664062,-696.316223144531,T,-338.262573242188,-531.340209960938
-785.614990234375,-695.306457519531,T,-334.164581298828,-531.374267578125
-552.890991210938,-571.404968261719,T,140.614624023438,-383.026153564453
-553.404846191406,-569.536437988281,T,145.887237548828,-386.667694091797
-554.081726074219,-567.080139160156,T,148.561187744141,-391.216766357422
-554.783203125,-564.438659667969,T,149.030471801758,-391.832550048828
-791.063781738281,-797.268188476562,T,-588.972229003906,262.054107666016
259.375640869141,-1202.21606445312,T,452.467315673828,-35.5117225646973
749.625183105469,-538.810607910156,T,245.018814086914,-443.579528808594
746.574340820312,-551.9658203125,T,231.97428894043,-455.076538085938
746.647216796875,-551.526306152344,T,237.730606079102,-477.263092041016
743.086486816406,-580.731994628906,T,356.238464355469,-347.646301269531
209.284118652344,-1187.87048339844,T,463.120147705078,-121.606925964355
-458.75732421875,-955.370971679688,T,348.258270263672,-894.86767578125
-458.75732421875,-955.370971679688,T,376.036804199219,-716.771240234375
-1087.59619140625,-722.913818359375,T,339.534515380859,-956.289001464844
426.020904541016,-392.720672607422,T,355.471099853516,-1120.17565917969
442.465179443359,-393.949066162109,T,331.466857910156,-1126.78942871094
209.422012329102,-1045.49279785156,T,-108.165382385254,-734.727355957031
-2920.71020507812,-970.584899902344,T,-3107.37158203125,-229.48112487793
