attackerX,attackerY,victimSide,victimX,victimY
-511.922546386719,-656.010192871094,CT,-410.875427246094,1913.55249023438
-511.922546386719,-656.010192871094,CT,-428.821472167969,1901.27502441406
-1122.99890136719,1259.28210449219,CT,-761.84375,1518.09631347656
-1118.23425292969,1307.17980957031,CT,-726.523620605469,1449.69311523438
-1035.13464355469,1489.32751464844,CT,-726.5,1419.30432128906
-1031.72143554688,1508.13549804688,CT,-729.253540039062,1403.12109375
-1132.19616699219,1405.83959960938,CT,-276.359497070312,1511.96337890625
-975.98388671875,1490.60339355469,CT,-695.668823242188,1422.7724609375
-1052.01147460938,1266.60229492188,CT,-989.810363769531,1510.76623535156
1212.36071777344,344.429840087891,CT,1564.36840820312,582.463684082031
933.998413085938,918.163452148438,CT,1577.10119628906,577.966918945312
1542.71899414062,1695.49877929688,CT,1156.93713378906,2540.93212890625
1510.88146972656,1687.09375,CT,1168.68115234375,2558.72509765625
1319.08044433594,2051.82202148438,CT,773.50927734375,2383.89208984375
1413.32373046875,1936.29577636719,CT,732.596130371094,2270.62841796875
1299.20434570312,1991.83740234375,CT,714.646118164062,2247.49829101562
500.481353759766,2403.837890625,CT,774.046813964844,2325.26049804688
511.569458007812,2388.82495117188,CT,756.085693359375,2336.58618164062
501.803466796875,2404.06176757812,CT,745.086120605469,2324.11596679688
460.408569335938,2650.7158203125,CT,1223.25988769531,2566.30102539062
1279.74621582031,2066.58178710938,CT,343.379943847656,2277.67797851562
1279.25085449219,2175.4716796875,CT,135.035461425781,2338.701171875
821.813537597656,2209.30688476562,CT,203.57356262207,2270.6455078125
822.072570800781,2211.85888671875,CT,150.915588378906,2257.5224609375
-597.063354492188,1519.484375,CT,-185.068603515625,841.210754394531
-596.202697753906,1519.98278808594,CT,-187.257934570312,828.226257324219
-594.519836425781,1519.9970703125,CT,-184.558792114258,818.20556640625
-130.322570800781,321.345092773438,CT,-163.85920715332,859.903930664062
-655.947875976562,1475.056640625,CT,-285.628875732422,1494.25036621094
-657.115051269531,1459.34655761719,CT,-304.40869140625,1508.15771484375
-136.065856933594,435.560638427734,CT,-153.464706420898,1387.66455078125
-430.321624755859,-804.119567871094,CT,-408.005493164062,1631.22570800781
555.851989746094,2181.39892578125,CT,-62.6765289306641,2000.00012207031
