attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
219.019485473633,-1456.75634765625,CT,-923.55419921875,-2528.35180664062,Xyp9x,EliGE,Glock-18
260.609191894531,-1501.54296875,CT,-924.523986816406,-2531.79736328125,Xyp9x,EliGE,Glock-18
76.5535583496094,-2161.64819335938,CT,-656.692199707031,-2181.23779296875,dupreeh,jdm64,Glock-18
76.6080169677734,-2165.48559570312,CT,-655.762451171875,-2194.15405273438,dupreeh,jdm64,Glock-18
-36.3472671508789,-2111.55224609375,CT,-1025.00476074219,-2546.3837890625,dupreeh,EliGE,Glock-18
-772.455871582031,-1807.95031738281,CT,118.143081665039,-2002.65100097656,Kjaerbye,Pimp,Glock-18
-782.298034667969,-1854.72766113281,CT,125.280319213867,-1997.75085449219,Kjaerbye,Pimp,Glock-18
-873.776000976562,-439.452972412109,CT,-561.44140625,-357.754364013672,gla1ve,nitr0,Glock-18
-1588.1875,-932.474426269531,CT,-1466.98376464844,-2083.32275390625,device,Hiko,Glock-18
-1604.70239257812,-932.828247070312,CT,-1456.01831054688,-2065.7138671875,device,Hiko,Glock-18
-1615.71337890625,-934.294189453125,CT,-1458.57336425781,-2086.59106445312,device,Hiko,Glock-18
-1643.16662597656,-938.360290527344,CT,-1454.87707519531,-2110.10009765625,device,Hiko,Glock-18
-278.975769042969,-934.785583496094,CT,-681.651428222656,-273.520751953125,Kjaerbye,nitr0,AK-47
-279.183654785156,-934.99755859375,CT,-714.254577636719,-252.047210693359,Kjaerbye,nitr0,AK-47
-279.475128173828,-934.99755859375,CT,-725.526550292969,-249.537017822266,Kjaerbye,nitr0,AK-47
-280.103607177734,-934.99755859375,CT,-749.949157714844,-244.098266601562,Kjaerbye,nitr0,AK-47
-280.113708496094,-934.891235351562,CT,-774.360107421875,-240.164245605469,Kjaerbye,nitr0,AK-47
467.5537109375,-467.082763671875,CT,-672.40478515625,-706.647583007812,device,Pimp,AK-47
475.155151367188,-504.60400390625,CT,-672.554260253906,-660.733032226562,device,Pimp,AK-47
475.487915039062,-507.115325927734,CT,-674.72216796875,-643.450561523438,device,Pimp,AK-47
475.836181640625,-508.071258544922,CT,-673.035766601562,-660.759399414062,device,Pimp,AK-47
474.844421386719,-499.742156982422,CT,-674.220275878906,-654.61865234375,device,Pimp,AK-47
154.657073974609,-833.669738769531,CT,-226.04118347168,-711.451293945312,gla1ve,EliGE,UMP-45
462.414306640625,-436.923645019531,CT,-229.829803466797,-716.544982910156,device,EliGE,AK-47
462.361480712891,-436.704559326172,CT,-231.655899047852,-724.017761230469,device,EliGE,AK-47
462.731719970703,-437.593017578125,CT,-233.016784667969,-731.487426757812,device,EliGE,AK-47
172.149002075195,-867.075500488281,CT,-783.415222167969,-276.367309570312,gla1ve,Hiko,UMP-45
151.195526123047,-899.812927246094,CT,-775.297424316406,-261.723022460938,gla1ve,Hiko,UMP-45
-755.768615722656,113.279243469238,CT,-767.584716796875,-250.238967895508,dupreeh,Hiko,UMP-45
-754.805053710938,106.630706787109,CT,-766.780822753906,-249.110214233398,dupreeh,Hiko,UMP-45
-926.87548828125,-380.031494140625,CT,-1180.76672363281,-756.126586914062,dupreeh,jdm64,UMP-45
-926.56640625,-380.234954833984,CT,-1181.23193359375,-751.078369140625,dupreeh,jdm64,UMP-45
-446.401062011719,-375.557800292969,CT,-1179.134765625,-724.668212890625,gla1ve,jdm64,UMP-45
-926.054870605469,-380.782562255859,CT,-1149.84753417969,-766.788269042969,dupreeh,jdm64,UMP-45
-781.849731445312,-235.973419189453,CT,-452.706512451172,-2323.34350585938,device,jdm64,AK-47
-782.061401367188,-1032.77270507812,CT,-409.947570800781,-2240.74291992188,gla1ve,EliGE,UMP-45
-787.009033203125,-1045.24792480469,CT,-381.244476318359,-2190.39233398438,gla1ve,nitr0,UMP-45
-684.897338867188,-892.021118164062,CT,-497.219543457031,-2363.18603515625,Kjaerbye,EliGE,AK-47
-749.263793945312,-1115.53161621094,T,-721.293701171875,-1198.32690429688,device,gla1ve,AK-47
-535.754089355469,-1355.85766601562,CT,-856.679077148438,-2458.875,dupreeh,jdm64,UMP-45
-533.299865722656,-1354.24365234375,CT,-861.741638183594,-2457.42016601562,dupreeh,jdm64,UMP-45
-747.761047363281,-1491.54138183594,CT,-222.963592529297,-2387.72998046875,device,nitr0,AK-47
-783.105407714844,-2479.4951171875,CT,-1425.37573242188,-2211.80517578125,device,Hiko,AK-47
-783.105407714844,-2479.4951171875,CT,-1426.36157226562,-2214.30102539062,device,Hiko,AK-47
-859.563049316406,-2397.54028320312,CT,-1450.00183105469,-2302.84643554688,device,Hiko,AK-47
-859.199645996094,-2397.14233398438,CT,-1450.4755859375,-2303.43481445312,device,Hiko,AK-47
350.302093505859,-1553.54248046875,CT,-242.01220703125,-1646.8056640625,Xyp9x,Pimp,UMP-45
351.552581787109,-1547.83093261719,CT,-235.562805175781,-1648.70849609375,Xyp9x,Pimp,UMP-45
356.608612060547,-1569.57373046875,CT,-233.671615600586,-1626.30065917969,Xyp9x,Pimp,UMP-45
-246.750045776367,-1633.49169921875,CT,85.9072265625,-2154.49267578125,dupreeh,Pimp,AK-47
-261.100830078125,-1626.63525390625,CT,87.9991836547852,-2157.94018554688,dupreeh,Pimp,AK-47
-261.333038330078,-1625.8330078125,CT,87.8748779296875,-2160.08227539062,dupreeh,Pimp,AK-47
-261.333038330078,-1625.8330078125,CT,87.7341918945312,-2162.23950195312,dupreeh,Pimp,AK-47
47.1487045288086,-1715.63623046875,CT,-250.788101196289,-2169.30151367188,device,jdm64,AK-47
49.3249626159668,-2116.28979492188,CT,-286.549652099609,-2159.65991210938,Kjaerbye,jdm64,AK-47
87.5757217407227,-2121.07202148438,T,49.5893898010254,-2118.47265625,Xyp9x,Kjaerbye,AK-47
87.9882888793945,-2128.56323242188,CT,-287.90771484375,-2160.0205078125,Xyp9x,jdm64,AK-47
49.9944000244141,-2121.42626953125,CT,-287.933685302734,-2160.02734375,Kjaerbye,jdm64,AK-47
87.9369277954102,-2168.16235351562,CT,-691.800476074219,-2155.76928710938,Xyp9x,nitr0,AK-47
87.9161148071289,-2169.80590820312,CT,-697.199829101562,-2156.18212890625,Xyp9x,nitr0,AK-47
87.9426498413086,-2171.01342773438,CT,-697.699340820312,-2161.75512695312,Xyp9x,nitr0,AK-47
87.9265365600586,-2170.58666992188,CT,-697.831298828125,-2164.5908203125,Xyp9x,nitr0,AK-47
-939.212524414062,-1448.73132324219,CT,-1213.31311035156,-1243.5185546875,gla1ve,EliGE,UMP-45
-952.426818847656,-1445.49975585938,CT,-1208.51440429688,-1235.12927246094,gla1ve,EliGE,UMP-45
-1187.46166992188,-1106.79248046875,CT,-1478.40026855469,-815.162902832031,gla1ve,Hiko,UMP-45
-1193.32177734375,-1112.15222167969,CT,-1483.60180664062,-820.416076660156,gla1ve,Hiko,UMP-45
-1176.7841796875,-1122.0986328125,CT,-1483.57775878906,-853.22119140625,dupreeh,Hiko,AK-47
-1169.68029785156,-1103.04736328125,CT,-1481.25341796875,-851.260498046875,dupreeh,Hiko,AK-47
239.424591064453,-1493.19665527344,CT,-1050.27893066406,-2513.52563476562,Xyp9x,flamie,Glock-18
-587.396423339844,-1981.39123535156,CT,-768.216186523438,-1641.20471191406,dupreeh,GuardiaN,Glock-18
-401.55419921875,-1689.0302734375,CT,-767.501770019531,-1639.78857421875,device,GuardiaN,Glock-18
-792.5751953125,-2357.53491210938,CT,-1554.82751464844,-2202.19995117188,dupreeh,flamie,Glock-18
67.1049880981445,-1442.0546875,CT,-226.521911621094,-1758.86804199219,device,s1mple,P2000
27.2559986114502,-1432.57165527344,CT,-145.53742980957,-1813.46801757812,device,s1mple,P2000
-521.531860351562,-2185.2216796875,CT,-137.642944335938,-1821.08679199219,Xyp9x,s1mple,Glock-18
306.915496826172,-1481.87841796875,CT,-503.797729492188,-1966.59484863281,gla1ve,Edward,Glock-18
-536.568725585938,-2123.5810546875,CT,-121.185531616211,-1891.70812988281,Xyp9x,s1mple,Glock-18
0.876524448394775,-1426.73095703125,CT,-119.86939239502,-1894.14099121094,device,s1mple,P2000
-540.553894042969,-2116.8642578125,CT,-118.570426940918,-1896.51635742188,Xyp9x,s1mple,Glock-18
-1393.06274414062,-2288.03979492188,CT,-1576.35327148438,-1807.46960449219,dupreeh,seized,Glock-18
-1358.09716796875,-2415.63598632812,CT,-1604.61950683594,-1819.08752441406,Kjaerbye,seized,Glock-18
-455.815521240234,-2091.62573242188,CT,-597.56982421875,-1785.6103515625,Xyp9x,Edward,Glock-18
-944.011901855469,-380.004180908203,CT,-1144.3251953125,-789.87451171875,Kjaerbye,GuardiaN,AK-47
-944.011901855469,-380.004180908203,CT,-1139.48095703125,-778.691162109375,Kjaerbye,GuardiaN,AK-47
-944.011901855469,-380.004180908203,CT,-1132.58911132812,-767.507507324219,Kjaerbye,GuardiaN,AK-47
-934.122436523438,108.945831298828,CT,-1991.4541015625,343.916015625,device,s1mple,AK-47
-938.442321777344,109.701309204102,CT,-1989.51062011719,352.517700195312,device,s1mple,AK-47
-939.432373046875,110.604537963867,CT,-1987.80187988281,360.098083496094,device,s1mple,AK-47
-939.830688476562,108.921478271484,CT,-1987.11157226562,367.934143066406,device,s1mple,AK-47
-1213.18273925781,121.955833435059,CT,-1255.87451171875,456.594329833984,device,flamie,AK-47
-1738.52587890625,703.298645019531,CT,-2325.11450195312,74.8558120727539,Xyp9x,Edward,AK-47
-1738.50378417969,703.279357910156,CT,-2326.86840820312,66.214599609375,Xyp9x,Edward,AK-47
