attackerX,attackerY,victimSide,victimX,victimY
-543.907470703125,-222.639999389648,CT,-871.253173828125,287.690582275391
-490.411590576172,-274.092956542969,CT,-902.810241699219,277.806060791016
-559.155029296875,-190.609909057617,CT,-923.425170898438,267.012878417969
-473.821380615234,-239.29118347168,CT,-937.765991210938,259.504577636719
-561.834716796875,-188.307418823242,CT,-943.143798828125,256.68896484375
-561.834716796875,-188.307418823242,CT,-961.06982421875,247.303588867188
-462.734558105469,-278.685913085938,CT,-972.721740722656,241.203094482422
-711.324768066406,-44.3583488464355,CT,-1808.34228515625,-321.410278320312
-1818.06286621094,-308.094177246094,CT,-1851.11743164062,-596.943908691406
-2082.51782226562,435.652893066406,CT,-1816.56469726562,761.477600097656
-1886.34069824219,515.886901855469,CT,-1802.59423828125,809.4873046875
-1895.52197265625,518.488647460938,CT,-1819.14770507812,813.109802246094
-2121.73095703125,218.841857910156,CT,-1841.10229492188,818.228881835938
-984.073547363281,458.386901855469,CT,-467.159851074219,-167.851272583008
-968.926147460938,471.531524658203,CT,-480.195251464844,-178.675827026367
-2590.49462890625,803.814514160156,CT,-1974.81042480469,1037.98828125
-2054.65063476562,953.60302734375,CT,-1765.54675292969,1198.25939941406
-2080.00952148438,970.112365722656,CT,-1778.69152832031,1209.85632324219
-2314.4755859375,736.778015136719,CT,-1779.73449707031,1097.37780761719
-2314.4755859375,736.778015136719,CT,-1773.9775390625,1203.64013671875
-2096.53833007812,983.234252929688,CT,-1773.07019042969,1202.46350097656
-2075.59741210938,942.564147949219,CT,-1850.81030273438,1253.48449707031
-2068.88671875,947.322448730469,CT,-1830.88598632812,1237.22827148438
-2066.08129882812,948.338317871094,CT,-1825.93981933594,1233.22412109375
-2078.28173828125,961.605895996094,CT,-1808.38732910156,1215.37707519531
-1984.40625,953.594909667969,CT,-2194.96899414062,1141.36511230469
-1972.67028808594,951.965270996094,CT,-2204.02563476562,1130.49645996094
-1971.32006835938,953.235778808594,CT,-2207.5400390625,1126.22412109375
-1974.27648925781,949.361022949219,CT,-2206.66137695312,1127.38452148438
-1974.54650878906,944.879272460938,CT,-2204.28686523438,1130.435546875
-2620.62353515625,552.266479492188,CT,-1967.7314453125,875.684204101562
-2620.03955078125,551.019287109375,CT,-1972.13818359375,870.0654296875
-2621.40454101562,553.830627441406,CT,-1973.32214355469,869.11572265625
-2306.912109375,448.636077880859,CT,-2521.05053710938,1219.54553222656
-2300.83935546875,449.958557128906,CT,-2464.3359375,1223.56323242188
-958.434448242188,-65.3728332519531,CT,-865.750366210938,-347.148559570312
-863.26318359375,153.603286743164,CT,-1338.89147949219,331.428833007812
-587.990173339844,-175.974197387695,T,-898.868896484375,173.462631225586
-906.377624511719,173.281265258789,CT,-1331.65588378906,336.29931640625
-932.19970703125,164.952438354492,CT,-1335.48217773438,325.215698242188
-588.733215332031,-138.271621704102,T,-958.783996582031,170.879364013672
-959.208435058594,172.447906494141,CT,-1341.21838378906,308.421539306641
-605.456176757812,-128.185287475586,CT,-1280.07849121094,-51.5224990844727
-610.84814453125,-124.946891784668,T,-947.518920898438,169.598403930664
-616.359436035156,-123.644790649414,T,-680.077514648438,-121.093307495117
-941.581481933594,161.989334106445,CT,-1037.46374511719,100.328582763672
-950.579467773438,161.805740356445,CT,-1037.46374511719,100.328582763672
-697.236267089844,-133.262451171875,CT,-1280.5185546875,-36.5866088867188
-650.596740722656,-99.0063705444336,CT,-1282.19702148438,-46.4191360473633
-900.979064941406,-167.037963867188,CT,-1581.41723632812,-169.891159057617
-929.138610839844,-208.168350219727,CT,-1581.79064941406,-188.857070922852
-514.757690429688,-231.220657348633,CT,-608.041931152344,37.9837532043457
-539.486999511719,-311.802093505859,CT,-599.51708984375,22.9774284362793
-526.207641601562,-234.662231445312,CT,-599.756530761719,19.65797996521
-478.609527587891,-406.774566650391,CT,-770.881042480469,287.213928222656
-481.412841796875,-399.264587402344,CT,-770.881042480469,287.213928222656
-488.379272460938,-396.602172851562,CT,-770.881042480469,287.213928222656
-488.2626953125,-482.362030029297,CT,-770.881042480469,287.213928222656
-497.17626953125,-451.951263427734,CT,-805.944396972656,274.082305908203
-882.340698242188,-314.141479492188,CT,-1702.818359375,-104.646492004395
-888.082885742188,-332.68505859375,CT,-1754.73583984375,-35.5148735046387
-889.989929199219,-338.163452148438,CT,-1771.08203125,-34.0599632263184
-896.926391601562,-357.210968017578,CT,-1787.0712890625,-43.5310363769531
-1877.76306152344,-1772.38171386719,CT,-1748.00512695312,-955.592590332031
-1877.76306152344,-1772.38171386719,CT,-1763.02575683594,-952.744567871094
-1791.32360839844,-1777.671875,CT,-1714.16967773438,-970.169921875
-1791.32360839844,-1777.671875,CT,-1714.22155761719,-970.189697265625
-3013.34692382812,-2273.97314453125,CT,-2968.81469726562,-1656.84924316406
-2035.62292480469,-1966.13122558594,CT,-2935.14672851562,-1590.03344726562
-2347.60693359375,-1630.42248535156,CT,-3513.53344726562,-2403.5361328125
-2341.27807617188,-1640.44970703125,CT,-3522.10473632812,-2382.27734375
-2340.91357421875,-1641.03051757812,CT,-3523.994140625,-2379.19506835938
-491.562347412109,-218.330627441406,CT,-933.379028320312,175.792144775391
-490.113006591797,-216.772964477539,CT,-928.152709960938,182.933212280273
-450.825805664062,-247.452041625977,CT,-933.384765625,177.977447509766
-487.150909423828,-213.661407470703,CT,-935.661865234375,175.571350097656
-1079.9306640625,-130.750549316406,CT,-966.642028808594,459.147705078125
-1077.98547363281,-127.856163024902,CT,-966.027893066406,459.452178955078
-1074.90893554688,-127.65608215332,CT,-965.066162109375,459.938903808594
-1074.46374511719,-127.638648986816,CT,-963.567687988281,460.695129394531
-2613.880859375,-2744.03466796875,CT,-3712.67602539062,-1993.72705078125
-2613.10180664062,-2742.88818359375,CT,-3625.6796875,-2060.78173828125
-2613.10180664062,-2742.88818359375,CT,-3702.09545898438,-1978.06884765625
-3061.79150390625,-2247.61596679688,CT,-2767.64526367188,-2083.03491210938
-3026.9697265625,-960.72509765625,CT,-3342.96801757812,-645.80224609375
-3025.53002929688,-961.382141113281,T,-3055.46166992188,-927.721496582031
-3025.53002929688,-961.382141113281,CT,-3342.96801757812,-645.80224609375
-3025.53002929688,-961.382141113281,T,-3058.693359375,-920.075134277344
-1836.24670410156,-944.973876953125,CT,-1814.79748535156,-1368.80822753906
-1582.69653320312,-2320.00170898438,CT,-3064.37670898438,-1412.55505371094
-1582.69653320312,-2320.00170898438,CT,-2971.92114257812,-1603.04809570312
-3729.84765625,-508.892852783203,CT,-2816.63305664062,717.563354492188
-3733.2919921875,-506.335235595703,CT,-2815.41259765625,716.604797363281
-3732.77978515625,-506.720153808594,CT,-2813.12451171875,714.803100585938
-3734.09448242188,-505.712432861328,CT,-2802.4892578125,706.579467773438
-2419.60034179688,141.645935058594,CT,-2390.14477539062,835.818298339844
-2369.94506835938,-1763.40588378906,CT,-2777.09228515625,-1709.33605957031
-2370.47778320312,-1766.00756835938,CT,-2776.845703125,-1707.0224609375
-2633.41577148438,-1340.15466308594,CT,-2684.84765625,-1614.0537109375
-1953.50036621094,-2259.58325195312,CT,-3102.85302734375,-1902.7529296875
-2767.56909179688,-1934.45336914062,CT,-3035.880859375,-1959.60974121094
-2766.32104492188,-1947.62548828125,CT,-3036.58447265625,-1954.0361328125
-1959.71997070312,-2253.47265625,CT,-3075.2451171875,-1906.48364257812
-2492.84716796875,-2646.99975585938,CT,-3053.14965820312,-2298.97583007812
-2626.86767578125,-2768.17309570312,CT,-3041.7587890625,-2435.439453125
