attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1823.05480957031,-957.693725585938,T,-1759.63940429688,-1417.91943359375,Edward,dupreeh,Five-SeveN
-724.467041015625,-1627.20727539062,T,-489.512725830078,-353.571502685547,GuardiaN,device,Desert Eagle
-285.581817626953,-722.856079101562,T,-810.295227050781,-999.6865234375,flamie,dupreeh,Desert Eagle
-2281.31958007812,-2316.62890625,T,-2028.69213867188,-2595.21606445312,seized,gla1ve,USP-S
-2281.21655273438,-2314.96411132812,T,-2029.04565429688,-2591.9951171875,seized,gla1ve,USP-S
-2697.81616210938,-2298.427734375,T,-3133.642578125,-2315.04296875,Edward,device,USP-S
-2270.7353515625,-2447.21044921875,T,-3134.52221679688,-2298.01684570312,flamie,device,USP-S
-2114.10717773438,-2518.10083007812,T,-2097.42358398438,-2550.13208007812,s1mple,gla1ve,Knife
-2271.97583007812,-2454.23828125,T,-3135.240234375,-2277.23388671875,flamie,device,USP-S
-2272.46850585938,-2456.58618164062,T,-3133.05688476562,-2248.57177734375,flamie,device,USP-S
-1929.14099121094,-1038.65576171875,T,-1690.03820800781,-1085.08874511719,Edward,dupreeh,M4A1
-1925.73364257812,-1012.134765625,T,-1699.37329101562,-1109.98095703125,Edward,dupreeh,M4A1
-1925.99987792969,-1012.88342285156,T,-1701.02001953125,-1114.07629394531,Edward,dupreeh,M4A1
-1925.74182128906,-1012.35559082031,T,-1701.94799804688,-1116.21765136719,Edward,dupreeh,M4A1
-2646.88452148438,-1516.90246582031,T,-2399.044921875,-2099.21801757812,s1mple,gla1ve,M4A1
-2645.5068359375,-1516.25280761719,T,-2412.19921875,-2101.65258789062,s1mple,gla1ve,M4A1
-2643.0771484375,-1515.03601074219,T,-2435.37182617188,-2103.73022460938,s1mple,gla1ve,M4A1
-2870.0029296875,668.723510742188,T,-3675.5078125,-418.388397216797,flamie,Kjaerbye,M4A4
-2869.72119140625,668.503173828125,T,-3679.80883789062,-413.125335693359,flamie,Kjaerbye,M4A4
-2869.1953125,668.111694335938,T,-3683.28759765625,-409.979217529297,flamie,Kjaerbye,M4A4
-1693.22497558594,-804.414428710938,T,-1836.29907226562,-1521.03125,seized,Xyp9x,M4A1
-1694.412109375,-809.164184570312,T,-1836.29907226562,-1521.03125,seized,Xyp9x,M4A1
-1217.15942382812,-32.6704444885254,T,-865.748718261719,-590.952880859375,s1mple,dupreeh,UMP-45
-1217.15942382812,-32.6704444885254,T,-864.543884277344,-590.243103027344,s1mple,dupreeh,UMP-45
-1217.15942382812,-32.6704444885254,T,-862.869873046875,-589.197814941406,s1mple,dupreeh,UMP-45
-1142.72387695312,325.991302490234,CT,-1079.37255859375,-282.210998535156,seized,Edward,p250
-1145.50134277344,256.03125,T,-928.154907226562,-639.943176269531,seized,dupreeh,p250
-1145.50134277344,256.03125,T,-945.859802246094,-638.844604492188,seized,dupreeh,p250
-1917.0791015625,1311.54406738281,T,-2085.658203125,542.506225585938,flamie,gla1ve,Desert Eagle
-1935.71520996094,1043.04223632812,T,-2647.44775390625,721.990539550781,flamie,device,Desert Eagle
-2447.7802734375,-660.609008789062,T,-2580.19604492188,-884.779663085938,s1mple,gla1ve,M4A1
-2443.45288085938,-661.662109375,T,-2574.91479492188,-880.150207519531,s1mple,gla1ve,M4A1
-2558.85327148438,-522.543823242188,T,-2230.30517578125,-591.485229492188,s1mple,Kjaerbye,M4A1
-2558.23999023438,-518.666625976562,T,-2231.84936523438,-578.571655273438,s1mple,Kjaerbye,M4A1
-2476.4375,-532.689697265625,T,-2550.43188476562,-974.1708984375,s1mple,Xyp9x,M4A1
-2104.091796875,396.080780029297,T,-2410.32006835938,557.192626953125,Edward,dupreeh,M4A1
-2104.091796875,396.080780029297,T,-2409.38012695312,572.305603027344,Edward,dupreeh,M4A1
-2104.091796875,396.080780029297,T,-2407.4248046875,577.188781738281,Edward,dupreeh,M4A1
-2104.091796875,396.080780029297,T,-2407.67407226562,582.509765625,Edward,dupreeh,M4A1
-2104.091796875,396.080780029297,T,-2406.38549804688,587.188354492188,Edward,dupreeh,M4A1
-2121.09790039062,429.163665771484,T,-3028.37084960938,627.239624023438,Edward,device,M4A1
-2121.09790039062,429.163665771484,T,-3025.796875,620.69287109375,Edward,device,M4A1
-2172.66796875,926.843811035156,T,-3021.47534179688,609.793823242188,flamie,device,M4A4
-2180.34008789062,927.342956542969,T,-3020.06909179688,606.291564941406,flamie,device,M4A4
-2184.03369140625,927.207458496094,T,-3018.68017578125,602.847351074219,flamie,device,M4A4
-1956.58093261719,1011.71484375,CT,-2184.509765625,927.18994140625,seized,flamie,M4A1
-2191.4345703125,503.306793212891,T,-2774.61938476562,279.712585449219,Edward,Xyp9x,M4A1
-1283.39831542969,-698.985900878906,T,-1207.39538574219,-980.96923828125,GuardiaN,dupreeh,AWP
-2444.76440429688,-74.9406661987305,T,-2770.43334960938,794.800598144531,s1mple,device,M4A1
-2447.26708984375,-75.8588409423828,T,-2769.51416015625,795.146728515625,s1mple,device,M4A1
-1882.80810546875,-356.962036132812,T,-1080.78198242188,461.3095703125,seized,Xyp9x,AK-47
-930.503601074219,-485.381591796875,T,-1559.94018554688,-885.703125,seized,Kjaerbye,USP-S
-937.011108398438,-483.768981933594,T,-1552.27404785156,-876.775024414062,seized,Kjaerbye,USP-S
-511.393737792969,-2145.72192382812,T,-614.52197265625,-1525.13537597656,s1mple,Xyp9x,USP-S
-515.2529296875,-2146.31665039062,T,-592.749145507812,-1548.64685058594,s1mple,Xyp9x,USP-S
-541.768432617188,-2149.43969726562,T,-612.264831542969,-1573.35498046875,s1mple,Xyp9x,USP-S
-551.281860351562,-2152.78076171875,T,-640.8408203125,-1577.90600585938,s1mple,Xyp9x,USP-S
-994.529113769531,-319.743103027344,T,-947.799377441406,-607.591491699219,Edward,dupreeh,p250
-988.659057617188,-344.620239257812,T,-856.000366210938,-589.46435546875,Edward,dupreeh,p250
-991.433410644531,-347.714782714844,T,-862.078186035156,-587.132690429688,Edward,dupreeh,p250
-1016.84948730469,-409.044311523438,T,-856.211059570312,-596.645935058594,Edward,dupreeh,p250
-1025.23815917969,-424.998352050781,T,-864.719421386719,-611.930541992188,Edward,dupreeh,p250
-1190.22351074219,1.73733103275299,T,-874.588500976562,-617.397583007812,GuardiaN,device,P2000
-1220.25427246094,3.69306373596191,T,-878.885375976562,-603.479553222656,GuardiaN,device,P2000
-1025.810546875,-297.825042724609,T,-882.588012695312,-607.661071777344,Edward,device,p250
-1237.46923828125,52.7646560668945,CT,-966.221069335938,-309.849761962891,GuardiaN,Edward,P2000
-91.390869140625,-1859.419921875,T,-817.91015625,-2186.5048828125,GuardiaN,gla1ve,AWP
-2410.34130859375,-514.863159179688,T,-2524.28564453125,-791.069213867188,s1mple,Kjaerbye,M4A1
