attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2666.88525390625,-35.9953689575195,T,-2696.6943359375,103.944313049316,Happy,flamie,USP-S
-2690.49658203125,-35.9979400634766,T,-2699.9609375,114.549331665039,Happy,flamie,USP-S
-2697.92065429688,-34.1808967590332,T,-2667.10375976562,91.2969360351562,Happy,flamie,USP-S
-772.900695800781,-46.388801574707,T,-849.482116699219,-225.069229125977,apEX,flamie,USP-S
-793.783081054688,-118.124565124512,T,-856.2109375,-309.930023193359,apEX,GuardiaN,USP-S
-807.159606933594,-159.012466430664,T,-840.734497070312,-325.109802246094,apEX,GuardiaN,USP-S
-680.595153808594,-943.977661132812,T,-479.689147949219,-858.31787109375,SIXER,s1mple,USP-S
-869.779479980469,-960.313415527344,T,-207.5732421875,-691.884704589844,SIXER,seized,USP-S
-382.306671142578,-690.351318359375,T,-317.134002685547,-543.289978027344,SIXER,seized,USP-S
-494.368011474609,-1077.23864746094,T,203.744338989258,-645.135681152344,NBK-,Edward,USP-S
-981.626037597656,-996.407165527344,T,-1069.6396484375,-705.806396484375,kennyS,seized,FAMAS
-980.922607421875,-996.182739257812,T,-1065.24169921875,-704.580932617188,kennyS,seized,FAMAS
-2934.62646484375,-446.556640625,T,-2923.74609375,-513.864196777344,Happy,GuardiaN,UMP-45
-2633.90698242188,-603.188781738281,T,-2297.59545898438,-2022.37316894531,Happy,seized,UMP-45
-2653.46484375,-602.108764648438,T,-2621.01782226562,-1685.42956542969,Happy,s1mple,UMP-45
-2845.81616210938,-621.454650878906,T,-2627.2236328125,-1685.37805175781,Happy,s1mple,UMP-45
-2952.35717773438,-1063.07348632812,T,-2267.34594726562,-1489.07958984375,Happy,flamie,UMP-45
-2955.30053710938,-1067.79382324219,T,-2255.44848632812,-1492.62487792969,Happy,flamie,UMP-45
-1896.1259765625,-1376.24560546875,T,-1782.02429199219,-1251.90417480469,SIXER,Edward,FAMAS
-1900.06311035156,-1373.36645507812,T,-1781.82458496094,-1259.919921875,SIXER,Edward,FAMAS
-2026.47351074219,-1090.91723632812,T,-2240.7607421875,-1256.20385742188,SIXER,flamie,FAMAS
-2020.53405761719,-1099.08215332031,T,-2241.63720703125,-1255.15905761719,SIXER,flamie,FAMAS
-2812.61450195312,-653.502380371094,T,-2239.98681640625,-1221.30444335938,Happy,flamie,UMP-45
-917.968566894531,393.607421875,T,-596.178466796875,143.100769042969,apEX,seized,Five-SeveN
691.966979980469,-496.196716308594,T,536.154418945312,-90.5697631835938,SIXER,flamie,Desert Eagle
556.616394042969,-1424.65539550781,T,715.97705078125,-403.547149658203,kennyS,GuardiaN,Desert Eagle
551.194396972656,-1423.73413085938,T,715.651611328125,-435.756652832031,kennyS,Edward,Desert Eagle
-220.332000732422,-919.130737304688,T,724.030822753906,-404.037384033203,NBK-,GuardiaN,p250
288.459747314453,-1229.01147460938,T,715.126159667969,-433.440216064453,apEX,Edward,Five-SeveN
322.705505371094,-1203.62329101562,T,350.725128173828,-167.884246826172,apEX,seized,Five-SeveN
158.117309570312,-380.301696777344,T,-202.39306640625,-457.518920898438,NBK-,s1mple,p250
161.714385986328,-395.673522949219,T,-199.951232910156,-467.085662841797,NBK-,s1mple,p250
165.519180297852,-411.788299560547,T,-197.510482788086,-478.821563720703,NBK-,s1mple,p250
164.47102355957,-405.563995361328,T,-195.424743652344,-490.550201416016,NBK-,s1mple,p250
165.455352783203,-409.996124267578,T,-193.838470458984,-494.746551513672,NBK-,s1mple,p250
-3278.46215820312,243.336715698242,T,-2963.90185546875,380.973968505859,Happy,seized,UMP-45
-3281.57153320312,251.005477905273,T,-2983.11010742188,421.484008789062,Happy,seized,UMP-45
-3282.77734375,253.069747924805,T,-2974.6953125,406.336303710938,Happy,seized,UMP-45
-3283.54760742188,254.619079589844,T,-2971.58618164062,400.510314941406,Happy,seized,UMP-45
-3251.05151367188,196.73957824707,T,-2718.7060546875,611.812438964844,Happy,flamie,UMP-45
-3251.35473632812,197.150741577148,T,-2711.56103515625,602.335083007812,Happy,flamie,UMP-45
-3247.32153320312,-591.505187988281,T,-3173.36962890625,471.559509277344,apEX,s1mple,M4A4
