attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2401.27465820312,293.476379394531,CT,-2164.07373046875,260.221496582031,Snax,RUSH,Glock-18
-2511.9482421875,352.926239013672,CT,-2136.19018554688,247.273193359375,NEO,RUSH,Glock-18
-2407.4951171875,410.355316162109,CT,-2130.98657226562,247.580780029297,TaZ,RUSH,Glock-18
-2384.71508789062,369.271728515625,CT,-2119.57983398438,265.592437744141,TaZ,RUSH,Glock-18
-2551.28198242188,308.879425048828,CT,-2119.65600585938,264.928192138672,NEO,RUSH,Glock-18
-2370.44091796875,367.649383544922,CT,-2119.58422851562,265.612945556641,TaZ,RUSH,Glock-18
-2345.69653320312,367.24267578125,CT,-2120.14721679688,260.706298828125,TaZ,RUSH,Glock-18
-2327.3642578125,360.529815673828,CT,-2120.14721679688,260.706298828125,TaZ,RUSH,Glock-18
-2564.28393554688,301.954742431641,CT,-2120.47021484375,256.109619140625,NEO,RUSH,Glock-18
-2229.67846679688,319.257659912109,CT,-2690.78955078125,57.2772216796875,TaZ,NAF,Glock-18
-2446.6796875,165.556365966797,CT,-2867.30688476562,-2.03920674324036,NEO,mixwell,Glock-18
-2458.38623046875,180.850936889648,CT,-2866.92602539062,-3.84327530860901,NEO,mixwell,Glock-18
-958.765075683594,365.483154296875,CT,-526.901428222656,197.807434082031,byali,stanislaw,p250
-952.957763671875,380.175598144531,CT,-533.3984375,188.639312744141,byali,stanislaw,p250
-956.758972167969,374.959320068359,CT,-535.307983398438,187.058563232422,byali,stanislaw,p250
-969.717163085938,346.451507568359,CT,-542.458557128906,172.026428222656,byali,stanislaw,p250
-972.080993652344,330.480712890625,CT,-535.860290527344,185.042190551758,byali,stanislaw,p250
-1728.3720703125,-1035.91186523438,CT,-1720.49694824219,-870.300659179688,pashaBiceps,mixwell,Glock-18
-706.654479980469,-920.600891113281,CT,632.971496582031,-1271.94787597656,pashaBiceps,tarik,USP-S
-2062.61499023438,149.557037353516,CT,-2544.4501953125,-876.005493164062,pashaBiceps,mixwell,AK-47
-2062.3544921875,149.44123840332,CT,-2557.0908203125,-870.158020019531,pashaBiceps,mixwell,AK-47
-867.828918457031,-293.966522216797,CT,-881.697082519531,-646.508178710938,byali,RUSH,MAC-10
-867.991027832031,-289.270843505859,CT,-679.5888671875,-670.561401367188,byali,NAF,MAC-10
-772.296508789062,-281.05322265625,CT,-1041.01000976562,-566.156860351562,Snax,RUSH,Smoke Grenade
-773.369934082031,-279.991241455078,CT,-1041.01000976562,-566.156860351562,Snax,RUSH,Smoke Grenade
-778.60986328125,-554.222229003906,CT,-1059.30126953125,-577.601623535156,byali,RUSH,MAC-10
-778.610961914062,-552.166381835938,CT,-1064.23681640625,-576.779174804688,byali,RUSH,MAC-10
-794.362548828125,-355.683776855469,CT,-1073.39721679688,-569.363098144531,Snax,RUSH,UMP-45
