attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-287.282745361328,1142.24328613281,T,96.4494247436523,1642.19689941406,device,chrisJ,CZ75 Auto
-59.0286979675293,1201.51599121094,T,-18.1835880279541,1773.150390625,Kjaerbye,suNny,CZ75 Auto
-59.4352531433105,1201.53942871094,T,-19.9796276092529,1773.90441894531,Kjaerbye,suNny,CZ75 Auto
-251.642639160156,1119.75341796875,T,-20.1118488311768,1773.95959472656,device,suNny,CZ75 Auto
-66.879280090332,1201.94763183594,T,-20.1324100494385,1773.97387695312,Kjaerbye,suNny,CZ75 Auto
-113.442588806152,1166.50634765625,T,50.9664115905762,1658.34399414062,gla1ve,chrisJ,CZ75 Auto
-101.556442260742,1008.94696044922,T,-414.977111816406,2180.87646484375,gla1ve,STYKO,CZ75 Auto
-60.2050857543945,948.39599609375,T,-412.556030273438,2181.51928710938,Kjaerbye,STYKO,CZ75 Auto
-81.4005355834961,619.2109375,T,-41.3826026916504,1323.16589355469,device,oskar,CZ75 Auto
756.443115234375,1145.87561035156,T,462.667907714844,1750.86193847656,dupreeh,ropz,CZ75 Auto
758.848449707031,1155.84057617188,T,463.000549316406,1748.56970214844,dupreeh,ropz,CZ75 Auto
751.266296386719,1156.8828125,T,463.138519287109,1748.28051757812,dupreeh,ropz,CZ75 Auto
716.602294921875,1145.35473632812,T,466.594757080078,1751.79541015625,dupreeh,ropz,CZ75 Auto
-116.926734924316,918.535400390625,T,35.6500015258789,1710.19067382812,Kjaerbye,STYKO,CZ75 Auto
-252.998245239258,961.09033203125,T,218.342224121094,1650.80261230469,Kjaerbye,STYKO,CZ75 Auto
830.674499511719,537.452941894531,T,1774.25317382812,513.116088867188,dupreeh,ropz,USP-S
830.279724121094,523.002746582031,T,1774.28295898438,515.075439453125,dupreeh,ropz,USP-S
805.581848144531,544.945129394531,T,1774.27990722656,510.421203613281,device,ropz,USP-S
-305.371032714844,876.478149414062,T,-38.2123222351074,1298.28125,gla1ve,oskar,USP-S
