attackerX,attackerY,victimSide,victimX,victimY
-1061.19836425781,-639.385314941406,CT,-996.857055664062,160.181564331055
-1062.69860839844,-639.284118652344,CT,-1001.13952636719,156.326736450195
-1062.654296875,-639.287780761719,CT,-1000.73156738281,156.001556396484
-1061.57019042969,-639.3603515625,CT,-1005.09704589844,156.395950317383
-1095.71801757812,-563.317260742188,CT,-1843.76708984375,-950.069763183594
-1091.10791015625,-572.496643066406,CT,-1848.07202148438,-954.853454589844
-1083.78576660156,-586.908020019531,CT,-1847.56127929688,-956.822387695312
-552.426086425781,-231.108856201172,CT,-901.704895019531,433.809112548828
-1847.07458496094,-2436.18627929688,CT,-2778.33129882812,-1475.14978027344
-3100.63110351562,-1823.48962402344,CT,-2469.62890625,-762.129943847656
-3409.86010742188,-894.416931152344,CT,-2719.94970703125,-906.719787597656
-3409.86499023438,-931.625366210938,CT,-2719.921875,-907.335815429688
-3447.41259765625,-852.007080078125,CT,-2722.60864257812,-907.753662109375
-3447.51147460938,-853.142150878906,CT,-2727.13598632812,-903.804016113281
-3447.69067382812,-855.4091796875,CT,-2729.5400390625,-907.122131347656
-3122.21142578125,-1831.880859375,CT,-2383.91284179688,-1205.98022460938
-503.609069824219,-326.369323730469,CT,-958.689208984375,487.507446289062
-501.926177978516,-325.432708740234,CT,-956.012512207031,489.065704345703
-1004.40087890625,-336.78466796875,CT,-1436.88366699219,-39.1251449584961
-1003.95452880859,-336.137542724609,CT,-1426.89086914062,-35.573184967041
-1006.22283935547,-339.376007080078,CT,-1416.89807128906,-32.0212249755859
-653.444213867188,-106.722709655762,CT,-1322.58544921875,-166.498168945312
-653.444213867188,-106.722709655762,CT,-1315.79089355469,-167.536590576172
-653.444213867188,-106.722709655762,CT,-1310.8212890625,-170.331848144531
-653.444213867188,-106.722709655762,CT,-1307.98010253906,-174.585754394531
-820.594116210938,-0.934051394462585,CT,-1365.34387207031,-251.061981201172
-820.417358398438,-2.41299867630005,CT,-1365.57397460938,-250.867660522461
-1739.15075683594,-1158.77221679688,CT,-2053.67602539062,-841.799743652344
-1750.92724609375,-2389.0947265625,CT,-2917.49243164062,-1577.02099609375
-1746.10241699219,-2382.01171875,CT,-2922.45458984375,-1582.35278320312
-1463.35913085938,-528.913330078125,CT,-2034.45947265625,-1308.28015136719
-1462.75952148438,-529.178283691406,CT,-2032.75329589844,-1306.55322265625
-1462.75952148438,-529.178283691406,CT,-2031.50122070312,-1304.80627441406
-1462.75952148438,-529.178283691406,CT,-2029.78271484375,-1302.31823730469
-3094.02783203125,-1710.97998046875,CT,-2467.80004882812,-693.569274902344
-3094.02783203125,-1710.97998046875,CT,-2444.24731445312,-643.964294433594
-3094.02783203125,-1710.97998046875,CT,-2383.6865234375,-579.557983398438
-3107.12646484375,-1702.70751953125,CT,-2376.82006835938,-583.259704589844
-1618.39880371094,-386.626861572266,CT,-1858.19848632812,-1784.59594726562
-1615.12231445312,-386.764068603516,CT,-1885.91967773438,-1779.67956542969
-1279.59790039062,-761.2861328125,CT,-1158.24145507812,-986.265625
-1280.22204589844,-762.658325195312,CT,-1158.43273925781,-986.136047363281
-1279.51013183594,-762.270080566406,CT,-1158.43273925781,-986.136047363281
-1278.45007324219,-761.68798828125,CT,-1157.67858886719,-985.684326171875
-2551.95092773438,-261.479675292969,CT,-2639.90600585938,-33.8480186462402
-2144.64599609375,-2437.14501953125,CT,-3055.34741210938,-2291.46337890625
-2144.64599609375,-2437.14501953125,CT,-3056.3603515625,-2298.009765625
-2144.64599609375,-2437.14501953125,CT,-3055.91455078125,-2303.43701171875
-2144.64599609375,-2437.14501953125,CT,-3056.46606445312,-2308.755859375
-2145.0830078125,-2439.77124023438,CT,-3093.693359375,-2299.1640625
-2143.90991210938,-2432.47485351562,CT,-3092.7001953125,-2292.634765625
-2142.79248046875,-2425.34521484375,CT,-3092.4716796875,-2291.1005859375
-2142.21875,-2421.40576171875,CT,-3092.55859375,-2291.63916015625
-2365.48046875,-2722.39331054688,CT,-3126.31176757812,-2202.40502929688
-2369.6259765625,-2723.71118164062,CT,-3127.57641601562,-2204.6279296875
-2370.87817382812,-2724.89404296875,CT,-3127.6328125,-2204.75024414062
-2371.7294921875,-2726.10668945312,CT,-3126.81640625,-2203.60375976562
-2396.61181640625,127.911972045898,CT,-2751.96875,-191.757385253906
-2395.90893554688,128.59294128418,CT,-2751.96875,-191.746490478516
-698.146179199219,169.46223449707,CT,-1081.75280761719,495.448150634766
-698.381530761719,169.458877563477,CT,-1081.71276855469,495.493194580078
-1692.62780761719,-1111.08898925781,CT,-1912.97570800781,-1049.96813964844
-1744.45886230469,-1176.19189453125,CT,-1901.85095214844,-1092.59265136719
-1754.67456054688,-1216.40356445312,CT,-1910.70458984375,-1049.76184082031
-1645.05053710938,-434.143615722656,CT,-1046.15551757812,-633.391906738281
-1768.12744140625,-1257.93029785156,CT,-1892.90002441406,-1011.58154296875
-1785.20043945312,-1297.73193359375,CT,-1863.38757324219,-974.654602050781
-1784.86694335938,-1314.17614746094,CT,-1849.35278320312,-957.083251953125
-1776.5283203125,-1325.43090820312,CT,-1844.326171875,-950.859680175781
-1290.6806640625,-712.291931152344,CT,-1040.91748046875,-529.967224121094
-1291.25817871094,-711.435668945312,CT,-1041.23168945312,-537.978881835938
-1290.70922851562,-712.182922363281,CT,-1041.66442871094,-543.1796875
-400.698059082031,-217.996597290039,CT,-1401.30224609375,535.642944335938
-396.436492919922,-190.098861694336,CT,-1283.58862304688,7.18069076538086
-344.817535400391,-15.0114459991455,CT,-1144.83154296875,274.008544921875
-1325.81713867188,-757.532043457031,CT,-1197.07922363281,-569.150329589844
-1325.64074707031,-753.463745117188,CT,-1204.72351074219,-566.836242675781
-1324.25024414062,-753.428405761719,CT,-1210.4111328125,-563.988403320312
-1321.66125488281,-754.995544433594,CT,-1217.25695800781,-560.188110351562
-1793.83959960938,-1447.32800292969,CT,-1872.00146484375,-1157.51318359375
-1833.53894042969,-1911.95642089844,CT,-1810.17895507812,-1054.83337402344
-1744.84582519531,-1399.94262695312,CT,-1833.29797363281,-935.2841796875
-665.368957519531,-86.8083801269531,CT,-1921.55334472656,-332.695953369141
-1711.53625488281,-943.769470214844,CT,-1780.50732421875,-104.474945068359
-1711.09619140625,-943.325805664062,CT,-1782.3212890625,-110.59130859375
-3434.04370117188,-2394.74536132812,CT,-3470.0517578125,-1040.20092773438
-1710.28735351562,-2404.39624023438,CT,-2997.27587890625,-1686.67041015625
-1710.28735351562,-2404.39624023438,CT,-2708.85009765625,-1440.37097167969
-2161.98779296875,-2435.8232421875,CT,-3506.28002929688,-2226.53686523438
-1875.41845703125,-2403.83569335938,CT,-2809.22241210938,-1574.01123046875
-2763.02587890625,-2385.99047851562,CT,-3442.89331054688,-2123.50732421875
