attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-661.440673828125,-833.188293457031,CT,-610.242065429688,-1341.265625,waterfaLLZ,Edward,AK-47
-678.692077636719,-851.452941894531,CT,-598.914245605469,-1340.15368652344,waterfaLLZ,Edward,AK-47
-680.662536621094,-854.085693359375,CT,-600.101623535156,-1340.34265136719,waterfaLLZ,Edward,AK-47
-683.776672363281,-855.196594238281,CT,-600.101623535156,-1340.34265136719,waterfaLLZ,Edward,AK-47
-687.2021484375,-855.951843261719,CT,-600.101623535156,-1340.34265136719,waterfaLLZ,Edward,AK-47
91.1020202636719,-2230.8564453125,CT,-1224.4208984375,-1231.76440429688,balblna,s1mple,Glock-18
-636.550903320312,-1655.83728027344,CT,-1218.00561523438,-1222.69738769531,Kvik,s1mple,Glock-18
-1188.01538085938,-1416.857421875,CT,-1173.72583007812,-740.934509277344,Kvik,s1mple,Glock-18
-1199.82067871094,-1416.64343261719,CT,-1181.32360839844,-739.963256835938,Kvik,s1mple,Glock-18
-1252.64990234375,-1413.76647949219,CT,-1149.67236328125,-367.828918457031,Kvik,Edward,Glock-18
-1194.14196777344,-1310.99194335938,CT,-1199.99987792969,-204.626525878906,jmqa,Edward,Glock-18
-1188.56213378906,-1417.65380859375,CT,-1151.08337402344,-180.772354125977,Kvik,Edward,Glock-18
65.4814682006836,-2128.37377929688,CT,-883.953674316406,-2285.08984375,balblna,flamie,Glock-18
69.9266052246094,-2110.65234375,CT,-1033.55383300781,-2337.6845703125,balblna,flamie,Glock-18
-1137.05859375,-1441.64636230469,CT,-1253.29357910156,-1073.8056640625,Kvik,Zeus,Glock-18
-1151.22448730469,-1432.33862304688,CT,-1254.63586425781,-1026.98559570312,Kvik,electronic,Glock-18
-701.994873046875,-885.71337890625,CT,-609.978759765625,-1362.99108886719,Kvik,flamie,USP-S
396.785400390625,-303.00732421875,CT,-1151.44555664062,-616.295043945312,Kvik,Edward,AK-47
407.383483886719,-360.810241699219,CT,-1154.97253417969,-597.598571777344,Kvik,Edward,AK-47
350.695343017578,-262.612396240234,CT,-1146.50329589844,-736.997436523438,balblna,electronic,MAC-10
230.289581298828,-1527.70947265625,CT,-1000.87432861328,-2502.23803710938,Boombl4,s1mple,UMP-45
-69.524658203125,-1610.89855957031,CT,-754.65380859375,-2099.93774414062,Boombl4,s1mple,UMP-45
-82.688117980957,-1610.3037109375,CT,-753.453369140625,-2101.62670898438,Boombl4,s1mple,UMP-45
-91.3769760131836,-1607.775390625,CT,-750.480102539062,-2105.83764648438,Boombl4,s1mple,UMP-45
-97.4681167602539,-1607.40185546875,CT,-747.497802734375,-2110.06640625,Boombl4,s1mple,UMP-45
-710.910278320312,-2219.30541992188,CT,-1067.67700195312,-2541.78344726562,Boombl4,electronic,UMP-45
-713.188537597656,-2216.861328125,CT,-1068.05493164062,-2541.33325195312,Boombl4,electronic,UMP-45
-714.531005859375,-2215.42504882812,CT,-1068.30322265625,-2541.03173828125,Boombl4,electronic,UMP-45
426.200256347656,-259.134155273438,CT,-1131.40783691406,-698.896179199219,Kvik,s1mple,SSG 08
-764.451599121094,-1044.69934082031,CT,-498.868560791016,-1466.42138671875,jmqa,flamie,p250
-754.250732421875,-1193.75512695312,CT,-497.840850830078,-1416.86828613281,jmqa,flamie,p250
-755.004333496094,-1198.32568359375,CT,-496.477630615234,-1421.80834960938,jmqa,flamie,p250
-158.100769042969,-901.640502929688,CT,-843.111450195312,-360.001159667969,balblna,Edward,SSG 08
25.5897560119629,-1463.63391113281,CT,-158.279205322266,-2125.35961914062,Boombl4,electronic,Desert Eagle
50.4877815246582,-1473.73022460938,CT,-209.040313720703,-2143.90258789062,Boombl4,electronic,Desert Eagle
47.6561431884766,-2222.35327148438,CT,-298.664703369141,-1504.01525878906,Boombl4,flamie,Glock-18
-159.939758300781,-1541.7568359375,CT,-372.259948730469,-1640.75378417969,jmqa,flamie,Glock-18
-223.314208984375,-1540.16845703125,CT,-374.219116210938,-1628.50305175781,jmqa,flamie,Glock-18
-35.061164855957,-1514.77502441406,CT,-662.268493652344,-2273.35522460938,Kvik,electronic,Glock-18
15.806357383728,-1472.57556152344,T,-38.301628112793,-1512.25183105469,waterfaLLZ,Kvik,Glock-18
-345.283599853516,-1528.03125,CT,-375.987731933594,-1624.32006835938,jmqa,flamie,Glock-18
492.481414794922,-463.211395263672,CT,-888.334350585938,-655.138549804688,waterfaLLZ,flamie,AK-47
492.877014160156,-466.213745117188,CT,-888.851196289062,-651.201782226562,waterfaLLZ,flamie,AK-47
69.6515808105469,-433.163452148438,CT,-648.591552734375,-825.599243164062,waterfaLLZ,s1mple,AK-47
69.3499221801758,-432.559356689453,CT,-646.0224609375,-830.85546875,waterfaLLZ,s1mple,AK-47
69.4468154907227,-432.741058349609,CT,-645.002319335938,-835.464416503906,waterfaLLZ,s1mple,AK-47
-1159.18615722656,-765.225891113281,CT,-1254.89282226562,-1068.60437011719,balblna,electronic,AK-47
-702.160583496094,502.43310546875,CT,-1350.83520507812,695.789001464844,Boombl4,Zeus,AK-47
-702.140075683594,502.502288818359,CT,-1366.45202636719,680.765686035156,Boombl4,Zeus,AK-47
-668.55126953125,545.561950683594,CT,-1419.5966796875,690.953430175781,Boombl4,Zeus,AK-47
-175.675048828125,-1645.46911621094,CT,-777.336975097656,-2081.3349609375,balblna,flamie,CZ75 Auto
-177.80256652832,-1650.19213867188,CT,-777.336975097656,-2081.3349609375,balblna,flamie,CZ75 Auto
-108.402572631836,-1561.99060058594,CT,-786.331726074219,-1859.85119628906,waterfaLLZ,electronic,Glock-18
-106.098526000977,-1509.28234863281,CT,-779.146362304688,-1923.11767578125,waterfaLLZ,electronic,Glock-18
-392.527862548828,-1668.43505859375,CT,-122.969329833984,-2190.083984375,jmqa,flamie,Desert Eagle
67.1531753540039,-330.762145996094,CT,-844.988708496094,-327.6591796875,balblna,s1mple,AK-47
-1365.36486816406,786.779602050781,CT,-2144.78247070312,766.684875488281,waterfaLLZ,Zeus,AWP
-1562.72241210938,818.468078613281,CT,-2052.07641601562,-563.566040039062,waterfaLLZ,Edward,AWP
-2191.87524414062,644.516296386719,CT,-1584.75280761719,603.852722167969,jmqa,Zeus,AK-47
-2400.22485351562,442.865417480469,CT,-2354.66870117188,-344.148651123047,jmqa,electronic,AK-47
-2401.07690429688,442.819030761719,CT,-2354.42041015625,-342.008941650391,jmqa,electronic,AK-47
-2295.68920898438,496.187561035156,CT,-2354.38549804688,-342.118408203125,balblna,electronic,AK-47
-2295.5966796875,496.198638916016,CT,-2350.11743164062,-346.243438720703,balblna,electronic,AK-47
-2357.88671875,169.399673461914,CT,-2323.33276367188,-583.703125,balblna,flamie,AK-47
-2358.11694335938,169.399108886719,CT,-2323.02856445312,-584.57080078125,balblna,flamie,AK-47
-811.465148925781,-43.6744613647461,CT,-995.886108398438,-154.880264282227,waterfaLLZ,Edward,AWP
-1899.12243652344,733.8505859375,CT,-1996.02954101562,849.942626953125,Boombl4,Zeus,CZ75 Auto
