attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-990.230773925781,-2550.85815429688,T,-62.738883972168,-2109.35083007812,FalleN,suNny,P2000
-393.204864501953,-2394.5625,T,-528.380859375,-2222.55908203125,felps,STYKO,USP-S
-992.656921386719,-2522.01538085938,T,65.0951690673828,-2110.0751953125,FalleN,ropz,P2000
458.333190917969,-727.673400878906,T,246.945495605469,269.889190673828,fer,oskar,USP-S
-967.815185546875,-2580.83544921875,T,-802.354797363281,-2379.1865234375,FalleN,suNny,P2000
-858.198364257812,-1375.99877929688,T,50.034122467041,-2230.72216796875,coldzera,ropz,USP-S
-874.227111816406,-1392.93566894531,T,51.1533432006836,-2229.81030273438,coldzera,ropz,USP-S
-1660.67919921875,-2113.30639648438,T,-1008.22314453125,-2415.91918945312,TACO,suNny,USP-S
-1651.38208007812,-2132.529296875,T,-1007.37731933594,-2389.458984375,TACO,suNny,USP-S
-524.739807128906,-2389.76000976562,T,-435.575958251953,-1777.95617675781,TACO,chrisJ,USP-S
-584.291564941406,-2353.77294921875,T,77.3577575683594,-2115.69458007812,TACO,ropz,USP-S
165.010955810547,-1718.4638671875,T,137.722671508789,-1500.21447753906,FalleN,STYKO,MP9
160.987197875977,-1718.93762207031,T,133.533111572266,-1500.634765625,FalleN,STYKO,MP9
155.477005004883,-1719.45581054688,T,129.433410644531,-1501.11279296875,FalleN,STYKO,MP9
151.57356262207,-1719.80358886719,T,125.494850158691,-1501.69421386719,FalleN,STYKO,MP9
153.848281860352,-1719.64599609375,T,121.717811584473,-1502.37634277344,FalleN,STYKO,MP9
166.272216796875,-1718.53625488281,T,201.89680480957,-1569.77612304688,FalleN,chrisJ,MP9
168.249786376953,-1718.70654296875,T,205.207382202148,-1570.69140625,FalleN,chrisJ,MP9
-27.5453472137451,-1958.93664550781,T,9.97360992431641,-1418.00012207031,felps,ropz,UMP-45
-85.7378692626953,-1951.75500488281,T,40.9350967407227,-1422.49084472656,felps,ropz,UMP-45
-87.0564498901367,-1951.4580078125,T,39.8236694335938,-1422.19140625,felps,ropz,UMP-45
-524.698608398438,-1464.58764648438,T,-107.804763793945,-2116.45874023438,fer,suNny,MP9
-524.505676269531,-1464.505859375,T,-123.493003845215,-2110.7138671875,fer,suNny,MP9
-501.783447265625,-1432.66186523438,T,-496.289001464844,-1390.60168457031,fer,oskar,MP9
-1195.62109375,-1385.94677734375,T,-60.03125,-1915.44079589844,coldzera,ropz,MP9
-1189.59680175781,-1386.07385253906,T,-62.1882743835449,-1920.96948242188,coldzera,ropz,MP9
-1178.94946289062,-1366.390625,T,-60.0007019042969,-1914.98962402344,coldzera,ropz,MP9
-622.638977050781,-1019.34106445312,T,-627.880432128906,-545.833190917969,fer,suNny,MP9
-623.263305664062,-1019.34515380859,T,-628.963500976562,-545.901977539062,fer,suNny,MP9
-624.141967773438,-1019.36999511719,T,-629.8916015625,-545.698181152344,fer,suNny,MP9
-683.613647460938,-1094.68334960938,T,-640.225158691406,-543.589111328125,fer,suNny,MP9
-877.720153808594,251.398803710938,T,-625.56591796875,-1028.30004882812,TACO,STYKO,M4A4
-893.350219726562,248.450698852539,T,-625.012451171875,-1034.61572265625,TACO,STYKO,M4A4
-1630.46008300781,-865.152404785156,T,-1190.9541015625,-999.501586914062,TACO,oskar,M4A4
-1629.31799316406,-861.363891601562,T,-1190.26977539062,-997.4189453125,TACO,oskar,M4A4
