attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2787.3330078125,-1494.05749511719,T,-1874.71264648438,-2405.61694335938,jdm64,Edward,SSG 08
-1711.12145996094,-871.186157226562,T,-1559.99475097656,-728.792114257812,EliGE,Zeus,MP9
-1714.31652832031,-885.801574707031,T,-1559.45764160156,-732.043273925781,EliGE,Zeus,MP9
-1713.68811035156,-888.930725097656,T,-1558.43835449219,-736.435852050781,EliGE,Zeus,MP9
-1713.46484375,-890.04345703125,T,-1557.255859375,-740.651550292969,EliGE,Zeus,MP9
-1713.46484375,-890.04345703125,T,-1557.16857910156,-744.686706542969,EliGE,Zeus,MP9
-1839.34033203125,-949.813293457031,T,-1094.34399414062,-564.975769042969,EliGE,flamie,MP9
-1847.73669433594,-951.468627929688,T,-1093.80944824219,-567.216491699219,EliGE,flamie,MP9
-1847.11291503906,-957.750854492188,T,-1087.24060058594,-580.044128417969,EliGE,flamie,MP9
-1847.005859375,-958.017822265625,T,-1085.70092773438,-583.074951171875,EliGE,flamie,MP9
-878.212829589844,470.334686279297,T,-796.4228515625,-8.9523458480835,Twistzz,electronic,FAMAS
-878.212829589844,470.334686279297,T,-811.703674316406,-7.7958459854126,Twistzz,electronic,FAMAS
-1483.19543457031,-183.756774902344,T,-405.926025390625,-111.399383544922,nitr0,Edward,MP9
-1484.35314941406,-167.695129394531,T,-951.3134765625,-228.078536987305,nitr0,flamie,MP9
-1483.19641113281,-158.074996948242,T,-946.966186523438,-207.627655029297,nitr0,flamie,MP9
-884.134399414062,443.040496826172,T,-560.629455566406,-235.628189086914,Twistzz,s1mple,FAMAS
-885.194763183594,442.551391601562,T,-558.726318359375,-234.67658996582,Twistzz,s1mple,FAMAS
-2780.54541015625,-1477.07556152344,T,-1855.90185546875,-2444.80322265625,jdm64,flamie,SSG 08
-1039.75048828125,-976.071228027344,T,-587.830078125,-987.816589355469,zews,Edward,MP9
-1030.49768066406,-933.968933105469,T,-589.336730957031,-1008.65649414062,zews,Edward,MP9
-2858.24047851562,-880.03125,T,-2647.56958007812,-985.289611816406,nitr0,electronic,M4A1
-2858.64135742188,-880.835571289062,T,-2645.56225585938,-982.049987792969,nitr0,electronic,M4A1
-2858.64135742188,-880.835571289062,T,-2640.17041015625,-975.598510742188,nitr0,electronic,M4A1
-2719.94384765625,-907.338623046875,T,-3409.90771484375,-904.188659667969,nitr0,Zeus,M4A1
-2719.93432617188,-906.776184082031,T,-3409.97216796875,-921.633605957031,nitr0,Zeus,M4A1
-2719.90844726562,-907.932983398438,T,-3408.81103515625,-935.124816894531,nitr0,Zeus,M4A1
-2359.69213867188,-1239.04858398438,T,-3150.88403320312,-1793.26184082031,EliGE,s1mple,MP9
-2359.60864257812,-1239.36022949219,T,-3145.791015625,-1800.31188964844,EliGE,s1mple,MP9
-2383.91284179688,-1205.98022460938,T,-3118.45166015625,-1836.48913574219,EliGE,s1mple,MP9
-2466.21606445312,-1144.44689941406,T,-2862.65209960938,-880.002868652344,EliGE,flamie,MP9
-963.694885253906,484.056671142578,T,-504.462188720703,-326.836242675781,Twistzz,s1mple,M4A4
-961.314514160156,485.890106201172,T,-504.333648681641,-326.771514892578,Twistzz,s1mple,M4A4
-958.234008789062,487.779235839844,T,-503.033599853516,-326.048278808594,Twistzz,s1mple,M4A4
-1280.46301269531,31.142728805542,T,-481.823822021484,-168.519271850586,jdm64,Zeus,AWP
-2009.80505371094,599.967712402344,T,-715.328430175781,67.0144958496094,nitr0,flamie,M4A1
