attackerX,attackerY,victimSide,victimX,victimY
-2418.73120117188,209.420669555664,CT,-2767.56323242188,592.013305664062
-2425.13232421875,203.730438232422,CT,-2778.455078125,579.545349121094
-1853.84228515625,-2429.60009765625,CT,-2811.0791015625,-1460.76806640625
-3610.83984375,-2078.52709960938,CT,-3680.576171875,-641.614074707031
-3503.81616210938,-2347.69580078125,CT,-3652.00024414062,-404.702209472656
-991.228637695312,-584.8984375,CT,-1098.67517089844,386.081329345703
-991.228637695312,-584.8984375,CT,-1094.91528320312,386.450714111328
-2634.28149414062,-35.5145950317383,CT,-2210.81103515625,543.085571289062
-2766.42407226562,297.961822509766,CT,-1921.51354980469,898.156188964844
-2186.42358398438,-1974.46276855469,CT,-2764.46630859375,-1652.75134277344
-2123.46142578125,-1928.18603515625,T,-2284.65600585938,-1866.80554199219
-2305.576171875,-1880.98327636719,CT,-2760.9814453125,-1651.17150878906
-2199.048828125,-1956.02514648438,T,-2560.04052734375,-1746.34033203125
-2329.22485351562,-1908.95910644531,CT,-2755.89428710938,-1642.69445800781
-2167.017578125,-1948.55078125,T,-2569.50854492188,-1747.35070800781
-2191.05249023438,-1889.12426757812,T,-2301.09033203125,-1847.50964355469
-2191.05249023438,-1889.12426757812,CT,-2755.40380859375,-1641.99963378906
-2300.92309570312,-1847.09777832031,T,-2576.33203125,-1700.35192871094
-2228.35375976562,-2052.56982421875,T,-2367.1494140625,-1961.1357421875
-2184.43603515625,-1871.92053222656,CT,-2757.36889648438,-1646.41345214844
-2299.92138671875,-1844.9091796875,CT,-2757.36889648438,-1646.41345214844
-3037.13623046875,-1391.16723632812,CT,-2090.11743164062,-1300.46887207031
-2347.72973632812,-1263.75634765625,CT,-2180.50805664062,-142.034164428711
-2363.28466796875,-1083.52844238281,CT,-2227.55541992188,-135.789916992188
-2342.48559570312,-1082.80725097656,CT,-2239.44360351562,-134.512542724609
-3015.48120117188,381.044372558594,CT,-2536.90209960938,1051.84887695312
-3038.08520507812,564.313720703125,CT,-2462.060546875,957.349182128906
-3037.68481445312,563.742309570312,CT,-2460.85205078125,955.5576171875
-3036.98168945312,562.734252929688,CT,-2459.72631835938,953.857116699219
-3035.986328125,561.282470703125,CT,-2458.673828125,952.329284667969
-3049.60327148438,637.117126464844,CT,-2096.51293945312,567.231323242188
-3049.52294921875,637.958251953125,CT,-2096.30249023438,570.553894042969
-3049.43994140625,639.105163574219,CT,-2095.37426757812,582.736206054688
-2661.08447265625,749.263061523438,CT,-2631.52197265625,-222.70051574707
-2661.08447265625,749.263061523438,CT,-2627.51904296875,-222.507308959961
-2217.59228515625,-538.070434570312,CT,-2576.92114257812,-594.385803222656
-2216.58178710938,-543.95556640625,CT,-2578.30224609375,-588.352905273438
-2661.08447265625,749.263061523438,CT,-2613.3583984375,-223.635452270508
-2661.08447265625,749.263061523438,CT,-2607.92797851562,-223.96875
-2938.20727539062,869.671142578125,CT,-1965.82702636719,727.781372070312
-2449.85180664062,851.468811035156,CT,-2631.5048828125,799.506408691406
-2449.87060546875,852.731140136719,CT,-2631.38720703125,799.475830078125
-2449.71704101562,852.364929199219,CT,-2630.361328125,799.218627929688
-2450.18920898438,853.800720214844,CT,-2629.10791015625,798.926330566406
-2614.62622070312,414.105865478516,CT,-1937.3857421875,667.072204589844
-2640.7265625,436.867309570312,CT,-1893.7001953125,662.382995605469
-2649.6337890625,472.031555175781,CT,-1848.58813476562,655.082336425781
-2653.69775390625,512.68701171875,CT,-1804.6103515625,647.314453125
-2637.06469726562,548.419311523438,CT,-1789.66564941406,664.239196777344
-2606.36694335938,585.111206054688,CT,-1787.40979003906,676.752502441406
-2572.30859375,620.029846191406,CT,-1787.48937988281,677.050964355469
-2232.83447265625,460.49169921875,CT,-1788.38745117188,679.09326171875
-2528.84790039062,639.756774902344,CT,-1788.49926757812,679.33642578125
-2227.044921875,457.955902099609,CT,-1789.22119140625,680.872009277344
-2563.42626953125,623.714904785156,CT,-2641.43823242188,-208.563110351562
-2562.65112304688,623.633483886719,CT,-2635.36328125,-209.139511108398
-2560.34887695312,623.55126953125,CT,-2638.4365234375,-208.989196777344
-2561.01416015625,624.3759765625,CT,-2638.4365234375,-208.989196777344
-2060.6767578125,900.224060058594,CT,-1993.2724609375,1087.50036621094
-2907.6201171875,753.979614257812,CT,-2079.97973632812,859.282592773438
-2907.91235351562,756.546508789062,CT,-2080.44946289062,863.06689453125
-2907.72119140625,755.126037597656,CT,-2080.48559570312,863.295471191406
-1369.26721191406,-1079.25463867188,CT,-1694.74194335938,-304.104797363281
-1369.50671386719,-1079.38122558594,CT,-1694.54797363281,-304.022064208984
-1369.50671386719,-1079.38122558594,CT,-1694.29309082031,-303.909393310547
-1369.50671386719,-1079.38122558594,CT,-1689.23266601562,-296.075469970703
-1487.57861328125,-1040.24890136719,CT,-1444.86743164062,-30.371976852417
-1488.07482910156,-1040.2177734375,CT,-1444.66455078125,-24.3337421417236
-1488.54113769531,-1040.18676757812,CT,-1445.71179199219,-18.9927349090576
-1488.22180175781,-1040.20764160156,CT,-1447.2158203125,-13.2577991485596
-1487.05725097656,-1040.25500488281,CT,-1434.92944335938,8.63406658172607
-632.929321289062,-69.8344421386719,CT,-1876.34924316406,-331.485870361328
-586.661560058594,-4.53470230102539,CT,-1810.99243164062,-296.451141357422
-584.740234375,1.78354501724243,CT,-1786.19384765625,-263.395385742188
-1270.77355957031,293.056396484375,CT,-1635.70532226562,-279.930236816406
-1266.72058105469,290.375122070312,CT,-1630.34765625,-281.868408203125
-463.742126464844,-843.438720703125,T,-708.937744140625,-960.343933105469
-1790.68188476562,-1774.50646972656,CT,-1846.24255371094,-984.216979980469
-1793.96264648438,-1774.34460449219,CT,-1845.310546875,-984.098693847656
-522.32861328125,-1759.87854003906,CT,-666.091735839844,-1333.42138671875
-519.937561035156,-1757.53601074219,CT,-666.798400878906,-1333.84094238281
-522.808349609375,-1758.40783691406,CT,-663.780517578125,-1332.86865234375
