attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1104.04431152344,-651.695678710938,T,-1233.53015136719,-1283.19909667969,jR,Stewie2K,USP-S
-1105.73962402344,-652.471252441406,T,-1202.91857910156,-1332.3681640625,jR,RUSH,USP-S
-1309.62438964844,-974.230041503906,T,-1052.59057617188,-1519.24169921875,jR,autimatic,USP-S
-1114.56433105469,-2511.33276367188,T,-245.186904907227,-1863.51232910156,chopper,Skadoodle,USP-S
-1243.45874023438,-1246.10571289062,T,-352.353851318359,-1790.369140625,keshandr,Skadoodle,USP-S
-1182.6171875,-932.184631347656,T,-1159.0546875,-247.906066894531,keshandr,tarik,USP-S
-1174.38500976562,-932.629272460938,T,-1170.62036132812,-243.975769042969,keshandr,tarik,USP-S
-1103.79248046875,-1318.77575683594,T,-726.395141601562,-1630.36547851562,keshandr,Skadoodle,USP-S
-46.0460319519043,-1606.63391113281,T,740.232299804688,-1498.08837890625,chopper,autimatic,UMP-45
-1119.81091308594,-1524.87683105469,T,-690.156616210938,-1289.22937011719,keshandr,autimatic,M4A4
-1119.21557617188,-1525.33740234375,T,-690.508178710938,-1289.08703613281,keshandr,autimatic,M4A4
-2516.705078125,319.339782714844,T,-748.238098144531,129.822219848633,jR,tarik,M4A4
-1118.12438964844,-1527.025390625,T,-695.481994628906,-1279.8759765625,keshandr,autimatic,M4A4
-1118.07116699219,-1527.02294921875,T,-698.162109375,-1275.26159667969,keshandr,autimatic,M4A4
-2511.88305664062,343.596130371094,T,-937.720947265625,143.505935668945,jR,RUSH,M4A4
-2511.78540039062,344.300537109375,T,-943.077453613281,148.900650024414,jR,RUSH,M4A4
-2511.78540039062,344.300537109375,T,-946.694458007812,147.307510375977,jR,RUSH,M4A4
-2332.47534179688,770.546630859375,T,-1617.30004882812,775.04541015625,hutji,Skadoodle,UMP-45
-2332.47534179688,770.546630859375,T,-1622.62719726562,773.314147949219,hutji,Skadoodle,UMP-45
-2332.47534179688,770.546630859375,T,-1625.94689941406,770.032592773438,hutji,Skadoodle,UMP-45
-2332.453125,772.615234375,T,-1627.37048339844,768.075378417969,hutji,Skadoodle,UMP-45
-2331.46313476562,785.649841308594,T,-1865.75842285156,798.445251464844,hutji,Stewie2K,UMP-45
-2331.49682617188,783.296569824219,T,-1865.37231445312,797.876159667969,hutji,Stewie2K,UMP-45
-2331.68310546875,774.269836425781,T,-1866.46997070312,799.474670410156,hutji,Stewie2K,UMP-45
-2331.54663085938,770.406005859375,T,-1868.90673828125,802.85888671875,hutji,Stewie2K,UMP-45
-2154.275390625,612.096252441406,T,-1428.45666503906,393.060119628906,hutji,tarik,USP-S
-2146.36962890625,637.72900390625,T,-1449.19470214844,379.751831054688,hutji,tarik,USP-S
-2134.24536132812,672.129211425781,T,-1446.22204589844,385.968505859375,hutji,tarik,USP-S
212.370422363281,-1435.28588867188,T,512.94091796875,-1571.125,chopper,tarik,UMP-45
