attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2169.75,-1112.82922363281,T,-2660.31689453125,-1543.60412597656,mir,MSL,USP-S
-2062.23657226562,-980.275634765625,T,-2658.57568359375,-1533.36364746094,hutji,MSL,USP-S
-2120.2578125,-1053.0888671875,T,-2658.40747070312,-1532.6181640625,keshandr,MSL,USP-S
-2693.76342773438,-1535.72839355469,T,-2467.95166015625,-1851.01525878906,mir,cajunb,USP-S
-2802.78955078125,-1543.38012695312,T,-2500.39379882812,-1823.53161621094,hutji,cajunb,USP-S
-2364.06787109375,-1138.79809570312,T,-2797.51611328125,-1641.56237792969,jR,cajunb,USP-S
-2467.48486328125,-196.563568115234,T,-2513.54956054688,-840.249328613281,keshandr,MSL,M4A4
-2463.49536132812,-196.884536743164,T,-2519.27905273438,-837.248474121094,keshandr,MSL,M4A4
-2465.720703125,-196.68310546875,T,-2538.44262695312,-837.074279785156,keshandr,MSL,M4A4
-2753.986328125,-171.96875,T,-2462.83642578125,-296.685028076172,jR,MSL,FAMAS
-2753.396484375,-170.551986694336,T,-2465.1923828125,-289.739898681641,jR,MSL,FAMAS
-1984.96740722656,540.9423828125,T,-2821.15649414062,591.106994628906,mir,cajunb,M4A4
-1984.96740722656,540.9423828125,T,-2813.35083007812,592.511596679688,mir,cajunb,M4A4
-1984.93688964844,541.368103027344,T,-2811.908203125,597.355102539062,mir,cajunb,M4A4
-1984.62353515625,544.174682617188,T,-2998.80419921875,670.433898925781,mir,k0nfig,M4A4
-1984.62048339844,544.199645996094,T,-3000.09838867188,670.204833984375,mir,k0nfig,M4A4
-2006.03588867188,935.269653320312,T,-2999.6787109375,675.535827636719,chopper,k0nfig,FAMAS
-2006.03588867188,935.269653320312,T,-2999.759765625,674.877807617188,chopper,k0nfig,FAMAS
-2006.03588867188,935.269653320312,T,-2999.83374023438,673.7685546875,chopper,k0nfig,FAMAS
-2270.79907226562,23.7436122894287,T,-2826.31640625,611.286987304688,jR,v4lde,FAMAS
-2836.67065429688,713.290649414062,T,-3139.47436523438,315.716369628906,hutji,aizy,MP9
-2839.78784179688,715.723815917969,T,-3139.48583984375,315.749969482422,hutji,aizy,MP9
-2261.27099609375,624.500915527344,T,-3069.29174804688,643.169067382812,hutji,v4lde,M4A4
-587.991027832031,-272.348510742188,T,-353.110534667969,-930.460327148438,hutji,aizy,AK-47
-587.991027832031,-274.777801513672,T,-348.006225585938,-928.243591308594,hutji,aizy,AK-47
-587.991027832031,-276.722869873047,T,-344.428497314453,-924.942749023438,hutji,aizy,AK-47
-1083.72924804688,260.583312988281,T,-1520.62622070312,-73.0465316772461,mir,MSL,M4A4
-1084.830078125,261.98388671875,T,-1521.37341308594,-71.5579071044922,mir,MSL,M4A4
-1103.98864746094,281.216186523438,T,-1559.87231445312,-245.452056884766,mir,k0nfig,M4A4
-1097.59216308594,272.976837158203,T,-1518.3017578125,-276.621673583984,mir,k0nfig,M4A4
-2155.22045898438,270.653747558594,T,-1514.7138671875,-279.236663818359,jR,k0nfig,FAMAS
-331.136749267578,-106.473068237305,T,-552.915161132812,-389.991943359375,hutji,aizy,AK-47
-342.858703613281,-97.8701477050781,T,-549.241943359375,-392.354370117188,hutji,aizy,AK-47
-1120.82739257812,-639.96875,T,-880.754943847656,-405.40478515625,keshandr,cajunb,UMP-45
-1115.95544433594,-639.655517578125,T,-883.214111328125,-402.680877685547,keshandr,cajunb,UMP-45
-1117.31384277344,-636.30859375,T,-882.955505371094,-402.933410644531,keshandr,cajunb,UMP-45
-792.278198242188,76.1620407104492,T,-1322.73791503906,482.929077148438,hutji,v4lde,AK-47
-791.115783691406,77.6509780883789,T,-1324.72875976562,482.791564941406,hutji,v4lde,AK-47
-2393.01391601562,-23.8810176849365,T,-2259.45727539062,-583.9892578125,keshandr,v4lde,AK-47
-2378.50903320312,-20.4118537902832,T,-2279.57055664062,-588.143859863281,keshandr,v4lde,AK-47
-2376.42626953125,-19.9728584289551,T,-2279.96875,-586.651123046875,keshandr,v4lde,AK-47
-2348.26123046875,-14.7852182388306,T,-2210.43188476562,-818.061828613281,keshandr,cajunb,AK-47
-2246.70458984375,487.438781738281,T,-2648.64526367188,-94.0026245117188,jR,MSL,M4A4
-2785.03662109375,84.8827209472656,T,-2501.27001953125,-272.07470703125,keshandr,aizy,AK-47
-2777.90185546875,90.8484268188477,T,-2535.4091796875,-256.097961425781,keshandr,aizy,AK-47
-2774.9609375,93.0525207519531,T,-2541.65161132812,-254.487838745117,keshandr,aizy,AK-47
-2339.9091796875,-121.717651367188,T,-2229.6669921875,-426.785461425781,keshandr,v4lde,USP-S
-2442.98461914062,168.049499511719,T,-2188.49047851562,-277.091674804688,jR,MSL,M4A4
-2161.681640625,443.359832763672,T,-3044.33032226562,672.948547363281,mir,k0nfig,M4A4
-2161.4697265625,441.571746826172,T,-3044.33032226562,672.948547363281,mir,k0nfig,M4A4
-2161.53857421875,441.315093994141,T,-3044.33032226562,672.948547363281,mir,k0nfig,M4A4
-2163.73950195312,433.731018066406,T,-3044.33032226562,672.948547363281,mir,k0nfig,M4A4
-2350.44018554688,-1230.75805664062,T,-2235.0341796875,-85.2438125610352,chopper,v4lde,UMP-45
-2191.27709960938,-1124.12036132812,T,-2840.48413085938,-1562.431640625,keshandr,MSL,M4A4
-2190.59545898438,-1125.21008300781,T,-2840.09692382812,-1562.57885742188,keshandr,MSL,M4A4
-2190.9404296875,-1124.68859863281,T,-2839.35034179688,-1562.86083984375,keshandr,MSL,M4A4
-2191.10888671875,-1124.43115234375,T,-2837.8974609375,-1563.44396972656,keshandr,MSL,M4A4
-2190.73974609375,-1124.97790527344,T,-2834.5771484375,-1565.33178710938,keshandr,MSL,M4A4
-685.96337890625,-101.960235595703,T,-483.254486083984,-239.305191040039,chopper,aizy,UMP-45
-679.492004394531,-89.5248947143555,T,-477.292541503906,-230.760787963867,chopper,aizy,UMP-45
-676.93359375,-85.8328552246094,T,-475.524108886719,-228.153564453125,chopper,aizy,UMP-45
-675.493286132812,-83.7826995849609,T,-475.146636962891,-227.598571777344,chopper,aizy,UMP-45
