attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1826.65942382812,-1025.00427246094,CT,-2036.99926757812,-1321.82604980469,keshandr,MSL,Glock-18
-1835.10119628906,-953.483825683594,CT,-2039.01257324219,-1321.58605957031,hutji,MSL,Glock-18
-1969.39636230469,-964.929809570312,CT,-1856.29833984375,-1350.63061523438,hutji,cajunb,Glock-18
-1954.56567382812,-960.127685546875,CT,-1861.64953613281,-1352.49096679688,hutji,cajunb,Glock-18
-1956.23291015625,-960.381408691406,T,-1938.13903808594,-1046.66906738281,hutji,keshandr,Glock-18
-1932.9560546875,-1233.92590332031,CT,-1929.27502441406,-965.134704589844,hutji,aizy,Glock-18
-1950.10400390625,-1213.7197265625,CT,-1844.17407226562,-973.412902832031,hutji,k0nfig,Glock-18
-1932.41833496094,-1221.08032226562,CT,-1827.267578125,-981.422973632812,hutji,k0nfig,Glock-18
-481.461151123047,-314.307952880859,CT,-578.658325195312,-140.019729614258,chopper,v4lde,UMP-45
-481.461151123047,-314.307952880859,CT,-600.060485839844,-104.353904724121,chopper,MSL,UMP-45
-496.056335449219,-323.870452880859,CT,-573.226684570312,-137.926208496094,chopper,v4lde,UMP-45
-503.608123779297,-329.154449462891,CT,-568.065124511719,-136.817230224609,chopper,v4lde,UMP-45
-518.814697265625,-336.866516113281,CT,-556.027587890625,-136.17985534668,chopper,v4lde,UMP-45
-518.814697265625,-336.866516113281,CT,-571.178039550781,-99.5192947387695,chopper,MSL,UMP-45
-533.508056640625,-341.920959472656,CT,-559.098327636719,-137.118515014648,chopper,v4lde,UMP-45
-533.508056640625,-341.920959472656,CT,-558.899963378906,-97.0448226928711,chopper,MSL,UMP-45
-537.147155761719,-342.693145751953,CT,-553.048706054688,-95.9121704101562,chopper,MSL,UMP-45
-658.15869140625,-992.522277832031,CT,-458.101531982422,-307.885955810547,mir,MSL,UMP-45
-658.163208007812,-992.509765625,CT,-442.358856201172,-294.676361083984,mir,MSL,UMP-45
-2585.787109375,635.038452148438,CT,-1985.51025390625,544.343872070312,mir,aizy,UMP-45
-2559.64624023438,607.322082519531,CT,-1985.55334472656,551.101379394531,mir,aizy,UMP-45
-2273.65454101562,579.632202148438,CT,-2593.66064453125,1368.29077148438,mir,cajunb,UMP-45
-2017.46069335938,575.763854980469,CT,-2033.44091796875,1013.01428222656,hutji,MSL,AK-47
-2652.10888671875,1339.8115234375,CT,-2586.20849609375,1643.07299804688,jR,cajunb,MAC-10
-2653.94482421875,1341.10034179688,CT,-2585.85131835938,1643.01086425781,jR,cajunb,MAC-10
-2649.94921875,1340.40698242188,CT,-2580.91284179688,1641.84777832031,jR,cajunb,MAC-10
-1838.54040527344,663.86767578125,CT,-2576.9189453125,1145.06701660156,hutji,k0nfig,AK-47
-1868.42443847656,657.190979003906,T,-1974.65100097656,913.437927246094,hutji,keshandr,AK-47
-1803.302734375,-2312.96435546875,CT,-2701.07202148438,-1594.81237792969,mir,cajunb,UMP-45
-1806.68872070312,-2317.16674804688,CT,-2701.15991210938,-1605.95288085938,mir,cajunb,UMP-45
-1916.16491699219,-2306.80517578125,CT,-2712.83764648438,-1544.84130859375,hutji,MSL,AK-47
-1918.52465820312,-2309.35229492188,CT,-2698.47192382812,-1609.30810546875,hutji,cajunb,AK-47
-1826.06750488281,-2340.90795898438,T,-1929.36938476562,-2273.939453125,mir,hutji,UMP-45
-1826.06750488281,-2340.90795898438,CT,-2634.65893554688,-1913.30554199219,mir,v4lde,UMP-45
-1928.39367675781,-2271.16870117188,CT,-2636.93432617188,-1917.49060058594,hutji,v4lde,AK-47
-1825.65087890625,-2340.11157226562,T,-1928.68041992188,-2271.72827148438,mir,hutji,UMP-45
-1966.79711914062,-2317.79907226562,CT,-2892.43798828125,-1342.21997070312,hutji,k0nfig,AK-47
-2152.97924804688,-2367.48852539062,CT,-2818.064453125,-2858.01098632812,hutji,v4lde,AK-47
-1101.19982910156,-623.494323730469,CT,-1016.27099609375,-548.593078613281,keshandr,aizy,MAC-10
-1092.12622070312,-631.881958007812,CT,-1015.23522949219,-566.508117675781,keshandr,aizy,MAC-10
-1093.72766113281,-630.40673828125,CT,-1014.30303955078,-582.631652832031,keshandr,aizy,MAC-10
-1104.70141601562,-616.583068847656,CT,-1011.29931640625,-634.585266113281,keshandr,aizy,MAC-10
-488.499816894531,-339.803070068359,CT,-923.0107421875,466.441833496094,jR,k0nfig,AWP
-1868.02600097656,-1786.67016601562,CT,-1723.80773925781,-900.883728027344,keshandr,MSL,AK-47
-1863.21105957031,-1792.32006835938,CT,-1723.95629882812,-894.370544433594,keshandr,MSL,AK-47
-1857.8740234375,-1797.21337890625,CT,-1721.11535644531,-889.744201660156,keshandr,MSL,AK-47
-1851.845703125,-1800.24670410156,CT,-1718.46215820312,-885.596557617188,keshandr,MSL,AK-47
-1744.33947753906,-1812.8408203125,CT,-1805.25744628906,-918.474975585938,keshandr,aizy,AK-47
-314.739959716797,132.372360229492,CT,-1091.787109375,345.156890869141,chopper,v4lde,AK-47
-1252.59777832031,-985.27490234375,CT,-1230.86364746094,-518.308166503906,mir,aizy,AK-47
-1252.18286132812,-985.340026855469,CT,-1234.52233886719,-518.516967773438,mir,aizy,AK-47
-1252.40979003906,-985.328308105469,CT,-1239.6162109375,-517.783142089844,mir,aizy,AK-47
-1169.31652832031,-957.231201171875,CT,-1800.00048828125,-642.571044921875,chopper,k0nfig,AK-47
-881.056518554688,-345.869415283203,CT,-1716.021484375,-68.8101348876953,hutji,v4lde,AK-47
-883.027465820312,-351.494201660156,CT,-1714.76647949219,-75.6911468505859,hutji,v4lde,AK-47
-887.535461425781,-364.233917236328,CT,-1712.59545898438,-71.9831161499023,hutji,v4lde,AK-47
-889.997619628906,-371.219604492188,CT,-1710.60375976562,-66.1289215087891,hutji,v4lde,AK-47
-877.166259765625,-309.896240234375,CT,-1637.31164550781,-58.3338508605957,hutji,MSL,AK-47
-877.166259765625,-309.896240234375,CT,-1634.50170898438,-57.0559730529785,hutji,MSL,AK-47
-877.166259765625,-309.896240234375,CT,-1632.080078125,-55.9614486694336,hutji,MSL,AK-47
-877.166259765625,-309.896240234375,CT,-1628.52917480469,-54.2853622436523,hutji,MSL,AK-47
-2678.90942382812,341.375610351562,CT,-2752.68383789062,620.119750976562,mir,cajunb,AK-47
-2678.38940429688,342.106689453125,CT,-2760.39770507812,615.524719238281,mir,cajunb,AK-47
-2670.189453125,483.691497802734,CT,-2763.5087890625,613.671630859375,keshandr,cajunb,AK-47
-2392.6455078125,-580.548889160156,CT,-2621.24536132812,-95.707763671875,mir,MSL,AK-47
-474.449798583984,-733.608581542969,CT,-478.950897216797,252.734390258789,hutji,v4lde,AK-47
-886.724670410156,-356.291961669922,CT,-1567.57568359375,11.1940069198608,chopper,MSL,AK-47
-514.170043945312,-620.897399902344,CT,-539.651672363281,-124.57511138916,hutji,v4lde,AK-47
-348.731079101562,-149.688980102539,CT,-1138.41748046875,444.551574707031,hutji,k0nfig,AK-47
-348.701812744141,-149.766265869141,CT,-1137.470703125,445.146362304688,hutji,k0nfig,AK-47
-1987.46923828125,-448.485900878906,CT,-1822.43505859375,-269.971069335938,keshandr,aizy,AK-47
-1992.54016113281,-444.285186767578,CT,-1819.78967285156,-292.470336914062,keshandr,aizy,AK-47
-1989.61071777344,-447.633148193359,CT,-1817.65698242188,-299.862548828125,keshandr,aizy,AK-47
-2173.52221679688,-2600.86376953125,CT,-2810.92114257812,-2321.58203125,keshandr,MSL,AK-47
-2186.11450195312,-2630.3125,CT,-3515.205078125,-2172.02490234375,keshandr,aizy,AK-47
-1941.62182617188,-2187.0830078125,CT,-3513.556640625,-2167.23608398438,hutji,aizy,AK-47
-1941.634765625,-2187.8408203125,CT,-3511.20678710938,-2162.25830078125,hutji,aizy,AK-47
-2459.71752929688,-2703.55859375,CT,-2865.31640625,-2432.86279296875,jR,MSL,AWP
-1942.67443847656,-2218.33081054688,CT,-3511.37890625,-2166.5029296875,hutji,aizy,AK-47
-2220.7529296875,-2649.64697265625,CT,-2601.3671875,-2457.09643554688,hutji,MSL,AK-47
-652.629333496094,-989.018615722656,CT,-1759.78247070312,-861.352600097656,chopper,v4lde,AK-47
-1864.7353515625,-1026.09191894531,CT,-2019.68371582031,-1311.61572265625,keshandr,MSL,MAC-10
-1862.59558105469,-1030.20617675781,CT,-2019.98449707031,-1311.46740722656,keshandr,MSL,MAC-10
-1859.76623535156,-1032.66418457031,CT,-2022.9443359375,-1309.82397460938,keshandr,MSL,MAC-10
-3079.99340820312,-2298.40600585938,CT,-3000.67944335938,-1701.93774414062,mir,aizy,MAC-10
-3055.392578125,-1895.78955078125,CT,-2920.73046875,-1140.89770507812,hutji,cajunb,MAC-10
-3088.30786132812,-1866.88708496094,CT,-2915.17065429688,-1142.09387207031,hutji,cajunb,MAC-10
-3040.677734375,-1864.79858398438,CT,-2889.53295898438,-1148.13305664062,hutji,cajunb,MAC-10
-3044.08520507812,-1845.69519042969,CT,-2883.25024414062,-1149.66271972656,hutji,cajunb,MAC-10
-3045.333984375,-1818.61608886719,CT,-2876.96459960938,-1151.2041015625,hutji,cajunb,MAC-10
-3062.7724609375,-1956.17785644531,CT,-2874.99877929688,-1151.68383789062,mir,cajunb,MAC-10
-3031.57543945312,-1796.29357910156,CT,-2871.84326171875,-1152.45324707031,hutji,cajunb,MAC-10
-3023.85473632812,-1788.97338867188,CT,-2868.68774414062,-1153.22265625,hutji,cajunb,MAC-10
-3166.2568359375,-1576.77880859375,CT,-2130.08764648438,-1272.41381835938,hutji,MSL,MAC-10
-3165.55932617188,-1581.61499023438,CT,-2128.7978515625,-1276.59777832031,hutji,MSL,MAC-10
-3159.86376953125,-1611.93774414062,CT,-2125.08349609375,-1289.486328125,hutji,MSL,MAC-10
-3161.77880859375,-1626.39953613281,CT,-2136.177734375,-1280.59228515625,hutji,v4lde,MAC-10
-3161.6396484375,-1627.12866210938,CT,-2134.6103515625,-1279.693359375,hutji,v4lde,MAC-10
-2672.3564453125,-991.506530761719,CT,-2344.24267578125,-538.453857421875,hutji,aizy,MAC-10
-2657.4853515625,-1002.92620849609,CT,-2341.44775390625,-540.73388671875,hutji,aizy,MAC-10
-1222.841796875,30.4803581237793,CT,-905.292297363281,-368.019317626953,hutji,k0nfig,M4A4
-1220.41284179688,32.3112335205078,CT,-903.076232910156,-366.197387695312,hutji,k0nfig,M4A4
-1219.189453125,33.2219886779785,CT,-902.037292480469,-365.322021484375,hutji,k0nfig,M4A4
-340.500213623047,-1154.650390625,CT,-645.748718261719,147.644348144531,jR,MSL,AWP
-1733.9765625,-1089.73681640625,CT,-1710.42236328125,-81.9584197998047,keshandr,v4lde,AK-47
-1736.47106933594,-1089.65747070312,CT,-1713.11755371094,-81.5491256713867,keshandr,v4lde,AK-47
-437.931274414062,-197.908828735352,CT,-1524.43395996094,83.4669570922852,hutji,k0nfig,Galil AR
-736.875244140625,238.819549560547,CT,-1254.00463867188,383.998809814453,keshandr,k0nfig,AK-47
-735.924987792969,242.021270751953,CT,-1254.40539550781,381.607971191406,keshandr,k0nfig,AK-47
-729.776184082031,108.205200195312,CT,-1237.93103027344,297.296020507812,chopper,cajunb,AK-47
-758.280151367188,80.9360198974609,CT,-1208.29321289062,321.694122314453,chopper,cajunb,AK-47
-758.280151367188,80.9360198974609,CT,-1209.54797363281,319.300537109375,chopper,cajunb,AK-47
-1004.89538574219,-328.886566162109,CT,-1661.64367675781,-93.8782730102539,mir,v4lde,Galil AR
-1004.89538574219,-328.886566162109,CT,-1659.38854980469,-88.2078170776367,mir,v4lde,Galil AR
-785.982421875,100.735336303711,CT,-1267.22680664062,309.294219970703,jR,aizy,AWP
-994.921142578125,-479.912933349609,CT,-1132.83654785156,274.45947265625,mir,cajunb,Galil AR
-2464.95166015625,-220.635604858398,CT,-2649.09252929688,-211.025848388672,hutji,aizy,AK-47
-2961.38427734375,665.954223632812,CT,-2683.04248046875,527.280578613281,jR,cajunb,AWP
-1871.92248535156,640.442810058594,CT,-2049.89599609375,1127.90258789062,chopper,MSL,UMP-45
-1875.89990234375,639.23193359375,CT,-2025.70812988281,1064.00439453125,chopper,MSL,UMP-45
-2580.18408203125,920.66943359375,CT,-2109.63452148438,759.385925292969,mir,v4lde,AK-47
-2578.74072265625,921.255310058594,CT,-2087.90625,728.203918457031,mir,v4lde,AK-47
-2578.74072265625,921.255310058594,CT,-2085.04125976562,722.430236816406,mir,v4lde,AK-47
-2566.63134765625,921.810729980469,CT,-2080.50610351562,709.70458984375,mir,v4lde,AK-47
-2421.33203125,1255.4130859375,CT,-2422.9677734375,851.747924804688,mir,k0nfig,AK-47
