attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-514.60205078125,-502.570831298828,T,-705.169738769531,-769.079467773438,markeloff,boltz,USP-S
-2189.91357421875,-1313.9267578125,T,-2071.90844726562,-520.47705078125,B1ad3,FalleN,USP-S
-2879.84423828125,-2026.67785644531,T,-2623.69750976562,-1704.99328613281,bondik,steel,USP-S
-2879.43432617188,-2026.99877929688,T,-2616.974609375,-1721.55615234375,bondik,steel,USP-S
-2879.1787109375,-2027.18542480469,T,-2626.25952148438,-1679.91857910156,bondik,steel,USP-S
-2469.55639648438,-1884.81140136719,T,-2652.94189453125,-1665.66223144531,B1ad3,steel,USP-S
-2879.486328125,-2008.58215332031,CT,-2468.70581054688,-1855.90478515625,bondik,B1ad3,USP-S
-2570.34033203125,-1837.73071289062,T,-2655.65747070312,-1561.61547851562,B1ad3,coldzera,USP-S
-2513.71337890625,-1676.70104980469,T,-1958.509765625,-920.211547851562,B1ad3,fer,USP-S
-2513.61328125,-1678.15563964844,T,-1962.10180664062,-920.669982910156,B1ad3,fer,USP-S
-2398.572265625,-1535.72827148438,T,-2096.65844726562,-1374.89111328125,WorldEdit,fer,P2000
-2215.23071289062,-1795.66455078125,T,-2179.5166015625,-1164.0966796875,WorldEdit,fer,P2000
-2211.47583007812,-1796.34423828125,T,-2179.80786132812,-1146.24389648438,WorldEdit,fer,P2000
-2211.01586914062,-1796.35925292969,T,-2185.65234375,-1126.09008789062,WorldEdit,fer,P2000
-2250.81958007812,-1793.61254882812,T,-2134.30737304688,-1153.31774902344,WorldEdit,fer,P2000
-284.480010986328,-539.489807128906,T,-682.502624511719,-675.495788574219,markeloff,fer,FAMAS
-601.595581054688,-516.414978027344,T,-672.416198730469,-685.376403808594,bondik,fer,MP7
-590.74658203125,-520.287719726562,T,-699.260498046875,-747.082580566406,bondik,steel,MP7
-589.494812011719,-520.525817871094,T,-695.465270996094,-737.820983886719,bondik,steel,MP7
-584.463989257812,-522.600158691406,T,-681.519775390625,-688.229125976562,bondik,coldzera,MP7
-584.463989257812,-522.600158691406,T,-706.587097167969,-733.121032714844,bondik,steel,MP7
-585.412780761719,-522.064147949219,T,-709.968200683594,-731.891174316406,bondik,steel,MP7
-591.904174804688,-518.729553222656,T,-707.465026855469,-733.746765136719,bondik,steel,MP7
-591.743408203125,-518.653015136719,T,-699.005798339844,-738.980651855469,bondik,steel,MP7
-565.029296875,-532.013549804688,T,-605.157592773438,-705.929016113281,bondik,coldzera,MP7
-554.393005371094,-536.594055175781,T,-596.295776367188,-706.227905273438,bondik,coldzera,MP7
-555.030334472656,-536.41259765625,T,-589.647094726562,-705.702331542969,bondik,coldzera,MP7
-555.80419921875,-536.234313964844,T,-585.882690429688,-705.404663085938,bondik,coldzera,MP7
-558.934387207031,-535.650634765625,T,-582.630615234375,-705.147888183594,bondik,coldzera,MP7
208.222640991211,-1205.99499511719,T,638.192016601562,-247.854400634766,WorldEdit,boltz,MP7
205.356750488281,-1204.70922851562,T,634.937866210938,-247.720108032227,WorldEdit,boltz,MP7
167.097381591797,-1186.45166015625,T,612.102722167969,-237.036499023438,WorldEdit,boltz,MP7
-186.838302612305,-574.197998046875,T,514.779113769531,-169.146514892578,B1ad3,boltz,FAMAS
-182.900009155273,-580.530578613281,T,513.988586425781,-167.723571777344,B1ad3,boltz,FAMAS
-293.041442871094,-598.2705078125,T,513.395080566406,-166.642517089844,markeloff,boltz,FAMAS
-182.523712158203,-584.835327148438,T,512.672973632812,-165.331100463867,B1ad3,boltz,FAMAS
-417.124053955078,-548.809875488281,T,63.5081176757812,-350.581207275391,bondik,FalleN,MP7
-245.975509643555,-600.375854492188,T,51.1994209289551,-335.095916748047,markeloff,FalleN,FAMAS
-390.753784179688,-567.525939941406,T,47.6390419006348,-331.123291015625,bondik,FalleN,MP7
-389.862518310547,-566.207946777344,T,40.1621246337891,-323.309234619141,bondik,FalleN,MP7
377.131317138672,-394.084686279297,T,173.937026977539,-92.3599319458008,WorldEdit,FalleN,Flashbang
377.039306640625,-394.140075683594,T,179.720458984375,-90.7768707275391,WorldEdit,FalleN,Flashbang
-2211.8310546875,-1243.84143066406,T,-2906.490234375,-642.462280273438,B1ad3,steel,FAMAS
-2206.384765625,-1237.42041015625,T,-2914.02490234375,-671.723876953125,B1ad3,steel,FAMAS
-2204.9716796875,-1235.78918457031,T,-3052.80322265625,-606.26123046875,B1ad3,coldzera,FAMAS
-2205.18408203125,-1236.0625,T,-3046.18994140625,-601.665161132812,B1ad3,coldzera,FAMAS
-2205.18408203125,-1236.0625,T,-2924.18896484375,-691.588989257812,B1ad3,steel,FAMAS
-2205.18408203125,-1236.0625,T,-3042.32299804688,-598.232116699219,B1ad3,coldzera,FAMAS
