attackerX,attackerY,victimSide,victimX,victimY
-1918.71740722656,-2230.75341796875,CT,-3570.43237304688,-2205.76928710938
-2564.576171875,-2783.45483398438,CT,-3637.158203125,-1988.16491699219
-2172.29638671875,-2629.25415039062,CT,-3758.498046875,-1992.5966796875
-3595.72583007812,-778.550903320312,CT,-3639.67578125,-1626.2880859375
-3610.1279296875,-775.242858886719,CT,-3647.93115234375,-1806.42370605469
-3678.02661132812,-775.970947265625,CT,-3581.43310546875,-1724.07470703125
-2310.8330078125,-2631.29443359375,CT,-3738.69995117188,-2054.5048828125
-3740.83374023438,-783.762878417969,CT,-3584.95434570312,-1723.71862792969
-3745.53295898438,-784.47998046875,CT,-3587.88891601562,-1724.19213867188
-3747.06225585938,-784.744934082031,CT,-3587.88891601562,-1724.19213867188
-2983.2197265625,554.489013671875,CT,-2348.04174804688,1216.98669433594
-2707.7060546875,951.157592773438,CT,-1946.23583984375,985.83203125
-2707.369140625,944.78271484375,CT,-1946.37573242188,988.539855957031
-2594.81982421875,846.013916015625,CT,-2400.66821289062,1239.95751953125
-2382.38134765625,640.289733886719,CT,-2453.31201171875,1227.33203125
-3563.119140625,-147.297103881836,CT,-2515.30200195312,1033.947265625
-3563.119140625,-147.297103881836,CT,-2515.30126953125,1034.03540039062
-3563.119140625,-147.297103881836,CT,-2515.76391601562,1034.44763183594
-1028.91735839844,266.367553710938,CT,-1145.56750488281,296.052703857422
-981.866760253906,-431.267730712891,CT,-1171.26391601562,284.173553466797
-765.561950683594,88.7373046875,CT,-1171.26391601562,284.173553466797
-1199.00134277344,-157.422088623047,CT,-1930.78442382812,-347.41552734375
-1184.65466308594,-165.179168701172,CT,-1931.375,-344.837463378906
-984.853820800781,-69.3515930175781,CT,-1283.08715820312,-19.9169826507568
-864.7587890625,-58.9301338195801,CT,-1559.42138671875,198.912139892578
-862.9130859375,-54.0729751586914,CT,-1560.6728515625,195.550918579102
-761.639404296875,248.728927612305,CT,-1323.66906738281,363.693542480469
-1660.95861816406,543.165954589844,CT,-1279.42553710938,256.893127441406
-1658.45642089844,542.605285644531,CT,-1278.88403320312,256.741882324219
-1648.56298828125,554.539794921875,CT,-1345.28039550781,113.860786437988
-1644.98046875,557.194641113281,CT,-1320.89733886719,122.456993103027
-1643.95666503906,558.002502441406,CT,-1321.73693847656,121.843292236328
-3135.39794921875,237.083358764648,CT,-2714.15649414062,917.794677734375
-3136.0029296875,247.141235351562,CT,-2702.91674804688,908.893737792969
-3143.43212890625,254.674163818359,CT,-2686.49658203125,895.775329589844
-3164.35961914062,270.2236328125,CT,-2682.17358398438,889.143371582031
-3178.94482421875,281.5966796875,CT,-2636.61743164062,897.8056640625
-3177.28149414062,280.185363769531,CT,-2633.634765625,895.654724121094
-3178.95678710938,281.684844970703,CT,-2633.84399414062,895.840270996094
-2291.45239257812,467.947845458984,CT,-2043.18603515625,650.714904785156
-2918.2021484375,603.22216796875,CT,-1992.95727539062,544.781005859375
-873.476440429688,-292.811553955078,CT,-1131.52172851562,268.215118408203
-866.325439453125,-327.587493896484,CT,-1135.15551757812,266.658477783203
-472.631225585938,-248.848083496094,CT,-687.621887207031,56.7140350341797
-3259.48486328125,-92.9601745605469,CT,-2387.63891601562,1101.77111816406
-3056.97119140625,651.812805175781,CT,-2397.47216796875,596.951171875
-3057.00170898438,651.38720703125,CT,-2397.66479492188,594.790893554688
-2917.00317382812,896.699035644531,CT,-2397.9541015625,278.166595458984
-3694.5498046875,-134.275833129883,CT,-3163.1708984375,124.660133361816
-3672.58422851562,-177.874969482422,CT,-3164.32666015625,120.020355224609
-3672.74072265625,-177.913375854492,CT,-3159.517578125,111.655097961426
-3930.64868164062,-651.170166015625,CT,-3159.85400390625,112.140022277832
-3959.6611328125,-570.860473632812,CT,-3156.84350585938,109.905708312988
-3118.3955078125,574.455139160156,CT,-2087.81420898438,969.570861816406
-2293.23046875,526.98193359375,CT,-2108.29541015625,419.570709228516
-2537.787109375,545.089538574219,CT,-2108.73486328125,418.480346679688
-3048.85083007812,692.510131835938,T,-2537.787109375,545.089538574219
-3046.93579101562,699.273254394531,T,-2532.9150390625,552.5830078125
-3046.93579101562,699.273254394531,CT,-2107.4716796875,411.727569580078
-3045.42651367188,704.465515136719,T,-2532.70947265625,553.031677246094
-2532.41796875,553.883178710938,CT,-2105.75170898438,404.602661132812
-2531.53344726562,556.471923828125,CT,-2104.04809570312,403.650146484375
-2874.97778320312,893.725280761719,CT,-2546.32543945312,804.134155273438
-2874.05346679688,897.209167480469,CT,-2539.09692382812,815.146850585938
-2466.98583984375,506.635040283203,CT,-2204.91333007812,499.178466796875
-3100.47729492188,569.36279296875,CT,-2834.609375,612.122680664062
-3100.00732421875,569.163940429688,CT,-2839.89282226562,617.214050292969
-3101.0068359375,574.531921386719,CT,-2854.46459960938,638.316101074219
-1717.15405273438,-1081.31384277344,CT,-1730.029296875,-162.940567016602
-1717.15405273438,-1081.31384277344,CT,-1739.48815917969,-162.943862915039
-1717.15405273438,-1081.31384277344,CT,-1745.56616210938,-163.919158935547
-1717.15405273438,-1081.31384277344,CT,-1750.80334472656,-166.611129760742
-2395.20825195312,-553.251403808594,CT,-2664.41674804688,-5.28591346740723
-2396.54833984375,-552.648071289062,CT,-2660.7275390625,-2.11970853805542
-2396.54833984375,-552.648071289062,CT,-2656.06176757812,0.341488063335419
-2358.6357421875,-564.3271484375,CT,-2654.86572265625,0.917552947998047
-3074.25341796875,644.601806640625,CT,-2210.11938476562,545.129272460938
-3074.12231445312,645.181396484375,CT,-2210.11938476562,545.129272460938
-3073.81909179688,647.5263671875,CT,-2198.80810546875,537.666015625
-3073.78881835938,647.742614746094,CT,-2194.81323242188,534.682556152344
-2546.78955078125,304.434967041016,CT,-1986.03857421875,665.194091796875
-2516.3564453125,303.048370361328,CT,-1981.36108398438,627.937622070312
-2770.25048828125,286.008361816406,CT,-1979.92065429688,608.982177734375
-2482.83081054688,284.398620605469,CT,-1982.69067382812,607.648864746094
-2470.12866210938,268.119659423828,CT,-1986.70593261719,614.632446289062
-2488.5869140625,288.073089599609,CT,-1986.47509765625,614.065490722656
-2510.11157226562,317.020385742188,CT,-1983.39868164062,606.621765136719
-2534.6669921875,358.148773193359,CT,-1981.04809570312,576.464660644531
-2539.77685546875,366.017730712891,CT,-1981.17468261719,572.187255859375
-2539.95849609375,365.880401611328,CT,-1981.17468261719,572.187255859375
-2539.8857421875,365.674011230469,CT,-1981.17468261719,572.187255859375
-2672.84887695312,761.359008789062,CT,-2165.2412109375,1016.44903564453
-2753.58984375,-901.012939453125,CT,-2292.38671875,-1285.86779785156
-2336.0546875,-1209.85729980469,CT,-2182.5390625,41.9050369262695
-2333.2373046875,-1210.41284179688,CT,-2188.58764648438,42.6241226196289
-2333.09375,-1210.44116210938,CT,-2202.09790039062,44.4032287597656
-2405.22900390625,-933.273254394531,CT,-2349.61254882812,-1300.96154785156
-3186.1201171875,439.712219238281,CT,-2365.7333984375,1076.55395507812
-2226.9384765625,-457.953765869141,CT,-2319.90185546875,-1292.40002441406
-2226.90600585938,-459.347625732422,CT,-2310.40869140625,-1294.44128417969
-2226.88940429688,-459.129425048828,CT,-2303.97827148438,-1294.97619628906
-1835.02685546875,625.782165527344,CT,-2178.6572265625,714.993347167969
-2172.16357421875,-5.28051376342773,CT,-2333.91137695312,-1262.21166992188
-2172.68920898438,-5.20907783508301,CT,-2336.33618164062,-1251.13305664062
-1597.03125,-369.061492919922,CT,-1465.96484375,-503.259307861328
-1601.80737304688,-373.274932861328,CT,-1467.89306640625,-489.785766601562
-1603.47521972656,-374.400268554688,CT,-1467.82104492188,-487.718231201172
-1603.08117675781,-376.829315185547,CT,-1482.04357910156,-500.183258056641
-2619.126953125,372.833984375,CT,-2775.98486328125,959.975219726562
-620.95556640625,-1201.76770019531,CT,-783.061279296875,53.770923614502
-657.690063476562,-1701.69409179688,CT,-555.088684082031,-345.246643066406
-825.077575683594,-7.60465478897095,CT,-929.476806640625,-401.571228027344
-821.004516601562,-8.74069499969482,CT,-930.669921875,-401.282287597656
-376.811431884766,-89.1845855712891,CT,-1462.9501953125,-159.042816162109
-2357.88989257812,-561.2177734375,CT,-2809.1728515625,228.886413574219
-2425.29760742188,-569.272094726562,CT,-2787.07495117188,246.962432861328
-2559.31982421875,-464.448577880859,CT,-2533.29931640625,-124.430717468262
-1729.73669433594,-861.332458496094,CT,-1576.94665527344,-862.336791992188
-1709.15026855469,-767.820190429688,CT,-1577.15515136719,-881.87158203125
-1664.89001464844,-710.240600585938,CT,-1574.02490234375,-891.309631347656
-1634.009765625,-689.093017578125,CT,-1574.78662109375,-892.260559082031
-3168.86987304688,404.884887695312,CT,-2576.69921875,819.931762695312
-3155.24926757812,138.099105834961,CT,-2535.091796875,965.259887695312
-3206.63720703125,368.215637207031,CT,-2592.46508789062,905.730712890625
-2785.76049804688,611.77978515625,CT,-2355.88208007812,1219.32165527344
-2616.388671875,444.415344238281,CT,-1822.07421875,602.880126953125
-2391.04345703125,543.503112792969,CT,-1821.65063476562,600.700073242188
-2164.67163085938,430.059051513672,CT,-2036.45263671875,629.030639648438
-2150.24243164062,281.570922851562,CT,-1884.56787109375,168.947006225586
