attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2701.4296875,-636.133239746094,CT,-2306.75024414062,-1729.50463867188,kioShiMa,fer,Glock-18
-2586.91088867188,-615.482849121094,CT,-2369.7822265625,-1844.22692871094,NBK-,fer,Glock-18
-2412.046875,-1216.23034667969,CT,-2479.69409179688,-1890.82312011719,kioShiMa,fer,Glock-18
-2404.650390625,-1231.3662109375,CT,-2437.00756835938,-1923.48071289062,kioShiMa,fer,Glock-18
-2407.6416015625,-1231.21655273438,CT,-2438.29223632812,-1923.43334960938,kioShiMa,fer,Glock-18
-2458.90405273438,-1339.70446777344,CT,-2127.47705078125,-1650.89221191406,kioShiMa,coldzera,Glock-18
-2446.02221679688,-1349.76391601562,CT,-2104.78564453125,-1629.71203613281,kioShiMa,coldzera,Glock-18
-2956.677734375,-1212.33227539062,CT,-1810.8359375,-1563.40026855469,NBK-,FalleN,Glock-18
-2005.94836425781,-736.068237304688,CT,-2049.16381835938,-1145.10778808594,apEX,steel,p250
-2005.94836425781,-736.068237304688,CT,-2048.69116210938,-1153.7392578125,apEX,steel,p250
-2005.94836425781,-736.068237304688,CT,-2046.66442871094,-1149.02099609375,apEX,steel,p250
-2005.94836425781,-736.068237304688,CT,-2024.0908203125,-1155.904296875,apEX,steel,p250
-2486.08935546875,-1287.08679199219,CT,-2196.6455078125,-1722.39416503906,kioShiMa,coldzera,Glock-18
-1776.62475585938,-1179.61267089844,CT,-1771.57897949219,-1533.6689453125,Happy,FalleN,Glock-18
-1774.88537597656,-1214.3154296875,CT,-1766.91430664062,-1549.04382324219,Happy,FalleN,Glock-18
-1759.45385742188,-1277.90759277344,CT,-1775.61279296875,-1596.12719726562,Happy,boltz,Glock-18
-1742.99169921875,-1375.44445800781,CT,-1777.60681152344,-1541.5537109375,Happy,boltz,Glock-18
-1742.78552246094,-1400.89123535156,CT,-1787.87573242188,-1535.29528808594,Happy,boltz,Glock-18
-1754.2724609375,-1407.36645507812,CT,-1788.138671875,-1534.48986816406,Happy,boltz,Glock-18
-1771.36083984375,-1404.48010253906,CT,-1771.71740722656,-1534.91333007812,Happy,boltz,Glock-18
-1785.10119628906,-1401.93688964844,CT,-1754.54919433594,-1522.93725585938,Happy,boltz,Glock-18
-1758.31506347656,-1394.42517089844,CT,-1765.56103515625,-1482.51623535156,Happy,boltz,Glock-18
-1751.66394042969,-1395.17785644531,CT,-1749.63940429688,-1473.67651367188,Happy,boltz,Glock-18
-559.423706054688,-68.6304626464844,CT,328.385955810547,-243.550964355469,kioShiMa,boltz,AK-47
-559.423706054688,-68.6304626464844,CT,330.899078369141,-240.706039428711,kioShiMa,boltz,AK-47
-2706.04614257812,1192.08947753906,CT,-2723.8076171875,486.604705810547,apEX,fer,MP7
-2707.42211914062,1189.59594726562,CT,-2717.77270507812,495.004516601562,apEX,fer,MP7
-2712.41333007812,1188.93395996094,CT,-2715.39038085938,499.033416748047,apEX,fer,MP7
-2730.1337890625,1187.97082519531,CT,-2710.5869140625,508.802520751953,apEX,fer,MP7
-2731.32177734375,1187.89270019531,CT,-2706.599609375,514.723999023438,apEX,fer,MP7
-2731.32177734375,1187.89270019531,CT,-2703.712890625,516.756652832031,apEX,fer,MP7
-2731.5869140625,1187.87219238281,CT,-2688.01147460938,547.629516601562,apEX,fer,MP7
-611.716369628906,-84.6226043701172,CT,587.540954589844,-268.218933105469,kioShiMa,boltz,AK-47
-901.379150390625,-502.010589599609,CT,-557.114135742188,-701.954467773438,Happy,steel,MAC-10
-904.840637207031,-508.010192871094,CT,-557.114135742188,-701.954467773438,Happy,steel,MAC-10
-906.712158203125,-511.130889892578,CT,-556.917541503906,-701.597839355469,Happy,steel,MAC-10
-905.711486816406,-509.398101806641,CT,-554.230407714844,-696.721313476562,Happy,steel,MAC-10
-906.836791992188,-511.276214599609,CT,-552.390686035156,-693.2998046875,Happy,steel,MAC-10
-906.972351074219,-514.340881347656,CT,-550.659851074219,-689.88232421875,Happy,steel,MAC-10
-2806.2451171875,-1566.67077636719,CT,-2559.52758789062,-1751.22192382812,NBK-,FalleN,p250
-2784.51684570312,-1579.603515625,CT,-2549.26293945312,-1732.80712890625,NBK-,FalleN,p250
-2000.74377441406,-1030.17529296875,CT,-1965.18737792969,-1242.31469726562,kennyS,coldzera,MAC-10
-1988.32971191406,-1042.6650390625,CT,-1954.8701171875,-1238.22058105469,kennyS,coldzera,MAC-10
-1988.46166992188,-1048.01892089844,CT,-1953.08422851562,-1237.06616210938,kennyS,coldzera,MAC-10
-2174.94775390625,-708.850646972656,CT,-1942.669921875,-1247.970703125,kioShiMa,coldzera,AK-47
-1936.01159667969,-1677.56103515625,CT,-2208.70190429688,-1268.08459472656,apEX,coldzera,MP7
-1947.283203125,-1692.58825683594,CT,-2214.013671875,-1276.71447753906,apEX,coldzera,MP7
-2021.40161132812,-1718.85205078125,CT,-2201.03002929688,-1147.91418457031,apEX,boltz,MP7
-592.311767578125,-170.218688964844,CT,686.425476074219,-270.103607177734,kioShiMa,boltz,AK-47
-768.03125,-403.042297363281,CT,-807.407775878906,-455.79443359375,Happy,fer,MAC-10
-768.03125,-410.736755371094,CT,-797.248901367188,-455.455291748047,Happy,fer,MAC-10
-768.03125,-415.866394042969,CT,-792.857421875,-453.465789794922,Happy,fer,MAC-10
-791.153686523438,-695.635070800781,CT,-68.714241027832,-416.795867919922,Happy,coldzera,MAC-10
-788.640991210938,-701.866271972656,CT,-70.9009246826172,-427.437591552734,Happy,coldzera,MAC-10
-787.912902832031,-703.622314453125,CT,-70.2970809936523,-432.065399169922,Happy,coldzera,MAC-10
-789.1005859375,-700.561767578125,CT,48.1893615722656,-408.289611816406,Happy,FalleN,MAC-10
-792.107238769531,-692.563415527344,CT,-67.3887939453125,-443.117340087891,Happy,coldzera,MAC-10
-797.5634765625,-677.206970214844,CT,-67.5559005737305,-454.343780517578,Happy,coldzera,MAC-10
-115.720993041992,-32.3543395996094,CT,709.775817871094,-457.999725341797,kioShiMa,boltz,AK-47
-799.159973144531,-672.875732421875,CT,53.5331268310547,-423.052612304688,Happy,FalleN,MAC-10
-111.974716186523,-33.9228286743164,CT,712.369140625,-448.237579345703,kioShiMa,boltz,AK-47
-1736.42041015625,-846.535400390625,CT,-1342.44104003906,-834.795532226562,apEX,steel,p250
-1604.44897460938,-973.269653320312,CT,-1347.32775878906,-852.276123046875,apEX,steel,p250
-1567.35986328125,-1032.43115234375,CT,-1349.86767578125,-845.770690917969,apEX,steel,p250
