attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-32.9914093017578,-2081.67041015625,CT,-1139.359375,-2519.22241210938,Happy,flamie,Glock-18
-844.997436523438,-2436.39086914062,CT,-1148.30749511719,-2487.30200195312,kioShiMa,flamie,Glock-18
-886.08837890625,-2351.10864257812,CT,-1140.80200195312,-2476.70288085938,kioShiMa,flamie,Glock-18
-895.110046386719,-2342.13427734375,CT,-1135.29809570312,-2489.27465820312,kioShiMa,flamie,Glock-18
-227.141555786133,-2164.3642578125,CT,-1124.306640625,-2507.10766601562,Happy,flamie,Glock-18
-1419.16137695312,-2407.36987304688,CT,-1646.35388183594,-695.96875,kioShiMa,seized,USP-S
-909.691955566406,-2499.77294921875,CT,-624.778259277344,-1809.10302734375,kioShiMa,Zeus,USP-S
-917.202575683594,-2496.64282226562,CT,-607.96142578125,-1846.95544433594,kioShiMa,Zeus,USP-S
-918.136108398438,-2496.25537109375,CT,-598.235412597656,-1865.65026855469,kioShiMa,Zeus,USP-S
-843.096008300781,-2302.44360351562,CT,-598.235412597656,-1865.65026855469,kennyS,Zeus,Glock-18
-919.886413574219,-2449.73217773438,CT,-708.306762695312,-2145.95190429688,kioShiMa,Edward,USP-S
-904.568115234375,-2459.3427734375,CT,-701.08447265625,-2157.08032226562,kioShiMa,Edward,USP-S
-907.682495117188,-2457.09594726562,CT,-709.539672851562,-2145.26733398438,kioShiMa,Edward,USP-S
-865.418029785156,-2270.15844726562,CT,-720.326965332031,-2130.52905273438,kennyS,Edward,Glock-18
-907.052368164062,-2457.64526367188,CT,-722.327453613281,-2127.98046875,kioShiMa,Edward,USP-S
-843.213439941406,-2290.5771484375,CT,-275.696472167969,-1516.61596679688,kennyS,GuardiaN,Glock-18
-907.453491210938,-2457.365234375,CT,-733.661682128906,-2117.53784179688,kioShiMa,Edward,USP-S
-152.357406616211,-2056.2236328125,CT,-281.615478515625,-1517.55786132812,Happy,GuardiaN,Glock-18
-130.078521728516,-2040.29663085938,CT,-298.524505615234,-1520.50085449219,Happy,GuardiaN,Glock-18
-137.395843505859,-2066.99951171875,CT,-337.883331298828,-1532.25207519531,Happy,GuardiaN,Glock-18
-125.743698120117,-2062.50073242188,CT,-293.687133789062,-1515.18225097656,Happy,GuardiaN,Glock-18
-129.034286499023,-2063.54956054688,CT,-295.726715087891,-1515.81457519531,Happy,GuardiaN,Glock-18
-609.9453125,-2412.99291992188,CT,-359.96875,-1512.03271484375,kioShiMa,GuardiaN,USP-S
-602.492980957031,-2414.71826171875,CT,-348.492218017578,-1507.20349121094,kioShiMa,GuardiaN,USP-S
-608.224731445312,-2413.236328125,CT,-324.465789794922,-1514.50085449219,kioShiMa,GuardiaN,USP-S
583.706237792969,-2087.03735351562,CT,414.419860839844,-2267.98022460938,NBK-,Zeus,Galil AR
586.037170410156,-2089.02392578125,CT,405.978271484375,-2261.52124023438,NBK-,Zeus,Galil AR
588.412658691406,-2091.34912109375,CT,399.992095947266,-2256.06787109375,NBK-,Zeus,Galil AR
590.908264160156,-2094.09643554688,CT,393.77978515625,-2253.19091796875,NBK-,Zeus,Galil AR
598.177856445312,-2078.89306640625,CT,345.525238037109,-2153.63696289062,NBK-,Zeus,Galil AR
-625.277099609375,-1270.64331054688,CT,-762.522521972656,-1426.27697753906,apEX,GuardiaN,MP7
-619.811218261719,-1273.64367675781,CT,-772.04638671875,-1420.7919921875,apEX,GuardiaN,MP7
-624.953552246094,-1267.19567871094,CT,-777.843383789062,-1416.26745605469,apEX,GuardiaN,MP7
-627.5234375,-1264.49853515625,CT,-777.843383789062,-1416.26745605469,apEX,GuardiaN,MP7
-629.355834960938,-1262.73425292969,CT,-777.843383789062,-1416.26745605469,apEX,GuardiaN,MP7
-632.347961425781,-1260.02770996094,CT,-778.194030761719,-1415.9296875,apEX,GuardiaN,MP7
832.295227050781,-2204.45776367188,CT,123.772064208984,-2369.3154296875,NBK-,flamie,Galil AR
832.297973632812,-2204.82299804688,CT,129.899261474609,-2369.96166992188,NBK-,flamie,Galil AR
-450.764404296875,-1531.72570800781,CT,124.930694580078,-2323.55517578125,kennyS,flamie,MAC-10
-876.378051757812,-1407.76782226562,CT,-1244.70544433594,-1306.1484375,Happy,Edward,MAC-10
-905.614685058594,-1419.27954101562,CT,-1239.98449707031,-1292.70104980469,Happy,Edward,MAC-10
-924.514709472656,-1380.1640625,CT,-1224.00354003906,-1255.78430175781,Happy,Edward,MAC-10
-384.110260009766,-1783.76977539062,CT,-1221.09790039062,-1249.22485351562,apEX,Edward,MP7
-576.300231933594,-993.622375488281,CT,-856.503723144531,292.027313232422,kioShiMa,seized,AK-47
-576.574829101562,-993.682922363281,CT,-839.530578613281,294.633972167969,kioShiMa,seized,AK-47
25.3227806091309,-2265.4111328125,CT,118.13899230957,-1976.07592773438,NBK-,Edward,Galil AR
158.744644165039,-1437.25610351562,CT,-258.022247314453,-2202.10961914062,kioShiMa,flamie,AK-47
16.03125,-2259.4716796875,CT,120.266746520996,-1966.3876953125,NBK-,Edward,Galil AR
