attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
7.24528503417969,-336.380004882812,T,674.243713378906,-402.460174560547,zonic,k0nfig,UMP-45
-572.105407714844,-568.400268554688,T,592.628356933594,-271.752471923828,Xyp9x,RUBINO,FAMAS
-571.996826171875,-568.782653808594,T,591.252197265625,-263.3388671875,Xyp9x,RUBINO,FAMAS
-570.943664550781,-572.646484375,T,599.323974609375,-297.390686035156,Xyp9x,RUBINO,FAMAS
-204.14567565918,-528.758666992188,T,579.890258789062,-233.975128173828,device,RUBINO,M4A4
-195.809478759766,-549.313903808594,T,580.645812988281,-236.520111083984,device,RUBINO,M4A4
-194.51953125,-554.974670410156,T,113.858840942383,-359.119293212891,device,MSL,M4A4
730.9052734375,-339.350006103516,T,-574.520141601562,-48.5124359130859,device,cajunb,CZ75 Auto
-578.217468261719,-684.263732910156,T,-138.152435302734,-428.871490478516,gla1ve,RUBINO,p250
-472.273864746094,-943.619140625,T,-147.413909912109,-414.282409667969,Xyp9x,RUBINO,p250
-489.014465332031,-959.664367675781,T,69.3614730834961,-947.595092773438,Xyp9x,MSL,p250
-477.546844482422,-804.132202148438,T,69.5881423950195,-958.605407714844,Xyp9x,MSL,p250
699.869934082031,-323.335845947266,T,-637.412170410156,-44.327709197998,gla1ve,RUBINO,USP-S
697.361267089844,-294.265716552734,T,-628.522277832031,-68.3332214355469,gla1ve,RUBINO,USP-S
-2654.84619140625,-117.125465393066,T,-2666.00073242188,111.787040710449,zonic,MSL,P2000
-3280.39233398438,4.19137859344482,T,-3277.72924804688,256.260375976562,Xyp9x,MSL,p250
-3283.60400390625,284.763031005859,T,-2697.05102539062,583.056335449219,Xyp9x,cajunb,p250
193.47932434082,-476.548278808594,T,371.362701416016,-122.625946044922,karrigan,RUBINO,P2000
-634.489074707031,-95.93310546875,T,-248.52001953125,-224.151138305664,device,cajunb,p250
-138.241287231445,-417.144073486328,T,579.589965820312,-268.277709960938,Xyp9x,RUBINO,MAC-10
-120.93041229248,-460.438293457031,T,310.257873535156,-276.861236572266,Xyp9x,k0nfig,MAC-10
-118.629486083984,-466.795593261719,T,310.257873535156,-276.861236572266,Xyp9x,k0nfig,MAC-10
-119.24462890625,-465.558013916016,T,310.220825195312,-276.773742675781,Xyp9x,k0nfig,MAC-10
-121.908378601074,-459.320983886719,T,309.733978271484,-275.716094970703,Xyp9x,k0nfig,MAC-10
-122.760444641113,-457.307495117188,T,309.502502441406,-275.209991455078,Xyp9x,k0nfig,MAC-10
747.861755371094,-346.176483154297,T,-631.878540039062,-39.0830116271973,device,cajunb,M4A4
-814.740234375,-385.30419921875,T,-738.989501953125,26.222204208374,gla1ve,MSL,M4A4
-809.3466796875,-386.097869873047,T,-738.744689941406,26.2301998138428,gla1ve,MSL,M4A4
-1895.66027832031,-1005.66510009766,T,-2184.84814453125,-24.7768135070801,Xyp9x,TENZKI,M4A1
-1895.44104003906,-1005.58953857422,T,-2192.12524414062,-36.3427467346191,Xyp9x,TENZKI,M4A1
-1888.31518554688,-1003.38269042969,T,-2195.70678710938,-39.8122177124023,Xyp9x,TENZKI,M4A1
