attackerX,attackerY,victimSide,victimX,victimY
-1159.71765136719,-765.560791015625,T,-1045.775390625,-53.5231666564941
-1159.71765136719,-765.560791015625,T,-982.292907714844,-101.204246520996
-1207.17504882812,-1123.55688476562,T,-1100.9013671875,-654.867370605469
-1188.787109375,-1144.23181152344,T,-1100.19506835938,-654.534729003906
-1221.56579589844,-1140.42736816406,T,-1103.87292480469,-654.135192871094
-1234.84692382812,-1137.97021484375,T,-1086.62158203125,-674.17236328125
-1244.31530761719,-1135.25354003906,T,-1111.236328125,-666.781494140625
-1052.16979980469,269.278137207031,T,-810.230590820312,-39.8161430358887
-1050.3896484375,269.522888183594,T,-810.230590820312,-39.8161430358887
-948.921020507812,283.473693847656,T,-783.026489257812,17.7237339019775
-931.299255371094,279.943695068359,T,-815.437927246094,2.6973729133606
-529.588317871094,-1448.43347167969,T,96.6886444091797,-2297.93310546875
-529.412536621094,-1448.30395507812,T,98.2861099243164,-2314.71215820312
-1165.22412109375,-752.995544433594,T,-648.966796875,-368.584991455078
-838.794555664062,203.488922119141,T,-722.073303222656,-361.577850341797
-679.702880859375,-818.378662109375,T,-319.695617675781,-668.89892578125
-684.942687988281,-803.629577636719,T,-319.502197265625,-676.888916015625
-652.406494140625,-491.609954833984,T,-319.290802001953,-678.589721679688
167.860000610352,-455.657745361328,T,398.786041259766,377.812561035156
-158.44123840332,-1840.02770996094,T,717.102233886719,-1460.56579589844
-158.44123840332,-1840.02770996094,T,626.233825683594,-1466.2353515625
169.577224731445,-1556.189453125,T,738.096557617188,-1625.42272949219
165.021774291992,-1561.64904785156,T,735.877258300781,-1634.09045410156
163.065414428711,-1551.94323730469,T,733.790466308594,-1643.62622070312
163.732650756836,-1535.66235351562,T,730.313354492188,-1662.80737304688
158.831604003906,-1564.79711914062,T,574.972900390625,-1603.92443847656
159.3447265625,-1558.91333007812,T,559.754516601562,-1691.533203125
-295.104766845703,-1529.59411621094,T,-9.00174617767334,-2116.69897460938
-294.974548339844,-1529.38830566406,T,-23.7246437072754,-2098.80737304688
-294.974548339844,-1529.38830566406,T,-37.2206382751465,-2082.40673828125
-294.974548339844,-1529.38830566406,T,-77.1768798828125,-2090.5673828125
-16.7410717010498,-1761.78955078125,T,-117.932983398438,-2080.99951171875
-294.974548339844,-1529.38830566406,T,-117.932983398438,-2080.99951171875
-294.974548339844,-1529.38830566406,T,-135.474670410156,-2089.33374023438
-272.190887451172,-1844.09167480469,T,102.35718536377,-2029.8837890625
-268.009307861328,-1835.52514648438,T,96.858024597168,-2034.31494140625
-1047.98815917969,158.530975341797,T,-893.809143066406,474.657623291016
45.2125816345215,-2275.22900390625,T,191.13508605957,-2337.30297851562
-1145.06494140625,-291.045196533203,T,-1247.99865722656,-740.163757324219
-1139.65222167969,-304.1044921875,T,-1247.99865722656,-746.619323730469
-1138.88684082031,-333.220794677734,T,-1247.99865722656,-755.013977050781
-1145.69763183594,-337.963623046875,T,-1247.99865722656,-755.651000976562
-1153.02697753906,-337.988403320312,T,-1247.99865722656,-755.651000976562
-1170.28625488281,-540.702453613281,T,-219.933288574219,-736.376831054688
-1168.19372558594,-530.11962890625,T,-219.236236572266,-736.225646972656
-806.098327636719,-916.299194335938,T,383.773101806641,-83.2180023193359
-806.098327636719,-916.299194335938,T,383.850921630859,-83.3328094482422
-806.098327636719,-916.299194335938,T,383.850921630859,-83.3328094482422
-806.098327636719,-916.299194335938,T,382.00830078125,-84.6238327026367
-807.202270507812,-919.410583496094,T,382.230895996094,-136.021179199219
-807.202270507812,-919.410583496094,T,385.720245361328,-140.877746582031
-806.724182128906,-920.149353027344,T,384.312561035156,-138.714721679688
-1068.55102539062,-2526.33227539062,T,278.404632568359,-1511.62719726562
-1047.41320800781,-2511.19409179688,T,214.992706298828,-1519.17553710938
-1472.22082519531,-852.886535644531,T,-1011.68615722656,-1420.67126464844
-642.538024902344,-1302.7763671875,T,-955.604370117188,-1527.990234375
-644.560668945312,-1301.2001953125,T,-955.851196289062,-1527.64196777344
-496.064300537109,-1514.94616699219,T,706.332946777344,-1638.541015625
-843.301452636719,-325.053375244141,T,425.875457763672,-494.324066162109
-843.609680175781,-326.939758300781,T,432.377044677734,-591.607971191406
-843.609680175781,-326.939758300781,T,433.877410888672,-614.058166503906
-814.168518066406,-320.904510498047,T,410.179168701172,-557.162353515625
-814.168518066406,-320.904510498047,T,408.416839599609,-566.595642089844
-814.061828613281,-320.365020751953,T,407.801055908203,-569.9423828125
-786.840393066406,-201.598693847656,T,-140.302886962891,-740.297119140625
-971.822814941406,-2456.18408203125,T,237.975082397461,-1552.2529296875
-865.362670898438,78.0103530883789,T,-320.674041748047,-920.812255859375
-729.682922363281,-1306.27233886719,T,-604.861328125,-737.24560546875
-1172.03112792969,-701.786499023438,T,-307.654632568359,-580.239562988281
-909.999877929688,76.4576797485352,T,-462.781646728516,-775.907592773438
-891.261047363281,64.5910339355469,T,-526.635925292969,-755.445495605469
-412.191497802734,-2238.1005859375,T,-735.599304199219,-1041.67468261719
-894.234008789062,71.5498275756836,T,-516.278503417969,-753.804565429688
-1274.57824707031,-1469.20739746094,T,-759.996032714844,-1084.51696777344
-363.287872314453,-2220.84594726562,T,-564.360107421875,-780.583251953125
-363.287872314453,-2220.84594726562,T,-606.00146484375,-782.272094726562
-768.81884765625,59.0982475280762,T,-683.117004394531,-923.523620605469
-897.648193359375,-388.736358642578,T,-682.525329589844,-923.495422363281
-859.169616699219,-1337.67749023438,T,-137.189483642578,-2073.92822265625
-831.715881347656,-1356.11535644531,T,-681.4794921875,-2277.990234375
-158.746337890625,-2132.5419921875,T,447.395965576172,-1520.00671386719
-1223.41088867188,-1120.91687011719,T,-1035.44165039062,-642.593872070312
-1223.41088867188,-1120.91687011719,T,-1033.44140625,-674.771850585938
-985.0126953125,293.236785888672,T,-554.631286621094,-479.403778076172
-985.0126953125,293.236785888672,T,-547.276977539062,-475.527648925781
-944.195007324219,287.094635009766,T,-619.680786132812,-428.629425048828
-939.152221679688,289.356811523438,T,-603.940795898438,-419.798187255859
-810.086120605469,294.456298828125,T,-817.663146972656,-63.0361938476562
-1345.11376953125,-976.675476074219,T,-1138.21716308594,-865.547119140625
-978.014343261719,-2550.19555664062,CT,-9.69404220581055,-1874.76416015625
-1360.66027832031,-972.06201171875,T,-1159.84582519531,-898.305725097656
13.6910514831543,-1708.96411132812,T,177.518203735352,-1602.84497070312
47.2016487121582,-1798.88049316406,T,-1275.96875,-1396.81323242188
47.3269462585449,-1798.46960449219,T,-1275.96875,-1415.75561523438
-795.071899414062,39.5424346923828,T,-732.776611328125,-496.677642822266
-761.716247558594,76.1821441650391,T,-806.168212890625,-493.505584716797
-789.579284667969,-12.1210794448853,T,-643.460144042969,-939.726806640625
-801.374938964844,-13.6866521835327,T,-666.886535644531,-943.227355957031
-1724.92944335938,787.381958007812,T,-1059.05432128906,654.569274902344
-2000.63195800781,288.623046875,T,-1118.74450683594,447.623565673828
-2000.63195800781,288.623046875,T,-1120.26184082031,457.345245361328
-2269.181640625,571.51611328125,T,-969.632507324219,573.500122070312
-2165.11840820312,619.526977539062,T,-1106.96142578125,518.816040039062
-2509.484375,241.430801391602,T,-1842.71704101562,223.680297851562
-2509.484375,241.430801391602,T,-1842.62170410156,219.254776000977
-2512.12963867188,292.991760253906,T,-2056.7373046875,834.642700195312
-2499.95556640625,239.303421020508,T,-975.676025390625,248.926483154297
-2499.95556640625,239.303421020508,T,-975.676025390625,248.926483154297
-2499.95556640625,239.303421020508,T,-975.676025390625,248.926483154297
-2499.95556640625,239.303421020508,T,-975.676025390625,248.926483154297
-1938.62768554688,-135.383483886719,T,-1726.85998535156,99.4054870605469
-1939.01879882812,-134.997192382812,T,-1731.29357910156,103.395431518555
-1939.67712402344,-134.381271362305,T,-1733.91613769531,105.745887756348
-2126.53149414062,-86.4954986572266,T,-2000.12145996094,765.159240722656
-1546.70068359375,-19.6702480316162,T,-1817.28332519531,784.182678222656
-779.430358886719,-1514.16479492188,T,263.223327636719,-2348.193359375
-934.439514160156,-2537.00268554688,T,347.177307128906,-1575.56091308594
-1009.98907470703,-2563.21215820312,T,-6.85874891281128,-1727.61267089844
-531.932739257812,-1372.07006835938,T,-13.4259872436523,-2153.8232421875
-531.932739257812,-1372.07006835938,T,-56.5459899902344,-2128.19262695312
-1049.31274414062,-2517.08837890625,T,59.3136138916016,-1425.20642089844
-1050.603515625,-2515.42016601562,T,36.2618446350098,-1428.81701660156
-1049.32556152344,-2517.09594726562,T,56.2120094299316,-1420.13696289062
-381.493682861328,-2394.97973632812,T,-461.039184570312,-2204.75805664062
-381.493682861328,-2394.97973632812,CT,-749.399536132812,-1414.07922363281
-381.493682861328,-2394.97973632812,T,-471.272247314453,-2203.49853515625
-381.493682861328,-2394.97973632812,T,-485.092010498047,-2199.73413085938
-1224.68481445312,-1251.63830566406,T,-67.3941421508789,-2041.45434570312
-438.734344482422,-2327.802734375,T,-306.320739746094,-2189.21166992188
-437.368347167969,-2329.42504882812,T,-296.704193115234,-2202.82763671875
-430.594268798828,-2335.92260742188,T,-295.414001464844,-2204.69946289062
-539.63037109375,-1463.55102539062,T,-88.5539016723633,-2108.93505859375
-538.601928710938,-1466.18884277344,T,-94.6335067749023,-2114.00268554688
-1033.79797363281,-2438.20288085938,T,-95.1333923339844,-2114.18212890625
-537.294311523438,-1564.20788574219,T,123.975158691406,-1653.53918457031
-537.135559082031,-1568.47595214844,T,125.898658752441,-1635.45227050781
-537.183227539062,-1568.91479492188,T,125.641815185547,-1637.98974609375
-537.39404296875,-1571.07897949219,T,126.440315246582,-1631.57421875
-537.553161621094,-1572.86645507812,T,126.596389770508,-1630.48168945312
-975.458740234375,-2504.9609375,T,244.049255371094,-1554.87158203125
-350.495208740234,-2208.76342773438,T,-137.54524230957,-1423.06628417969
-350.495208740234,-2208.76342773438,T,-141.954345703125,-1424.68981933594
-712.253784179688,-625.9736328125,T,-713.578979492188,-1177.84887695312
-718.805541992188,-626.062072753906,T,-721.252319335938,-1181.056640625
-718.453918457031,-626.10791015625,T,-728.233459472656,-1181.00329589844
-1430.64416503906,-2180.47509765625,T,-630.135498046875,-2230.826171875
-741.02294921875,-1327.953125,T,-211.497756958008,-2348.37866210938
-761.140258789062,-1322.49792480469,T,-202.389862060547,-2343.89282226562
-777.123840332031,-1328.43420410156,T,-180.100036621094,-2330.81787109375
-795.738525390625,-1335.64965820312,T,-163.146957397461,-2308.06396484375
-810.270874023438,-1347.75817871094,T,-150.716461181641,-2271.46850585938
-817.290710449219,-1354.63256835938,T,-150.179824829102,-2228.85083007812
-513.108154296875,-1465.68017578125,T,-160.776779174805,-2165.21801757812
-513.161682128906,-1465.69616699219,T,-160.346588134766,-2166.43310546875
-309.901733398438,-1988.60925292969,T,4.86517858505249,-1458.41064453125
-647.406860351562,-2196.345703125,T,280.231048583984,-1514.87890625
-571.811401367188,-2265.72802734375,T,-278.415496826172,-1601.80053710938
-1116.43542480469,-1370.91088867188,T,-641.051452636719,-1196.46020507812
-1103.53271484375,-1422.18054199219,CT,-496.03125,-1382.92541503906
-1112.67419433594,-1394.08581542969,CT,-496.03125,-1353.26135253906
-1123.67419433594,-1359.0830078125,CT,-496.03125,-1322.45300292969
-1118.76708984375,-1357.04321289062,CT,-498.042297363281,-1311.73559570312
-1094.49853515625,-1366.59704589844,CT,-497.852416992188,-1321.85388183594
-1062.35522460938,-1379.5390625,CT,-496.007202148438,-1332.546875
-1031.2158203125,-1389.81079101562,CT,-499.198181152344,-1346.30480957031
-498.797149658203,-1352.03662109375,T,-807.99755859375,-1218.72766113281
-1029.4619140625,-1390.66967773438,CT,-496.630493164062,-1361.07775878906
-1029.36853027344,-1390.98010253906,T,-807.433959960938,-1218.03515625
-1029.36853027344,-1390.98010253906,CT,-496.005187988281,-1367.28308105469
-1028.81848144531,-1392.79992675781,CT,-496.004364013672,-1374.58715820312
-496.004364013672,-1374.58715820312,T,-797.246948242188,-1206.36730957031
-496.004364013672,-1374.58715820312,T,-793.230285644531,-1206.52648925781
-720.503234863281,-1405.05505371094,CT,-720.503234863281,-1405.05505371094
-690.250915527344,-1412.58459472656,CT,-690.250915527344,-1412.58459472656
-708.773315429688,-1413.10620117188,CT,-708.773315429688,-1413.10620117188
-2366.83740234375,-677.594116210938,T,-2279.0947265625,-241.048202514648
-2362.16040039062,-695.891418457031,T,-2263.09790039062,-239.044586181641
-748.647033691406,129.845977783203,T,-2511.51391601562,292.877899169922
-2141.80859375,-557.596496582031,T,-2316.19946289062,-246.003845214844
-2101.46459960938,-600.553955078125,T,-2156.84887695312,-247.994323730469
-1360.49011230469,-982.565368652344,T,-1599.43188476562,-732.653991699219
-329.630950927734,-2010.80151367188,T,320.882415771484,-1711.97619628906
-718.135009765625,-1365.08581542969,T,-681.363037109375,-544.109680175781
-1611.388671875,862.1103515625,CT,-1611.388671875,862.1103515625
-843.679870605469,-1353.59533691406,T,206.029479980469,-2346.44116210938
151.318649291992,-2071.99926757812,T,-437.188873291016,-1855.63037109375
151.318649291992,-2071.99926757812,T,-445.281677246094,-1875.54663085938
151.318649291992,-2071.99926757812,T,-454.024810791016,-1891.78491210938
151.318649291992,-2071.99926757812,T,-463.270782470703,-1908.16259765625
-1238.58850097656,-1196.34631347656,T,-1063.56079101562,-1481.84460449219
-764.606384277344,-954.201354980469,T,-390.40283203125,-2248.64819335938
-766.647521972656,-954.798217773438,T,-389.411682128906,-2248.37768554688
-605.727294921875,-1123.32800292969,T,-819.689575195312,-1532.68273925781
-1163.28393554688,-715.010864257812,T,400.209014892578,-461.3994140625
-1163.28393554688,-715.010864257812,T,312.632873535156,-115.340202331543
-1247.98229980469,-523.28759765625,T,480.705688476562,-848.22509765625
-1247.86047363281,-534.206481933594,T,480.087646484375,-850.70751953125
-781.230407714844,-382.104125976562,T,446.205963134766,-541.461181640625
-763.022705078125,-632.960327148438,T,446.575408935547,-544.72021484375
-781.161804199219,-381.569641113281,T,448.607360839844,-562.644897460938
-781.663635253906,-374.452514648438,T,477.682281494141,-569.584533691406
-781.823852539062,-375.534606933594,T,478.227935791016,-564.95751953125
-858.58056640625,-755.515441894531,T,-1047.9951171875,-249.94612121582
-854.204406738281,-752.207702636719,T,-1047.73498535156,-250.997711181641
16.2628631591797,-693.877075195312,T,369.301910400391,132.58251953125
16.2628631591797,-693.877075195312,T,364.360595703125,134.588439941406
992.171508789062,-1916.31970214844,T,994.783447265625,-1561.65637207031
1000.34417724609,-1916.15393066406,T,988.76220703125,-1561.29016113281
994.454528808594,-1916.19616699219,T,981.624145507812,-1561.45727539062
994.371520996094,-1916.17639160156,T,975.262145996094,-1561.72766113281
994.849060058594,-1916.16796875,T,968.586975097656,-1562.06799316406
-1849.31176757812,18.8553829193115,T,-1756.1943359375,810.959289550781
-1842.4140625,16.5198497772217,T,-1549.05419921875,784.3798828125
-2235.02001953125,790.044982910156,T,-1743.9970703125,863.999633789062
-1805.24243164062,-36.5122184753418,T,-1735.50256347656,854.444458007812
-2253.708984375,633.854370117188,T,-1735.50256347656,854.444458007812
-2252.11328125,633.832397460938,T,-1735.50256347656,854.444458007812
-2252.1513671875,633.980407714844,T,-1735.3740234375,854.155395507812
-1408.439453125,-2399.32202148438,T,29.2216320037842,-2137.65356445312
-1408.439453125,-2399.32202148438,T,30.697021484375,-2148.10375976562
-1408.439453125,-2399.32202148438,T,33.5171394348145,-2164.97680664062
-693.476013183594,-1009.77655029297,T,-748.7666015625,-2263.54516601562
-694.44921875,-1010.05255126953,T,-818.138854980469,-2294.05834960938
-1791.837890625,-2029.67602539062,T,-1082.59826660156,-2392.08666992188
-1568.02404785156,-2188.38305664062,T,-869.546142578125,-2348.68310546875
