attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-246.011047363281,2469.13525390625,CT,-2105.07958984375,2157.88940429688,RUBINO,hazed,Glock-18
-2949.90747070312,-1077.58947753906,CT,-2542.2158203125,-1802.19775390625,k0nfig,pita,Glock-18
-2375.5615234375,-841.185485839844,CT,-2158.353515625,-1352.78186035156,TENZKI,reltuC,Glock-18
-2290.31176757812,-1061.89904785156,CT,-2169.16015625,-1358.18322753906,cajunb,reltuC,Glock-18
-2418.59838867188,-1008.23376464844,CT,-2429.8759765625,-1804.4287109375,RUBINO,pita,Glock-18
-2430.28881835938,-1008.27709960938,CT,-2442.5029296875,-1799.39270019531,RUBINO,pita,Glock-18
-2125.85083007812,-1360.8173828125,CT,-2437.76513671875,-1797.95544433594,cajunb,pita,USP-S
-2439.86743164062,-1008.23522949219,CT,-2449.740234375,-1790.67980957031,RUBINO,pita,Glock-18
-2444.9931640625,-1008.22229003906,CT,-2446.20874023438,-1776.53735351562,RUBINO,pita,Glock-18
-2445.45947265625,-1008.45056152344,CT,-2447.35400390625,-1760.00427246094,RUBINO,pita,Glock-18
-2111.07104492188,-1356.76611328125,CT,-2447.14038085938,-1741.25354003906,cajunb,pita,USP-S
-2413.30126953125,-1482.93249511719,CT,-1729.32434082031,-1560.16101074219,RUBINO,koosta,Glock-18
-2410.68139648438,-1455.45288085938,CT,-1730.30261230469,-1569.78723144531,RUBINO,koosta,Glock-18
-1976.1181640625,-1126.77404785156,CT,-2211.50244140625,82.203254699707,cajunb,tarik,USP-S
-2450.14477539062,-703.596008300781,CT,-1852.962890625,-985.702087402344,cajunb,hazed,USP-S
-2790.40454101562,-1460.16076660156,CT,-1757.52807617188,-843.763854980469,RUBINO,hazed,Glock-18
-2420.24951171875,-722.610778808594,CT,-1815.75537109375,-956.770568847656,cajunb,hazed,USP-S
-2454.361328125,111.804573059082,CT,-2889.5244140625,91.490119934082,MSL,pita,MAC-10
-2461.7763671875,101.584732055664,CT,-2889.03051757812,85.454948425293,MSL,pita,MAC-10
-2462.90649414062,104.303436279297,CT,-2889.03051757812,85.454948425293,MSL,pita,MAC-10
-2463.3896484375,105.588760375977,CT,-2889.03051757812,85.454948425293,MSL,pita,MAC-10
-2462.29931640625,79.9993209838867,CT,-2888.72631835938,76.9748229980469,MSL,pita,MAC-10
-2462.18823242188,76.1791076660156,CT,-2888.62353515625,74.7711334228516,MSL,pita,MAC-10
-2637.37109375,110.143005371094,CT,-2669.4775390625,-149.44987487793,TENZKI,pita,MAC-10
-2825.56518554688,-1227.9150390625,CT,-2590.97583007812,-1722.2861328125,TENZKI,hazed,MAC-10
-2851.115234375,-704.942138671875,CT,-2577.08471679688,-1715.69213867188,cajunb,hazed,AK-47
-2798.0419921875,-1252.67785644531,CT,-2570.61303710938,-1712.64733886719,TENZKI,hazed,MAC-10
-2832.14624023438,-1359.39392089844,CT,-2578.32397460938,-1716.37377929688,TENZKI,hazed,MAC-10
-2273.15795898438,-1744.66625976562,CT,-1750.45471191406,-1607.65869140625,RUBINO,reltuC,AK-47
-2416.748046875,-1435.8427734375,CT,-1737.35754394531,-1559.25415039062,k0nfig,reltuC,PP-Bizon
-2275.875,-1640.43029785156,CT,-1735.95056152344,-1551.88854980469,RUBINO,reltuC,AK-47
-2418.12841796875,-1442.54748535156,CT,-1735.05102539062,-1546.64624023438,k0nfig,reltuC,PP-Bizon
-2274.5224609375,-1639.2392578125,CT,-1734.69653320312,-1544.45861816406,RUBINO,reltuC,AK-47
-3150.04760742188,400.165100097656,CT,-3242.486328125,-20.6111965179443,k0nfig,koosta,PP-Bizon
-3129.88720703125,613.647888183594,T,-3174.60815429688,406.783325195312,cajunb,k0nfig,AK-47
