attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2130.96166992188,1669.62780761719,CT,-2454.48950195312,51.285530090332,denis,EliGE,Glock-18
-2190.5146484375,1682.70593261719,CT,-2439.50244140625,48.3473014831543,denis,EliGE,Glock-18
-2215.99780273438,1686.56286621094,CT,-2394.82763671875,164.228881835938,denis,Hiko,Glock-18
-2262.10668945312,1692.03503417969,CT,-2373.97607421875,161.258728027344,denis,Hiko,Glock-18
-1652.2294921875,535.623840332031,CT,-2006.29040527344,619.680053710938,chrisJ,EliGE,Glock-18
-1660.85546875,510.152618408203,CT,-1980.96765136719,614.275634765625,chrisJ,EliGE,Glock-18
-3210.19018554688,256.474884033203,CT,-2884.43725585938,448.422821044922,chrisJ,s1mple,Glock-18
-3175.32397460938,309.006652832031,CT,-2845.57934570312,416.29248046875,chrisJ,s1mple,Glock-18
-2581.4619140625,1443.03820800781,CT,-2854.06860351562,422.993560791016,Spiidi,s1mple,Glock-18
-817.436157226562,-718.788513183594,CT,616.9052734375,-236.121856689453,nex,jdm64,Glock-18
-402.469635009766,-102.825134277344,CT,599.177001953125,-178.955963134766,NiKo,jdm64,Glock-18
-103.60758972168,-473.560485839844,CT,-566.799926757812,-979.599426269531,NiKo,s1mple,USP-S
-452.179412841797,-557.459838867188,CT,462.281677246094,-1431.72302246094,nex,EliGE,Glock-18
-343.28466796875,-520.575500488281,CT,450.477783203125,-1420.78564453125,nex,EliGE,Glock-18
-101.630729675293,-494.526550292969,CT,-486.717651367188,-834.747131347656,nex,Hiko,Glock-18
-87.2678833007812,-503.096588134766,CT,-487.911926269531,-833.196228027344,nex,Hiko,Glock-18
-40.2578048706055,-389.273620605469,CT,-520.508239746094,-947.876647949219,nex,Hiko,Glock-18
-43.2118148803711,-391.391662597656,CT,-505.916015625,-962.774047851562,nex,Hiko,Glock-18
-217.460845947266,-616.795532226562,CT,421.565734863281,-1401.07690429688,nex,EliGE,Glock-18
-839.573303222656,-535.182739257812,CT,-595.053588867188,-702.487854003906,NiKo,Hiko,Tec-9
-844.304443359375,-575.62060546875,CT,-596.242126464844,-706.181457519531,NiKo,Hiko,Tec-9
-306.862396240234,-575.329833984375,CT,-241.378540039062,-1022.02368164062,nex,jdm64,Tec-9
-274.630798339844,-574.0009765625,CT,-243.051147460938,-1021.56915283203,nex,jdm64,Tec-9
-273.254028320312,-572.969787597656,CT,-275.105316162109,-1023.80633544922,nex,jdm64,Tec-9
-1918.68273925781,-1291.9736328125,CT,-1751.71862792969,-1432.13610839844,NiKo,nitr0,Tec-9
-2422.79638671875,-1440.50524902344,CT,-1816.67236328125,-1594.12353515625,chrisJ,nitr0,p250
-1960.71118164062,-1186.0341796875,CT,-2527.26977539062,-818.474609375,Spiidi,s1mple,Tec-9
-1955.95593261719,-1193.89282226562,CT,-2511.10375976562,-798.903625488281,Spiidi,s1mple,Tec-9
-1952.0634765625,-1204.97277832031,CT,-2116.66796875,-1048.68640136719,Spiidi,nitr0,Tec-9
-3041.74267578125,-622.644287109375,CT,-1866.28393554688,-977.913513183594,nex,nitr0,p250
-2967.42749023438,-672.323913574219,CT,-1918.69775390625,-969.030944824219,denis,nitr0,p250
-2970.17016601562,-685.268676757812,CT,-1917.11499023438,-962.210876464844,denis,nitr0,p250
-2374.56420898438,434.255584716797,CT,-2092.19116210938,-140.255493164062,NiKo,s1mple,Desert Eagle
-2524.52685546875,-836.7880859375,CT,-2049.45141601562,-304.676544189453,chrisJ,s1mple,Glock-18
-2647.60766601562,-1705.05432128906,CT,-1906.71105957031,-1545.27197265625,denis,jdm64,p250
-2415.26586914062,440.32958984375,CT,-2118.49389648438,-92.6141128540039,Spiidi,nitr0,AK-47
-2416.03930664062,439.856567382812,CT,-2132.853515625,-93.5459518432617,Spiidi,nitr0,AK-47
-2416.89233398438,439.405700683594,CT,-2134.67431640625,-94.4533462524414,Spiidi,nitr0,AK-47
-401.867523193359,-569.86083984375,CT,88.8988723754883,-855.006530761719,NiKo,EliGE,AK-47
-404.517944335938,-574.150268554688,CT,83.3908004760742,-864.456604003906,NiKo,EliGE,AK-47
-405.083740234375,-576.645935058594,CT,83.5016555786133,-864.291442871094,NiKo,EliGE,AK-47
-404.700622558594,-578.530151367188,CT,83.927001953125,-863.575866699219,NiKo,EliGE,AK-47
-2994.05493164062,-175.990295410156,CT,-3107.55688476562,3.57957768440247,nex,s1mple,Tec-9
-3253.45458984375,75.5389785766602,CT,-3096.15966796875,17.0017795562744,Spiidi,s1mple,Tec-9
-3261.6630859375,52.4137229919434,CT,-3094.56225585938,20.9567050933838,Spiidi,s1mple,Tec-9
-3068.79174804688,-104.175422668457,CT,-3405.40112304688,-519.65771484375,chrisJ,nitr0,AWP
-3073.5390625,-135.96875,CT,-3149.81225585938,-107.627723693848,nex,s1mple,Tec-9
-2990.60791015625,-1120.50402832031,CT,-1763.33728027344,-1632.85266113281,nex,jdm64,AK-47
-2989.40991210938,-1125.75085449219,CT,-1759.65344238281,-1624.29516601562,nex,jdm64,AK-47
-2158.91259765625,-1364.93469238281,CT,-2411.24365234375,-690.015869140625,nex,EliGE,AK-47
-423.133666992188,-254.192169189453,CT,690.003112792969,-175.869110107422,chrisJ,jdm64,AWP
-349.185882568359,-563.476501464844,CT,-315.286590576172,-976.252258300781,NiKo,Hiko,AK-47
-347.675201416016,-563.384765625,CT,-321.26953125,-974.416015625,NiKo,Hiko,AK-47
-338.361175537109,-562.875305175781,CT,-323.775115966797,-971.21875,NiKo,Hiko,AK-47
-234.292709350586,-516.173522949219,CT,-315.650848388672,-971.0546875,nex,Hiko,AK-47
-306.639739990234,-551.816955566406,CT,-313.837036132812,-971.0546875,NiKo,Hiko,AK-47
-303.171844482422,-549.830871582031,CT,-307.92041015625,-971.0546875,NiKo,Hiko,AK-47
-216.909255981445,-520.140502929688,CT,-299.547943115234,-970.984008789062,nex,Hiko,AK-47
-274.419006347656,-579.244201660156,CT,477.079986572266,-1416.0517578125,nex,EliGE,AK-47
-265.451568603516,-550.784729003906,CT,446.499755859375,-1429.2060546875,nex,EliGE,AK-47
-266.491058349609,-551.533569335938,CT,446.200988769531,-1429.43395996094,nex,EliGE,AK-47
-266.491058349609,-551.533569335938,CT,445.400665283203,-1430.07397460938,nex,EliGE,AK-47
-266.113464355469,-551.226501464844,CT,444.183166503906,-1431.04296875,nex,EliGE,AK-47
-220.731369018555,-521.739074707031,CT,-430.574066162109,-816.283325195312,nex,nitr0,AK-47
-4.82972764968872,-374.325042724609,CT,-271.518310546875,-630.880310058594,chrisJ,s1mple,AWP
-214.272094726562,-684.464111328125,CT,-140.585205078125,-468.582794189453,Spiidi,nitr0,Desert Eagle
-1891.05151367188,-1611.96875,CT,-2202.02612304688,-1353.16833496094,NiKo,Hiko,UMP-45
-2370.7568359375,-1386.30395507812,CT,-2476.51245117188,-661.399719238281,NiKo,s1mple,M4A4
-2370.22412109375,-1386.02709960938,CT,-2476.08740234375,-661.302856445312,NiKo,s1mple,M4A4
-2369.28002929688,-1461.72229003906,CT,-1750.60400390625,-1589.46716308594,NiKo,EliGE,M4A4
-2369.53833007812,-1463.11389160156,CT,-1755.57751464844,-1613.92211914062,NiKo,EliGE,M4A4
-2234.61328125,-1547.56518554688,CT,-2177.26538085938,-1226.45373535156,NiKo,jdm64,M4A4
-2234.90795898438,-1547.671875,CT,-2169.50659179688,-1231.47387695312,NiKo,jdm64,M4A4
-2239.26196289062,-1546.82946777344,CT,-2164.38330078125,-1233.67419433594,NiKo,jdm64,M4A4
-2957.67919921875,-630.489807128906,CT,-2245.45678710938,-1143.19274902344,chrisJ,jdm64,AWP
-2969.75317382812,-727.65625,CT,-2292.80004882812,-689.695373535156,chrisJ,nitr0,AWP
-2967.93017578125,-689.813232421875,CT,-2539.02661132812,-862.331420898438,chrisJ,nitr0,AWP
-2434.9111328125,1633.39892578125,CT,-2875.6259765625,388.201995849609,chrisJ,s1mple,AWP
-859.121948242188,-288.926422119141,CT,-802.4609375,-675.511840820312,NiKo,Hiko,UMP-45
-843.830871582031,-326.472198486328,CT,-854.624206542969,-501.658874511719,NiKo,nitr0,UMP-45
-860.693786621094,-290.559417724609,CT,-662.308532714844,-770.89453125,NiKo,jdm64,UMP-45
276.981384277344,-333.978912353516,CT,-428.002288818359,-567.704895019531,denis,jdm64,AK-47
256.50634765625,-357.939544677734,CT,-446.102264404297,-537.761840820312,denis,jdm64,AK-47
256.660461425781,-358.536102294922,CT,-451.742980957031,-531.059020996094,denis,jdm64,AK-47
