attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-313.984191894531,-1579.93994140625,CT,-762.901733398438,-2068.2099609375,nex,s1mple,UMP-45
-317.903961181641,-1576.54125976562,CT,-761.416870117188,-2071.52783203125,nex,s1mple,UMP-45
-321.880187988281,-1573.05786132812,CT,-758.839599609375,-2076.787109375,nex,s1mple,UMP-45
56.333625793457,-1667.85144042969,CT,-751.977844238281,-2084.45825195312,chrisJ,s1mple,Galil AR
-322.020172119141,-1572.91577148438,CT,-745.919677734375,-2089.48193359375,nex,s1mple,UMP-45
-115.95556640625,-1500.18286132812,CT,-914.630126953125,-2506.08764648438,denis,s1mple,AK-47
397.238708496094,-1441.25952148438,CT,-914.133911132812,-2506.5849609375,nex,s1mple,AK-47
40.4908218383789,-2120.83740234375,CT,-914.133911132812,-2506.5849609375,NiKo,s1mple,UMP-45
40.1201553344727,-2119.923828125,CT,-914.133911132812,-2506.5849609375,NiKo,s1mple,UMP-45
-249.155548095703,-1758.98217773438,CT,-1084.68322753906,-1490.88464355469,chrisJ,jdm64,Galil AR
-136.07275390625,-1560.95471191406,CT,-1098.70776367188,-1524.97827148438,denis,jdm64,AK-47
-860.192138671875,-1411.02624511719,CT,-1272.88903808594,-1425.33142089844,NiKo,nitr0,UMP-45
-182.306427001953,-1795.41320800781,CT,-1212.65979003906,-1386.42736816406,chrisJ,nitr0,Galil AR
-356.538970947266,-1504.03125,CT,162.665908813477,-2375.21337890625,nex,nitr0,AK-47
-354.194885253906,-1504.03125,CT,153.460861206055,-2374.23803710938,nex,nitr0,AK-47
-423.739410400391,-2084.89624023438,CT,-882.393920898438,-1427.49719238281,Spiidi,s1mple,Galil AR
-422.602111816406,-2084.935546875,CT,-889.12841796875,-1432.39453125,Spiidi,s1mple,Galil AR
-422.954010009766,-2085.17846679688,CT,-892.465087890625,-1436.01867675781,Spiidi,s1mple,Galil AR
-423.716186523438,-2085.70776367188,CT,-894.079406738281,-1441.9404296875,Spiidi,s1mple,Galil AR
-531.994262695312,-2386.142578125,CT,-1086.18493652344,-2322.5029296875,Spiidi,Hiko,Galil AR
-531.406066894531,-2381.07666015625,CT,-1084.60473632812,-2314.78198242188,Spiidi,Hiko,Galil AR
-771.598266601562,-2124.71533203125,CT,-503.214660644531,-1427.15246582031,Spiidi,jdm64,Galil AR
476.779907226562,-1695.9521484375,CT,378.900848388672,-1447.783203125,denis,EliGE,AK-47
1055.99951171875,-1787.03759765625,CT,627.412475585938,-2263.9326171875,NiKo,EliGE,AK-47
1054.56066894531,-1785.78088378906,CT,624.730712890625,-2260.3759765625,NiKo,EliGE,AK-47
1050.46740722656,-1782.21484375,CT,623.701171875,-2259.16284179688,NiKo,EliGE,AK-47
362.786804199219,-1706.1474609375,CT,218.579055786133,-1448.53649902344,chrisJ,nitr0,AWP
-1106.38635253906,-588.200927734375,CT,-1219.44226074219,-1252.77563476562,nex,jdm64,AK-47
-1106.38635253906,-588.200927734375,CT,-1221.72399902344,-1257.82189941406,nex,jdm64,AK-47
-1106.38635253906,-588.200927734375,CT,-1223.58520507812,-1261.99914550781,nex,jdm64,AK-47
-1106.38635253906,-588.200927734375,CT,-1225.49035644531,-1266.4697265625,nex,jdm64,AK-47
-419.683959960938,-1674.03247070312,CT,-850.022399902344,-2271.13842773438,NiKo,Hiko,AK-47
-419.741668701172,-1673.91650390625,CT,-843.058227539062,-2268.9052734375,NiKo,Hiko,AK-47
-419.741668701172,-1673.91650390625,CT,-836.490112304688,-2269.58032226562,NiKo,Hiko,AK-47
-671.89453125,-340.360595703125,CT,-629.755798339844,-1467.30786132812,NiKo,EliGE,AK-47
-669.842468261719,-339.957427978516,CT,-631.560791015625,-1467.22277832031,NiKo,EliGE,AK-47
-1596.40393066406,-74.7751922607422,CT,-1808.99926757812,628.317138671875,denis,Hiko,Tec-9
-1779.83154296875,694.356323242188,CT,-2009.69262695312,473.763824462891,Spiidi,Hiko,UMP-45
-1777.31079101562,685.247436523438,CT,-2010.60974121094,467.875366210938,Spiidi,Hiko,UMP-45
-1773.9345703125,677.428466796875,CT,-2013.10083007812,466.728668212891,Spiidi,Hiko,UMP-45
-1773.59716796875,676.03125,CT,-2013.67272949219,467.445129394531,Spiidi,Hiko,UMP-45
-1774.63098144531,677.189147949219,CT,-2013.63146972656,467.397552490234,Spiidi,Hiko,UMP-45
-1936.34790039062,765.990234375,CT,-2621.24169921875,425.123260498047,Spiidi,s1mple,UMP-45
-533.115295410156,360.448883056641,CT,-994.5556640625,388.924102783203,nex,EliGE,p250
