attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2653.39306640625,-205.516479492188,CT,-2650.36743164062,841.880981445312,olofmeister,Zeus,Glock-18
-2232.72412109375,498.795349121094,CT,-2010.17639160156,665.508117675781,rain,electronic,Glock-18
-2716.03955078125,810.471862792969,CT,-2457.96044921875,768.218444824219,olofmeister,Zeus,Glock-18
-2715.39477539062,811.595886230469,CT,-2463.30395507812,771.327331542969,olofmeister,Zeus,Glock-18
-2178.09033203125,527.06103515625,CT,-3023.05786132812,631.655212402344,GuardiaN,s1mple,USP-S
-2036.95703125,604.269226074219,CT,-1961.75720214844,1061.22900390625,GuardiaN,flamie,USP-S
-1984.11083984375,622.34033203125,T,-1977.50891113281,720.782104492188,GuardiaN,rain,USP-S
-1970.46936035156,737.020263671875,CT,-2047.34802246094,1081.69909667969,rain,flamie,Glock-18
-1934.02709960938,918.627624511719,CT,-2127.56958007812,1111.66345214844,rain,flamie,Glock-18
-1903.98120117188,922.792602539062,CT,-2139.2744140625,1088.28039550781,GuardiaN,flamie,USP-S
-1908.07080078125,938.015380859375,CT,-2126.27197265625,1086.09631347656,GuardiaN,flamie,USP-S
-3234.56372070312,-174.475997924805,CT,-3792.09814453125,-431.647338867188,karrigan,Edward,USP-S
-2019.40502929688,674.684143066406,CT,-2280.3125,810.474853515625,GuardiaN,Edward,USP-S
-1033.9892578125,-639.998291015625,CT,-1030.34204101562,-364.706359863281,olofmeister,Edward,MAC-10
-1016.56011962891,-639.999755859375,CT,-1030.34204101562,-364.706359863281,olofmeister,Edward,MAC-10
-1028.34362792969,-639.993469238281,CT,-1010.21234130859,-362.561126708984,olofmeister,Edward,MAC-10
-1058.25573730469,-638.589599609375,CT,-999.084899902344,-361.863830566406,olofmeister,Edward,MAC-10
-1247.28588867188,-591.222045898438,CT,-914.470947265625,-639.994873046875,karrigan,Edward,UMP-45
-510.597381591797,-173.303237915039,CT,-1240.16455078125,94.7733383178711,olofmeister,flamie,MAC-10
-623.893371582031,294.081878662109,CT,-1229.18347167969,124.439834594727,GuardiaN,flamie,MAC-10
-1065.55419921875,-252.643829345703,CT,-1859.0380859375,-136.360397338867,karrigan,s1mple,UMP-45
-1068.25402832031,-257.859741210938,CT,-1856.39916992188,-123.061386108398,karrigan,s1mple,UMP-45
-1067.37963867188,-251.603149414062,CT,-1853.7529296875,-109.62532043457,karrigan,s1mple,UMP-45
-1088.38403320312,-249.206069946289,CT,-1834.52856445312,-75.0811004638672,karrigan,s1mple,UMP-45
-902.371276855469,233.9501953125,CT,-1831.75769042969,-89.6137542724609,GuardiaN,s1mple,MAC-10
-1266.88110351562,-236.538528442383,CT,-1324.03869628906,-69.4502639770508,karrigan,Edward,UMP-45
-1041.28149414062,-305.193664550781,CT,-1020.55194091797,-639.990112304688,karrigan,Zeus,UMP-45
-1043.57385253906,-304.962249755859,CT,-1020.55194091797,-639.990112304688,karrigan,Zeus,UMP-45
-1025.94482421875,-302.948425292969,CT,-1023.84033203125,-639.959777832031,karrigan,Zeus,UMP-45
-2805.77368164062,117.571754455566,CT,-2612.3798828125,886.208435058594,rain,s1mple,Desert Eagle
-2520.57666015625,555.815673828125,CT,-3053.2734375,645.587951660156,olofmeister,electronic,CZ75 Auto
