attackerX,attackerY,victimSide,victimX,victimY
78.1403503417969,-2156.36889648438,CT,-790.3603515625,-1161.04699707031
79.0472106933594,-2187.35131835938,CT,-791.684753417969,-1161.5283203125
-641.854431152344,-2180.05810546875,CT,-697.607421875,-2169.80493164062
-404.153839111328,-2306.47045898438,CT,-705.591613769531,-2198.85986328125
-790.055541992188,-2267.91723632812,CT,-629.921508789062,-1310.05395507812
-104.349891662598,-2137.89306640625,CT,-835.349670410156,-1355.67590332031
-120.794395446777,-2153.87426757812,CT,-834.209228515625,-1358.04846191406
-917.321716308594,-2521.41381835938,CT,-552.03125,-1504.78308105469
-312.74365234375,-2197.03466796875,CT,-803.231262207031,-1555.09020996094
-886.448852539062,-2464.1884765625,CT,-563.466918945312,-1500.87072753906
-310.942413330078,-2215.43212890625,CT,-765.433532714844,-1545.75415039062
344.766784667969,-1544.80224609375,CT,-694.590881347656,-1681.83654785156
-938.642700195312,-2578.89306640625,CT,-496.002746582031,-1450.23303222656
-143.206970214844,-2164.03344726562,CT,-516.138610839844,-1505.01831054688
-294.522155761719,-2177.38940429688,CT,-506.354156494141,-1467.22143554688
-1240.18115234375,-1270.56774902344,CT,-259.063446044922,-1931.44580078125
-1201.18041992188,-1319.076171875,CT,-501.855346679688,-1540.63781738281
-1212.22497558594,-1318.55480957031,CT,-506.028259277344,-1429.83544921875
-1031.32800292969,-1342.47924804688,CT,-772.563842773438,-1573.21887207031
-1147.06164550781,104.334907531738,CT,-2397.20385742188,385.252502441406
-1115.14282226562,248.392288208008,CT,-2155.62866210938,646.705444335938
-1128.62707519531,252.733993530273,CT,-2160.71508789062,631.988464355469
-1276.82702636719,244.892822265625,CT,-2402.32275390625,348.569854736328
-1253.95324707031,310.508178710938,CT,-2196.63330078125,575.544677734375
-1324.89038085938,114.323577880859,CT,-2289.26904296875,365.281433105469
-1324.2919921875,114.414573669434,CT,-2288.83349609375,368.867095947266
-1324.02160644531,115.459831237793,CT,-2290.22143554688,363.572906494141
-1323.67443847656,116.808395385742,CT,-2291.1142578125,360.063171386719
-1314.15014648438,209.179382324219,CT,-2345.40283203125,-180.345581054688
-1314.32739257812,209.630645751953,CT,-2348.0849609375,-173.20686340332
-1314.39001464844,209.792617797852,CT,-2347.91748046875,-173.741088867188
-2359.39624023438,474.804534912109,CT,-1895.662109375,-169.460647583008
-2125.13427734375,261.160186767578,CT,-2006.51013183594,704.875854492188
-2121.9990234375,260.151306152344,CT,-2005.56311035156,703.69482421875
-2122.29443359375,260.230621337891,CT,-2000.45959472656,708.214599609375
-106.086555480957,-1421.62707519531,CT,38.8095741271973,-1935.00671386719
-107.11563873291,-1422.23742675781,CT,38.8095741271973,-1935.00671386719
-139.950088500977,-1436.3818359375,CT,-64.4830169677734,-1933.27893066406
-139.950088500977,-1436.3818359375,CT,64.1453323364258,-2054.63549804688
-122.059791564941,-1418.03125,CT,-104.026657104492,-1916.12585449219
-116.214904785156,-1419.21594238281,CT,-129.438568115234,-1904.51171875
-126.144111633301,-1420.91491699219,CT,-29.4403018951416,-2112.43823242188
-137.936660766602,-1422.93420410156,CT,-124.752578735352,-1897.12976074219
-122.293647766113,-1422.5654296875,CT,-118.730697631836,-1893.76599121094
-83.6180725097656,-1426.7275390625,CT,-121.174293518066,-1894.72436523438
-43.0332908630371,-1432.19421386719,CT,-143.342956542969,-1903.86267089844
-47.7013473510742,-1433.12951660156,CT,-143.340225219727,-1903.98864746094
-55.0992965698242,-1431.80395507812,CT,-130.535263061523,-1902.62097167969
-56.4442024230957,-1432.09753417969,CT,-120.53882598877,-2172.9853515625
-57.8579292297363,-1432.0966796875,CT,-122.388511657715,-2173.20288085938
69.2698974609375,-1508.1123046875,CT,-724.846801757812,-2133.15478515625
138.293746948242,-2347.07397460938,CT,-497.416351318359,-1330.66638183594
71.1747360229492,-2218.7197265625,T,71.1747360229492,-2218.7197265625
-720.445190429688,-979.869995117188,CT,-741.876220703125,-2107.44067382812
-720.445190429688,-979.869995117188,CT,-734.881164550781,-2107.96069335938
69.9445037841797,-2220.35888671875,T,69.9445037841797,-2220.35888671875
69.3000030517578,-2221.2138671875,CT,-1108.46875,-1305.44555664062
69.3676071166992,-2221.13403320312,CT,-1109.01330566406,-1312.02673339844
69.3676071166992,-2221.13403320312,T,69.3676071166992,-2221.13403320312
-720.445190429688,-979.869995117188,CT,-720.713684082031,-2121.25048828125
68.9031143188477,-2221.73315429688,CT,-1113.18725585938,-1318.67834472656
70.6654739379883,-2228.52001953125,CT,-1124.95153808594,-1334.6796875
-728.446838378906,-1221.23413085938,CT,-506.082794189453,-1351.57373046875
-726.233642578125,-1223.39086914062,CT,-506.281188964844,-1351.92932128906
-644.395568847656,-388.511779785156,CT,-830.596740722656,-384.167633056641
-662.752563476562,-350.188110351562,CT,-824.404907226562,-400.530700683594
-1217.25646972656,770.062622070312,CT,-2328.7626953125,790.998168945312
-1310.07336425781,141.798080444336,CT,-2323.63208007812,312.283630371094
-1309.88598632812,139.039810180664,CT,-2323.72778320312,311.675018310547
-1241.25146484375,-1238.857421875,CT,-119.037536621094,-2119.58325195312
-1231.46899414062,-1230.70617675781,CT,-147.593292236328,-2098.13330078125
-1227.18994140625,-1226.00402832031,CT,-145.581466674805,-2100.71362304688
-1273.6650390625,-1333.61157226562,CT,83.0434112548828,-1989.71545410156
-1269.29711914062,-1330.69445800781,CT,83.3231506347656,-1989.08850097656
995.632019042969,-2214.38061523438,CT,45.8079223632812,-2375.96875
995.59228515625,-2214.14672851562,CT,45.8079223632812,-2375.96875
995.563232421875,-2213.97509765625,CT,45.8079223632812,-2375.96875
995.427124023438,-2213.166015625,CT,45.8079223632812,-2375.96875
994.912353515625,-2210.13891601562,CT,39.1413192749023,-2375.97216796875
1039.35083007812,-2028.55615234375,CT,367.990325927734,-1944.03125
1038.28564453125,-2039.71936035156,CT,364.943389892578,-1967.09509277344
-1324.63818359375,161.418533325195,CT,-2000.1591796875,336.156890869141
-1326.58081054688,160.03108215332,CT,-1999.84436035156,337.754730224609
-1327.76037597656,156.828994750977,CT,-1998.71618652344,343.353302001953
-1376.72839355469,123.343070983887,CT,-2211.75903320312,-17.6924858093262
-1376.96313476562,125.030517578125,CT,-2209.28466796875,-31.5368194580078
-1376.52416992188,123.112953186035,CT,-2209.48803710938,-30.4636840820312
-1362.49487304688,110.455535888672,CT,-2233.84936523438,-550.23095703125
-1362.49487304688,110.455535888672,CT,-2188.29223632812,-472.03125
-1362.49487304688,110.455535888672,CT,-2247.1201171875,-536.619323730469
-1362.49487304688,110.455535888672,CT,-2189.42333984375,-472.03125
-1362.67919921875,110.433258056641,CT,-2245.63525390625,-559.038024902344
-1362.67919921875,110.433258056641,CT,-2192.13623046875,-477.580139160156
-1375.56811523438,108.416122436523,CT,-2191.12475585938,-505.951904296875
-1401.18176269531,448.865600585938,CT,-2189.85107421875,-526.397705078125
-1386.70947265625,384.386993408203,CT,-765.607177734375,63.4436988830566
-1393.60278320312,370.434783935547,CT,-767.766174316406,71.5700378417969
-1401.40747070312,356.30810546875,CT,-769.857055664062,69.3791580200195
-1400.97705078125,357.398620605469,CT,-770.238891601562,68.8682479858398
-1630.42126464844,595.729431152344,CT,-2065.1357421875,-601.303527832031
-1632.943359375,597.127807617188,CT,-2070.83813476562,-597.827880859375
-1632.46875,596.967834472656,CT,-2052.65087890625,-606.990173339844
-2399.87768554688,423.189544677734,CT,-2331.2275390625,-130.046264648438
176.958053588867,-135.523376464844,CT,-1185.41345214844,-535.902221679688
-495.811462402344,-788.999938964844,CT,-958.291198730469,234.700866699219
-444.751831054688,-1530.58801269531,CT,151.000106811523,-2071.96875
-1122.39855957031,-1422.78393554688,CT,-1267.10717773438,-1134.73071289062
-752.715942382812,-64.3808364868164,CT,-975.249389648438,224.874298095703
-1121.48510742188,762.154724121094,CT,-2139.2685546875,756.503479003906
-431.008056640625,-1533.86584472656,CT,-607.927185058594,-1466.7138671875
-432.215759277344,-1533.57788085938,CT,-590.613159179688,-1448.31677246094
-254.870178222656,-1736.25305175781,T,-376.673034667969,-1726.07055664062
-161.117416381836,-2128.46899414062,CT,-496.000030517578,-1377.86511230469
-161.413101196289,-2128.20678710938,CT,-496.000030517578,-1377.86511230469
-220.008193969727,-2141.7900390625,CT,-496.036010742188,-1380.37609863281
-255.430145263672,-2160.033203125,CT,-496.648773193359,-1382.14990234375
-264.656219482422,-2153.85693359375,CT,-496.005706787109,-1401.5986328125
-247.520904541016,-2145.81127929688,CT,-499.391693115234,-1439.53344726562
-196.204742431641,-1586.666015625,CT,-536.241027832031,-1489.78344726562
-409.647247314453,-1639.55029296875,CT,-807.999816894531,-1167.22741699219
-407.627288818359,-1636.4755859375,CT,-807.999816894531,-1167.36950683594
-404.335693359375,-1633.34228515625,CT,-807.999816894531,-1167.36950683594
-400.537475585938,-1629.97985839844,CT,-807.999816894531,-1167.83569335938
-531.088562011719,-1642.18371582031,CT,-719.044982910156,-776.96044921875
-530.525207519531,-1642.060546875,CT,-725.949340820312,-778.410339355469
-531.453430175781,-1642.26025390625,CT,-731.593994140625,-779.626098632812
-531.254821777344,-1642.21459960938,CT,-732.390563964844,-779.786865234375
-1062.90112304688,-2405.4794921875,CT,-1423.36437988281,-2244.96313476562
-1194.91125488281,-666.916259765625,CT,250.205200195312,-905.961242675781
-613.772888183594,-739.545837402344,CT,-138.936447143555,-838.745361328125
241.240875244141,-364.685089111328,CT,-314.137542724609,-734.410583496094
235.513595581055,-355.826568603516,CT,-313.674682617188,-735.106567382812
233.374786376953,-352.621734619141,CT,-311.999969482422,-737.483215332031
232.4453125,-351.268432617188,CT,-310.929107666016,-738.98583984375
-312.978149414062,-389.034393310547,CT,-669.312133789062,-837.152770996094
-1834.88562011719,695.673278808594,CT,-1275.73278808594,408.994781494141
-1833.69104003906,697.912780761719,CT,-1274.99877929688,410.50439453125
-1840.27502441406,684.8759765625,CT,-1269.34716796875,421.873199462891
-1699.94653320312,824.288879394531,CT,-2301.13256835938,-522.455749511719
-1699.94653320312,824.288879394531,CT,-1735.94458007812,-600.002380371094
-1426.16296386719,516.968017578125,CT,-2095.88598632812,-591.716918945312
-2116.44384765625,758.953247070312,CT,-1878.86267089844,-626.542724609375
85.3529357910156,-2190.99951171875,CT,6.58164072036743,-1419.06604003906
480.224365234375,-1687.89172363281,CT,6.58164072036743,-1419.06604003906
479.623443603516,-1688.91577148438,CT,6.58164072036743,-1419.06604003906
28.8908863067627,-1421.22717285156,CT,-160.719863891602,-2267.09790039062
33.874267578125,-1422.41748046875,CT,-163.273529052734,-2265.92578125
-133.009323120117,-1507.1630859375,CT,-709.268676757812,-1812.49169921875
-414.498199462891,-1604.87463378906,CT,-723.429565429688,-1354.81188964844
-413.897796630859,-1604.0576171875,CT,-723.596008300781,-1355.70324707031
-413.897796630859,-1604.0576171875,CT,-724.127014160156,-1356.14978027344
-269.376556396484,-2170.3486328125,CT,-708.31298828125,-2217.92260742188
1033.68273925781,-2343.53784179688,CT,149.990661621094,-2304.31958007812
1033.7158203125,-2343.279296875,CT,153.265182495117,-2311.47241210938
1033.77807617188,-2342.02465820312,CT,154.455703735352,-2325.69482421875
-913.559692382812,477.819976806641,CT,-1047.96875,194.162322998047
-920.603698730469,476.307800292969,CT,-1044.78125,192.686294555664
1039.30920410156,-2277.53686523438,CT,95.9811859130859,-2289.921875
1039.22314453125,-2288.97827148438,CT,95.7467575073242,-2271.29418945312
1039.22717285156,-2289.17138671875,CT,95.7123413085938,-2268.68530273438
-732.918518066406,451.059875488281,CT,-944.14990234375,454.488037109375
953.690856933594,-1972.75158691406,CT,150.997207641602,-2071.99926757812
487.330230712891,-508.322631835938,CT,-831.093627929688,-325.312530517578
487.312561035156,-508.454467773438,CT,-830.230712890625,-318.253204345703
487.005310058594,-510.522033691406,CT,-829.614624023438,-313.480682373047
-1804.87939453125,369.896087646484,T,-2102.458984375,557.124389648438
-439.620971679688,649.072082519531,CT,-50.9445991516113,795.573913574219
-538.527465820312,-1101.15075683594,CT,-949.353881835938,-1527.349609375
-537.960388183594,-1101.68579101562,CT,-954.240478515625,-1522.6669921875
-537.012756347656,-1102.59155273438,CT,-958.767578125,-1518.3046875
-535.697509765625,-1103.88098144531,CT,-962.466491699219,-1514.66564941406
151.014450073242,-1436.93347167969,CT,47.5079307556152,-2054.4404296875
122.751640319824,-1424.85705566406,CT,5.92472267150879,-2077.2763671875
85.7624893188477,-1418.00720214844,CT,-41.2860717773438,-2088.96240234375
45.1730003356934,-1418.00720214844,CT,-66.3558883666992,-2093.39599609375
9.46230888366699,-1418.00720214844,CT,-81.7708053588867,-2091.7001953125
3.36263561248779,-1418.42358398438,CT,-90.3489532470703,-2101.171875
4.51679658889771,-1418.60192871094,CT,-68.5896224975586,-2108.57202148438
6.62492942810059,-1418.876953125,CT,-281.624359130859,-2163.8173828125
6.62492942810059,-1418.876953125,CT,-75.8197021484375,-2108.236328125
7.39051628112793,-1418.970703125,CT,-77.5368270874023,-2108.09643554688
7.39051628112793,-1418.970703125,CT,-88.3754959106445,-2106.74145507812
-516.418395996094,-1447.919921875,CT,-114.03125,-2268.767578125
-781.877868652344,-2199.32080078125,CT,-281.869598388672,-2177.81860351562
-743.707580566406,-1796.51159667969,CT,-284.003692626953,-2176.71411132812
-522.268432617188,-1483.02734375,CT,144.720062255859,-2356.6796875
-517.471008300781,-1479.38439941406,CT,141.628036499023,-2359.23388671875
-490.366149902344,-1542.07958984375,CT,138.426712036133,-2361.6865234375
-420.085235595703,-1540.90307617188,CT,139.063766479492,-2361.19921875
-782.184753417969,-1662.478515625,CT,-541.844482421875,-1078.52185058594
-783.994750976562,-1660.6962890625,CT,-539.908874511719,-1080.29748535156
-783.994750976562,-1660.51330566406,CT,-537.223205566406,-1082.44909667969
-783.994750976562,-1660.490234375,CT,-530.268737792969,-1086.3759765625
-1026.97607421875,237.515335083008,CT,-1318.34936523438,114.177886962891
-1819.81286621094,839.505798339844,T,-1819.81286621094,839.505798339844
-1819.33154296875,838.063903808594,T,-1819.33154296875,838.063903808594
-1953.00854492188,247.956008911133,CT,-2590.001953125,433.369384765625
-2000.31640625,385.833404541016,CT,-2348.39697265625,66.4301910400391
-1990.72412109375,385.59228515625,CT,-2349.60034179688,68.3761749267578
-1987.38525390625,254.363464355469,CT,-2325.67553710938,-282.348876953125
-1991.72290039062,393.11865234375,CT,-2352.40625,71.5279235839844
-1994.39990234375,396.612518310547,CT,-2353.62255859375,72.9242248535156
283.459381103516,-2224.01318359375,CT,464.0048828125,-2391.998046875
283.686248779297,-2224.01318359375,CT,464.0048828125,-2391.998046875
283.596984863281,-2224.11181640625,CT,464.0048828125,-2391.998046875
287.059844970703,-2225.47094726562,CT,464.0048828125,-2391.998046875
291.245971679688,-2225.27319335938,CT,469.552795410156,-2383.64770507812
307.581939697266,-2223.6748046875,CT,476.383605957031,-2377.91284179688
16.0095100402832,-2347.91552734375,CT,88.9627227783203,-2055.9287109375
