attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2145.57543945312,598.188110351562,CT,-1097.3193359375,277.733642578125,felps,stanislaw,Glock-18
-2154.61083984375,607.599731445312,CT,-2590.189453125,468.016265869141,felps,Rickeh,Glock-18
-1970.25659179688,505.3740234375,CT,-2590.623046875,469.469024658203,TACO,Rickeh,Glock-18
-1791.84655761719,748.796691894531,CT,-1828.23852539062,-44.8945541381836,FalleN,n0thing,Glock-18
-1802.23474121094,749.379638671875,CT,-1838.80505371094,-34.0034141540527,FalleN,n0thing,Glock-18
-1814.00476074219,749.92626953125,CT,-1845.56018066406,-26.7551708221436,FalleN,n0thing,Glock-18
-2169.681640625,670.574768066406,CT,-1288.83813476562,389.184875488281,felps,stanislaw,Glock-18
-2169.01440429688,674.005554199219,CT,-1313.54467773438,344.914611816406,felps,stanislaw,Glock-18
-1731.77746582031,774.974304199219,CT,-1324.14099121094,326.315948486328,FalleN,stanislaw,Glock-18
-1773.82312011719,239.86637878418,CT,-1923.07531738281,-296.979248046875,TACO,ShahZaM,Glock-18
-2498.94482421875,269.638671875,CT,-2218.02270507812,-96.4986953735352,coldzera,dephh,USP-S
-2427.662109375,443.777282714844,CT,-2272.60522460938,-199.542739868164,coldzera,ShahZaM,USP-S
-2458.33032226562,436.541442871094,CT,-2257.87426757812,-189.437606811523,coldzera,ShahZaM,USP-S
-2495.10961914062,425.822082519531,CT,-2253.60302734375,-187.633880615234,coldzera,ShahZaM,USP-S
283.845581054688,-1446.59216308594,CT,-763.304870605469,-2123.19580078125,felps,n0thing,Galil AR
-142.995956420898,-1447.03588867188,CT,130.035736083984,-2034.63818359375,felps,Rickeh,Galil AR
-142.995956420898,-1447.03588867188,CT,136.698944091797,-2036.92712402344,felps,Rickeh,Galil AR
-142.995956420898,-1447.03588867188,CT,145.492263793945,-2054.1943359375,felps,Rickeh,Galil AR
-142.995956420898,-1447.03588867188,CT,143.554046630859,-2056.5654296875,felps,Rickeh,Galil AR
-142.96875,-1434.87927246094,CT,137.260711669922,-2059.76049804688,felps,Rickeh,Galil AR
6.70302677154541,-1505.2451171875,CT,-199.112716674805,-2195.08935546875,fer,dephh,MAC-10
-0.775819003582001,-1502.3564453125,CT,-213.77360534668,-2190.51831054688,fer,dephh,MAC-10
5.51411724090576,-1504.20849609375,CT,-218.341247558594,-2189.03466796875,fer,dephh,MAC-10
-117.258438110352,-1418.86865234375,CT,-230.562759399414,-2185.10083007812,felps,dephh,Galil AR
44.7919845581055,-2136.86938476562,CT,-398.640960693359,-2145.73706054688,TACO,dephh,AK-47
19.8597164154053,-2088.4658203125,CT,-372.363433837891,-2160.42944335938,TACO,dephh,AK-47
-135.30241394043,-1532.83801269531,CT,-734.875061035156,-2092.77001953125,felps,ShahZaM,Galil AR
-125.428886413574,-1543.8017578125,CT,-732.313842773438,-2095.65844726562,felps,ShahZaM,Galil AR
-686.385070800781,-892.949157714844,CT,-731.682434082031,-2096.36206054688,coldzera,ShahZaM,AK-47
-686.385070800781,-892.949157714844,CT,-731.417419433594,-2096.65649414062,coldzera,ShahZaM,AK-47
-686.385070800781,-892.949157714844,CT,-730.817321777344,-2097.283203125,coldzera,ShahZaM,AK-47
-719.998962402344,-1016.89050292969,CT,-381.49609375,-2394.99853515625,coldzera,n0thing,AK-47
-719.525512695312,-1016.94927978516,CT,-382.104370117188,-2394.99853515625,coldzera,n0thing,AK-47
-807.998229980469,-1152.49877929688,CT,-665.121276855469,-1299.32775878906,coldzera,stanislaw,AK-47
-807.998229980469,-1156.091796875,CT,-660.283569335938,-1292.88415527344,coldzera,stanislaw,AK-47
-807.998229980469,-1156.091796875,CT,-664.167053222656,-1296.76867675781,coldzera,stanislaw,AK-47
-722.685546875,-953.494506835938,CT,-611.767211914062,-1324.79162597656,felps,stanislaw,MAC-10
-729.928955078125,-954.32861328125,CT,-612.488342285156,-1322.89599609375,felps,stanislaw,MAC-10
-745.597412109375,-958.209167480469,CT,-607.083374023438,-1321.70703125,felps,stanislaw,MAC-10
-747.865234375,-958.606750488281,CT,-602.922912597656,-1322.64929199219,felps,stanislaw,MAC-10
-705.820739746094,-910.972778320312,CT,-840.977661132812,-51.6723518371582,fer,Rickeh,MAC-10
-702.72802734375,-911.056030273438,CT,-836.160705566406,-60.9274940490723,fer,Rickeh,MAC-10
-684.590637207031,-902.768676757812,CT,-833.955444335938,-64.206428527832,fer,Rickeh,MAC-10
-553.265808105469,-1167.23876953125,CT,-912.8251953125,-107.297874450684,coldzera,ShahZaM,AK-47
-553.364929199219,-1166.37438964844,CT,-915.37939453125,-114.115684509277,coldzera,ShahZaM,AK-47
-555.999755859375,-1167.25598144531,CT,-915.706665039062,-114.907249450684,coldzera,ShahZaM,AK-47
-634.245849609375,-1179.19104003906,CT,-891.018676757812,245.552612304688,coldzera,dephh,AK-47
-1222.64880371094,-1444.31945800781,CT,-1144.83215332031,-234.444290161133,TACO,n0thing,AK-47
-1222.64880371094,-1444.31945800781,CT,-1136.03125,-220.374114990234,TACO,n0thing,AK-47
-1465.4951171875,698.056335449219,CT,-2147.26440429688,827.649108886719,TACO,Rickeh,AK-47
-1870.88122558594,723.634948730469,CT,-837.996337890625,55.3051223754883,felps,stanislaw,AK-47
-1886.73486328125,719.312438964844,CT,-837.996337890625,54.6587295532227,felps,stanislaw,AK-47
-1719.68176269531,584.936279296875,CT,-837.996337890625,53.3707160949707,fer,stanislaw,AK-47
-377.955749511719,-676.849731445312,CT,-971.71240234375,-532.181579589844,coldzera,n0thing,AK-47
-324.832672119141,-789.465148925781,CT,-968.000915527344,-504.353790283203,coldzera,n0thing,AK-47
-1373.66589355469,-2425.63720703125,CT,-301.940307617188,-2192.18237304688,TACO,dephh,AK-47
-1373.66589355469,-2425.63720703125,CT,-299.322540283203,-2189.26416015625,TACO,dephh,AK-47
-1373.67932128906,-2425.57836914062,CT,-295.243835449219,-2187.06079101562,TACO,dephh,AK-47
-1373.87951660156,-2424.64233398438,CT,-276.930023193359,-2173.92260742188,TACO,dephh,AK-47
583.093811035156,-2027.69287109375,CT,693.046508789062,-2179.83129882812,TACO,ShahZaM,AK-47
554.793395996094,-1598.85607910156,CT,426.323303222656,-1666.50146484375,felps,Rickeh,AK-47
696.722534179688,-1650.03527832031,CT,246.953155517578,-1440.78930664062,fer,Rickeh,AK-47
696.596862792969,-1650.3212890625,CT,245.135772705078,-1439.98767089844,fer,Rickeh,AK-47
28.0060424804688,-2286.841796875,CT,-64.3913421630859,-1418.03125,TACO,Rickeh,AK-47
712.560180664062,-1202.25720214844,CT,953.567260742188,-1156.61560058594,FalleN,dephh,AK-47
710.688232421875,-1206.90783691406,CT,953.728149414062,-1156.60888671875,FalleN,dephh,AK-47
67.9020080566406,-2124.26245117188,CT,-1322.75341796875,-2386.70458984375,coldzera,n0thing,AK-47
68.1997375488281,-2125.83154296875,CT,-1049.79626464844,-2326.58935546875,coldzera,ShahZaM,AK-47
-401.086120605469,-1573.20227050781,CT,-955.192321777344,-1522.90600585938,FalleN,n0thing,AWP
46.9979591369629,-1761.1552734375,CT,-1210.74914550781,-2478.310546875,coldzera,dephh,AK-47
-568.239379882812,-2242.04467773438,CT,-1057.96142578125,-2358.40502929688,FalleN,Rickeh,AWP
-441.082672119141,-1930.28491210938,CT,-720.815856933594,-1219.58666992188,coldzera,ShahZaM,AK-47
-445.115509033203,-1932.20825195312,CT,-721.120849609375,-1219.72302246094,coldzera,ShahZaM,AK-47
-443.549865722656,-1931.61608886719,CT,-729.544372558594,-1223.787109375,coldzera,ShahZaM,AK-47
-440.019317626953,-1930.19323730469,CT,-737.1767578125,-1227.08862304688,coldzera,ShahZaM,AK-47
-1066.66528320312,-725.98681640625,CT,-1179.53161621094,-297.972015380859,felps,Rickeh,AK-47
-1066.66528320312,-725.98681640625,CT,-1182.00549316406,-298.632537841797,felps,Rickeh,AK-47
-1066.66528320312,-726.03076171875,CT,-1183.65405273438,-299.074554443359,felps,Rickeh,AK-47
-685.018371582031,-881.773803710938,CT,-649.39404296875,-1329.65124511719,TACO,dephh,AK-47
-684.229125976562,-881.705871582031,CT,-647.684448242188,-1329.55224609375,TACO,dephh,AK-47
-1247.99951171875,-856.004333496094,CT,-1182.69763183594,-846.664001464844,felps,n0thing,AK-47
-1247.99951171875,-856.004333496094,CT,-1183.03466796875,-849.864929199219,felps,n0thing,AK-47
-1247.99951171875,-856.004333496094,CT,-1183.99951171875,-852.038757324219,felps,n0thing,AK-47
