attackerX,attackerY,victimSide,victimX,victimY
-565.564575195312,226.187255859375,T,-350.982147216797,-1510.08044433594
-977.33984375,492.677062988281,T,-747.716369628906,-26.1081142425537
-1819.49157714844,-314.74169921875,T,-716.088195800781,-54.3609237670898
-955.184204101562,177.684112548828,T,-459.494750976562,-50.6831665039062
-1830.21606445312,-328.731475830078,T,-727.053344726562,-40.6871948242188
-1940.6328125,-507.128356933594,T,-1329.63427734375,490.6123046875
-1906.96618652344,-541.886962890625,T,-1436.81860351562,471.989074707031
-1842.64831542969,-47.3180198669434,T,-1020.185546875,-315.474212646484
-1832.53540039062,-17.5122528076172,T,-1027.02746582031,-329.294586181641
-1574.83557128906,-296.880828857422,T,-753.399230957031,41.4532661437988
-903.575988769531,-611.782531738281,T,-1145.93017578125,268.349365234375
-3252.30712890625,-860.303466796875,T,-2949.99731445312,-946.697265625
-1633.84338378906,-816.568420410156,T,-2093.21240234375,-1325.98657226562
-1634.16174316406,-816.077697753906,T,-2096.34765625,-1323.06262207031
-1635.75146484375,-814.579162597656,T,-2098.60107421875,-1320.88427734375
-1637.06909179688,-813.399108886719,T,-2100.74633789062,-1318.86779785156
-2764.90844726562,-2096.58862304688,T,-2693.97680664062,-1485.52087402344
-2918.83129882812,-1950.31115722656,T,-2720.59350585938,-1933.75720214844
-2180.59057617188,-2369.56591796875,T,-2736.28784179688,-2583.4326171875
-2180.59057617188,-2369.56591796875,T,-2739.42333984375,-2583.28198242188
-2640.2763671875,-1925.54455566406,T,-2871.86083984375,-1347.03784179688
-2638.65942382812,-1924.66357421875,T,-2873.53149414062,-1345.83508300781
-1751.48706054688,76.2714309692383,T,-685.529418945312,-62.2123832702637
-1751.47741699219,76.3422241210938,T,-690.635559082031,-60.803394317627
-1750.0185546875,86.7747116088867,T,-698.195129394531,-52.7331581115723
-1750.0322265625,86.7384033203125,T,-698.341918945312,-48.3338012695312
-1750.03662109375,86.7072296142578,T,-698.056213378906,-44.1981582641602
-1390.12255859375,-713.994812011719,T,-1005.90533447266,-576.090148925781
-2013.62316894531,-422.350250244141,T,-739.77294921875,303.993865966797
-2013.62316894531,-422.350250244141,T,-737.525085449219,303.993865966797
-2005.09997558594,-437.310424804688,T,-916.147155761719,183.780395507812
-2005.22180175781,-437.096496582031,T,-920.095825195312,190.716751098633
-2035.90185546875,755.515686035156,T,-925.945068359375,-85.2987442016602
-2035.90185546875,755.515686035156,T,-927.2509765625,-79.8381500244141
-2035.90185546875,755.515686035156,T,-928.317565917969,-75.4949493408203
-1941.1435546875,-57.7894096374512,CT,-1824.736328125,-31.7733535766602
-1711.5380859375,-148.90754699707,T,-1076.28283691406,371.721557617188
-1740.29431152344,-113.376358032227,T,-904.036743164062,-204.227432250977
-2726.48266601562,-1574.12585449219,T,-1857.36584472656,-2422.61962890625
-1034.43664550781,-263.229156494141,T,-1037.4599609375,-639.86083984375
-1709.15087890625,-865.785278320312,T,-771.121032714844,-963.402099609375
-1709.62219238281,-871.033752441406,T,-733.775207519531,-965.527587890625
-1710.66027832031,-871.905822753906,T,-713.196594238281,-945.85400390625
-2802.04565429688,-1342.22448730469,T,-2100.41577148438,-2567.9990234375
-1704.13037109375,-321.022796630859,T,-993.168640136719,-932.387023925781
-1704.22900390625,-321.041961669922,T,-1043.94714355469,-932.808044433594
-1704.74963378906,-321.143127441406,T,-1088.86108398438,-933.618408203125
-1704.74963378906,-321.143127441406,T,-1092.1689453125,-933.673278808594
-1705.02355957031,-321.196502685547,T,-1131.02856445312,-933.661315917969
-1705.27258300781,-321.245025634766,T,-1172.38977050781,-932.861999511719
-1705.44604492188,-321.278778076172,T,-1216.24475097656,-922.009033203125
-1701.7734375,-312.091613769531,T,-993.287231445312,-947.416015625
-1247.08581542969,134.119522094727,T,-869.488098144531,-497.623199462891
-1247.50439453125,133.871154785156,T,-869.488098144531,-497.623199462891
-289.206939697266,175.567001342773,T,-649.651062011719,-988.415832519531
-289.460235595703,175.647308349609,T,-649.693725585938,-988.399047851562
-291.325775146484,176.24072265625,T,-641.475952148438,-990.865783691406
-291.932891845703,176.433944702148,T,-637.583801269531,-992.044067382812
-169.872787475586,269.600341796875,T,-556.468139648438,-557.274230957031
-169.872787475586,269.600341796875,T,-556.526000976562,-554.074890136719
-169.872787475586,269.600341796875,T,-556.582092285156,-552.613952636719
-169.872787475586,269.600341796875,T,-556.63525390625,-551.343200683594
-2684.25268554688,951.134521484375,T,-2998.30639648438,440.237854003906
-2343.90698242188,921.034912109375,T,-2725.29516601562,713.649780273438
-2344.64965820312,920.097717285156,T,-2724.24194335938,718.867797851562
-2340.453125,921.941589355469,T,-2723.3486328125,723.112670898438
-2337.732421875,921.004211425781,T,-2723.6279296875,722.584594726562
-2972.93481445312,-1091.30969238281,T,-3041.77856445312,-2327.42749023438
-2972.197265625,-1091.345703125,T,-3046.49829101562,-2326.93530273438
-2971.23779296875,-1091.40319824219,T,-3047.1591796875,-2326.85766601562
-2969.5224609375,-1091.52087402344,T,-3046.58666992188,-2326.89819335938
-2977.89282226562,-1091.53002929688,T,-3024.91748046875,-2312.80249023438
-2977.34326171875,-1091.55102539062,T,-3029.94677734375,-2311.37524414062
-2976.5400390625,-1091.5859375,T,-3032.89453125,-2308.7216796875
-2975.02661132812,-1091.65930175781,T,-3035.4658203125,-2305.81079101562
-2973.33154296875,-1091.74096679688,T,-3036.97680664062,-2304.41064453125
-537.482482910156,252.387680053711,T,-567.496032714844,-1133.94213867188
-537.823791503906,252.393081665039,T,-568.11572265625,-1155.35754394531
-2418.98095703125,-812.235656738281,T,-2781.75219726562,-900.818908691406
-2418.85791015625,-813.119262695312,T,-2769.18774414062,-905.032043457031
-2418.81518554688,-813.289367675781,T,-2765.01977539062,-908.213317871094
-2584.29028320312,-230.3154296875,T,-2775.22290039062,927.197998046875
-2585.451171875,-230.473358154297,T,-2771.87060546875,927.725952148438
-2585.63842773438,-230.358734130859,T,-2772.29370117188,927.662109375
-2585.77001953125,-230.227737426758,T,-2775.98852539062,927.110717773438
-2163.46923828125,-1264.07019042969,T,-2531.015625,-1459.00439453125
-3245.0185546875,-956.406799316406,T,-2701.43676757812,-946.108703613281
-3246.06396484375,-958.872802734375,T,-2701.53588867188,-938.204467773438
-3246.28491210938,-962.243103027344,T,-2701.52661132812,-935.908630371094
