attackerX,attackerY,victimSide,victimX,victimY
-1301.50695800781,258.861511230469,T,-1436.14514160156,532.871032714844
-1315.03100585938,253.152862548828,T,-1435.66760253906,527.954650878906
-1344.591796875,241.403900146484,T,-1451.48229980469,519.064758300781
-871.424743652344,89.6657180786133,T,-1816.82202148438,614.559631347656
-1328.73986816406,249.672912597656,T,-1403.51000976562,531.303039550781
-864.502075195312,145.228363037109,T,-1848.61755371094,544.136535644531
-855.904968261719,164.472747802734,T,-1870.28198242188,524.890808105469
-750.937866210938,177.777786254883,T,-2202.49951171875,578.199035644531
-748.707641601562,185.938781738281,T,-1972.94445800781,498.977569580078
-804.957702636719,135.595520019531,T,-2126.84643554688,636.579284667969
-1601.59301757812,-702.166198730469,T,-2359.705078125,-467.667175292969
-1605.17980957031,-715.772521972656,T,-2343.68872070312,-422.718200683594
-1577.830078125,-657.446533203125,T,-2275.3154296875,-491.797027587891
-1581.10900878906,-670.960266113281,T,-2257.486328125,-489.064117431641
-1595.00329589844,-719.760986328125,T,-2258.16430664062,-509.192749023438
-1179.23522949219,-726.434326171875,T,332.192993164062,-249.480682373047
-2043.45373535156,-583.411376953125,T,-1571.63977050781,826.164489746094
-329.447845458984,-572.556640625,T,338.136505126953,-824.963745117188
-1788.11010742188,-523.559143066406,T,-2370.89868164062,472.315826416016
-1928.72546386719,591.021789550781,T,-2174.65795898438,681.06005859375
-1929.2900390625,584.048156738281,T,-2181.36206054688,666.240478515625
-2079.09448242188,-175.56852722168,T,-2113.546875,576.528686523438
-2362.09887695312,-35.6920509338379,T,-2286.1474609375,531.50732421875
-1435.3388671875,-1042.33190917969,T,-1655.9716796875,-1351.12683105469
-1426.24829101562,-1049.21313476562,T,-1656.48315429688,-1347.96643066406
-1412.56286621094,-1059.29931640625,T,-1652.08813476562,-1349.24255371094
-1383.13366699219,-1081.89074707031,T,-1655.07470703125,-1344.56042480469
-1389.86962890625,-1075.31079101562,T,-1657.45910644531,-1342.38684082031
-1410.40124511719,-1055.99438476562,T,-1650.72827148438,-1349.29040527344
-1428.27331542969,-1050.63305664062,T,-1354.037109375,-968.750854492188
-1233.85559082031,-1230.87780761719,CT,-766.884094238281,-1594.8974609375
