attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-317.469665527344,-1504.00061035156,T,-340.439300537109,-1577.81872558594,rain,flusha,USP-S
-296.578063964844,-1511.50659179688,T,-231.407089233398,-1657.03515625,rain,dennis,USP-S
-296.578063964844,-1511.50659179688,T,-190.937728881836,-1727.69421386719,rain,KRIMZ,USP-S
-1158.35595703125,-850.378356933594,T,-1265.71496582031,-1448.96008300781,fox,olofmeister,USP-S
-1182.02807617188,-846.384033203125,T,-1248.76989746094,-1426.11755371094,fox,olofmeister,USP-S
-525.659484863281,-1208.78295898438,T,-834.181213378906,-1363.51672363281,Maikelele,olofmeister,USP-S
-596.853637695312,-1149.56372070312,T,-724.515625,-1832.74096679688,Maikelele,JW,USP-S
536.571472167969,-1613.22973632812,T,798.986389160156,-1319.12145996094,rain,JW,CZ75 Auto
517.132263183594,-1596.12866210938,T,778.46875,-1307.1806640625,rain,JW,CZ75 Auto
497.970062255859,-1654.96166992188,T,770.010192871094,-1299.86108398438,aizy,JW,CZ75 Auto
507.355346679688,-1586.78820800781,T,771.20849609375,-1299.72436523438,rain,JW,CZ75 Auto
504.642822265625,-1659.94384765625,T,779.022827148438,-1299.19396972656,aizy,JW,CZ75 Auto
-2300.8134765625,-558.955383300781,T,-2351.75634765625,212.508163452148,aizy,dennis,CZ75 Auto
-2292.33569335938,-558.558715820312,T,-2353.11474609375,212.591247558594,aizy,dennis,CZ75 Auto
-981.229248046875,295.584289550781,T,-658.088562011719,-343.972259521484,Maikelele,dennis,USP-S
-965.351867675781,295.345672607422,T,-666.436767578125,-334.015411376953,Maikelele,dennis,USP-S
-455.693969726562,-2357.14404296875,T,-771.014221191406,-199.929534912109,jkaem,dennis,USP-S
-455.606353759766,-2357.13134765625,T,-791.715881347656,90.1781616210938,jkaem,olofmeister,USP-S
-781.221008300781,-2293.44677734375,T,-591.251953125,-1160.97216796875,jkaem,JW,USP-S
-436.991394042969,-2273.73583984375,T,-769.541381835938,-326.810424804688,aizy,dennis,USP-S
