attackerX,attackerY,victimSide,victimX,victimY
-2122.046875,-1362.66723632812,CT,-2443.92041015625,-1860.18920898438
-2309.63500976562,-1116.37719726562,CT,-1985.30944824219,-1646.49157714844
-2305.0498046875,-1113.41174316406,CT,-1960.24340820312,-1633.22033691406
-2354.88012695312,-728.994384765625,CT,-1773.10876464844,-1198.02380371094
-2316.98828125,-1121.30346679688,CT,-1946.22302246094,-1624.11828613281
-2310.97021484375,-716.892150878906,CT,-1755.76892089844,-1239.3935546875
-2144.30517578125,-1328.46936035156,CT,-1946.82482910156,-1624.22546386719
-2162.65600585938,-1322.546875,CT,-1935.90795898438,-1616.26867675781
-2347.07641601562,-726.311157226562,CT,-2473.39990234375,-1730.37878417969
-2347.07641601562,-726.311157226562,CT,-1753.16711425781,-1354.72302246094
-2989.63793945312,-906.569030761719,CT,-2088.75927734375,-1529.24584960938
-2989.63793945312,-906.569030761719,CT,-1973.70141601562,-1572.39416503906
-1808.55749511719,-1381.01501464844,CT,-2064.42529296875,-1241.11047363281
-2845.98315429688,-1198.9169921875,CT,-2781.4462890625,-1536.29699707031
-748.942749023438,-797.1552734375,CT,-902.249816894531,-500.012786865234
158.656265258789,-405.996002197266,CT,-811.188354492188,-714.3095703125
110.369720458984,-981.068786621094,CT,203.231384277344,-661.629211425781
-2460.03295898438,-544.158142089844,CT,-2584.33471679688,-1596.82104492188
-2980.73852539062,-834.867736816406,CT,-2552.1220703125,-1603.2353515625
-2436.49975585938,-900.399291992188,CT,-2315.6669921875,-1838.52807617188
-1888.83996582031,-1372.76892089844,CT,-1597.58703613281,-838.05029296875
-1888.6640625,-1374.74462890625,CT,-1601.78881835938,-845.529296875
-1888.22814941406,-1375.1142578125,CT,-1602.8681640625,-860.872680664062
-1888.1201171875,-1375.546875,CT,-1606.95617675781,-876.910705566406
-2635.79516601562,-1708.36499023438,CT,-2699.36743164062,-1551.19470214844
-2407.6884765625,-1197.24060058594,CT,-1758.31762695312,-858.813903808594
-2546.70922851562,-1715.78576660156,CT,-1906.38562011719,-1554.60766601562
-2546.39379882812,-1717.02673339844,CT,-1903.03125,-1551.31994628906
-2546.39379882812,-1717.02673339844,CT,-1904.5458984375,-1549.19372558594
-2546.39379882812,-1717.02673339844,CT,-1908.4951171875,-1547.49438476562
-784.783569335938,-116.957664489746,CT,-367.788024902344,-541.552612304688
-784.783569335938,-116.957664489746,CT,-448.002563476562,-663.235046386719
-862.5068359375,-280.808319091797,CT,-670.9599609375,-508.03125
-862.5068359375,-280.808319091797,CT,-412.148406982422,-531.784423828125
136.417251586914,-84.5290908813477,CT,656.963195800781,-654.277465820312
138.123764038086,-83.9518966674805,CT,656.963195800781,-654.277465820312
142.644927978516,-80.0899963378906,CT,656.963195800781,-654.277465820312
-3169.6162109375,356.566772460938,CT,-3437.59887695312,-638.711120605469
-3158.49609375,353.399627685547,CT,-3437.78173828125,-638.659729003906
-3158.5234375,353.43994140625,CT,-3437.78173828125,-638.659729003906
-1027.52099609375,-1012.43359375,CT,-1419.06909179688,-1294.77526855469
-1034.23461914062,-1009.36694335938,CT,-1418.57214355469,-1295.47875976562
-1043.04504394531,-999.652099609375,CT,-1416.63806152344,-1298.17065429688
-1044.97009277344,-997.31591796875,CT,-1415.4189453125,-1299.74633789062
-1037.5087890625,-1005.21594238281,CT,-692.260131835938,-871.841369628906
-1037.5087890625,-1005.21594238281,CT,-583.39599609375,-810.002197265625
-2870.92993164062,-1411.06005859375,CT,-1924.95690917969,-1000.09704589844
-2870.32153320312,-1410.88757324219,CT,-1927.94287109375,-1001.44903564453
-2870.29321289062,-1410.95397949219,CT,-1927.85974121094,-1003.95056152344
-2375.40673828125,-1315.78356933594,CT,-2988.93090820312,-516.276000976562
-2225.54028320312,560.03125,CT,-2758.8505859375,1205.6015625
-1524.00036621094,1327.205078125,CT,-2043.90686035156,1209.14147949219
-3078.51416015625,-104.189781188965,CT,-3122.14428710938,-261.219421386719
-3082.24389648438,-102.569633483887,CT,-3120.43188476562,-263.841064453125
-3082.24389648438,-102.569633483887,CT,-3119.97802734375,-271.018432617188
-3112.84228515625,-138.342330932617,CT,-3325.53662109375,294.603942871094
-2321.05737304688,539.2734375,CT,-2116.7451171875,-294.900024414062
-388.010650634766,-521.331848144531,CT,206.797210693359,-1021.94506835938
-3055.96069335938,-601.911987304688,CT,-1996.11486816406,-1040.10461425781
-3041.80834960938,-568.892517089844,CT,-1986.64453125,-1049.24572753906
-121.104904174805,-423.873504638672,CT,-544.891906738281,-1001.31842041016
-116.935356140137,-426.375946044922,CT,-531.861389160156,-1010.60107421875
-776.792602539062,-315.123779296875,CT,-801.453002929688,-743.838195800781
-777.32373046875,-315.803924560547,CT,-804.182556152344,-743.714294433594
-777.216064453125,-312.982971191406,CT,-800.094116210938,-744.038513183594
-775.769104003906,-308.624206542969,CT,-799.421203613281,-744.091674804688
-765.077087402344,-303.742004394531,CT,-798.055908203125,-744.165771484375
-2916.30737304688,-719.96875,CT,-2908.57543945312,-1174.05444335938
-2931.03881835938,-721.525207519531,CT,-1840.2490234375,-949.131225585938
-685.344482421875,-688.590209960938,CT,59.3061714172363,-338.671417236328
-22.5036487579346,-74.1996078491211,CT,308.936157226562,-213.765029907227
-3244.6484375,165.037750244141,CT,-3168.15112304688,-623.999633789062
-1075.212890625,-772.772888183594,CT,-930.570190429688,-1005.74322509766
-1340.24096679688,-1128.64916992188,CT,-641.142028808594,-860.007446289062
-1967.85021972656,-1160.80432128906,CT,-2942.64819335938,-1100.37841796875
-1969.87524414062,-1190.96765136719,CT,-2933.34399414062,-1098.4951171875
-1968.22534179688,-1172.17907714844,CT,-2935.58056640625,-1086.72802734375
-2054.70922851562,-1626.02880859375,CT,-2609.78857421875,-1736.68957519531
-865.995056152344,-129.871780395508,T,-851.144226074219,-192.348556518555
-2234.3486328125,311.594696044922,CT,-2119.89965820312,-176.303680419922
628.722534179688,-163.471008300781,CT,590.999328613281,-1418.8984375
631.473449707031,-163.456817626953,CT,590.5625,-1418.89953613281
631.515808105469,-163.456604003906,CT,590.491455078125,-1418.90075683594
