attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
460.056640625,-1425.27160644531,T,-392.77001953125,-552.930114746094,Xizt,denis,USP-S
444.171081542969,-1416.88049316406,T,-368.950103759766,-518.9013671875,Xizt,nex,USP-S
205.566711425781,-1014.34991455078,T,-364.588043212891,-521.289855957031,THREAT,nex,USP-S
261.197906494141,-1365.25048828125,T,483.033020019531,-331.436157226562,Xizt,NiKo,USP-S
211.740997314453,-1354.43896484375,T,447.621063232422,-371.670837402344,Xizt,NiKo,USP-S
-646.773559570312,-1068.21252441406,T,137.515670776367,-861.745361328125,friberg,Spiidi,USP-S
274.815795898438,-1008.08746337891,T,355.696746826172,-398.630554199219,THREAT,NiKo,USP-S
210.560699462891,-1013.74267578125,T,-515.902526855469,-522.575622558594,THREAT,chrisJ,USP-S
327.715942382812,-1110.62377929688,T,-46.7360191345215,-841.309631347656,THREAT,chrisJ,USP-S
336.228118896484,-1113.19750976562,T,356.535949707031,-671.30224609375,THREAT,chrisJ,USP-S
350.13427734375,-1107.7646484375,T,355.912658691406,-674.569580078125,THREAT,chrisJ,USP-S
-2238.12866210938,-1498.72705078125,T,-1954.08178710938,-805.847106933594,friberg,Spiidi,FAMAS
-2240.52465820312,-1497.74621582031,T,-1952.56042480469,-815.585571289062,friberg,Spiidi,FAMAS
-2241.94775390625,-1497.12561035156,T,-1953.19104003906,-849.552917480469,friberg,Spiidi,FAMAS
-2243.87451171875,-1496.228515625,T,-1947.85949707031,-853.620544433594,friberg,Spiidi,FAMAS
-1943.94213867188,-914.916809082031,T,-2400.44970703125,-535.348999023438,f0rest,chrisJ,MP9
-1945.65209960938,-914.139587402344,T,-2398.220703125,-532.407470703125,f0rest,chrisJ,MP9
-1089.11315917969,-741.885314941406,T,-1102.09655761719,-604.354125976562,GeT_RiGhT,nex,MAG-7
-1949.77478027344,-917.849243164062,T,-2399.89624023438,-534.472595214844,f0rest,chrisJ,MP9
-1955.85144042969,-924.263732910156,T,-2402.41064453125,-537.571594238281,f0rest,chrisJ,MP9
