attackerX,attackerY,victimSide,victimX,victimY
-2122.462890625,-2116.36840820312,CT,-2896.29833984375,-1378.35437011719
-2643.00122070312,-1712.19958496094,CT,-2625.38623046875,-1226.86096191406
-2692.2255859375,-1694.89636230469,CT,-2600.02368164062,-1231.33825683594
-2703.63232421875,-1686.94079589844,CT,-2585.85180664062,-1234.1591796875
-2735.47045898438,-1961.99560546875,T,-2697.71435546875,-1796.9267578125
-2645.59008789062,-1491.15869140625,CT,-2226.3037109375,-630.613647460938
-2605.64404296875,-1468.73828125,CT,-2240.22265625,-611.506652832031
-2014.47326660156,-1302.63842773438,CT,-2072.3857421875,-1319.21118164062
-2803.90014648438,-1312.76770019531,CT,-2071.94018554688,-1321.12158203125
-1970.2509765625,-1324.23278808594,CT,-2070.20166015625,-1327.9970703125
-1964.80786132812,-1307.13452148438,CT,-2069.79248046875,-1327.9765625
-2370.37573242188,-1269.46569824219,CT,-2066.08764648438,-1324.13415527344
-2565.54174804688,73.7988662719727,CT,-2096.8603515625,909.232360839844
-2086.64135742188,561.211303710938,CT,-1962.40002441406,1023.55517578125
-3151.29809570312,387.165954589844,CT,-2494.97729492188,1077.49084472656
-2329.07153320312,-973.364135742188,CT,-2211.21606445312,-23.5727272033691
-2351.02270507812,-1194.10388183594,CT,-2230.56274414062,-29.8665542602539
-2400.03125,-833.898132324219,CT,-2578.67407226562,-132.145431518555
-2254.18432617188,-1140.72814941406,CT,-2248.009765625,-28.3562259674072
-2213.66552734375,-497.837432861328,CT,-2370.43188476562,-22.0780029296875
-2259.61572265625,-1136.33544921875,CT,-2251.37646484375,-28.4462146759033
-2277.72143554688,-1136.14428710938,CT,-2270.88037109375,-30.1061954498291
-2270.73095703125,-534.33740234375,CT,-2442.74829101562,391.031311035156
-2066.4189453125,-931.23388671875,CT,-2012.53637695312,-808.03125
-3060.21411132812,-1856.51135253906,CT,-2379.20458984375,-515.670776367188
-3059.17309570312,-1857.03967285156,CT,-2370.0390625,-516.546325683594
-3057.89819335938,-1857.69445800781,CT,-2364.30590820312,-519.066955566406
-1999.17919921875,-1327.99353027344,CT,-2325.68188476562,-1270.87414550781
-1997.81628417969,-1327.99353027344,CT,-2325.41259765625,-1271.56079101562
-1914.12902832031,-1248.99938964844,CT,-2325.09497070312,-1269.48510742188
-1917.88488769531,-1251.71813964844,CT,-2324.31567382812,-1264.49523925781
-3676.89208984375,-452.941650390625,CT,-2993.26391601562,483.421966552734
-3676.30712890625,-453.377655029297,CT,-2993.53100585938,483.642303466797
-3878.93725585938,-694.762390136719,CT,-3002.52978515625,490.319366455078
-3673.46948242188,-455.409362792969,CT,-3002.00170898438,489.935363769531
-3951.3212890625,-1318.16369628906,CT,-3336.67333984375,-2205.09155273438
-3949.52807617188,-1316.93811035156,CT,-3326.48852539062,-2198.87841796875
-3948.107421875,-1315.97009277344,CT,-3326.56982421875,-2198.93701171875
-3001.81201171875,-2414.05249023438,CT,-2178.59765625,-2527.73120117188
-3356.50756835938,-2298.22729492188,CT,-3528.75366210938,-1687.51916503906
-3351.90869140625,-2387.09375,CT,-3901.640625,-1189.50170898438
-3349.85302734375,-2386.16357421875,CT,-3896.85791015625,-1187.66918945312
-3503.28735351562,-2246.3642578125,CT,-3901.69482421875,-1189.55603027344
-3506.81103515625,-2247.68872070312,CT,-3897.34497070312,-1187.81994628906
-1980.4296875,-932.962097167969,CT,-1697.62268066406,-955.259887695312
-3048.43481445312,-1754.83081054688,CT,-2142.67138671875,-653.261779785156
-3046.20288085938,-1754.52575683594,CT,-2142.84130859375,-653.124267578125
-3045.33642578125,-1755.20349121094,CT,-2144.07763671875,-652.112487792969
-3044.22265625,-1756.10583496094,CT,-2144.24609375,-651.973754882812
-3006.505859375,-1737.82690429688,CT,-2501.68505859375,-766.836975097656
-3004.80517578125,-1738.71789550781,CT,-2501.68505859375,-766.836975097656
-3002.98388671875,-1739.68640136719,CT,-2501.68505859375,-766.836975097656
-2578.52661132812,-974.154602050781,CT,-2432.19921875,-410.294799804688
-2472.2529296875,-1429.61828613281,CT,-2291.15185546875,-583.472961425781
-2405.94604492188,-1361.44604492188,CT,-2072.84790039062,-1283.21569824219
-2288.97241210938,-1050.0283203125,CT,-2246.96728515625,-484.734405517578
-2282.58129882812,-1041.92822265625,CT,-2250.2138671875,-500.087188720703
-2037.50671386719,-977.90576171875,CT,-2289.35717773438,-527.0966796875
