attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-748.337341308594,-428.935333251953,T,-775.565307617188,-381.371887207031,Spiidi,GeT_RiGhT,Zeus x27
166.329086303711,-743.842529296875,T,333.573547363281,-428.146087646484,NiKo,THREAT,Desert Eagle
-1078.24133300781,-890.658813476562,T,263.63525390625,-1010.15209960938,Spiidi,THREAT,Desert Eagle
-1075.1025390625,-577.8134765625,T,-449.452209472656,-682.43408203125,denis,f0rest,Five-SeveN
-2134.58764648438,-158.213638305664,T,-2405.6787109375,434.027404785156,denis,f0rest,M4A4
-2133.80932617188,-160.173568725586,T,-2405.05297851562,433.332672119141,denis,f0rest,M4A4
-2133.80541992188,-160.183502197266,T,-2400.76025390625,435.134033203125,denis,f0rest,M4A4
-2133.3056640625,-159.953994750977,T,-2401.18823242188,434.912719726562,denis,f0rest,M4A4
-2132.48510742188,-159.579772949219,T,-2404.021484375,433.6484375,denis,f0rest,M4A4
-2127.564453125,-157.357559204102,T,-2394.4931640625,424.634826660156,denis,friberg,M4A4
-1898.5419921875,-1603.62158203125,T,-1787.12768554688,-1472.14819335938,Spiidi,Xizt,M4A1
-1903.06201171875,-1599.29113769531,T,-1782.03662109375,-1476.46984863281,Spiidi,Xizt,M4A1
-1907.89575195312,-1594.52722167969,T,-1778.09948730469,-1480.23901367188,Spiidi,Xizt,M4A1
-3238.28515625,296.465545654297,T,-3243.95458984375,-597.466491699219,chrisJ,Xizt,M4A1
-3238.59985351562,296.443328857422,T,-3241.99438476562,-597.480285644531,chrisJ,Xizt,M4A1
-3215.21264648438,277.014038085938,T,-3267.04907226562,-22.6142559051514,chrisJ,friberg,M4A1
-3217.61010742188,276.21044921875,T,-3266.28149414062,-19.9387817382812,chrisJ,friberg,M4A1
-2604.216796875,87.4384994506836,T,-1769.24829101562,1431.38305664062,denis,f0rest,Desert Eagle
-762.255920410156,-413.459777832031,T,-763.791076660156,-45.1833839416504,NiKo,GeT_RiGhT,Desert Eagle
-1956.857421875,-976.712646484375,T,-2982.72094726562,-632.589172363281,NiKo,friberg,Desert Eagle
-2808.59765625,-870.890258789062,T,-2886.55834960938,-579.924560546875,Spiidi,f0rest,CZ75 Auto
-2786.88061523438,-695.827758789062,T,-2940.82568359375,-704.865478515625,Spiidi,Xizt,CZ75 Auto
-2910.7265625,-904.653015136719,T,-2928.37866210938,-1147.81921386719,chrisJ,THREAT,p250
-191.986740112305,-400.028472900391,T,-46.4635276794434,-348.667297363281,NiKo,GeT_RiGhT,M4A4
-191.986740112305,-400.028472900391,T,-51.9838180541992,-350.615631103516,NiKo,GeT_RiGhT,M4A4
-139.034042358398,-709.09326171875,T,-191.716720581055,-399.933197021484,NiKo,f0rest,AK-47
-137.905899047852,-708.884216308594,T,-191.716720581055,-399.933197021484,NiKo,f0rest,AK-47
-136.340469360352,-708.58935546875,T,-191.716720581055,-399.933197021484,NiKo,f0rest,AK-47
-531.978820800781,-550.168579101562,T,-124.646484375,-522.032958984375,Spiidi,f0rest,M4A1
-518.85400390625,-497.544921875,T,681.543395996094,-1342.69799804688,Spiidi,Xizt,M4A1
-518.85400390625,-497.544921875,T,681.543395996094,-1342.69799804688,Spiidi,Xizt,M4A1
-518.85400390625,-497.544921875,T,681.543395996094,-1342.69799804688,Spiidi,Xizt,M4A1
-240.656433105469,-690.233276367188,T,344.521240234375,-915.179809570312,chrisJ,THREAT,AWP
