attackerX,attackerY,victimSide,victimX,victimY
1239.77868652344,-661.711669921875,T,1314.76477050781,-938.296936035156
1239.77868652344,-661.711669921875,T,1314.67492675781,-930.725280761719
1239.77868652344,-661.711669921875,T,1315.947265625,-920.002258300781
1239.77868652344,-661.711669921875,T,1324.17919921875,-908.789184570312
-731.197875976562,-1314.5517578125,T,-586.907958984375,-556.992553710938
-576.408813476562,-1657.19653320312,T,-771.923217773438,-1010.88946533203
-567.301635742188,-1657.97241210938,T,-777.973327636719,-1012.71429443359
-559.687622070312,-1656.20300292969,T,-784.874084472656,-1014.81634521484
-536.81640625,-1662.90795898438,T,-785.880187988281,-1015.22418212891
-518.768493652344,-1675.98364257812,T,-805.161499023438,-1022.61706542969
-1164.76574707031,-545.568542480469,T,-8.88514423370361,-642.355041503906
-2327.23461914062,468.694854736328,T,-1826.49853515625,571.0439453125
-2324.67065429688,83.3361434936523,T,-1777.32580566406,698.345886230469
-2082.46044921875,304.972747802734,T,-2024.24951171875,789.602966308594
-1922.85571289062,-355.409271240234,T,-1716.78698730469,199.966384887695
-1957.88220214844,-417.730133056641,T,-1735.90380859375,208.600280761719
-1973.23498535156,-412.935150146484,T,-1753.57409667969,214.221740722656
-1891.94409179688,-363.721588134766,T,-2067.41772460938,436.910736083984
-2091.99926757812,398.146728515625,T,-1513.98706054688,727.360961914062
-2091.99926757812,398.146728515625,T,-1524.45544433594,730.005249023438
-1952.01745605469,849.999633789062,T,-1951.54077148438,744.310729980469
-2028.48681640625,14.7323913574219,CT,-1952.01745605469,849.948059082031
-2114.03125,757.844421386719,T,-1489.68383789062,722.900817871094
-1973.95385742188,-456.242340087891,T,-1468.44763183594,-820.205078125
-2074.21923828125,-433.951477050781,T,-1485.18872070312,-815.049682617188
-811.809509277344,134.698623657227,T,-609.387329101562,-1000.79022216797
-2080.55053710938,-441.192962646484,T,-1509.22351074219,-815.955810546875
-1951.55017089844,-399.272491455078,T,-1606.99328613281,-715.457946777344
-1915.939453125,-358.492156982422,T,-1741.7734375,-674.334411621094
-1913.29724121094,-341.601104736328,T,-1730.83337402344,-652.419738769531
-1188.55895996094,-1031.79943847656,T,-55.9262313842773,-361.296356201172
-496.000122070312,-1309.0166015625,T,-684.736511230469,-1313.39453125
-500.472595214844,-1450.41418457031,T,-675.209167480469,-1419.67175292969
-496.310241699219,-1423.01379394531,T,-556.628112792969,-1451.1513671875
-933.556213378906,-2532.333984375,T,26.4595966339111,-1418.00256347656
-505.898010253906,-1407.21533203125,T,-564.852478027344,-1436.06958007812
-1056.66418457031,-111.495536804199,T,-802.614685058594,-90.2080154418945
-652.477294921875,-1022.05749511719,T,-922.173278808594,-98.5544509887695
-653.250183105469,-1021.81628417969,T,-917.397033691406,-105.42943572998
-653.250183105469,-1021.81628417969,T,-916.580871582031,-109.39444732666
-664.996459960938,-1024.99194335938,T,-932.682861328125,-116.600814819336
-1216.00012207031,-1526.92736816406,T,-1281.82470703125,-962.475769042969
-1177.91076660156,-724.866149902344,T,182.175567626953,-50.2423210144043
-2325.22778320312,811.794128417969,T,-958.064453125,522.005676269531
-1202.03405761719,192.160293579102,T,-1782.29223632812,797.407287597656
-819.234802246094,-2515.00390625,T,-624.021789550781,-820.905151367188
-827.716064453125,294.537078857422,T,-645.342590332031,-1235.40795898438
-828.469299316406,294.451721191406,T,-656.469482421875,-1252.865234375
-829.578063964844,294.327270507812,T,-658.800537109375,-1257.77233886719
-828.244018554688,294.424987792969,T,-670.609008789062,-1278.20581054688
-843.653930664062,292.504455566406,T,-657.736267089844,-1283.54077148438
87.9967346191406,-2122.30541992188,T,-935.721130371094,-1395.40759277344
87.9967346191406,-2122.30541992188,T,-939.563415527344,-1396.20874023438
87.9967346191406,-2122.30541992188,T,-945.9365234375,-1397.69140625
87.9967346191406,-2122.30541992188,T,-952.517761230469,-1415.14465332031
-1211.04626464844,-733.730285644531,T,167.282257080078,-312.497406005859
-1030.01062011719,-2398.95776367188,T,-304.350891113281,-2195.970703125
-1030.26843261719,-2398.10107421875,T,-253.021270751953,-2136.92456054688
