attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-3063.58862304688,563.253784179688,CT,-2779.953125,936.867980957031,flusha,NBK-,AK-47
-2905.1328125,608.663757324219,CT,-2348.80151367188,528.060607910156,olofmeister,apEX,AK-47
-2905.13647460938,608.741882324219,CT,-2349.28955078125,525.947509765625,olofmeister,apEX,AK-47
-3027.82666015625,692.140319824219,CT,-2349.75122070312,524.075012207031,JW,apEX,Galil AR
-2905.2099609375,608.242492675781,CT,-2349.8876953125,523.529968261719,olofmeister,apEX,AK-47
-2800.60302734375,568.583984375,CT,-1986.73474121094,551.255432128906,KRIMZ,kennyS,UMP-45
-2649.39697265625,481.085540771484,CT,-1989.25439453125,565.295288085938,flusha,kennyS,AK-47
-2800.53833007812,568.614501953125,CT,-1989.65490722656,567.776733398438,KRIMZ,kennyS,UMP-45
-2649.39697265625,481.085540771484,CT,-1990.18273925781,571.167175292969,flusha,kennyS,AK-47
-2658.17358398438,507.978820800781,CT,-1956.65869140625,955.36669921875,flusha,shox,AK-47
-2658.8349609375,693.312622070312,CT,-1987.94799804688,992.132446289062,JW,bodyy,Galil AR
-2444.09155273438,379.167510986328,CT,-2027.08532714844,630.857971191406,KRIMZ,shox,AK-47
-2444.54565429688,378.904663085938,CT,-2031.52502441406,638.476867675781,KRIMZ,shox,AK-47
-2444.54565429688,378.904663085938,CT,-2035.61352539062,645.084655761719,KRIMZ,shox,AK-47
-2689.66284179688,527.030517578125,CT,-2363.74096679688,641.042419433594,KRIMZ,bodyy,UMP-45
-2388.19775390625,-1071.17138671875,CT,-3175.74291992188,-1153.09033203125,flusha,NBK-,MAC-10
-2388.61303710938,-1064.12390136719,CT,-3175.48364257812,-1155.48510742188,flusha,NBK-,MAC-10
-2437.66918945312,-665.066284179688,CT,-3149.7490234375,-1656.12243652344,flusha,bodyy,MAC-10
-2454.52075195312,-700.172912597656,CT,-3155.59619140625,-1665.02648925781,flusha,bodyy,MAC-10
-485.882843017578,-303.542541503906,CT,-730.148376464844,218.571304321289,dennis,bodyy,AK-47
-490.401947021484,-335.0341796875,CT,-732.624450683594,217.741424560547,JW,bodyy,AK-47
-485.914245605469,-336.533996582031,CT,-738.820373535156,215.326553344727,JW,bodyy,AK-47
-479.884521484375,-299.153411865234,CT,-741.720520019531,214.034652709961,dennis,bodyy,AK-47
-838.012145996094,-28.2760334014893,CT,-929.10693359375,-366.989807128906,JW,shox,AK-47
-842.427368164062,-29.3639125823975,CT,-894.393188476562,-375.870971679688,JW,shox,AK-47
-846.023193359375,-28.6176376342773,CT,-864.099670410156,-386.243377685547,JW,shox,AK-47
-853.169311523438,-28.0664844512939,CT,-864.245178222656,-386.237731933594,JW,shox,AK-47
-852.546936035156,228.552200317383,CT,-1512.03967285156,-21.3153610229492,KRIMZ,NBK-,AK-47
-851.859008789062,226.792495727539,CT,-1510.94458007812,-16.0929431915283,KRIMZ,NBK-,AK-47
-851.008422851562,224.526458740234,CT,-1513.48815917969,-18.9632816314697,KRIMZ,NBK-,AK-47
-1036.62683105469,-238.345336914062,CT,-1805.59216308594,-303.999633789062,flusha,kennyS,AK-47
-1036.70874023438,-237.312194824219,CT,-1815.13317871094,-306.017913818359,flusha,kennyS,AK-47
-1134.89721679688,-67.5681381225586,CT,-865.025451660156,-619.490356445312,KRIMZ,apEX,AK-47
-2068.23193359375,-1312.18884277344,CT,-1832.28173828125,-1029.69396972656,JW,NBK-,AK-47
-2234.14306640625,-801.338439941406,CT,-3100.9462890625,-1853.15942382812,flusha,apEX,AK-47
