attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2736.94580078125,-1.37403237819672,CT,-2652.19213867188,834.684509277344,NBK-,GuardiaN,Glock-18
-2450.17309570312,127.113784790039,CT,-2229.75805664062,985.781127929688,shox,Edward,p250
-2000.94360351562,587.717163085938,CT,-2224.05615234375,983.823669433594,apEX,Edward,Glock-18
-3887.43310546875,-1702.55798339844,CT,-3583.8720703125,-92.2909240722656,kennyS,s1mple,AK-47
-3899.37890625,-1701.07482910156,CT,-3602.24853515625,-92.629020690918,kennyS,s1mple,AK-47
-3908.4609375,-1699.39086914062,CT,-3589.59643554688,-95.3727645874023,kennyS,s1mple,AK-47
-3736.75903320312,-849.911071777344,CT,-3626.306640625,-113.908126831055,apEX,s1mple,Galil AR
-2213.80737304688,-325.651336669922,CT,-2699.28076171875,741.21337890625,NBK-,GuardiaN,AK-47
-3147.41284179688,515.033386230469,CT,-2485.39965820312,827.272033691406,apEX,GuardiaN,AK-47
-2612.6103515625,347.470428466797,T,-2398.49877929688,443.671875,shox,bodyy,AK-47
-2612.90698242188,348.101959228516,T,-2394.2197265625,445.650573730469,shox,bodyy,AK-47
-2613.33056640625,349.040863037109,T,-2392.44287109375,444.858276367188,shox,bodyy,AK-47
-1975.10522460938,-991.332214355469,CT,-1309.05712890625,-739.052551269531,NBK-,seized,Desert Eagle
-1778.76794433594,-1852.20458984375,CT,-1781.64135742188,-994.228271484375,shox,s1mple,p250
-2345.73413085938,-792.364807128906,CT,-2239.43505859375,-577.895202636719,shox,s1mple,AK-47
-2342.71362304688,-793.240112304688,CT,-2244.55517578125,-578.061157226562,shox,s1mple,AK-47
-2340.61596679688,-794.250061035156,CT,-2244.51147460938,-578.080383300781,shox,s1mple,AK-47
-2338.6689453125,-795.204711914062,CT,-2247.79833984375,-577.831481933594,shox,s1mple,AK-47
-2183.02319335938,-361.427001953125,CT,-2711.4375,244.362411499023,shox,GuardiaN,AK-47
-2404.736328125,117.386054992676,CT,-2992.61254882812,834.086486816406,bodyy,flamie,AK-47
-2405.662109375,116.582336425781,CT,-2991.82885742188,834.744018554688,bodyy,flamie,AK-47
-2401.15454101562,120.210395812988,CT,-2995.37109375,831.863037109375,bodyy,flamie,AK-47
-2544.30126953125,305.05224609375,T,-2675.80053710938,431.069671630859,NBK-,shox,AK-47
-2544.30126953125,305.05224609375,CT,-3019.34301757812,809.902770996094,NBK-,flamie,AK-47
-2543.84033203125,305.469635009766,T,-2677.45947265625,430.43359375,NBK-,shox,AK-47
-2543.84033203125,305.469635009766,CT,-3014.63720703125,814.207580566406,NBK-,flamie,AK-47
-2543.35498046875,305.921295166016,T,-2673.77319335938,433.036529541016,NBK-,shox,AK-47
-2452.76489257812,468.155212402344,CT,-2118.00390625,438.540252685547,kennyS,Edward,AWP
-1669.36645507812,661.574829101562,CT,-2667.41845703125,840.942199707031,kennyS,seized,AWP
-2269.70849609375,-1305.2060546875,CT,-2562.31958007812,-1141.04541015625,shox,s1mple,AK-47
-2269.94091796875,-1304.90502929688,CT,-2555.51611328125,-1145.19702148438,shox,s1mple,AK-47
-2268.076171875,-1301.48449707031,CT,-2549.89697265625,-1148.42138671875,shox,s1mple,AK-47
-2268.31640625,-1301.90112304688,CT,-2544.83349609375,-1151.32275390625,shox,s1mple,AK-47
-2077.97314453125,587.158874511719,CT,-2078.97314453125,680.414978027344,NBK-,seized,Galil AR
-2993.55126953125,682.66455078125,CT,-2081.42700195312,548.468444824219,apEX,Edward,Galil AR
-2992.41430664062,684.846252441406,CT,-2081.53149414062,547.401123046875,apEX,Edward,Galil AR
-2567.13403320312,589.301940917969,CT,-2081.1806640625,549.584411621094,shox,Edward,AK-47
-2566.22387695312,591.253295898438,CT,-2081.15698242188,549.801452636719,shox,Edward,AK-47
-2309.73559570312,488.805084228516,CT,-2550.28393554688,1361.17883300781,apEX,GuardiaN,CZ75 Auto
-2059.79125976562,557.206420898438,CT,-1960.15234375,1039.71447753906,bodyy,s1mple,Tec-9
-2079.31958007812,553.216613769531,CT,-2047.29479980469,1014.59619140625,bodyy,s1mple,Tec-9
-2693.65161132812,609.884765625,CT,-2465.181640625,1277.26721191406,NBK-,GuardiaN,p250
-2539.955078125,-1085.85485839844,CT,-2114.16845703125,-720.935546875,shox,seized,p250
-2541.5908203125,-1084.00463867188,CT,-2122.00659179688,-709.550048828125,shox,seized,p250
-2542.45874023438,-1115.92602539062,CT,-2117.3642578125,-712.07373046875,shox,seized,p250
-2543.98876953125,-1114.23071289062,CT,-2109.45263671875,-720.561401367188,shox,seized,p250
-2436.4951171875,153.999069213867,CT,-2234.05224609375,882.531372070312,bodyy,s1mple,Tec-9
-3108.0986328125,385.040679931641,CT,-2638.7646484375,886.402587890625,apEX,GuardiaN,Desert Eagle
-3145.71533203125,436.651000976562,CT,-2559.50244140625,797.631896972656,apEX,GuardiaN,Desert Eagle
-2600.52221679688,-223.541625976562,CT,-2661.43139648438,819.046875,shox,GuardiaN,p250
-2628.02905273438,-191.795928955078,CT,-2577.92407226562,469.326141357422,shox,Edward,p250
-1718.53161621094,-990.603393554688,CT,-1694.97436523438,-315.819122314453,shox,GuardiaN,AK-47
-1739.39172363281,-989.371643066406,CT,-1744.39392089844,-169.921859741211,shox,Edward,AK-47
-2383.64477539062,-580.051208496094,CT,-2544.0693359375,-133.384658813477,shox,s1mple,AK-47
-2260.39770507812,86.1980438232422,CT,-2689.20239257812,-84.4467010498047,kennyS,s1mple,AWP
-540.684875488281,-751.513488769531,CT,-390.247833251953,118.630065917969,NBK-,seized,Desert Eagle
-579.998840332031,-744.252990722656,CT,-373.1826171875,115.943252563477,NBK-,seized,Desert Eagle
-575.253112792969,-745.420349121094,CT,-363.939514160156,114.208847045898,NBK-,seized,Desert Eagle
-3770.28540039062,-405.892211914062,CT,-3404.4248046875,-184.178573608398,apEX,s1mple,Desert Eagle
-1108.93640136719,-639.099609375,CT,-837.520812988281,-73.9612655639648,bodyy,flamie,AK-47
-1036.03295898438,-534.5595703125,CT,-824.671691894531,-80.8574829101562,kennyS,flamie,p250
-948.282958984375,-260.623870849609,CT,-818.695983886719,80.0364837646484,kennyS,flamie,p250
-437.940307617188,-246.419082641602,CT,-811.81005859375,85.9682769775391,shox,flamie,Desert Eagle
-1545.18994140625,-493.720245361328,CT,-1736.16540527344,-915.888916015625,apEX,Edward,AK-47
-490.381896972656,-297.339233398438,CT,-740.818298339844,284.814422607422,apEX,GuardiaN,AK-47
-493.162902832031,-297.900421142578,CT,-749.151123046875,281.062408447266,apEX,GuardiaN,AK-47
-496.299530029297,-299.076385498047,CT,-755.396179199219,278.220642089844,apEX,GuardiaN,AK-47
-2759.12133789062,-1493.19543457031,CT,-2182.49536132812,-639.408935546875,bodyy,s1mple,AK-47
-744.511962890625,285.436889648438,CT,-1349.34802246094,372.740173339844,shox,seized,AK-47
-887.749206542969,-274.759613037109,CT,-1172.49584960938,437.492340087891,bodyy,flamie,AK-47
-2880.47045898438,750.758544921875,CT,-2104.0380859375,396.133972167969,apEX,Edward,Desert Eagle
-2638.51782226562,630.30126953125,CT,-2165.45190429688,465.560943603516,NBK-,Edward,Desert Eagle
-2635.61645507812,633.9658203125,CT,-2169.32788085938,460.055419921875,NBK-,Edward,Desert Eagle
-3162.24340820312,-1773.21166992188,CT,-2192.26342773438,-861.884643554688,bodyy,Edward,Glock-18
-3147.28271484375,-1788.82312011719,CT,-2154.91625976562,-893.244384765625,bodyy,Edward,Glock-18
-2767.59252929688,-1694.25451660156,CT,-2164.9287109375,-836.527954101562,apEX,Edward,Glock-18
-1297.19689941406,-707.13818359375,CT,-1073.19738769531,-572.622924804688,shox,s1mple,p250
-1320.330078125,-644.130859375,CT,-1020.40789794922,-627.193725585938,shox,s1mple,p250
-2300.88452148438,-44.7304878234863,CT,-2946.31982421875,886.01708984375,bodyy,GuardiaN,AK-47
-1719.76159667969,-793.626342773438,CT,-1403.31701660156,-242.206893920898,NBK-,s1mple,AK-47
-1720.87048339844,-793.037231445312,CT,-1395.86206054688,-247.312622070312,NBK-,s1mple,AK-47
-1717.92077636719,-873.867126464844,CT,-559.598876953125,-996.726745605469,NBK-,seized,AK-47
-1717.92077636719,-873.867126464844,CT,-560.047241210938,-999.543090820312,NBK-,seized,AK-47
-1717.95068359375,-874.131164550781,CT,-560.329833984375,-1001.73364257812,NBK-,seized,AK-47
-1718.01342773438,-874.688842773438,CT,-560.535766601562,-1003.36932373047,NBK-,seized,AK-47
-1775.10925292969,-61.1681098937988,CT,-2128.85546875,362.861511230469,shox,flamie,AK-47
-1771.10827636719,-57.2192115783691,CT,-2127.70727539062,363.811340332031,shox,flamie,AK-47
-1771.556640625,-57.5629196166992,CT,-2126.21899414062,365.036468505859,shox,flamie,AK-47
-1770.93298339844,-57.0333518981934,CT,-2124.751953125,366.24755859375,shox,flamie,AK-47
-2365.35083007812,629.292846679688,CT,-3029.37084960938,586.983276367188,apEX,Edward,AK-47
-2365.42309570312,630.550109863281,CT,-3028.99658203125,596.782653808594,apEX,Edward,AK-47
-2365.75415039062,639.087097167969,CT,-3031.74096679688,593.515075683594,apEX,Edward,AK-47
-2365.68359375,638.227722167969,CT,-3030.32397460938,570.9296875,apEX,Edward,AK-47
-1213.52575683594,-559.275024414062,CT,-1012.36010742188,-573.210083007812,shox,seized,AK-47
-1579.81628417969,-573.0478515625,CT,-1055.60766601562,484.317138671875,NBK-,flamie,AK-47
-1579.81628417969,-573.0478515625,CT,-1058.67663574219,485.846984863281,NBK-,flamie,AK-47
-1578.81323242188,-573.57861328125,CT,-1064.52233886719,488.75146484375,NBK-,flamie,AK-47
-1798.13916015625,-120.471366882324,CT,-1895.21240234375,-673.14404296875,NBK-,Edward,AK-47
-1798.3974609375,-120.156616210938,CT,-1890.64208984375,-666.146545410156,NBK-,Edward,AK-47
-963.43994140625,-408.189971923828,CT,-2278.19116210938,1031.08984375,kennyS,GuardiaN,AWP
-2556.13330078125,-2623.181640625,CT,-3643.07250976562,-2032.75256347656,bodyy,dennis,Glock-18
-2460.7705078125,-2636.31811523438,CT,-3646.76171875,-2048.01806640625,kennyS,dennis,Glock-18
-2555.12426757812,-2621.23193359375,CT,-3619.95043945312,-1996.27734375,bodyy,dennis,Glock-18
-3556.98828125,-1899.63537597656,CT,-3666.93408203125,-247.596633911133,kennyS,JW,Glock-18
-3453.65087890625,-1887.455078125,CT,-3672.7099609375,-231.085357666016,kennyS,JW,Glock-18
-2990.06372070312,-969.558837890625,CT,-3429.66528320312,-687.427673339844,apEX,dennis,Glock-18
-2357.37451171875,24.695686340332,CT,-2681.37329101562,759.708068847656,NBK-,olofmeister,Glock-18
-2386.96533203125,12.6324577331543,CT,-2665.37963867188,758.560791015625,NBK-,olofmeister,Glock-18
-2505.98657226562,59.8798866271973,CT,-2350.12158203125,1270.00830078125,NBK-,JW,Glock-18
-2568.41772460938,102.639938354492,CT,-2039.71154785156,1009.03002929688,NBK-,KRIMZ,Glock-18
-2502.16821289062,527.409973144531,CT,-1991.53564453125,844.03369140625,NBK-,flusha,Glock-18
-796.789123535156,124.994163513184,CT,-1671.70141601562,456.171600341797,bodyy,flusha,Glock-18
-798.918090820312,119.453498840332,CT,-1663.97766113281,445.884521484375,bodyy,flusha,Glock-18
-1497.54418945312,523.694519042969,CT,-1531.37683105469,365.675903320312,apEX,KRIMZ,P2000
-798.236145019531,120.996704101562,CT,-1664.23120117188,500.068878173828,bodyy,flusha,Glock-18
-961.312255859375,-422.329742431641,CT,-1693.46154785156,519.192260742188,shox,flusha,Glock-18
-2401.75024414062,140.686141967773,CT,-2445.5537109375,1219.39819335938,NBK-,flusha,AK-47
-2401.75024414062,140.686141967773,CT,-2463.26904296875,1222.25598144531,NBK-,flusha,AK-47
-2401.75024414062,140.686141967773,CT,-2459.27734375,1222.89404296875,NBK-,flusha,AK-47
-2574.82470703125,896.576232910156,CT,-2382.18237304688,1172.37023925781,bodyy,flusha,Galil AR
