attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-3136.4814453125,-495.72998046875,CT,-2172.00830078125,-1220.82702636719,pashaBiceps,aizy,Glock-18
-3011.2958984375,-603.175720214844,CT,-2186.48583984375,-1241.5419921875,NEO,aizy,Glock-18
-2144.92260742188,35.5757598876953,CT,-2545.5068359375,-504.562377929688,byali,k0nfig,Glock-18
-2149.34326171875,33.0648078918457,CT,-2539.92211914062,-499.232666015625,byali,k0nfig,Glock-18
-2404.1796875,-677.042541503906,CT,-2191.47436523438,-1333.78515625,TaZ,MSL,USP-S
-2401.83911132812,-676.239501953125,CT,-2189.05859375,-1323.98352050781,TaZ,MSL,USP-S
-2405.2802734375,-677.407470703125,CT,-2211.66870117188,-1336.07592773438,TaZ,MSL,USP-S
-2405.2802734375,-677.407470703125,CT,-2212.77661132812,-1337.12756347656,TaZ,MSL,USP-S
-2144.63012695312,-218.553756713867,CT,-2397.51708984375,438.163848876953,TaZ,cajunb,USP-S
-2890.02294921875,-1391.22448730469,CT,-1713.21875,-1562.93383789062,NEO,Magisk,Glock-18
-2891.74267578125,-1401.41442871094,CT,-1713.80834960938,-1566.07775878906,NEO,Magisk,Glock-18
-2072.42895507812,-1641.18640136719,CT,-1712.00244140625,-1523.16943359375,pashaBiceps,Magisk,USP-S
351.92919921875,-91.1258010864258,CT,232.592361450195,-630.738708496094,Snax,aizy,UMP-45
372.15234375,-87.7417144775391,CT,232.578079223633,-630.745849609375,Snax,aizy,UMP-45
409.279846191406,-90.0759735107422,CT,232.536102294922,-630.766906738281,Snax,aizy,UMP-45
409.279846191406,-90.0759735107422,CT,218.429306030273,-662.80908203125,Snax,Magisk,UMP-45
453.21630859375,-153.134750366211,CT,222.95068359375,-636.557739257812,Snax,aizy,UMP-45
219.825820922852,-376.764099121094,CT,36.9025268554688,-324.678741455078,TaZ,MSL,UMP-45
214.324981689453,-387.99609375,CT,2.75079584121704,-388.563781738281,TaZ,MSL,UMP-45
214.296432495117,-384.524658203125,CT,-6.4233078956604,-397.399719238281,TaZ,MSL,UMP-45
214.293411254883,-384.1572265625,CT,-14.8329000473022,-405.499328613281,TaZ,MSL,UMP-45
214.293411254883,-384.1572265625,CT,-24.0070095062256,-414.335266113281,TaZ,MSL,UMP-45
135.246200561523,-307.637817382812,CT,-191.392974853516,-399.793823242188,TaZ,aizy,UMP-45
754.872192382812,-563.111022949219,CT,87.4883575439453,-1115.94104003906,NEO,cajunb,AK-47
754.148986816406,-563.4169921875,CT,80.3160629272461,-1112.84838867188,NEO,cajunb,AK-47
262.129577636719,-534.683471679688,CT,-32.5524101257324,-1135.97216796875,TaZ,cajunb,UMP-45
324.153747558594,-622.624084472656,CT,-452.844207763672,-904.389404296875,TaZ,Magisk,UMP-45
697.732360839844,-247.96028137207,CT,-65.8052978515625,-355.47119140625,pashaBiceps,k0nfig,AK-47
697.732360839844,-247.96028137207,CT,-63.4854011535645,-354.652374267578,pashaBiceps,k0nfig,AK-47
742.878112792969,-365.388458251953,CT,-397.147216796875,-1011.41540527344,pashaBiceps,Magisk,AK-47
673.089660644531,-178.461868286133,CT,159.076721191406,-1184.73388671875,pashaBiceps,cajunb,p250
723.72021484375,-493.106048583984,CT,-132.011428833008,-962.616149902344,pashaBiceps,cajunb,p250
397.402221679688,-177.78450012207,CT,168.694259643555,-360.070983886719,Snax,MSL,AK-47
396.315460205078,-178.409378051758,CT,169.353164672852,-361.038696289062,Snax,MSL,AK-47
401.3974609375,-185.319747924805,CT,171.778854370117,-364.015228271484,Snax,MSL,AK-47
727.790466308594,-525.063415527344,CT,-470.009765625,-906.846923828125,byali,Magisk,AK-47
581.657104492188,-433.795227050781,CT,-672.493774414062,-1065.99389648438,Snax,aizy,AK-47
736.73486328125,-695.932678222656,CT,-474.2412109375,-887.720520019531,byali,Magisk,AK-47
488.996002197266,-684.037109375,CT,-783.546081542969,-870.073608398438,TaZ,k0nfig,AK-47
488.996002197266,-684.037109375,CT,-246.027236938477,-775.339599609375,TaZ,aizy,AK-47
486.604248046875,-672.641967773438,CT,-768.508666992188,-898.15771484375,TaZ,k0nfig,AK-47
486.496398925781,-672.129211425781,CT,-770.417419433594,-896.728576660156,TaZ,k0nfig,AK-47
-3167.15209960938,-106.346542358398,CT,-2652.32763671875,-128.721862792969,TaZ,k0nfig,AK-47
-3174.29907226562,-532.832092285156,CT,-2204.92211914062,-1077.58984375,Snax,k0nfig,p250
-3162.63159179688,-502.779052734375,CT,-2363.29077148438,-851.04931640625,Snax,aizy,p250
-3163.748046875,-506.112640380859,CT,-2362.94189453125,-850.191833496094,Snax,aizy,p250
