attackerX,attackerY,victimSide,victimX,victimY
-1690.00158691406,-986.359497070312,T,-1860.1650390625,-935.07421875
-1691.02087402344,-992.58447265625,T,-1862.541015625,-930.090576171875
-3657.10083007812,-306.425079345703,T,-3346.74658203125,-2389.34204101562
-2239.45922851562,3.59166359901428,T,-2375.34033203125,-1304.75500488281
-936.779602050781,495.994323730469,T,-556.739562988281,-199.601928710938
-875.813415527344,494.933074951172,T,-758.548278808594,-121.683708190918
-875.813415527344,494.933074951172,T,-648.719177246094,212.700210571289
-867.961120605469,495.562316894531,T,-855.070251464844,305.306701660156
-1806.45129394531,-55.4768371582031,T,-744.939270019531,197.126281738281
-1983.18835449219,553.239318847656,T,-744.939270019531,197.126281738281
-1944.35791015625,-996.602294921875,T,-1138.74938964844,-589.330932617188
-1098.96765136719,365.896850585938,T,-414.523498535156,-296.03271484375
-1074.54479980469,-144.525161743164,T,-1191.84033203125,38.1349182128906
-1091.5146484375,-140.425262451172,T,-1191.74169921875,37.974853515625
-1366.81726074219,-171.966445922852,T,-353.231323242188,-95.9273223876953
-1800.00048828125,-671.115905761719,T,-892.739685058594,-631.91748046875
-1800.00048828125,-670.896850585938,T,-889.645812988281,-607.155822753906
-1283.20935058594,-26.2166786193848,T,-339.914123535156,-141.282104492188
-1284.57080078125,-31.7781887054443,T,-339.91015625,-142.126083374023
-1910.31652832031,-149.128341674805,T,-897.232727050781,-317.633880615234
-1912.95874023438,-149.58464050293,T,-899.175537109375,-328.773895263672
-1913.24291992188,-151.110748291016,T,-899.189514160156,-328.844696044922
-1871.78540039062,-231.873306274414,T,-901.835632324219,-341.390716552734
-1930.97570800781,-28.9193515777588,T,-1017.44403076172,-314.765563964844
-1803.85375976562,503.771697998047,T,-1159.68151855469,445.047424316406
-1800.10583496094,502.548950195312,T,-1145.6435546875,432.120056152344
-511.95361328125,-143.40168762207,T,-588.899536132812,-1063.91467285156
-511.975860595703,-143.462951660156,T,-588.621276855469,-1071.49877929688
-519.66064453125,-142.839981079102,T,-588.818054199219,-1083.11376953125
-487.992919921875,-338.863952636719,T,-588.853942871094,-1085.13916015625
-524.329223632812,-142.47737121582,T,-588.925720214844,-1089.18994140625
-3421.2431640625,-144.162292480469,T,-3888.15991210938,-639.257568359375
-3423.15234375,-142.3818359375,T,-3891.77392578125,-635.322204589844
-3421.56323242188,-143.88493347168,T,-3891.841796875,-635.192199707031
-3417.74633789062,-147.514022827148,T,-3889.30810546875,-637.72314453125
-3415.3037109375,-149.862518310547,T,-3887.4248046875,-639.564758300781
