attackerX,attackerY,victimSide,victimX,victimY
-1061.54345703125,-410.015808105469,T,-57.6401481628418,-939.572326660156
-433.642059326172,-224.624618530273,T,-46.007251739502,-864.471008300781
-1010.15563964844,-503.81640625,T,-326.600982666016,-697.097839355469
-1004.23913574219,-481.025238037109,T,-313.603607177734,-681.484130859375
-1061.75854492188,-457.96875,T,-307.241271972656,-660.884643554688
-1061.75854492188,-457.96875,T,-57.3824272155762,-735.200317382812
-803.040100097656,-183.687973022461,T,-698.268798828125,-1137.18176269531
-843.230102539062,-186.945236206055,T,-815.242370605469,-1128.57458496094
-137.670074462891,-362.379455566406,T,-343.949676513672,-1151.80895996094
-122.193786621094,-389.421325683594,T,-302.470001220703,-1058.95629882812
-176.03205871582,-482.331573486328,T,-343.908813476562,-1117.60131835938
-350.411163330078,-401.100311279297,T,-138.420486450195,-1231.60717773438
-943.563903808594,-561.65380859375,T,-503.167755126953,-587.244323730469
-936.570434570312,-377.167541503906,T,-688.009582519531,-1061.13745117188
-936.570434570312,-377.167541503906,T,-656.003356933594,-1064.39672851562
-505.481842041016,-243.173706054688,T,-132.194793701172,-721.293395996094
-505.481842041016,-243.173706054688,T,-112.03125,-547.257446289062
-891.454956054688,-567.730651855469,T,-601.889526367188,-683.315734863281
-983.574890136719,-465.1044921875,T,-601.110717773438,-681.684631347656
-977.992248535156,-468.787475585938,T,-607.6201171875,-697.287536621094
-973.851684570312,-461.891174316406,T,-609.147888183594,-700.311279296875
-970.572082519531,-456.771209716797,T,-609.872375488281,-701.389526367188
-108.528793334961,-333.97705078125,T,-121.696319580078,-692.921325683594
-97.9481201171875,-354.96875,T,-110.859817504883,-735.285583496094
-213.925827026367,-161.406555175781,T,-389.303649902344,-1207.4482421875
-162.732177734375,-170.574935913086,T,-405.088287353516,-1204.57116699219
-140.502182006836,-365.991271972656,T,-406.963684082031,-1204.15710449219
-198.991104125977,-850.550598144531,T,-470.075714111328,-1145.21813964844
-197.764068603516,-851.589477539062,T,-469.094696044922,-1146.02221679688
-196.153091430664,-853.072204589844,T,-470.424407958984,-1144.77770996094
-112.663352966309,-1077.43493652344,T,-925.0087890625,-1271.00366210938
-108.690185546875,-1091.46606445312,T,-935.695617675781,-1265.25402832031
-104.308944702148,-1114.60815429688,T,-919.020629882812,-1278.87915039062
-84.6325378417969,-870.113830566406,T,-108.601455688477,-1065.2333984375
-91.0565414428711,-868.714904785156,T,-109.153915405273,-1065.22814941406
-96.0927047729492,-867.7021484375,T,-108.783950805664,-1065.22924804688
-278.733642578125,-964.005798339844,CT,-246.676834106445,-934.510803222656
-2308.83349609375,365.223114013672,T,-1887.23950195312,-146.933502197266
-137.191696166992,-364.541839599609,T,-380.344268798828,-1076.11645507812
-137.191696166992,-364.541839599609,T,-382.114959716797,-1075.49084472656
-137.191696166992,-364.541839599609,T,-383.542388916016,-1074.96826171875
-137.191696166992,-364.541839599609,T,-384.800506591797,-1074.51110839844
-137.191696166992,-364.541839599609,T,-386.158813476562,-1074.03637695312
-2018.63903808594,-556.145690917969,T,-1839.4345703125,363.740631103516
-2028.13659667969,-551.846862792969,T,-1826.75756835938,370.268890380859
-2027.96643066406,-551.883911132812,T,-1830.55383300781,372.189331054688
-2028.96118164062,-551.675048828125,T,-1838.13439941406,374.003692626953
-2564.38232421875,303.064239501953,T,-2162.35009765625,-155.360336303711
-2565.07641601562,302.461975097656,T,-2164.48559570312,-161.039428710938
-2565.07641601562,302.461975097656,T,-2166.48803710938,-164.7177734375
-2565.07641601562,302.461975097656,T,-2168.30737304688,-167.903533935547
-2565.07641601562,302.461975097656,T,-2170.8369140625,-170.917007446289
-1339.72900390625,-470.354431152344,T,-1423.99365234375,-824.997985839844
-1346.34509277344,-477.02880859375,T,-1423.99365234375,-824.997985839844
-1347.48779296875,-481.963745117188,T,-1423.99365234375,-824.997985839844
-1361.7548828125,-479.806030273438,T,-1423.99365234375,-824.997985839844
-1370.04736328125,-473.280822753906,T,-1423.99365234375,-824.997985839844
-1370.30163574219,-472.836608886719,T,-1423.99365234375,-824.997985839844
-1384.4609375,-465.487762451172,T,-1423.99365234375,-824.997985839844
-1402.97351074219,-456.595581054688,T,-1423.99365234375,-824.997985839844
-1414.37219238281,-455.855285644531,T,-1423.99365234375,-824.997985839844
-1414.73937988281,-455.962219238281,T,-1423.99365234375,-824.997985839844
-1421.57971191406,-457.021301269531,T,-1423.99365234375,-824.997985839844
-1423.63208007812,-457.865081787109,T,-1423.99365234375,-824.997985839844
-1386.18273925781,-301.653045654297,T,-1236.33093261719,-722.03125
-1032.16333007812,-471.115203857422,T,-510.156463623047,-592.412353515625
-381.999359130859,-315.524475097656,T,-248.198364257812,-1022.79248046875
-883.51220703125,-251.989685058594,T,-323.451477050781,-783.458618164062
-922.312072753906,-256.339324951172,T,-352.011505126953,-744.208374023438
-961.563659667969,-266.646392822266,T,-401.387390136719,-726.450744628906
-996.716491699219,-280.952789306641,T,-450.755249023438,-709.01904296875
-776.307434082031,-221.658889770508,T,-713.21826171875,-938.077331542969
-776.342224121094,-221.917037963867,T,-714.674743652344,-942.656188964844
-130.537841796875,-414.472137451172,T,-388.584594726562,-1142.61071777344
-127.054214477539,-415.691558837891,T,-388.584594726562,-1142.61071777344
-253.306503295898,-486.772552490234,T,-388.584594726562,-1142.61071777344
-660.640625,-1144.88830566406,T,-858.800842285156,-234.120422363281
-98.426399230957,-1439.96875,T,-764.067993164062,-1466.46533203125
-98.426399230957,-1439.96875,T,-757.557006835938,-1466.72412109375
-79.1971130371094,-1306.96081542969,T,-851.4599609375,-1059.81652832031
-1027.11499023438,-293.470397949219,T,-656.03125,-956.58642578125
-1027.11499023438,-293.470397949219,T,-476.746887207031,-1141.69445800781
-1027.11499023438,-293.470397949219,T,-871.88134765625,-938.79638671875
-258.916381835938,-1052.39074707031,T,-477.257690429688,-1141.48864746094
-258.887725830078,-1052.46057128906,T,-478.971893310547,-1140.74499511719
-254.770751953125,-1062.69799804688,T,-479.536102294922,-1141.54565429688
-253.923309326172,-1064.66931152344,T,-479.2568359375,-1142.25524902344
-1041.93505859375,-644.3623046875,CT,-334.905212402344,-730.500549316406
-793.347534179688,-1122.61499023438,T,-592.486572265625,-1086.72180175781
-793.347534179688,-1122.61499023438,T,-598.199157714844,-1087.35180664062
-571.002502441406,-166.038665771484,T,-224.824096679688,-468.475952148438
-570.7001953125,-165.697326660156,T,-224.148971557617,-465.271667480469
-398.468872070312,-1347.95361328125,T,-220.789916992188,-423.099731445312
-402.913848876953,-1346.42431640625,T,-218.983215332031,-419.42431640625
-403.674621582031,-1346.16455078125,T,-216.803482055664,-415.904205322266
-598.889099121094,-1092.77990722656,T,-838.169494628906,-178.186706542969
-615.915222167969,-770.408996582031,T,-722.03125,-926.667175292969
-613.787231445312,-771.843933105469,T,-722.2119140625,-929.683227539062
-2418.67529296875,332.298309326172,T,-1940.6455078125,-478.315338134766
-1892.57824707031,336.046569824219,T,-1539.87536621094,-420.876159667969
-1892.10974121094,336.275817871094,T,-1545.14575195312,-423.302642822266
-1891.28967285156,336.685607910156,T,-1547.33837890625,-424.311981201172
-1891.53881835938,336.193572998047,T,-1542.12658691406,-421.926330566406
-1057.7265625,-202.796981811523,T,-650.664611816406,-950.761291503906
-1050.62829589844,-199.200302124023,T,-636.964050292969,-942.32275390625
-1048.04968261719,-197.899826049805,T,-635.313598632812,-941.356811523438
-1045.34790039062,-196.495758056641,T,-631.201538085938,-938.975830078125
-1043.22766113281,-195.372100830078,T,-631.182373046875,-938.971496582031
-1041.33508300781,-194.31005859375,T,-635.108642578125,-941.249694824219
-1039.03186035156,-192.964889526367,T,-637.634521484375,-942.707763671875
-1761.78381347656,890.494812011719,T,-2538.04467773438,294.941864013672
-1762.31042480469,891.186096191406,T,-2537.88330078125,294.730712890625
-977.41162109375,-366.218170166016,T,-626.003112792969,-870.121643066406
-1762.08569335938,890.892272949219,T,-2537.72241210938,294.520355224609
-975.360900878906,-364.640838623047,T,-626.003112792969,-867.548583984375
-1762.5830078125,891.490356445312,T,-2535.037109375,291.040161132812
-143.684707641602,-177.526184082031,T,-318.437042236328,-744.881652832031
-142.509078979492,-177.88298034668,T,-320.692352294922,-743.766418457031
-666.914611816406,-1144.21374511719,T,-886.982666015625,-94.1578903198242
-2633.37255859375,249.343765258789,T,-2491.568359375,-14.2467613220215
-2632.18603515625,249.768646240234,T,-2485.67944335938,-19.3941535949707
-1991.255859375,599.721313476562,T,-2151.03125,439.96875
-1968.51159667969,601.861938476562,T,-2151.03125,439.96875
-1944.95385742188,604.995239257812,T,-2155.33740234375,439.96875
-1921.40246582031,608.176513671875,T,-2179.23046875,439.96875
-1901.14404296875,613.490905761719,T,-2215.69580078125,439.909240722656
-1895.69018554688,639.321166992188,T,-2256.8955078125,441.610748291016
-1902.12231445312,659.654663085938,T,-2285.72900390625,463.2265625
-1913.12377929688,670.849792480469,T,-2283.22436523438,474.357086181641
-2577.03125,978.537109375,T,-2585.12573242188,415.653625488281
-2079.11938476562,912.555114746094,T,-2391.96850585938,500.926391601562
-2077.72094726562,911.525085449219,T,-2391.96875,502.058654785156
-2076.35913085938,910.484069824219,T,-2391.96875,502.380218505859
-2075.04467773438,909.459045410156,T,-2391.96875,502.572235107422
-2237.70581054688,344.230926513672,T,-2266.3505859375,624.57666015625
-2345.53491210938,465.469848632812,T,-2150.54223632812,-295.989929199219
-2349.42724609375,463.517303466797,T,-2148.458984375,-294.710510253906
-2389.55444335938,445.247039794922,T,-2241.80883789062,-295.756622314453
-2389.50756835938,438.838012695312,T,-2242.04418945312,-295.75
-2384.673828125,436.83740234375,T,-2230.73754882812,-293.153503417969
-456.992004394531,-246.972885131836,T,-434.728393554688,-614.002807617188
-459.917510986328,-233.293106079102,T,-434.728393554688,-614.002807617188
-455.281494140625,-221.085968017578,T,-434.728393554688,-614.002807617188
-444.646270751953,-217.693283081055,T,-434.724334716797,-614.002807617188
-433.017700195312,-217.829223632812,T,-438.301330566406,-614.000366210938
-83.5404968261719,-425.220977783203,T,-625.393981933594,-528.001708984375
-86.0602722167969,-432.287658691406,T,-634.649536132812,-528.001708984375
-87.0713119506836,-433.96875,T,-634.879455566406,-528.001708984375
-82.3696060180664,-433.96875,T,-688.491638183594,-560.368286132812
-82.8140182495117,-431.840545654297,CT,-1029.42687988281,-612.749450683594
-1021.10083007812,-670.828063964844,T,-274.670806884766,-574.434936523438
-1020.73345947266,-673.722229003906,T,-275.142333984375,-574.503601074219
-858.718139648438,-773.2744140625,T,-279.147705078125,-583.199340820312
-858.718139648438,-773.2744140625,T,-279.798187255859,-581.972961425781
-243.612594604492,-834.274719238281,T,-445.778045654297,-1139.07446289062
-240.565414428711,-836.229675292969,T,-453.980804443359,-1136.42687988281
-521.727844238281,-1403.76940917969,T,-964.632568359375,-397.583068847656
-76.6271743774414,-934.676879882812,T,-1017.8173828125,-1294.01892089844
-76.1440963745117,-935.9755859375,T,-1017.53900146484,-1294.00756835938
-1539.02294921875,254.264434814453,T,-2151.00903320312,212.03125
-2609.12670898438,927.396240234375,T,-2262.08227539062,389.969451904297
-2608.92626953125,926.858215332031,T,-2262.66528320312,389.849517822266
-2513.02880859375,695.048217773438,T,-2214.109375,226.884292602539
-2442.595703125,710.315734863281,T,-2249.66088867188,209.145416259766
-2445.16528320312,709.382629394531,T,-2234.4453125,214.269546508789
-2448.80053710938,707.9453125,T,-2231.01171875,215.508834838867
-1570.716796875,-692.902282714844,T,-1490.21533203125,151.988754272461
-885.739379882812,-336.657531738281,T,-393.7685546875,-217.325378417969
-879.690246582031,-333.807159423828,T,-390.985687255859,-216.223022460938
-870.354187011719,-325.452850341797,T,-380.686645507812,-215.03125
-842.149719238281,-315.282135009766,T,-369.984130859375,-215.03125
-282.793090820312,-1077.81005859375,T,-483.271728515625,-1150.2958984375
-262.101501464844,-997.048095703125,T,-486.885375976562,-1159.6796875
-126.928833007812,-360.752807617188,T,-345.002532958984,-877.571228027344
-555.455261230469,-1054.70617675781,T,-79.5329132080078,-977.776611328125
-532.413330078125,-1083.78869628906,T,-175.109085083008,-991.228088378906
-577.080627441406,-1062.07580566406,T,-99.3302764892578,-1017.93310546875
-576.695739746094,-1059.63391113281,T,-99.7946853637695,-1016.98968505859
