attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-643.002624511719,284.763000488281,T,-557.463745117188,-491.300354003906,sergej,AdreN,P2000
-643.002624511719,284.763000488281,T,-531.944519042969,-634.858642578125,sergej,Jame,P2000
-644.554321289062,284.582641601562,T,-556.280151367188,-417.337829589844,sergej,qikert,P2000
-644.554321289062,284.582641601562,T,-538.106323242188,-614.75927734375,sergej,Jame,P2000
-651.676696777344,283.724182128906,T,-556.473876953125,-397.342193603516,sergej,qikert,P2000
-659.548828125,282.70458984375,T,-534.801818847656,-428.947814941406,sergej,AdreN,P2000
-1215.97692871094,413.660980224609,T,-721.449096679688,25.159761428833,sergej,Jame,P2000
-1438.19604492188,-227.68766784668,T,-353.9013671875,-15.2814474105835,Aleksib,SANJI,USP-S
-966.105773925781,177.400039672852,T,-356.550567626953,-65.1767044067383,Aerial,SANJI,USP-S
-961.571655273438,179.797012329102,T,-356.251953125,-65.4858627319336,Aerial,SANJI,USP-S
-1448.79223632812,-175.179916381836,T,-353.506988525391,-58.1279602050781,Aleksib,SANJI,USP-S
-1148.73388671875,478.286529541016,T,-692.016845703125,9.72599792480469,sergej,buster,P2000
-920.408813476562,187.393920898438,T,-691.680541992188,4.12657976150513,Aerial,buster,USP-S
-1399.07556152344,-254.67822265625,T,-692.601989746094,3.15982007980347,Aleksib,buster,USP-S
-1854.57409667969,-1352.642578125,T,-1894.23706054688,-909.8349609375,allu,SANJI,UMP-45
-1861.55920410156,-1353.15002441406,T,-1900.35998535156,-912.695373535156,allu,SANJI,UMP-45
-1873.75366210938,-1353.87963867188,T,-1902.6708984375,-914.144104003906,allu,SANJI,UMP-45
-1879.36865234375,-1354.23852539062,T,-1903.46411132812,-914.895874023438,allu,SANJI,UMP-45
-2631.818359375,-994.422973632812,T,-3152.48388671875,-876.973266601562,allu,AdreN,UMP-45
-2632.36401367188,-996.85009765625,T,-3149.185546875,-872.225280761719,allu,AdreN,UMP-45
-2631.83447265625,-994.633911132812,T,-3149.59228515625,-866.54638671875,allu,AdreN,UMP-45
-2660.74389648438,-51.367790222168,T,-2457.93237304688,-435.325805664062,allu,buster,UMP-45
-2660.31103515625,-76.6479949951172,T,-2492.0439453125,-451.638763427734,allu,buster,UMP-45
-2650.41870117188,-81.5928268432617,T,-2496.97802734375,-453.677215576172,allu,buster,UMP-45
-1686.72595214844,-702.0009765625,T,-1717.87109375,-901.640930175781,Aerial,qikert,UMP-45
-2570.6552734375,-129.163681030273,T,-2507.23315429688,-526.761352539062,allu,buster,UMP-45
-2553.26928710938,-131.16764831543,T,-2508.158203125,-527.727478027344,allu,buster,UMP-45
-1619.44128417969,-592.430603027344,T,-1747.77221679688,-1010.93719482422,Aerial,AdreN,UMP-45
-1612.6201171875,-586.522766113281,T,-1787.89477539062,-991.0556640625,Aerial,Jame,UMP-45
-1611.80932617188,-586.847229003906,T,-1793.2998046875,-988.720947265625,Aerial,Jame,UMP-45
-1983.93237304688,735.343566894531,T,-1026.37316894531,-306.236663818359,sergej,Jame,M4A4
-1982.83081054688,736.35693359375,T,-1056.02526855469,-252.827209472656,sergej,Jame,M4A4
-2040.28576660156,-1321.41833496094,T,-1855.91052246094,-947.100524902344,Aleksib,SANJI,FAMAS
-2044.34411621094,-1317.06616210938,T,-1854.08703613281,-947.796813964844,Aleksib,SANJI,FAMAS
-1079.35327148438,74.5366821289062,T,-878.3046875,-108.021072387695,Aerial,buster,M4A1
-1078.93469238281,72.9783706665039,T,-878.513122558594,-102.176536560059,Aerial,buster,M4A1
-1081.02819824219,70.2124252319336,T,-876.303894042969,-97.9628753662109,Aerial,buster,M4A1
-1081.15124511719,70.0497207641602,T,-873.45751953125,-94.1140594482422,Aerial,buster,M4A1
-1081.15124511719,70.0497207641602,T,-872.55419921875,-89.8408355712891,Aerial,buster,M4A1
-1062.28393554688,39.4907646179199,T,-896.316040039062,-42.4467010498047,Aerial,qikert,M4A1
-1063.54809570312,36.2567901611328,T,-895.140319824219,-41.9229202270508,Aerial,qikert,M4A1
-1066.95080566406,28.9763355255127,T,-897.892395019531,-45.8807029724121,Aerial,qikert,M4A1
-1067.02551269531,28.8914089202881,T,-898.348205566406,-46.3653717041016,Aerial,qikert,M4A1
