attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-1030.97741699219,548.783813476562,CT,-1297.021484375,785.972595214844,Brehze,Zeus,Glock-18
-1142.29821777344,637.398864746094,CT,-1753.19445800781,812.545959472656,CeRq,Boombl4,Glock-18
-1127.40075683594,694.545532226562,CT,-1743.43701171875,833.304382324219,CeRq,Boombl4,Glock-18
-915.321411132812,-1374.59338378906,CT,-771.569152832031,-1606.49194335938,Ethan,s1mple,Glock-18
-910.981140136719,-1373.03479003906,CT,-774.199279785156,-1589.52416992188,Ethan,s1mple,Glock-18
-509.217926025391,-1393.93969726562,CT,-862.878112792969,-2398.86889648438,Ethan,flamie,Glock-18
-499.559387207031,-1441.30358886719,CT,-870.544799804688,-2395.40454101562,Ethan,flamie,Glock-18
-424.548919677734,-1661.13684082031,CT,-992.392700195312,-2496.13623046875,Ethan,flamie,Glock-18
-431.266723632812,-1665.21447753906,CT,-1037.84167480469,-2541.08227539062,Ethan,electronic,Glock-18
-423.653533935547,-1670.44616699219,CT,-1036.38635253906,-2542.11206054688,Ethan,electronic,Glock-18
-537.894775390625,-344.03125,CT,-704.525817871094,-1306.66650390625,CeRq,electronic,SG 553
-537.894775390625,-344.03125,CT,-700.653015136719,-1304.55590820312,CeRq,electronic,SG 553
-537.894775390625,-344.03125,CT,-698.157287597656,-1302.67163085938,CeRq,electronic,SG 553
-537.894775390625,-344.03125,CT,-689.399841308594,-1300.52124023438,CeRq,electronic,SG 553
-635.197692871094,-1311.20080566406,CT,-800.538513183594,-2253.45874023438,Brehze,s1mple,MAC-10
-1125.34497070312,-1304.7255859375,CT,-1267.62036132812,-1492.29638671875,tarik,Zeus,AK-47
64.4374694824219,-2087.1845703125,CT,-860.79443359375,-2277.53735351562,Ethan,s1mple,AK-47
-1126.10791015625,-1306.88623046875,CT,-1254.73706054688,-1500.94201660156,tarik,Zeus,AK-47
-934.745178222656,-380.002014160156,CT,-1075.3046875,-586.460205078125,CeRq,Boombl4,SG 553
-934.745178222656,-380.002014160156,CT,-1059.27197265625,-587.24755859375,CeRq,Boombl4,SG 553
-1126.96704101562,-1306.27392578125,CT,-1248.302734375,-1505.38220214844,tarik,Zeus,AK-47
63.6881332397461,-2083.67651367188,CT,-858.882141113281,-2288.9052734375,Ethan,s1mple,AK-47
-1127.86755371094,-1305.63732910156,CT,-1246.78137207031,-1506.32250976562,tarik,Zeus,AK-47
63.4944496154785,-2082.79541015625,CT,-859.102844238281,-2287.93017578125,Ethan,s1mple,AK-47
-570.888305664062,-1862.64099121094,CT,313.947967529297,-1437.10534667969,Brehze,flamie,MAC-10
-502.094085693359,-1606.11535644531,CT,331.397430419922,-1456.32189941406,tarik,flamie,AK-47
-199.954284667969,-2158.02783203125,CT,101.532569885254,-1418.75610351562,Ethan,flamie,AK-47
-197.522964477539,-2159.2392578125,CT,108.009986877441,-1421.38928222656,Ethan,flamie,AK-47
-446.019989013672,-1616.80334472656,CT,135.547607421875,-1433.08374023438,CeRq,flamie,SG 553
-446.019989013672,-1616.80334472656,CT,130.728286743164,-1430.98071289062,CeRq,flamie,SG 553
-300.137176513672,-918.483947753906,CT,-867.28857421875,-57.6361045837402,Brehze,Zeus,SG 553
-656.865661621094,-807.539306640625,CT,-737.985656738281,-1376.6962890625,Brehze,s1mple,SG 553
-614.196533203125,-877.936340332031,CT,-740.770141601562,-1375.77221679688,CeRq,s1mple,SG 553
-749.293884277344,-1348.87780761719,CT,-955.277099609375,-1527.98315429688,tarik,electronic,AK-47
-756.778747558594,-1347.50891113281,CT,-955.277099609375,-1527.98315429688,tarik,electronic,AK-47
239.478591918945,-1558.14306640625,T,-373.970306396484,-1641.32531738281,CeRq,Ethan,AWP
239.478591918945,-1558.14306640625,CT,-771.348205566406,-1695.61474609375,CeRq,Boombl4,AWP
