attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-2365.64990234375,863.952575683594,T,-2133.64672851562,-258.430480957031,Liazz,NiKo,USP-S
-1357.2998046875,967.716186523438,T,-1455.76843261719,606.473205566406,jkaem,rain,USP-S
-1905.55627441406,1001.86920166016,T,-2392.52001953125,701.997802734375,AZR,GuardiaN,USP-S
-2562.07641601562,1042.17517089844,T,-2609.35766601562,432.860778808594,Liazz,NiKo,USP-S
-2572.4658203125,1043.09423828125,T,-2605.81616210938,432.572967529297,Liazz,NiKo,USP-S
-1954.09704589844,1046.52868652344,T,-2282.56494140625,681.400207519531,AZR,NEO,USP-S
-1850.47607421875,1012.05902099609,T,-1435.13562011719,635.184265136719,AZR,olofmeister,USP-S
-1771.98046875,749.7685546875,T,-1396.650390625,763.225341796875,jkaem,olofmeister,USP-S
-1812.35766601562,585.269775390625,T,-1542.52905273438,881.575500488281,jkaem,olofmeister,USP-S
-1829.73547363281,605.502868652344,T,-1561.03063964844,892.417663574219,jkaem,olofmeister,USP-S
-1846.95495605469,585.592590332031,T,-1685.91809082031,745.566284179688,jkaem,olofmeister,USP-S
-675.870056152344,-984.004272460938,T,-816.798767089844,-65.5542068481445,jkaem,NEO,M4A4
-928.428955078125,-601.461364746094,T,-812.736633300781,-65.9071655273438,jks,NEO,MP9
-920.091857910156,-596.278381347656,T,-812.397155761719,-65.6573181152344,jks,NEO,MP9
-673.628662109375,-983.630737304688,T,-812.397155761719,-65.6573181152344,jkaem,NEO,M4A4
-660.360412597656,-979.311157226562,T,-921.035339355469,-176.831237792969,jkaem,rain,M4A4
-659.795104980469,-979.1015625,T,-920.919067382812,-179.270812988281,jkaem,rain,M4A4
-656.146484375,-977.715209960938,T,-916.050720214844,-182.61198425293,jkaem,rain,M4A4
-656.03125,-977.580078125,T,-907.428283691406,-181.947128295898,jkaem,rain,M4A4
-656.03125,-977.580078125,T,-868.151245117188,-247.53596496582,jkaem,NiKo,M4A4
-687.336120605469,-332.920440673828,T,-826.167053222656,-236.902938842773,jks,NiKo,MP9
-683.650573730469,-320.49169921875,T,-1215.59680175781,-78.1094207763672,jks,olofmeister,MP9
-653.068664550781,-362.997650146484,T,-1213.73205566406,-88.3197479248047,Gratisfaction,olofmeister,MP9
-715.78857421875,-432.397064208984,T,-1073.96875,-436.665405273438,jks,GuardiaN,USP-S
-939.448425292969,-581.322448730469,T,-805.385314941406,-244.849884033203,Gratisfaction,GuardiaN,MP9
-933.240234375,-577.468994140625,T,-806.719543457031,-244.616729736328,Gratisfaction,GuardiaN,MP9
-932.792114257812,-573.443481445312,T,-807.951538085938,-244.475997924805,Gratisfaction,GuardiaN,MP9
-936.8359375,-569.38134765625,T,-805.573791503906,-245.622543334961,Gratisfaction,GuardiaN,MP9
-941.590942382812,-566.329467773438,T,-803.013366699219,-246.750503540039,Gratisfaction,GuardiaN,MP9
-853.96533203125,-644.148742675781,T,-840.265625,-239.517654418945,jks,rain,MP9
-658.188293457031,-963.372314453125,T,-892.867004394531,-233.953643798828,jkaem,rain,M4A4
-945.241149902344,-648.427795410156,T,-927.262634277344,-410.885650634766,Gratisfaction,NiKo,MP9
-950.893615722656,-646.334899902344,T,-876.876770019531,-410.42626953125,Gratisfaction,NiKo,MP9
-921.795776367188,-663.767944335938,T,-878.271789550781,-410.038269042969,Gratisfaction,NiKo,MP9
