attackerX,attackerY,victimSide,victimX,victimY
-612.729248046875,-1114.50830078125,T,-886.573669433594,-463.481384277344
-607.067626953125,-1112.13842773438,T,-882.330932617188,-463.133575439453
-1766.89721679688,-65.9394989013672,T,-1667.845703125,-493.310363769531
-598.068237304688,-1108.333984375,T,-878.321044921875,-462.161987304688
-574.287109375,-1097.86401367188,T,-869.984191894531,-459.417724609375
-1770.587890625,-23.5176315307617,T,-1667.76196289062,-493.121887207031
-568.751770019531,-1095.64562988281,T,-862.737548828125,-456.655059814453
-1786.99328613281,19.6152954101562,T,-1649.81848144531,-485.0703125
-594.641479492188,-1108.14306640625,T,-817.872436523438,-440.054656982422
-1861.19067382812,370.227996826172,T,-1710.95397949219,-232.979080200195
-1850.80859375,372.981811523438,T,-1710.94262695312,-232.983413696289
-1839.86853027344,375.647216796875,T,-1709.71838378906,-232.730682373047
-1955.28137207031,328.680358886719,T,-1574.58056640625,-358.604095458984
-2027.55163574219,397.742828369141,T,-1572.79968261719,-263.016967773438
-2026.341796875,398.590209960938,T,-1578.62536621094,-259.100128173828
-2024.08374023438,400.126861572266,T,-1577.04577636719,-259.493713378906
-2025.43664550781,399.207458496094,T,-1571.66931152344,-261.703918457031
-810.730163574219,-1194.55334472656,T,-678.806884765625,-705.681335449219
-814.002014160156,-1198.76574707031,T,-677.140625,-709.051940917969
-812.947082519531,-1202.12609863281,T,-675.019470214844,-713.122741699219
-804.621459960938,-1207.25598144531,T,-674.197265625,-724.069152832031
-801.092529296875,-1208.46423339844,T,-678.402221679688,-724.57080078125
-720.379638671875,-1093.05798339844,CT,-772.813171386719,-737.969421386719
-720.379638671875,-1093.05798339844,T,-842.817016601562,-233.733901977539
-804.3818359375,-741.7783203125,T,-824.591430664062,-231.737213134766
-804.973815917969,-741.877746582031,T,-822.598510742188,-231.539642333984
-813.761779785156,-742.151794433594,T,-830.570129394531,-231.603073120117
-713.406311035156,-1092.52429199219,T,-832.527099609375,-231.894882202148
-467.078582763672,-751.96875,T,-1001.98913574219,-1181.25524902344
-467.078582763672,-751.96875,T,-946.011779785156,-1140.77294921875
-413.262847900391,-216.706787109375,T,-478.999267578125,-1104.86975097656
-862.33447265625,-207.977722167969,T,-979.732177734375,-1241.78210449219
-1052.53393554688,-301.411529541016,T,-626.03125,-848.346862792969
-1051.7958984375,-300.9150390625,T,-626.108093261719,-844.021606445312
-1052.1318359375,-301.182250976562,T,-626.437438964844,-840.977844238281
-1052.29028320312,-301.308502197266,T,-627.87548828125,-838.416931152344
-1051.95373535156,-301.046539306641,T,-628.958435058594,-835.84228515625
-425.205078125,-733.2421875,T,-665.371154785156,-631.806701660156
-424.916717529297,-732.626037597656,T,-666.012573242188,-629.076843261719
-1009.76629638672,-227.208755493164,T,-461.043670654297,-1449.50073242188
-623.522338867188,-549.218322753906,T,-117.013557434082,-907.632263183594
-624.394714355469,-550.473693847656,T,-117.63500213623,-908.506652832031
-625.39599609375,-551.882019042969,T,-118.178771972656,-909.296630859375
-626.403381347656,-553.289001464844,T,-118.757026672363,-910.150695800781
-113.739707946777,-382.120056152344,T,-136.878219604492,-1403.77868652344
-112.515106201172,-382.165252685547,T,-137.507064819336,-1404.65698242188
-112.45751953125,-382.1669921875,T,-137.361755371094,-1404.45385742188
-514.747802734375,-528.03125,T,-311.495910644531,-815.976501464844
-300.309631347656,-185.272201538086,T,-320.106170654297,-819.211791992188
-310.981781005859,-194.41162109375,T,-319.648742675781,-816.605285644531
-316.424621582031,-199.323043823242,T,-318.460174560547,-813.02783203125
-326.640045166016,-208.970794677734,T,-312.071105957031,-807.501770019531
-201.391067504883,-439.221405029297,T,-291.499420166016,-1279.50268554688
-341.027923583984,-223.947174072266,T,-318.612091064453,-812.115905761719
-341.027923583984,-223.947174072266,T,-291.018188476562,-1279.63000488281
-203.068267822266,-437.7900390625,T,-291.765106201172,-1279.55163574219
-345.966644287109,-229.365356445312,T,-292.790710449219,-1279.44689941406
-206.410202026367,-434.613555908203,T,-293.100708007812,-1279.41516113281
-2181.74438476562,581.380004882812,T,-2285.35913085938,-43.5351295471191
-2207.27319335938,212.692001342773,T,-2303.95727539062,-41.2059898376465
-2209.03149414062,213.997695922852,T,-2306.76391601562,-41.637580871582
-2168.07348632812,608.114074707031,T,-2306.01123046875,-42.0551261901855
-2208.60400390625,216.038757324219,T,-2302.7822265625,-43.835750579834
-2208.18359375,218.410125732422,T,-2307.15844726562,-42.1295852661133
-2122.52270507812,384.928466796875,T,-2327.25634765625,-50.2898483276367
-2123.57885742188,385.561279296875,T,-2332.6953125,-47.8817253112793
-2576.11865234375,575.211486816406,T,-2557.65063476562,133.01806640625
-2576.18237304688,577.118103027344,T,-2559.53784179688,133.000778198242
-2576.26196289062,579.477233886719,T,-2559.89672851562,133.000778198242
-2577.12548828125,581.535217285156,T,-2559.89672851562,133.000778198242
-907.725463867188,-776.116516113281,T,-626.078857421875,-833.715942382812
-907.999816894531,-754.942565917969,T,-635.970825195312,-889.913146972656
-914.970275878906,-685.507934570312,T,-627.754638671875,-827.535217285156
-943.100952148438,-672.442504882812,T,-626.003967285156,-792.764526367188
-1064.298828125,704.335083007812,T,-947.312316894531,-683.251098632812
-1068.20263671875,703.964294433594,T,-947.1796875,-683.241516113281
-1230.662109375,-680.430786132812,T,-1342.92712402344,-717.388488769531
-854.969970703125,-421.484954833984,T,-1001.99987792969,-1165.44372558594
-1063.97033691406,-174.715225219727,T,-430.547729492188,-1478.1103515625
-182.999801635742,2.84358501434326,T,-465.249145507812,-1067.95495605469
-182.999801635742,2.84358501434326,T,-490.014007568359,-1140.64208984375
-422.468078613281,-263.667175292969,T,-496.036224365234,-572.397521972656
-393.580535888672,-269.674011230469,T,-234.988082885742,-1440.06420898438
-387.028198242188,-268.869598388672,T,-234.057510375977,-1440.58093261719
-579.579345703125,-189.660598754883,T,-209.862167358398,-403.789398193359
-576.322448730469,-183.205490112305,T,-215.002380371094,-411.723724365234
-575.06982421875,-181.031661987305,T,-215.886459350586,-413.176849365234
-2451.74658203125,-193.345932006836,T,-1934.27600097656,204.610473632812
-2448.8896484375,-197.173919677734,T,-1943.39562988281,214.948379516602
-1353.05249023438,-398.369567871094,T,-1522.64111328125,286.108856201172
-1358.58703613281,-393.812103271484,T,-1511.08178710938,276.279479980469
-2516.78295898438,255.790451049805,T,-1847.21838378906,-245.386962890625
-2494.693359375,284.433471679688,T,-1848.11572265625,-236.402816772461
-2443.70947265625,323.87451171875,T,-1889.7744140625,-295.436920166016
-2389.97216796875,325.487823486328,T,-1895.87609863281,-308.879974365234
-66.5560302734375,-185.730270385742,T,-496.000122070312,-574.479248046875
-432.880615234375,-256.213073730469,T,-5.84610939025879,-966.994445800781
-410.536346435547,-216.361206054688,T,-5.84610939025879,-966.994445800781
-392.963745117188,-216.821228027344,T,-53.3355560302734,-964.106689453125
-102.238998413086,-361.753997802734,T,-488.767181396484,-651.517944335938
-1031.2265625,-314.377838134766,T,-626.001770019531,-859.777954101562
-162.333786010742,106.50154876709,T,-235.09294128418,-896.313110351562
-465.648132324219,-1486.07775878906,T,-957.95361328125,-651.753234863281
-466.207397460938,-1486.09350585938,T,-965.279602050781,-671.542053222656
-463.898284912109,-1484.68823242188,T,-979.931579589844,-711.119689941406
-358.8974609375,-1440.28735351562,T,-1001.99755859375,-784.893371582031
-353.228912353516,-1435.22998046875,T,-1001.99755859375,-780.401062011719
-849.860717773438,-383.221588134766,T,-1007.96600341797,-1245.94995117188
-1064.37854003906,-190.139633178711,T,-628.572570800781,-862.501098632812
-1065.17346191406,-192.856109619141,T,-627.876525878906,-859.067993164062
-1063.70922851562,-192.352096557617,T,-627.115356445312,-854.754577636719
