attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
-441.447540283203,-1136.47265625,CT,-82.6151809692383,-1338.05541992188,ZywOo,frozen,p250
-877.490234375,-1160.9033203125,CT,-503.765563964844,-519.432312011719,ALEX,woxic,Glock-18
-859.257995605469,-1171.75036621094,CT,-511.646057128906,-533.901489257812,ALEX,woxic,Glock-18
-396.41455078125,-1087.138671875,CT,-229.712219238281,-541.055908203125,apEX,chrisJ,Glock-18
-122.93106842041,-1397.47509765625,CT,-226.65185546875,-541.566345214844,ZywOo,chrisJ,p250
-402.300567626953,-1085.39697265625,CT,-231.066482543945,-541.995788574219,apEX,chrisJ,Glock-18
-795.58154296875,-1197.37817382812,CT,-569.618469238281,-637.473571777344,ALEX,karrigan,Glock-18
-800.291381835938,-1195.51159667969,CT,-585.554077148438,-631.425476074219,ALEX,karrigan,Glock-18
-473.908111572266,-1222.0703125,CT,-84.693603515625,-835.908386230469,ALEX,chrisJ,Glock-18
-408.69091796875,-460.335113525391,CT,-568.572387695312,-577.01025390625,apEX,ropz,Glock-18
-636.509704589844,-936.52490234375,CT,-572.775573730469,-537.693603515625,ALEX,ropz,Glock-18
-628.434997558594,-877.786071777344,CT,-575.616271972656,-552.743408203125,ALEX,ropz,Glock-18
-628.385803222656,-867.29541015625,CT,-583.5283203125,-555.168273925781,ALEX,ropz,Glock-18
-493.870819091797,-1458.69689941406,CT,-103.923294067383,-111.006134033203,ALEX,karrigan,AK-47
-1024.98266601562,-1294.00085449219,CT,-886.796569824219,-527.818664550781,ZywOo,frozen,Smoke Grenade
-1024.98266601562,-1294.00085449219,CT,-886.796569824219,-527.818664550781,ZywOo,frozen,Smoke Grenade
-629.671813964844,-922.938293457031,CT,-1036.08459472656,-269.62109375,ZywOo,woxic,SG 553
-888.914489746094,-1289.90551757812,CT,-555.808532714844,-625.803405761719,ZywOo,frozen,SG 553
-888.783142089844,-1289.93859863281,CT,-554.8544921875,-626.129638671875,ZywOo,frozen,SG 553
-888.783142089844,-1289.93859863281,CT,-562.539428710938,-622.284423828125,ZywOo,frozen,SG 553
-888.783142089844,-1289.93859863281,CT,-563.830932617188,-621.664184570312,ZywOo,frozen,SG 553
-466.658966064453,-1083.63977050781,CT,-96.3166732788086,-834.602600097656,RpK,ropz,AK-47
-466.13916015625,-1084.43811035156,CT,-93.0864791870117,-839.034790039062,RpK,ropz,AK-47
-467.768890380859,-1081.99377441406,CT,-89.3623809814453,-844.409423828125,RpK,ropz,AK-47
-467.181884765625,-1082.931640625,CT,-88.4103088378906,-845.904541015625,RpK,ropz,AK-47
-189.84602355957,-1457.04406738281,CT,-48.6063690185547,-671.508850097656,ALEX,karrigan,AK-47
-386.818603515625,-1193.99609375,CT,-167.900772094727,-556.247985839844,apEX,chrisJ,AK-47
-386.583740234375,-1193.70532226562,CT,-167.900772094727,-556.247985839844,apEX,chrisJ,AK-47
-386.583740234375,-1193.70532226562,CT,-167.900772094727,-556.247985839844,apEX,chrisJ,AK-47
-386.583740234375,-1193.70532226562,CT,-167.900772094727,-556.247985839844,apEX,chrisJ,AK-47
-2054.5810546875,-610.762634277344,CT,-1362.58557128906,-290.872894287109,NBK-,frozen,AK-47
-2054.8818359375,-610.059936523438,CT,-1357.60717773438,-301.142059326172,NBK-,frozen,AK-47
-2057.09350585938,-605.049987792969,CT,-1354.38647460938,-308.524017333984,NBK-,frozen,AK-47
-2057.34350585938,-604.513610839844,CT,-1353.70056152344,-310.175933837891,NBK-,frozen,AK-47
