attackerX,attackerY,victimSide,victimX,victimY
-2471.46728515625,158.218704223633,T,-2579.41259765625,84.8597869873047
-2661.89599609375,101.038452148438,CT,-2643.42529296875,-35.0153923034668
-2698.0185546875,115.829391479492,CT,-2693.93603515625,-35.9784812927246
-2692.67724609375,117.945495605469,CT,-2699.88745117188,-35.8945655822754
-2687.39599609375,118.937721252441,CT,-2701.30249023438,-35.969539642334
-2671.45947265625,84.2703399658203,CT,-2707.92431640625,-32.2792053222656
-2673.88720703125,81.0679550170898,CT,-2712.57055664062,-31.1657619476318
-574.936706542969,-513.686340332031,CT,-31.7308311462402,-772.768127441406
-566.197631835938,-512.008544921875,CT,-33.2119255065918,-775.778381347656
-774.927001953125,-370.661590576172,CT,-1091.85144042969,-557.045471191406
-774.821228027344,-370.649353027344,CT,-1046.33374023438,-535.7646484375
-355.291687011719,-540.21435546875,CT,-396.544525146484,-785.1884765625
-359.826202392578,-539.533569335938,CT,-373.810577392578,-746.015625
-348.069976806641,-540.926086425781,CT,-359.928009033203,-706.536254882812
-1106.73022460938,-565.256103515625,CT,-1120.92529296875,-1126.86462402344
-1040.11193847656,-696.848937988281,CT,-946.388427734375,-971.974487304688
-1059.17944335938,-702.752075195312,CT,-958.234069824219,-981.202209472656
-1058.31994628906,-702.663818359375,CT,-979.784423828125,-995.832092285156
-2297.59545898438,-2022.37316894531,CT,-2633.59130859375,-603.147766113281
-2270.1142578125,-1477.58435058594,CT,-1736.97998046875,-1594.830078125
-2269.41455078125,-1474.32177734375,CT,-1737.71569824219,-1601.44702148438
-2241.4169921875,-1255.61755371094,CT,-2024.43908691406,-1092.32482910156
-2241.64721679688,-1255.14758300781,CT,-2019.56921386719,-1100.36499023438
-2240.4326171875,-1221.67504882812,CT,-2825.22631835938,-660.22265625
-2240.087890625,-1221.41186523438,CT,-2813.47729492188,-654.271301269531
-2239.58520507812,-1220.88916015625,CT,-2816.04443359375,-656.9462890625
-2241.03759765625,-1222.38342285156,CT,-2808.70068359375,-649.55078125
-596.134582519531,107.651062011719,CT,-934.057373046875,388.294555664062
-628.377807617188,87.7222518920898,CT,-956.709228515625,332.039154052734
464.225036621094,-215.305297851562,CT,545.329162597656,-528.891052246094
-658.896789550781,-335.986145019531,CT,-634.899047851562,534.299194335938
-658.896789550781,-335.986145019531,CT,-632.864990234375,534.87158203125
715.651611328125,-435.756652832031,CT,546.93359375,-1423.01635742188
339.854156494141,-163.257095336914,CT,324.700958251953,-1209.54235839844
353.14892578125,-166.021865844727,CT,324.760833740234,-1206.04431152344
341.523345947266,-167.445007324219,CT,312.472076416016,-1203.15551757812
-2983.11010742188,421.484008789062,CT,-3281.57153320312,251.005477905273
-2710.31811523438,600.669738769531,CT,-3245.22631835938,189.006469726562
-3320.03173828125,505.278137207031,CT,-3125.86499023438,-149.213027954102
-3175.57958984375,471.727233886719,CT,-3244.60668945312,-591.694030761719
-3277.39819335938,522.147644042969,CT,-3224.72338867188,-623.780822753906
-3278.41845703125,519.655578613281,CT,-3224.72338867188,-623.780822753906
-2421.72021484375,-681.599365234375,CT,-2794.34716796875,-1451.28076171875
-730.367309570312,-649.208984375,CT,-485.600036621094,-694.202575683594
-749.759216308594,-707.279052734375,CT,-349.387756347656,-558.13427734375
-749.820861816406,-707.222778320312,CT,-353.203155517578,-575.114440917969
-1063.58874511719,-794.179016113281,CT,-1176.28442382812,-815.96875
-1065.46997070312,-776.031616210938,CT,-1162.365234375,-815.491577148438
-1067.47985839844,-767.506164550781,CT,-1163.27526855469,-810.063720703125
-1071.17431640625,-757.460388183594,CT,-1162.25927734375,-803.750427246094
-970.0009765625,-944.809326171875,CT,-652.128845214844,-896.085632324219
-119.283149719238,-868.385925292969,CT,218.610153198242,-1033.68041992188
-119.283149719238,-868.385925292969,CT,221.544067382812,-1028.89611816406
-119.283149719238,-868.385925292969,CT,228.811065673828,-1023.15478515625
-119.283149719238,-868.385925292969,CT,232.658660888672,-1020.64404296875
-596.144653320312,-89.1992568969727,CT,294.401947021484,-244.561065673828
-768.670959472656,-364.139526367188,CT,-937.602233886719,-441.967895507812
-769.585144042969,-359.694763183594,CT,-940.130004882812,-441.716461181641
-768.619812011719,-370.321716308594,CT,-938.418518066406,-448.401702880859
-771.373779296875,-366.953125,CT,-935.912414550781,-454.335235595703
-2162.43408203125,1684.84594726562,CT,-2784.17822265625,799.410949707031
-336.082183837891,-252.975830078125,CT,607.862365722656,-94.4115829467773
-336.082183837891,-252.975830078125,CT,608.144165039062,-99.1053619384766
-336.511352539062,-250.402145385742,CT,607.852600097656,-95.6109008789062
-336.813171386719,-248.518463134766,CT,608.029907226562,-96.5591049194336
8.3468713760376,-48.5193023681641,CT,721.830871582031,-418.616363525391
-794.750671386719,-789.428466796875,CT,-567.685424804688,-519.740966796875
-791.162231445312,-794.817260742188,CT,-566.845336914062,-520.392333984375
-788.929748535156,-797.934020996094,CT,-572.251037597656,-516.193420410156
-755.209899902344,-326.945190429688,CT,-1140.45642089844,-670.146301269531
704.897399902344,-112.697570800781,CT,695.237487792969,-379.631591796875
704.957336425781,-112.702919006348,CT,695.588073730469,-378.604064941406
704.957336425781,-112.702919006348,CT,697.019165039062,-377.186950683594
704.957336425781,-112.702919006348,CT,701.211608886719,-376.891967773438
287.277862548828,-77.4959564208984,CT,390.830291748047,-90.9983825683594
283.897308349609,-78.149658203125,CT,393.733093261719,-82.6736679077148
283.468627929688,-76.2100601196289,CT,395.985961914062,-75.2370223999023
283.468627929688,-76.2100601196289,CT,399.574798583984,-68.532829284668
