attackerX,attackerY,victimSide,victimX,victimY
-1165.13598632812,-1251.32568359375,T,-1105.11547851562,-1448.28979492188
-850.402709960938,-50.0722312927246,T,-495.709075927734,-1814.40234375
-847.257507324219,-49.4368591308594,T,-603.771240234375,-1390.22985839844
-1662.37719726562,-666.7685546875,T,-1294.47961425781,-1033.78271484375
-1651.0029296875,-687.8916015625,T,-1296.814453125,-1039.02709960938
-1136.310546875,-2258.32177734375,T,-675.750061035156,-2460.00659179688
-1312.37780761719,-961.3779296875,T,-1226.66748046875,-1153.88940429688
-845.234741210938,-2309.51904296875,T,-463.930236816406,-2046.85729980469
-608.343444824219,-2204.99462890625,T,-442.457183837891,-2041.34326171875
-45.2567291259766,-1948.23559570312,T,-115.288208007812,-1417.00268554688
-28.6795558929443,-1967.89379882812,T,-142.205413818359,-1416.81005859375
-234.586013793945,-2195.33642578125,T,-59.4081840515137,-1686.82189941406
-240.743499755859,-2191.83178710938,T,18.4689388275146,-1695.8828125
-247.148986816406,-2189.34936523438,T,55.5562591552734,-1705.83288574219
-705.166137695312,-2369.10278320312,T,129.551193237305,-1550.18676757812
60.6579780578613,-2064.466796875,T,-235.416839599609,-1621.32543945312
65.0504302978516,-2060.87475585938,T,-285.245971679688,-1602.38928222656
64.9184646606445,-2060.974609375,T,-327.586456298828,-1563.38732910156
-1273.13293457031,-1319.63317871094,T,-64.939208984375,-1885.33911132812
-278.899444580078,-2187.51708984375,T,-77.0629196166992,-1919.80419921875
-1273.40051269531,-1333.07397460938,T,-427.712615966797,-1694.89721679688
-404.913879394531,-2183.173828125,T,-320.396820068359,-1725.85559082031
-454.188201904297,-1537.14868164062,T,30.9054946899414,-1853.025390625
-123.852088928223,-1629.611328125,T,24.9216156005859,-1428.95300292969
-845.536010742188,-105.909759521484,T,-266.017150878906,-899.942932128906
-832.349853515625,-96.4370040893555,T,-246.345657348633,-912.918212890625
-1180.22973632812,-713.260925292969,T,203.603378295898,-309.679321289062
-1179.92053222656,-714.348266601562,T,208.381256103516,-268.078247070312
-1179.84033203125,-714.601623535156,T,212.003692626953,-258.064819335938
-1174.37231445312,-730.49951171875,T,215.324462890625,-243.521026611328
-1174.29943847656,-730.711181640625,T,215.314956665039,-243.494125366211
-1180.26745605469,-658.031677246094,T,-579.290405273438,-747.960510253906
-1180.29931640625,-657.908264160156,T,-572.740417480469,-752.676635742188
-1180.29931640625,-657.908264160156,T,-562.994567871094,-760.560913085938
