attackerX,attackerY,victimSide,victimX,victimY
-3675.06958007812,-1970.93664550781,T,-2624.81982421875,-2726.77685546875
-3865.9306640625,-1848.17993164062,T,-2624.19091796875,-2725.96728515625
-3624.421875,-1969.76501464844,T,-2550.98071289062,-2765.03271484375
-3738.0283203125,-2054.537109375,T,-3668.04858398438,-775.403991699219
-3587.88891601562,-1724.19213867188,T,-3745.6640625,-784.502624511719
-2363.60888671875,1230.2587890625,T,-2951.40112304688,523.5673828125
-1944.36853027344,962.860473632812,T,-2704.017578125,901.699523925781
-2394.50903320312,1236.51696777344,T,-2589.17407226562,846.214965820312
-1313.51220703125,256.014801025391,T,-1044.70336914062,389.4541015625
-1290.78076171875,223.618270874023,T,-1032.85241699219,355.880279541016
-1295.13745117188,228.724090576172,T,-1027.64562988281,283.297698974609
-1288.00952148438,260.377136230469,T,-1028.91735839844,266.367553710938
-1959.21069335938,-401.183868408203,T,-820.834777832031,221.122375488281
-1944.29260253906,-336.021118164062,T,-1217.92993164062,-146.38053894043
-1932.65026855469,-350.374847412109,T,-1218.43615722656,-146.889526367188
-1930.78442382812,-347.41552734375,T,-1208.08190917969,-152.704391479492
-1930.81860351562,-347.287017822266,T,-1196.61022949219,-158.714935302734
-1933.53625488281,-334.743225097656,T,-1173.64880371094,-166.706329345703
-1116.6376953125,259.716918945312,T,-1137.75891113281,-96.0685043334961
-1121.97485351562,259.962738037109,T,-1138.0068359375,-96.1611099243164
-1121.87268066406,259.954223632812,T,-1129.88806152344,-93.9409790039062
-1324.95532226562,358.687744140625,T,-761.999938964844,248.149673461914
-1278.88403320312,256.741882324219,T,-1658.45642089844,542.605285644531
-1185.18371582031,444.063720703125,T,-1042.39099121094,19.8287029266357
-1182.42175292969,443.01123046875,T,-1047.38171386719,34.5829162597656
-1130.38854980469,352.572418212891,T,-1644.49084472656,557.617370605469
-1792.08203125,-249.632873535156,T,-1586.75244140625,-475.993011474609
-1792.142578125,-249.677551269531,T,-1586.60864257812,-475.9521484375
-1792.142578125,-249.677551269531,T,-1586.08996582031,-476.048431396484
-1792.142578125,-249.677551269531,T,-1583.63830566406,-474.944000244141
-1792.142578125,-249.677551269531,T,-1578.64855957031,-470.211395263672
-1809.68029785156,-267.5576171875,T,-1571.5830078125,-426.671844482422
-2459.52734375,1078.6884765625,T,-3613.71118164062,-177.626739501953
-2712.25830078125,916.40185546875,T,-3256.46215820312,240.203079223633
-2715.96923828125,919.21533203125,T,-3248.77221679688,235.304504394531
-2651.36791992188,906.042358398438,T,-3247.65405273438,234.787475585938
-2651.36791992188,906.042358398438,T,-3247.65405273438,234.787475585938
-2669.31591796875,879.528747558594,T,-3178.06396484375,280.907012939453
-2637.201171875,895.846984863281,T,-3216.08984375,193.492156982422
-2668.7021484375,874.903381347656,T,-3216.45776367188,197.702926635742
-2636.36743164062,898.080383300781,CT,-2668.39868164062,872.083557128906
-2632.43310546875,894.588134765625,T,-3176.78540039062,279.747161865234
-2633.84399414062,895.840270996094,T,-3177.70458984375,280.562835693359
-2633.84399414062,895.840270996094,T,-3236.8857421875,213.970367431641
-2633.84399414062,895.840270996094,T,-3239.14086914062,219.140716552734
-1781.115234375,640.418395996094,T,-2772.64086914062,931.649353027344
-2043.06005859375,650.547729492188,T,-2295.38891601562,465.566986083984
-1993.19689941406,538.408142089844,T,-2254.2451171875,468.002868652344
-1995.32836914062,546.016235351562,T,-2247.55053710938,468.782104492188
-2211.21435546875,1010.63970947266,T,-2918.26147460938,602.279907226562
-2211.21435546875,1010.63970947266,T,-2918.419921875,599.268981933594
-605.6708984375,-139.987121582031,T,-479.561248779297,-727.558776855469
-605.482116699219,-139.534622192383,T,-531.02880859375,-718.309692382812
-1788.00048828125,545.951965332031,T,-946.319580078125,-300.71435546875
-1788.00048828125,545.951965332031,T,-941.11865234375,-237.7451171875
-836.856262207031,-12.6920881271362,T,-1118.83251953125,-287.621063232422
-834.193237304688,-17.5101757049561,T,-1127.10913085938,-289.116424560547
-829.526550292969,-23.1389122009277,T,-1130.87915039062,-290.103759765625
-1130.74682617188,268.310791015625,T,-932.187316894531,-231.00373840332
-1137.08959960938,265.858795166016,T,-956.347595214844,-187.167175292969
-1140.63903808594,264.391174316406,T,-955.978942871094,-181.244247436523
-1813.28857421875,524.910827636719,T,-953.441711425781,-173.735794067383
-1145.07409667969,262.392608642578,T,-864.005065917969,-340.944366455078
-1104.20520019531,256.321166992188,T,-864.005065917969,-340.944366455078
-1103.23107910156,256.496612548828,T,-864.005065917969,-340.944366455078
-676.428466796875,58.1197166442871,T,-504.684906005859,-248.931015014648
-2209.49829101562,-382.468353271484,T,-2649.66552734375,-915.413391113281
-2209.49829101562,-382.468353271484,T,-2651.240234375,-912.516845703125
-2209.49829101562,-382.468353271484,T,-2653.1611328125,-911.410583496094
-2209.49829101562,-382.468353271484,T,-2655.38598632812,-911.048461914062
-2405.29833984375,1129.74572753906,T,-3156.01953125,373.304168701172
-2386.54711914062,754.755981445312,T,-3004.64233398438,829.65087890625
-2387.05419921875,750.520080566406,T,-3002.09130859375,838.30322265625
-2386.2412109375,756.694641113281,T,-3002.04223632812,837.940368652344
-2386.33569335938,756.038269042969,T,-3001.95288085938,838.632446289062
-2386.48657226562,754.932800292969,T,-3001.728515625,839.639831542969
-2397.2861328125,599.2431640625,T,-3056.97119140625,651.812805175781
-2397.52392578125,596.342651367188,T,-3056.97534179688,651.752746582031
-2397.82470703125,593.091796875,T,-3057.0791015625,650.365417480469
-2398.275390625,588.354248046875,T,-3057.06591796875,650.5
-2398.79833984375,582.293884277344,T,-3057.05029296875,650.705383300781
-2395.36596679688,280.397521972656,T,-2917.00317382812,896.699035644531
-2395.10498046875,280.622528076172,T,-2917.00317382812,896.699035644531
-2395.10498046875,280.622528076172,T,-2917.00317382812,896.699035644531
-2395.10498046875,280.622528076172,T,-2917.00317382812,896.699035644531
-2395.10498046875,280.622528076172,T,-2917.00317382812,896.699035644531
-2334.69360351562,-1726.59655761719,T,-1806.896484375,-2395.95263671875
-3162.24584960938,116.377937316895,T,-3671.97338867188,-179.245788574219
-3159.134765625,110.992988586426,T,-3674.58740234375,-174.574951171875
-3159.134765625,110.992988586426,T,-3675.7236328125,-172.487442016602
-2104.28173828125,415.404663085938,T,-2860.6533203125,628.695373535156
-2104.28173828125,415.404663085938,T,-2852.63720703125,627.778991699219
-2104.28173828125,415.404663085938,T,-2845.75854492188,627.382507324219
-2104.28173828125,415.404663085938,T,-2841.4853515625,632.677795410156
-2107.1328125,422.041015625,T,-2304.86499023438,510.103118896484
-2107.38403320312,421.386932373047,T,-2299.73291015625,516.846923828125
-2107.82373046875,420.445709228516,T,-2295.76953125,523.081726074219
-2108.73486328125,418.480346679688,T,-2290.51904296875,531.107727050781
-2584.41040039062,829.600280761719,T,-2879.2529296875,880.593444824219
-2582.23706054688,821.308349609375,T,-2879.36450195312,870.174560546875
-2544.56176757812,805.89599609375,T,-2874.90795898438,894.1982421875
-2854.6513671875,638.692626953125,T,-3101.20874023438,575.485961914062
-2497.08325195312,642.008422851562,T,-2274.76928710938,-510.164489746094
-2495.46948242188,641.630981445312,T,-2277.79223632812,-510.881744384766
-2495.37231445312,641.601257324219,T,-2277.79223632812,-510.881744384766
-2691.02270507812,-32.6864128112793,T,-2442.4970703125,-273.556945800781
-2682.94165039062,-23.8581733703613,T,-2438.73999023438,-266.555328369141
-2678.00170898438,-18.749361038208,T,-2437.60668945312,-265.300842285156
-2674.66064453125,-15.3291692733765,T,-2437.34155273438,-264.485198974609
-2669.58666992188,-10.2610530853271,T,-2437.29321289062,-263.183441162109
-2661.5361328125,-2.69215631484985,T,-2363.08325195312,-562.186340332031
-1983.88977050781,609.742309570312,T,-2771.60668945312,288.305572509766
-1986.47509765625,614.065490722656,T,-2771.60668945312,288.305572509766
-1986.13513183594,613.254821777344,T,-2771.60668945312,288.305572509766
-1980.78100585938,572.142822265625,T,-2538.19262695312,364.171539306641
-1980.78100585938,572.142822265625,T,-2771.60668945312,288.305572509766
-1981.17468261719,572.187255859375,T,-2540.01196289062,366.040222167969
-2179.138671875,41.7971115112305,T,-2306.76147460938,-686.421508789062
-2179.138671875,41.7971115112305,T,-2335.97045898438,-831.959167480469
-2178.35400390625,41.3991851806641,T,-2306.76147460938,-686.421508789062
-2178.35400390625,41.3991851806641,T,-2306.76147460938,-686.421508789062
-2178.35400390625,41.3991851806641,T,-2335.97045898438,-831.959167480469
-2178.35400390625,41.3991851806641,T,-2335.97045898438,-863.39111328125
-2327.51977539062,-1279.11242675781,T,-2311.80151367188,-1048.18273925781
-2327.60693359375,-1279.01684570312,T,-2311.13891601562,-1041.08898925781
-2327.60693359375,-1279.01684570312,T,-2310.79907226562,-1036.93176269531
-2327.60693359375,-1279.01684570312,T,-2310.32470703125,-1030.59582519531
-2327.60693359375,-1279.01684570312,T,-2309.89501953125,-1024.45629882812
-2349.77905273438,-1300.97729492188,T,-2400.16040039062,-931.741577148438
-2349.61254882812,-1300.96154785156,T,-2405.22900390625,-933.273254394531
-1468.92553710938,-492.199981689453,T,-1600.01342773438,-371.6572265625
-1478.69616699219,-496.851837158203,T,-1599.08813476562,-371.289764404297
-1204.14929199219,-639.478881835938,T,-1613.44213867188,-387.833251953125
-1204.54504394531,-639.862548828125,T,-1627.4619140625,-395.020141601562
-2654.919921875,913.600402832031,T,-2919.54736328125,904.386779785156
-2690.06201171875,954.163269042969,T,-2905.1630859375,921.726928710938
-2380.35278320312,267.364196777344,T,-2697.189453125,85.4513244628906
-2710.19409179688,922.205139160156,T,-2992.42041015625,591.773803710938
-2394.20849609375,256.295867919922,T,-2710.3564453125,86.4441070556641
-2398.763671875,262.091827392578,T,-2706.39477539062,95.5335159301758
-2740.65991210938,936.952270507812,T,-3062.35571289062,627.929504394531
-2411.01953125,248.611175537109,T,-2636.70434570312,389.536285400391
-519.344665527344,-138.091888427734,T,-552.827331542969,-521.268188476562
-510.155151367188,-140.312866210938,T,-538.030639648438,-435.273895263672
-508.102416992188,-140.624359130859,T,-544.892761230469,-448.109039306641
-508.102416992188,-140.624359130859,T,-554.192260742188,-522.962280273438
-507.597198486328,-140.683288574219,T,-554.063232421875,-524.365844726562
-507.337768554688,-140.714965820312,T,-541.705932617188,-470.613616943359
-507.337768554688,-140.714965820312,T,-542.678466796875,-484.557769775391
-1002.79357910156,492.894470214844,T,-496.998870849609,-332.916229248047
-1001.00384521484,491.713684082031,T,-497.116394042969,-340.3701171875
-871.204467773438,-354.951568603516,T,-920.851684570312,-451.755950927734
-879.62841796875,-404.495422363281,T,-836.797302246094,105.332817077637
-882.840576171875,-407.902740478516,T,-837.015441894531,105.851615905762
-882.796691894531,-408.465148925781,T,-837.015441894531,105.851615905762
-882.796691894531,-408.465148925781,T,-835.444152832031,105.145668029785
-882.796691894531,-408.465148925781,T,-823.928344726562,64.7401885986328
-882.796691894531,-408.465148925781,T,-816.877868652344,68.3035049438477
-887.498352050781,-407.874633789062,T,-796.261596679688,56.9033584594727
-927.871215820312,-401.977874755859,T,-820.718627929688,-7.63654565811157
-927.871215820312,-401.977874755859,T,-805.464233398438,60.0586929321289
-929.869812011719,-401.475433349609,T,-824.546203613281,-7.74597692489624
-929.962280273438,-401.453491210938,T,-823.15771484375,-8.11671447753906
-1071.84448242188,451.065093994141,T,-376.791320800781,-89.5524291992188
-1071.84448242188,451.065093994141,T,-376.511688232422,-95.7203979492188
-983.89111328125,485.747955322266,T,-691.269592285156,12.0962905883789
-2349.18774414062,-51.1190948486328,T,-2228.67822265625,-385.623657226562
-2722.59716796875,269.909576416016,T,-2637.833984375,-208.108810424805
-2809.95703125,228.426055908203,T,-2416.03125,-402.158569335938
-2809.95703125,228.426055908203,T,-2440.29614257812,-407.275207519531
-2809.95703125,228.426055908203,T,-2443.58959960938,-409.089141845703
-2809.95703125,228.426055908203,T,-2355.40258789062,-559.706970214844
-2808.6484375,229.183898925781,T,-2357.88989257812,-561.2177734375
-1118.77746582031,301.488525390625,T,-995.266174316406,-453.733795166016
