attackerX,attackerY,victimSide,victimX,victimY
1228.9736328125,-1289.42614746094,T,-417.939117431641,-1599.64868164062
1321.98669433594,-1333.68676757812,T,-420.223571777344,-1583.37353515625
1324.47631835938,-1358.81567382812,T,-410.611694335938,-1505.14245605469
1367.1416015625,-1466.39343261719,T,-392.810882568359,-1375.43395996094
1366.97741699219,-1469.36499023438,T,-395.849700927734,-1346.85852050781
402.210021972656,-1179.34814453125,T,301.658538818359,-1603.76843261719
1339.67736816406,-1097.16381835938,T,-456.617462158203,-1113.15515136719
1339.69165039062,-1097.25268554688,T,-457.201354980469,-1094.46374511719
275.463836669922,-1615.53747558594,T,-170.890609741211,-1341.76025390625
246.837875366211,-891.780883789062,T,-392.372283935547,-960.996276855469
213.537582397461,-843.768493652344,T,-389.825561523438,-976.740661621094
1143.04235839844,-907.475158691406,T,1004.42333984375,-828.469787597656
-60.3759536743164,-1018.41357421875,T,-252.853698730469,-1326.5234375
369.261901855469,-1615.98999023438,T,-204.151794433594,-1319.56591796875
-232.334487915039,-1035.94909667969,T,-206.993682861328,-1318.90905761719
904.023620605469,-869.843872070312,T,-553.528686523438,-844.146667480469
-636.126892089844,-407.795104980469,T,-728.211608886719,-355.856262207031
1359.23413085938,-9.58023548126221,T,959.111633300781,-100.797035217285
1358.26293945312,-5.60360479354858,T,958.724914550781,-145.795318603516
1358.30786132812,-6.10975074768066,T,957.458190917969,-164.560852050781
-197.560775756836,-156.700073242188,T,-582.449401855469,554.075744628906
-197.147705078125,-154.431365966797,T,-584.450073242188,555.880554199219
-185.344467163086,-146.789535522461,T,-586.609924316406,562.783142089844
-194.623611450195,163.112106323242,T,-619.724609375,604.810974121094
-192.419448852539,181.889450073242,T,-620.48388671875,605.527160644531
107.131851196289,-59.1063041687012,T,-620.879150390625,605.144714355469
-7.07205677032471,362.346496582031,T,571.214050292969,710.589782714844
160.781860351562,562.876098632812,T,640.228271484375,622.164123535156
163.055633544922,576.351379394531,T,640.509582519531,620.11474609375
164.843475341797,579.407897949219,T,641.004638671875,616.431518554688
165.554550170898,577.653442382812,T,641.523498535156,612.329956054688
88.833854675293,-58.3409538269043,T,-477.578430175781,412.740417480469
-183.825073242188,221.188980102539,T,-487.237396240234,522.081115722656
-114.314605712891,85.7917785644531,T,-474.764923095703,500.740936279297
-112.724395751953,84.5860824584961,T,-468.975830078125,505.242645263672
-109.492225646973,86.3735427856445,T,-464.079742431641,509.269317626953
-108.154632568359,87.5161514282227,T,-471.993988037109,502.345581054688
-110.462692260742,85.5053482055664,T,-462.279052734375,511.011138916016
513.610778808594,-110.475357055664,T,-416.783996582031,-237.752243041992
513.667419433594,-110.898368835449,T,-418.891296386719,-230.602096557617
513.800598144531,-111.914421081543,T,-420.209075927734,-225.822143554688
513.95556640625,-113.186996459961,T,-420.935241699219,-221.974975585938
513.944763183594,-113.115921020508,T,-420.669830322266,-224.315475463867
-94.0776290893555,421.033752441406,T,-228.530914306641,259.626403808594
749.033569335938,-117.443824768066,T,-457.20166015625,-272.691833496094
750.650207519531,-112.961814880371,T,-454.797302246094,-272.05419921875
751.033081054688,-113.486587524414,T,-453.275512695312,-272.982147216797
751.10986328125,-112.748069763184,T,-452.151824951172,-277.64453125
751.46533203125,-112.398994445801,T,-451.332366943359,-281.127197265625
891.056579589844,164.515808105469,T,289.688903808594,124.256645202637
891.056579589844,164.515808105469,T,289.519104003906,126.174575805664
852.716857910156,80.4307098388672,T,682.713012695312,121.069641113281
853.278381347656,83.0660705566406,T,685.142639160156,119.320457458496
919.900085449219,376.287811279297,T,1497.25146484375,660.717834472656
918.162475585938,380.075653076172,T,1494.55895996094,666.843078613281
918.063293457031,380.310241699219,T,1491.69995117188,672.823791503906
923.003051757812,370.274383544922,T,1489.67883300781,671.559265136719
923.0390625,370.210784912109,T,1152.7529296875,493.760833740234
922.911193847656,370.453033447266,T,1145.99877929688,497.651458740234
923.209838867188,369.903686523438,T,1140.34094238281,499.564270019531
-74.9715805053711,-64.5011825561523,T,1116.41064453125,520.692810058594
-76.4141998291016,-47.4176826477051,T,1189.93811035156,496.395904541016
-82.0509490966797,-49.4428176879883,T,1190.81945800781,494.239074707031
-86.6991271972656,-51.3305130004883,T,1192.88647460938,489.389892578125
-91.7442321777344,-53.4420166015625,T,1194.93420410156,484.581848144531
-146.094573974609,-74.5947113037109,T,-476.810760498047,-13.0282106399536
-404.363403320312,-382.477661132812,T,-460.566284179688,509.942169189453
-400.443817138672,-382.611846923828,T,-477.366973876953,508.866027832031
-397.340087890625,-382.360107421875,T,-480.431335449219,508.64111328125
606.540161132812,-284.99462890625,T,13.7581214904785,-213.211334228516
-461.415222167969,-237.45686340332,T,13.7396173477173,-214.098236083984
608.374450683594,-287.014831542969,T,13.6165971755981,-215.071762084961
-329.688598632812,-919.867370605469,T,-1154.32336425781,-828.143737792969
-905.2158203125,-1685.83508300781,T,-1152.79541015625,-939.800231933594
-903.596618652344,-1685.32861328125,T,-1152.79541015625,-939.800231933594
-901.619445800781,-1684.69226074219,T,-1152.79541015625,-939.800231933594
-900.880798339844,-1684.45288085938,T,-1153.10302734375,-941.631164550781
-900.880798339844,-1684.45288085938,T,-1151.97106933594,-943.519592285156
-973.845153808594,-1701.3837890625,T,-985.174926757812,-998.831787109375
-756.201171875,-832.909545898438,T,-940.077514648438,-955.236022949219
-751.998596191406,-330.590759277344,T,-605.593688964844,54.0271911621094
-750.0029296875,-331.399963378906,T,-605.214050292969,50.6774673461914
-736.00146484375,-336.939239501953,T,-605.670593261719,45.8087730407715
-728.8017578125,-339.685577392578,T,-608.529846191406,44.1614990234375
-999.172668457031,-1603.81799316406,T,-970.889343261719,-936.505920410156
-1005.8134765625,-1716.83642578125,T,-953.44970703125,-1102.68493652344
893.030578613281,-322.227355957031,T,-477.965179443359,-22.6813125610352
413.891082763672,-299.631927490234,T,229.127288818359,144.308639526367
412.771148681641,-299.979888916016,T,230.039047241211,144.508422851562
409.822052001953,-299.822357177734,T,230.798553466797,144.839935302734
411.390350341797,-298.647644042969,T,234.368698120117,146.353591918945
411.665313720703,-298.477661132812,T,235.247848510742,144.99201965332
262.604125976562,-269.451141357422,T,-661.075439453125,603.100463867188
269.393341064453,-261.684967041016,T,-663.477172851562,600.587646484375
864.431396484375,623.114501953125,T,420.714141845703,588.919982910156
860.296325683594,634.880859375,T,423.093658447266,591.459045410156
858.30517578125,644.593872070312,T,423.230346679688,589.858459472656
857.861633300781,647.406494140625,T,423.308654785156,588.918334960938
857.573059082031,649.407104492188,T,423.414031982422,587.890563964844
857.301940917969,651.450256347656,T,423.529876708984,586.907043457031
857.081481933594,653.093994140625,T,423.672637939453,585.971313476562
882.62109375,599.595275878906,T,391.512298583984,579.0009765625
882.919372558594,591.547912597656,T,-615.350036621094,567.22802734375
341.483917236328,413.456329345703,T,-80.5385131835938,255.88069152832
173.294006347656,-55.0484657287598,T,-350.860534667969,-237.131256103516
-782.244140625,-1775.998046875,T,-1046.57214355469,-1583.84155273438
-784.254272460938,-1775.998046875,T,-1046.48059082031,-1585.53271484375
-785.538635253906,-1775.22277832031,T,-1046.154296875,-1585.10864257812
-61.8961601257324,-1154.69946289062,T,-494.263610839844,-1080.28845214844
-60.7001533508301,-1140.82189941406,T,-491.261749267578,-1065.70983886719
-256.327789306641,-1188.31298828125,T,-431.31689453125,-985.629028320312
-130.518829345703,-1506.14990234375,T,-420.903930664062,-976.859313964844
-133.933364868164,-1508.77795410156,T,-420.057647705078,-976.179626464844
-141.095504760742,-1513.11865234375,T,-419.207977294922,-975.581787109375
-175.914993286133,-1531.57543945312,T,-415.703765869141,-973.605712890625
-188.436996459961,-1537.66625976562,T,-414.991638183594,-973.190551757812
1358.46508789062,-1230.08569335938,T,-454.536590576172,-1115.65344238281
1358.0927734375,-1235.47729492188,T,-454.374359130859,-1112.77954101562
