attackerX,attackerY,victimSide,victimX,victimY
-257.859710693359,-1633.89416503906,CT,-273.615356445312,-1505.7744140625
-154.631805419922,-1636.42443847656,CT,-12.5097942352295,-2075.61962890625
-1275.3115234375,-959.268371582031,CT,-1216.00048828125,-1526.96875
355.462219238281,-351.2939453125,CT,-1183.7119140625,-690.6904296875
353.549133300781,-347.596862792969,CT,-1178.13623046875,-726.038146972656
356.306213378906,-359.437530517578,CT,-1177.89453125,-727.021118164062
-2006.38037109375,777.385009765625,CT,-2003.40100097656,308.779968261719
-2311.82373046875,508.481842041016,CT,-2296.20068359375,-494.409851074219
-2240.82446289062,561.034545898438,CT,-2342.21435546875,-278.415893554688
-2239.77368164062,560.902648925781,CT,-2339.53271484375,-282.712310791016
-2239.77368164062,560.902648925781,CT,-2338.98046875,-286.630981445312
-2238.24633789062,560.751647949219,CT,-2332.87573242188,-294.073638916016
-2087.1240234375,-613.2685546875,CT,-1669.98559570312,-605.979370117188
-2245.71142578125,561.286926269531,CT,-2355.03857421875,-284.8046875
-2324.63989257812,787.562072753906,CT,-2369.59301757812,698.199401855469
-2325.22778320312,801.471618652344,CT,-2367.77661132812,715.469299316406
593.955322265625,-1597.28295898438,CT,159.981704711914,-1571.91235351562
590.054870605469,-1594.54553222656,CT,153.882583618164,-1591.94396972656
416.156951904297,-1530.30310058594,CT,21.0666236877441,-1599.68383789062
380.906555175781,-1559.16455078125,CT,20.7198009490967,-1602.51867675781
430.128387451172,-1584.11010742188,CT,22.345645904541,-1618.36560058594
-717.487854003906,-1160.53674316406,CT,-496.006195068359,-1447.23901367188
-113.031318664551,-438.693023681641,CT,-799.859436035156,-899.964172363281
-271.155975341797,-2189.04272460938,CT,-815.996520996094,-1915.24084472656
-271.155975341797,-2189.04272460938,CT,-815.996520996094,-1918.49401855469
-271.155975341797,-2189.04272460938,CT,-815.999084472656,-1921.22509765625
-1372.587890625,-2411.58935546875,CT,-1707.77429199219,-1607.53442382812
-1032.13256835938,-2387.310546875,CT,-336.564178466797,-2056.955078125
-276.623260498047,-2176.38720703125,CT,-480.589294433594,-1623.41467285156
-270.46142578125,-2164.43212890625,CT,-473.95458984375,-1620.60668945312
-270.196380615234,-2164.35571289062,CT,-468.419494628906,-1620.91931152344
-268.880096435547,-2163.84887695312,CT,-463.768188476562,-1623.75769042969
-780.023742675781,-1054.66052246094,CT,-491.467193603516,-1614.00024414062
92.1510391235352,-1424.01940917969,CT,-623.649291992188,-2351.36254882812
97.6279678344727,-1428.28076171875,CT,-617.444641113281,-2355.66674804688
97.9251098632812,-1428.51293945312,CT,-616.046569824219,-2356.6337890625
95.166130065918,-1426.39245605469,CT,-616.046569824219,-2356.6337890625
89.6679458618164,-1422.1806640625,CT,-616.046569824219,-2356.6337890625
90.4635314941406,-1422.77685546875,CT,-616.046569824219,-2356.6337890625
90.4984436035156,-1422.80358886719,CT,-616.046569824219,-2356.6337890625
