attackerX,attackerY,victimSide,victimX,victimY
540.617126464844,-1643.46362304688,T,717.162170410156,-1138.23120117188
-2044.88720703125,829.662841796875,T,-1841.49230957031,688.141296386719
-1561.57751464844,344.258178710938,T,-1663.38232421875,745.349914550781
-478.41943359375,-2090.12060546875,T,-849.904418945312,148.79833984375
-1570.61083984375,329.209075927734,T,-1665.95837402344,784.330932617188
-1455.97399902344,215.981750488281,T,-1243.02673339844,112.741424560547
-1462.00524902344,203.875274658203,T,-1250.9443359375,135.444961547852
-1475.41162109375,223.630065917969,T,-1228.71728515625,240.006301879883
-1499.84545898438,234.76676940918,T,-1278.09338378906,262.419219970703
-1598.80871582031,139.022521972656,T,-1281.41979980469,241.223678588867
-1599.96997070312,142.093566894531,T,-1281.7080078125,236.478515625
-2451.96875,232.248123168945,T,-1281.49084472656,239.532928466797
-1600.85437011719,145.332595825195,T,-1282.02648925781,247.957183837891
-1123.13708496094,-456.606140136719,T,-1061.38708496094,-744.001831054688
-780.005126953125,-2078.47607421875,T,153.724563598633,-1688.62365722656
-781.313903808594,-2075.31005859375,T,152.978820800781,-1686.32849121094
-387.071197509766,-335.277984619141,T,497.466186523438,-566.255859375
-386.983917236328,-335.197113037109,T,496.771820068359,-569.300720214844
-678.862731933594,-799.063781738281,T,469.911682128906,-777.895568847656
-387.053466796875,-335.45361328125,T,494.605102539062,-577.59130859375
-629.074401855469,-1460.73693847656,T,-784.04736328125,-1152.59777832031
-623.036560058594,-1458.13635253906,T,-787.147766113281,-1154.8759765625
-606.1533203125,-1450.04846191406,T,-804.558349609375,-1165.45239257812
-604.806945800781,-1449.17834472656,T,-807.999145507812,-1171.28015136719
-550.77978515625,-1346.49768066406,T,-800.574890136719,-1232.17456054688
-549.004333496094,-1341.24816894531,T,-799.323913574219,-1228.20202636719
-1615.43347167969,-1052.49548339844,T,-1125.30212402344,-873.751281738281
-1614.08410644531,-1056.40502929688,T,-1125.61169433594,-876.023803710938
-1614.40063476562,-1055.52111816406,T,-1125.92834472656,-878.049072265625
-1614.40063476562,-1055.52111816406,T,-1127.57165527344,-879.794860839844
-1613.25903320312,-1058.75378417969,T,-1138.009765625,-871.091247558594
-1610.6025390625,-1065.76342773438,T,-1142.44750976562,-862.893615722656
-1605.87768554688,-1077.71337890625,T,-1142.29772949219,-863.444641113281
-998.718322753906,-2473.88354492188,T,228.707077026367,-1476.74389648438
-999.921264648438,-2472.38696289062,T,231.240051269531,-1479.84606933594
-1000.59924316406,-2471.54858398438,T,229.811767578125,-1478.10034179688
-942.658386230469,-2514.41357421875,T,-136.558258056641,-1661.78637695312
-940.497436523438,-2513.59545898438,T,-115.801918029785,-1660.75268554688
-940.497436523438,-2513.59545898438,T,-106.126052856445,-1663.54321289062
-1232.75598144531,-1249.7060546875,T,-392.121948242188,-1858.65698242188
-1234.2275390625,-1251.73815917969,T,-392.104797363281,-1858.63415527344
-1013.01361083984,-2455.732421875,T,-623.147094726562,-1998.30798339844
-579.662658691406,-2385.82934570312,T,-498.721405029297,-1981.29516601562
-579.701110839844,-2385.76196289062,T,-503.428527832031,-1973.16162109375
-662.17041015625,-2438.73413085938,T,-773.891479492188,-1870.22827148438
-661.125183105469,-2438.5263671875,T,-773.891479492188,-1870.22827148438
-801.114624023438,-917.927307128906,T,182.144073486328,-241.281234741211
-800.747741699219,-917.17578125,T,178.756240844727,-236.417877197266
-2349.822265625,604.10791015625,T,-1538.83618164062,785.883666992188
-2349.65966796875,603.387390136719,T,-1538.7099609375,785.683837890625
-542.335510253906,-1166.68225097656,T,-711.30224609375,-788.999267578125
-541.17919921875,-1166.13195800781,T,-709.713439941406,-788.701477050781
-807.995422363281,-890.522827148438,T,235.755172729492,-445.225006103516
-807.99560546875,-886.475036621094,T,234.907806396484,-446.996185302734
