attackerX,attackerY,victimSide,victimX,victimY
-1907.94763183594,601.186157226562,CT,-2597.89501953125,515.573181152344
-1908.04345703125,611.410217285156,CT,-2598.24145507812,518.447021484375
-1917.31665039062,577.966857910156,CT,-788.009338378906,78.4396438598633
-1657.91943359375,407.46142578125,CT,-1873.91540527344,-44.0434722900391
-1877.59936523438,530.828369140625,CT,-757.799682617188,126.452987670898
-1690.67614746094,423.639526367188,CT,-1839.95275878906,15.2213201522827
-1623.57531738281,860.390869140625,CT,-1963.78759765625,-553.135803222656
-1758.00439453125,102.366653442383,CT,-2006.4970703125,-542.833068847656
-2358.90869140625,-429.543701171875,CT,-2090.20703125,-570.564697265625
-1800.2060546875,-181.118637084961,CT,-2327.70288085938,416.359222412109
-1269.82873535156,-1031.81433105469,CT,-1130.13647460938,-765.5361328125
-591.626708984375,-1204.25366210938,CT,-811.211547851562,34.9403533935547
-1594.72082519531,-219.383071899414,CT,-2396.27783203125,311.333435058594
-1591.70141601562,-214.824447631836,CT,-2390.27856445312,319.261871337891
-1642.23352050781,-236.303833007812,CT,-2356.14013671875,366.665649414062
-1159.31079101562,-667.697509765625,CT,-267.001708984375,-689.536560058594
-1159.27478027344,-666.387268066406,CT,-267.638946533203,-687.645202636719
-708.461730957031,-815.680969238281,CT,-268.300384521484,-686.742614746094
-1161.13000488281,-616.283447265625,CT,411.519348144531,-519.51416015625
290.669464111328,-827.168640136719,CT,-830.137329101562,-227.362701416016
269.591033935547,-868.770874023438,CT,-865.160217285156,-294.938659667969
-615.64306640625,-695.461853027344,CT,-846.695983886719,-2546.21166992188
-608.024719238281,-898.001647949219,CT,-805.96728515625,-2358.19018554688
-608.024719238281,-898.001647949219,CT,-808.611145019531,-2357.82739257812
-1242.16821289062,-1050.40563964844,CT,-1892.55480957031,-503.736175537109
-1242.16821289062,-1050.40563964844,CT,-1892.67370605469,-510.567443847656
-1242.16821289062,-1050.40563964844,CT,-1895.38366699219,-515.033264160156
-1242.16821289062,-1050.40563964844,CT,-1898.42102050781,-519.166870117188
714.544616699219,-1448.46240234375,CT,387.897247314453,-1687.02062988281
-512.638671875,-1415.61657714844,CT,-913.493347167969,-2502.08666992188
-715.234558105469,-1700.92443847656,CT,288.758148193359,-1602.6103515625
-783.909545898438,-1676.26452636719,CT,288.730560302734,-1602.80969238281
-559.89990234375,-1892.56164550781,CT,117.071258544922,-1445.20458984375
-519.196899414062,-1855.97961425781,CT,-880.988525390625,291.989318847656
-560.539855957031,-1721.04016113281,CT,-897.521362304688,289.231506347656
229.922729492188,-1443.14050292969,CT,-388.305633544922,-2047.50866699219
-782.713989257812,-961.416259765625,CT,-324.934875488281,-2178.54443359375
-1130.71545410156,-862.937072753906,CT,-1710.96875,-1214.55187988281
-773.918151855469,-1554.92016601562,CT,140.379699707031,-1954.00024414062
-499.692230224609,-1527.82897949219,CT,-188.155090332031,-2118.474609375
-611.060180664062,-2424.04272460938,CT,-1363.05969238281,-2262.88818359375
-610.683654785156,-2422.6474609375,CT,-1339.81262207031,-2267.83325195312
-610.370056152344,-2421.18481445312,CT,-1263.20874023438,-2263.62329101562
-610.370056152344,-2421.18481445312,CT,-1263.90551757812,-2262.66088867188
-597.726623535156,-2355.408203125,CT,-896.858154296875,-2336.96166992188
-654.694213867188,-2419.53442382812,CT,-1028.17712402344,-2308.6298828125
-664.857055664062,-2426.23193359375,CT,-1027.44348144531,-2308.54370117188
-665.672546386719,-2426.72729492188,CT,-1031.17822265625,-2295.28100585938
-1260.86303710938,466.358581542969,CT,-1385.1904296875,265.338317871094
-1047.96875,249.885452270508,CT,-981.19140625,-788.958374023438
-982.981323242188,310.618316650391,CT,-978.728149414062,-788.905090332031
-1047.96875,249.885452270508,CT,-979.336242675781,-788.912841796875
-1047.96875,249.885452270508,CT,-980.263671875,-788.909606933594
-617.339599609375,-2025.26635742188,CT,-708.847595214844,-786.970642089844
-617.339599609375,-2025.26635742188,CT,-704.872985839844,-788.296630859375
-770.570007324219,-2016.89086914062,CT,-729.004089355469,-1229.12133789062
-773.322265625,-2016.96325683594,CT,-727.228576660156,-1228.78796386719
-780.94384765625,-2024.48937988281,CT,-727.623657226562,-1228.81030273438
-780.504211425781,-2024.99206542969,CT,-727.002380371094,-1228.76867675781
77.2909622192383,-2009.76391601562,CT,146.184677124023,-1981.3369140625
75.247917175293,-1992.51721191406,CT,134.224227905273,-1997.89025878906
1016.88201904297,-2194.0986328125,CT,21.223014831543,-2289.9931640625
1229.44421386719,462.700500488281,CT,1273.84655761719,-409.557434082031
1223.36706542969,462.386749267578,CT,1267.53601074219,-409.745086669922
