attackerX,attackerY,victimSide,victimX,victimY
-2155.2431640625,-224.17155456543,T,-2300.99243164062,356.490142822266
-2081.83349609375,-201.597625732422,T,-2344.93823242188,340.677551269531
-2076.34716796875,-198.922317504883,T,-2350.1337890625,338.015472412109
-2042.25854492188,-1044.66784667969,T,-2225.97729492188,298.957824707031
-2775.47290039062,375.150756835938,T,-2785.4619140625,951.029479980469
-2805.03955078125,373.272583007812,T,-2783.77294921875,951.646118164062
-2809.90966796875,373.325500488281,T,-2808.48364257812,952.80419921875
-2805.41796875,373.286743164062,T,-2805.58569335938,952.943481445312
-2787.42333984375,373.391479492188,T,-2776.35473632812,952.288146972656
-2783.52514648438,373.360900878906,T,-2793.7978515625,952.498046875
-1870.83483886719,-995.405090332031,T,-2240.88427734375,-78.2047119140625
-2791.31665039062,373.231658935547,T,-2795.85913085938,953.137878417969
-1956.07373046875,-1624.3359375,T,-2179.53662109375,-1365.52734375
-1927.12084960938,-1582.51916503906,T,-2092.66821289062,-1494.73376464844
-1937.32666015625,-1590.58947753906,T,-2099.78051757812,-1514.86413574219
-1789.61279296875,-1585.08093261719,T,-2101.310546875,-1518.87536621094
-2673.0107421875,620.041076660156,T,-2983.92309570312,393.672821044922
-1786.23388671875,-1568.08251953125,T,-2097.2314453125,-1512.96069335938
-1937.46838378906,-1593.53845214844,T,-2087.44897460938,-1492.11303710938
-1950.06408691406,-1616.57666015625,T,-2079.00317382812,-1475.94616699219
-2439.43579101562,-1881.72924804688,T,-2423.28833007812,-1193.01416015625
-1964.2275390625,-1166.25244140625,T,-2417.615234375,-1127.91845703125
-1485.34338378906,791.297973632812,T,-1416.45178222656,477.877227783203
-1454.3193359375,794.046081542969,T,-1458.67895507812,469.419586181641
-1453.52819824219,794.12841796875,T,-1471.7353515625,468.216522216797
-2100.22192382812,-121.446548461914,T,-2387.80786132812,215.862731933594
-2755.82836914062,-940.716979980469,T,-2867.0908203125,-573.693115234375
-2730.56420898438,-935.941772460938,T,-2870.34814453125,-574.850036621094
-2724.68579101562,-934.580078125,T,-2875.40209960938,-576.006164550781
-2723.30981445312,-934.406372070312,T,-2879.38159179688,-576.998901367188
-2724.01220703125,-934.699340820312,T,-2875.75732421875,-575.392944335938
269.534271240234,-997.90380859375,T,319.955017089844,-101.566131591797
202.598358154297,-1020.99877929688,T,-446.854400634766,-559.988525390625
206.293273925781,-1022.86700439453,T,-446.004547119141,-558.813781738281
-664.179077148438,-1059.98706054688,T,-190.203552246094,-539.330383300781
-664.102111816406,-1060.05676269531,T,-172.704681396484,-538.25
-664.102111816406,-1060.05676269531,T,-165.257965087891,-537.83837890625
-664.820129394531,-1059.36889648438,T,-164.44953918457,-525.6474609375
-671.147399902344,-1025.12634277344,T,-229.852935791016,-588.550170898438
-684.047119140625,-1006.90551757812,T,-223.550872802734,-594.477783203125
-683.989807128906,-1006.69091796875,T,-219.770385742188,-598.466735839844
-685.192016601562,-1005.33770751953,T,-218.639938354492,-599.48876953125
-685.054260253906,-1005.50952148438,T,-222.898345947266,-594.682373046875
-2127.55737304688,-250.764389038086,T,-2482.95947265625,-828.377807617188
-524.662109375,-1078.39025878906,T,479.684722900391,-1048.31762695312
-2040.42492675781,-499.602478027344,T,-2341.29931640625,-867.712341308594
-2041.25244140625,-502.604919433594,T,-2344.1201171875,-862.118469238281
-524.662109375,-1078.39025878906,T,479.155883789062,-1022.74005126953
-2052.12060546875,-496.751037597656,T,-2347.4755859375,-857.198669433594
-2057.45971679688,-493.094787597656,T,-2344.22778320312,-859.936462402344
-1055.78796386719,-830.600952148438,T,-1181.576171875,-799.139953613281
-1050.01293945312,-811.50048828125,T,-1172.13500976562,-796.60546875
-622.257690429688,-701.78564453125,T,-755.549865722656,-537.736389160156
