attackerX,attackerY,victimSide,victimX,victimY
-885.513427734375,-31.3035221099854,CT,-1015.828125,-523.795043945312
-851.344970703125,-17.7461986541748,CT,-1001.95776367188,-518.137939453125
-699.009216308594,-63.8166618347168,CT,-969.484375,467.190765380859
-701.501403808594,-74.0051574707031,CT,-1009.55499267578,444.912963867188
-722.191955566406,-85.3811569213867,CT,-1013.79895019531,442.344085693359
-839.881225585938,-7.84931659698486,CT,-1011.37805175781,-250.276596069336
-848.98193359375,-0.52219170331955,CT,-999.163024902344,-261.399353027344
-3038.83422851562,-1790.18103027344,CT,-2417.26342773438,-518.4462890625
-1040.8486328125,-943.770874023438,CT,-1575.306640625,-999.67236328125
-1044.98352050781,-940.822570800781,CT,-1575.49279785156,-1003.94598388672
-1045.08251953125,-940.705688476562,CT,-1587.2275390625,-1054.55847167969
-1045.08251953125,-940.705688476562,CT,-1564.28308105469,-1084.62512207031
-987.21826171875,-610.820556640625,CT,-1094.609375,274.987426757812
-2199.080078125,-416.482269287109,CT,-2823.017578125,582.164978027344
-2202.59545898438,-418.655517578125,CT,-2820.18701171875,583.957214355469
-3308.1064453125,181.154830932617,CT,-2819.87377929688,733.626586914062
-2202.74877929688,-464.364074707031,CT,-2819.87377929688,733.626586914062
-2202.74389648438,-464.340209960938,CT,-2818.77514648438,739.301391601562
-3283.02416992188,176.182052612305,CT,-2965.80712890625,591.762817382812
-2229.9951171875,-433.724243164062,CT,-2860.74169921875,787.128601074219
-3057.05908203125,795.878479003906,CT,-3072.13037109375,306.258178710938
-2973.1943359375,689.668395996094,CT,-2110.33374023438,411.551696777344
-2581.10546875,595.121398925781,CT,-1936.03125,810.070434570312
-2581.078125,594.953735351562,CT,-1936.00122070312,806.281433105469
-2583.67333984375,603.253784179688,CT,-1935.83386230469,802.019714355469
-2585.0263671875,607.689514160156,CT,-1935.09777832031,796.960144042969
-2703.37670898438,-26.30495262146,CT,-1971.43115234375,1022.23492431641
-2703.37670898438,-26.30495262146,CT,-1967.25,1031.18212890625
-2703.37670898438,-26.30495262146,CT,-1963.24877929688,1038.90661621094
-3589.36962890625,-720.09619140625,CT,-3463.46801757812,-1881.35778808594
-3957.43188476562,-1124.67761230469,CT,-3484.38916015625,-723.989624023438
-3957.3056640625,-1124.82983398438,CT,-3493.77001953125,-721.880493164062
-3957.3056640625,-1124.82983398438,CT,-3502.93823242188,-716.513366699219
-3957.3056640625,-1124.82983398438,CT,-3457.59814453125,-727.331665039062
-2161.8955078125,530.600769042969,CT,-2508.84936523438,826.968688964844
-1264.64587402344,-918.359130859375,CT,-1743.9736328125,-328.763244628906
-506.327850341797,-405.702484130859,CT,-800.236450195312,398.601318359375
-1522.56799316406,-519.8955078125,CT,-1711.95007324219,-937.469909667969
-1687.48034667969,-793.742614746094,CT,-1760.31921386719,-1001.10217285156
-1698.76354980469,-793.546508789062,CT,-1746.35119628906,-1006.00018310547
-2276.09228515625,-526.688293457031,CT,-2449.609375,395.128753662109
-2166.3583984375,-592.013244628906,CT,-2718.35375976562,505.67919921875
-2163.42431640625,-592.200805664062,CT,-2722.96875,510.562072753906
-1183.87878417969,-951.740600585938,CT,-1491.96862792969,-504.3232421875
-1185.35510253906,-943.210876464844,CT,-1493.18103027344,-503.414794921875
-1185.93676757812,-940.703308105469,CT,-1493.939453125,-502.97412109375
-1183.068359375,-938.208923339844,CT,-1529.16979980469,-517.55029296875
-2187.00170898438,-407.013122558594,CT,-2727.79150390625,672.589477539062
-2211.64916992188,-405.830352783203,CT,-2768.08349609375,652.262512207031
-2753.99755859375,-170.562973022461,CT,-2322.078125,415.829284667969
-2204.1806640625,-402.002319335938,CT,-2773.13525390625,649.704345703125
-2753.99755859375,-170.562973022461,CT,-2323.5322265625,415.345764160156
-1987.32983398438,-1290.66333007812,CT,-1805.36071777344,-920.09375
-1949.81396484375,-1297.34338378906,CT,-1804.85119628906,-919.359497070312
-1968.056640625,-1289.90148925781,CT,-1804.85119628906,-919.359497070312
-3695.57763671875,-528.640319824219,CT,-3618.07397460938,-101.13941192627
-3693.3408203125,-528.359375,CT,-3625.01513671875,-101.445167541504
-3689.65771484375,-528.96337890625,CT,-3629.14624023438,-101.588226318359
-3687.97900390625,-529.242004394531,CT,-3629.63989257812,-101.992874145508
-2611.37060546875,542.698364257812,CT,-1967.34582519531,551.012390136719
-2611.32666015625,538.431823730469,CT,-1967.328125,551.098815917969
-2611.31982421875,537.795227050781,CT,-1967.30102539062,548.712707519531
-2530.9296875,390.551635742188,CT,-1979.59899902344,596.409973144531
-2678.18676757812,678.396545410156,CT,-2092.16137695312,-864.992492675781
-2678.18676757812,678.396545410156,CT,-2092.16137695312,-864.992492675781
-2743.20947265625,-1595.97619628906,CT,-2200.20239257812,-606.751525878906
-2174.60400390625,-590.983337402344,CT,-2520.19921875,161.896118164062
-2206.48510742188,-121.916770935059,CT,-2765.09252929688,11.8194389343262
-1803.27233886719,703.498596191406,CT,-1927.09826660156,738.810607910156
-2051.60180664062,526.043090820312,CT,-2036.6826171875,840.075988769531
-2215.78369140625,-756.638916015625,CT,-2391.15380859375,-15.4240989685059
-2215.71313476562,-755.824645996094,CT,-2391.15380859375,-15.4240989685059
-2216.88696289062,-756.032409667969,CT,-2391.15380859375,-15.4240989685059
-2216.88696289062,-756.032409667969,CT,-2391.15380859375,-15.4240989685059
-2822.18383789062,754.994140625,CT,-3146.01538085938,200.00666809082
-2821.08740234375,754.446960449219,CT,-3145.5986328125,198.260284423828
-2565.12451171875,1108.13525390625,CT,-2505.52734375,1238.560546875
-2566.16650390625,1108.60656738281,CT,-2509.603515625,1236.099609375
-2365.61596679688,-569.7578125,CT,-2650.55883789062,-166.253936767578
-2358.03735351562,-565.105285644531,CT,-2639.666015625,-158.075500488281
-775.013610839844,-75.4872894287109,CT,-1277.74584960938,-47.2773056030273
-459.965759277344,-268.733367919922,CT,-1025.03479003906,432.610229492188
-461.508148193359,-269.099578857422,CT,-1024.48474121094,423.500732421875
-467.469299316406,-273.703918457031,CT,-1028.80065917969,406.356323242188
-548.474243164062,-308.53662109375,CT,-826.717895507812,407.028289794922
