attackerX,attackerY,victimSide,victimX,victimY
-1167.23547363281,-742.374572753906,T,-531.680358886719,-346.530731201172
-486.511657714844,-2134.28344726562,T,-765.889587402344,-173.507797241211
-488.055450439453,-2128.95629882812,T,-767.849914550781,-168.017639160156
-493.880249023438,-2123.5146484375,T,-752.03125,-117.140312194824
-746.327514648438,-1463.28723144531,T,-616.434448242188,-344.8583984375
-2114.59228515625,652.117004394531,T,-870.001098632812,164.998397827148
-2114.59228515625,652.117004394531,T,-748.238647460938,83.591552734375
-2116.15795898438,647.917297363281,T,-910.043090820312,176.065093994141
-2120.060546875,637.354675292969,T,-912.596313476562,176.200454711914
-504.052307128906,-2125.44580078125,T,-816.36279296875,118.708221435547
-492.706359863281,-2124.01733398438,T,-846.6787109375,99.0684661865234
-2282.58935546875,277.437072753906,T,-1145.49438476562,257.413482666016
-2291.41528320312,154.219635009766,T,-1402.71850585938,426.347351074219
-2291.13305664062,151.542282104492,T,-1399.73046875,416.140838623047
-2332.79833984375,42.657283782959,T,-2253.45483398438,510.060180664062
-1914.9345703125,-129.398986816406,T,-1326.71936035156,343.849243164062
-1903.68591308594,-136.209930419922,T,-1329.50134277344,347.233337402344
-2386.46435546875,124.749801635742,T,-2248.17749023438,529.853088378906
-1973.7421875,-133.205413818359,T,-2362.63916015625,469.238616943359
-1981.30078125,-134.336975097656,T,-2368.59130859375,465.341217041016
-1982.41076660156,-133.101013183594,T,-2372.92407226562,462.467407226562
-1978.69812011719,-129.474853515625,T,-2376.8134765625,459.839965820312
-1974.48706054688,-122.516242980957,T,-2379.56713867188,457.950073242188
-1970.64233398438,-112.493309020996,T,-2378.15673828125,458.964874267578
-1914.29736328125,-57.2989959716797,T,-1313.79943847656,347.805847167969
-247.623031616211,-1543.44897460938,T,238.701126098633,-1508.19384765625
-240.805084228516,-1545.44470214844,T,232.160385131836,-1503.56481933594
-247.777297973633,-1528.79846191406,T,266.891204833984,-1483.69506835938
-989.941711425781,-2475.26635742188,T,29.2502632141113,-1677.79736328125
-37.7805519104004,-1855.32495117188,T,-102.367958068848,-1646.75842285156
