attackerX,attackerY,victimSide,victimX,victimY
-1857.96118164062,-1597.16015625,CT,-1692.64440917969,-1056.72009277344
-1868.08093261719,-1593.62634277344,CT,-1693.5419921875,-1057.73596191406
-1275.03820800781,-888.14306640625,CT,-1248.59887695312,-562.846435546875
-1927.70324707031,-1770.1259765625,CT,-1690.03125,-1092.35961914062
-1930.29968261719,-1741.01623535156,CT,-1690.00439453125,-1099.22180175781
-1954.61328125,-1738.9970703125,CT,-1765.98278808594,-1419.4501953125
-1805.32629394531,-1792.07482910156,CT,-1740.83056640625,-1201.46545410156
-1506.88598632812,-495.377258300781,CT,-1032.01293945312,-519.2412109375
-1882.76000976562,-1252.72192382812,CT,-2159.998046875,-911.976684570312
-902.547668457031,-60.5169486999512,CT,-1978.09106445312,714.953308105469
-880.048034667969,-62.6452865600586,CT,-1198.04724121094,-157.910049438477
-879.840209960938,-62.8774604797363,CT,-1200.90808105469,-157.546676635742
-879.591491699219,-63.6747131347656,CT,-1225.89477539062,-157.311187744141
-879.591491699219,-63.6747131347656,CT,-1229.31909179688,-154.824279785156
-879.591491699219,-63.6747131347656,CT,-1234.05712890625,-154.504104614258
-1099.59985351562,-18.4879493713379,CT,-1016.67877197266,284.630676269531
-1098.97143554688,-18.6880645751953,CT,-1025.94775390625,287.279998779297
-1158.77478027344,-624.530700683594,CT,-1044.72839355469,-540.35791015625
-1154.97546386719,-575.855041503906,CT,-1046.51904296875,-541.475708007812
-1155.91711425781,-572.372619628906,CT,-1049.88598632812,-544.141296386719
-1157.38781738281,-563.711730957031,CT,-1048.64111328125,-548.827270507812
-921.190307617188,-602.94873046875,CT,-1159.59558105469,301.12646484375
-1183.02600097656,-167.549438476562,CT,-900.265014648438,490.452239990234
-1180.7353515625,-165.475891113281,CT,-909.82861328125,492.685791015625
-1182.90515136719,-162.672973632812,CT,-936.150695800781,494.045532226562
-1180.35119628906,-163.773010253906,CT,-941.429138183594,495.159576416016
-427.424987792969,-88.9506607055664,CT,-692.170471191406,-1786.66455078125
-682.112915039062,-1366.31640625,CT,-480.115997314453,-1794.78833007812
-689.540344238281,-1368.56066894531,CT,-480.116394042969,-1797.48461914062
-695.564514160156,-1370.6474609375,CT,-481.793823242188,-1800.85070800781
-218.854507446289,-870.377197265625,CT,-1215.31359863281,-1014.31231689453
-207.100936889648,-939.890014648438,CT,-1150.33862304688,-966.933654785156
-289.943511962891,-1272.50134277344,CT,-538.533813476562,-440.455718994141
-279.844940185547,-1269.46459960938,CT,-535.560485839844,-455.503875732422
-279.096435546875,-1269.25341796875,CT,-528.286376953125,-455.865173339844
-279.114379882812,-1269.25927734375,CT,-520.722595214844,-454.600372314453
-250.943222045898,-1260.90832519531,CT,-513.06787109375,-483.875701904297
-2039.16320800781,-961.406433105469,CT,-2010.11987304688,-837.653991699219
-2059.28955078125,-965.986267089844,CT,-2012.97570800781,-842.434265136719
-2074.26538085938,-967.013854980469,CT,-2019.33081054688,-842.511840820312
-1853.42346191406,826.688171386719,CT,-2185.94262695312,837.774597167969
-2521.80834960938,440.811889648438,CT,-3022.32739257812,702.818969726562
-2335.98901367188,-259.956848144531,CT,-2655.50244140625,759.661743164062
-2345.3671875,-583.993469238281,CT,-2165.00561523438,-385.088562011719
-2521.28735351562,-1368.77624511719,CT,-2161.58471679688,-616.319519042969
-2518.02001953125,-1370.29748535156,CT,-2160.73828125,-616.78564453125
-417.370727539062,-213.142044067383,CT,-979.775390625,379.412017822266
-417.942565917969,-213.671890258789,CT,-983.605590820312,375.518829345703
-563.014770507812,-1078.53161621094,CT,-522.416320800781,-677.426818847656
-593.2333984375,-1358.66967773438,CT,-1007.65521240234,-393.178466796875
-593.979797363281,-1359.02563476562,CT,-1009.05267333984,-419.712799072266
-612.786987304688,-1352.10498046875,CT,-1043.87084960938,-282.593841552734
-1930.70642089844,-1771.01745605469,CT,-1690.00024414062,-1147.22802734375
-1929.78161621094,-1771.35070800781,CT,-1690.00024414062,-1147.22802734375
-1929.78161621094,-1771.35070800781,CT,-1690.00024414062,-1147.22802734375
-1929.78161621094,-1771.35070800781,CT,-1691.11401367188,-1146.76745605469
-1929.78161621094,-1771.35070800781,CT,-1704.0166015625,-1141.55163574219
-1930.64501953125,-1771.05541992188,CT,-1705.15368652344,-1141.07080078125
-1731.35034179688,-1881.58703613281,CT,-1835.0068359375,-939.863342285156
-1726.46276855469,-1881.14428710938,CT,-1851.98559570312,-941.528198242188
-2653.72802734375,687.14111328125,CT,-1902.9619140625,955.849792480469
-2659.75366210938,705.783813476562,CT,-1906.9267578125,914.021118164062
-2659.48120117188,704.5263671875,CT,-1930.4462890625,951.532836914062
-2210.70971679688,453.503051757812,CT,-2043.83666992188,634.334350585938
-2205.40063476562,450.893157958984,CT,-2044.17150878906,634.6689453125
-1971.7392578125,598.447570800781,CT,-2592.92626953125,1333.14477539062
-3532.93432617188,-2369.68139648438,CT,-3543.609375,-161.787002563477
